,QUARTER,TIME_REMAINING,MIAMI_ACTION,TORONTO_ACTION,MIAMI_SCORE,TORONTO_SCORE
0,1,11:35.0,,J. Valančiūnas misses 2-pt jump shot from 6 ft,0,0
1,1,11:33.0,Defensive rebound by J. Richardson,,0,0
2,1,11:19.0,T. Johnson misses 2-pt jump shot from 20 ft,,0,0
3,1,11:13.0,,Defensive rebound by O. Anunoby,0,0
4,1,11:10.0,,K. Lowry misses 3-pt jump shot from 25 ft,0,0
5,1,11:10.0,Defensive rebound by H. Whiteside,,0,0
6,1,10:59.0,H. Whiteside misses 2-pt hook shot from 7 ft,,0,0
7,1,10:59.0,,Defensive rebound by J. Valančiūnas,0,0
8,1,10:40.0,,Turnover by O. Anunoby (step out of bounds),0,0
9,1,10:28.0,H. Whiteside misses 2-pt dunk from 2 ft,,0,0
10,1,10:26.0,,Defensive rebound by J. Valančiūnas,0,0
11,1,10:22.0,,K. Lowry makes 2-pt layup from 1 ft,0,2
12,1,10:02.0,H. Whiteside makes 2-pt dunk at rim (assist by J. Winslow),,2,2
13,1,9:46.0,,D. DeRozan misses 2-pt jump shot from 22 ft,2,2
14,1,9:44.0,Defensive rebound by H. Whiteside,,2,2
15,1,9:37.0,G. Dragić misses 2-pt jump shot from 21 ft,,2,2
16,1,9:35.0,,Defensive rebound by J. Valančiūnas,2,2
17,1,9:28.0,,J. Valančiūnas makes 2-pt layup from 2 ft (assist by K. Lowry),2,4
18,1,9:09.0,T. Johnson makes 2-pt jump shot from 7 ft,,4,4
19,1,8:58.0,,J. Valančiūnas makes 2-pt dunk from 2 ft (assist by K. Lowry),4,6
20,1,8:40.0,G. Dragić makes 2-pt jump shot from 12 ft,,6,6
21,1,8:40.0,Shooting foul by O. Anunoby (drawn by G. Dragić),,6,6
22,1,8:40.0,G. Dragić makes free throw 1 of 1,,7,6
23,1,8:21.0,,O. Anunoby makes 3-pt jump shot from 24 ft (assist by K. Lowry),7,9
24,1,8:03.0,Turnover by J. Winslow (lost ball; steal by K. Lowry),,7,9
25,1,7:57.0,,O. Anunoby makes 3-pt jump shot from 25 ft (assist by K. Lowry),7,12
26,1,7:44.0,G. Dragić misses 2-pt layup from 1 ft,,7,12
27,1,7:42.0,,Defensive rebound by J. Valančiūnas,7,12
28,1,7:25.0,,D. DeRozan misses 3-pt jump shot from 25 ft,7,12
29,1,7:23.0,Defensive rebound by H. Whiteside,,7,12
30,1,7:13.0,T. Johnson misses 2-pt jump shot from 10 ft,,7,12
31,1,7:11.0,,Defensive rebound by K. Lowry,7,12
32,1,7:03.0,,K. Lowry misses 3-pt jump shot from 28 ft,7,12
33,1,7:01.0,Defensive rebound by H. Whiteside,,7,12
34,1,6:46.0,H. Whiteside makes 2-pt jump shot from 9 ft (assist by J. Richardson),,9,12
35,1,6:30.0,,S. Ibaka misses 3-pt jump shot from 24 ft,9,12
36,1,6:28.0,Defensive rebound by H. Whiteside,,9,12
37,1,6:15.0,J. Winslow makes 3-pt jump shot from 22 ft (assist by G. Dragić),,12,12
38,1,6:04.0,,Toronto full timeout,12,12
39,1,6:04.0,W. Ellington enters the game for T. Johnson,,12,12
40,1,5:53.0,,Turnover by J. Valančiūnas (lost ball; steal by H. Whiteside),12,12
41,1,5:49.0,G. Dragić makes 2-pt layup from 2 ft,,14,12
42,1,5:37.0,,D. DeRozan misses 2-pt jump shot from 9 ft,14,12
43,1,5:35.0,Defensive rebound by J. Winslow,,14,12
44,1,5:30.0,J. Richardson misses 3-pt jump shot from 24 ft,,14,12
45,1,5:27.0,,Defensive rebound by O. Anunoby,14,12
46,1,5:22.0,,K. Lowry makes 2-pt layup from 2 ft,14,14
47,1,5:12.0,Personal foul by K. Lowry (drawn by W. Ellington),,14,14
48,1,5:12.0,J. Johnson enters the game for J. Richardson,,14,14
49,1,5:12.0,B. Adebayo enters the game for H. Whiteside,,14,14
50,1,5:01.0,G. Dragić makes 2-pt jump shot from 16 ft,,16,14
51,1,4:44.0,,Personal foul by J. Winslow (drawn by S. Ibaka),16,14
52,1,4:44.0,,J. Poeltl enters the game for O. Anunoby,16,14
53,1,4:44.0,,C. Miles enters the game for J. Valančiūnas,16,14
54,1,4:44.0,D. Wade enters the game for G. Dragić,,16,14
55,1,4:35.0,,C. Miles misses 3-pt jump shot from 22 ft,16,14
56,1,4:31.0,Defensive rebound by B. Adebayo,,16,14
57,1,4:12.0,J. Winslow misses 2-pt hook shot from 2 ft,,16,14
58,1,4:10.0,,Defensive rebound by S. Ibaka,16,14
59,1,4:04.0,,C. Miles misses 3-pt jump shot from 22 ft,16,14
60,1,4:00.0,Defensive rebound by D. Wade,,16,14
61,1,3:52.0,J. Johnson makes 2-pt layup from 2 ft (assist by J. Winslow),,18,14
62,1,3:52.0,Shooting foul by C. Miles (drawn by J. Johnson),,18,14
63,1,3:52.0,J. Johnson misses free throw 1 of 1,,18,14
64,1,3:50.0,,Defensive rebound by S. Ibaka,18,14
65,1,3:30.0,,D. DeRozan makes 2-pt jump shot from 21 ft (assist by K. Lowry),18,16
66,1,3:17.0,,P. Siakam enters the game for S. Ibaka,18,16
67,1,3:12.0,W. Ellington misses 3-pt jump shot from 25 ft,,18,16
68,1,3:08.0,,Defensive rebound by P. Siakam,18,16
69,1,3:01.0,,D. DeRozan makes 2-pt jump shot from 22 ft,18,18
70,1,2:36.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by D. Wade),,20,18
71,1,2:28.0,,K. Lowry makes 2-pt jump shot from 13 ft,20,20
72,1,2:28.0,,Shooting foul by J. Winslow (drawn by K. Lowry),20,20
73,1,2:28.0,Miami full timeout,,20,20
74,1,2:28.0,J. Richardson enters the game for J. Winslow,,20,20
75,1,2:28.0,,K. Lowry makes free throw 1 of 1,20,21
76,1,2:14.0,Offensive foul by D. Wade (drawn by K. Lowry),,20,21
77,1,2:14.0,Turnover by D. Wade (offensive foul),,20,21
78,1,2:14.0,,F. VanVleet enters the game for K. Lowry,20,21
79,1,1:55.0,,P. Siakam makes 2-pt jump shot from 2 ft,20,23
80,1,1:44.0,Turnover by J. Richardson (bad pass; steal by D. DeRozan),,20,23
81,1,1:35.0,,C. Miles misses 3-pt jump shot from 24 ft,20,23
82,1,1:32.0,Defensive rebound by W. Ellington,,20,23
83,1,1:15.0,D. Wade makes 2-pt dunk from 1 ft,,22,23
84,1,0:57.0,,C. Miles makes 2-pt layup from 2 ft (assist by F. VanVleet),22,25
85,1,0:41.0,J. Richardson misses 2-pt jump shot from 11 ft,,22,25
86,1,0:38.0,,Defensive rebound by P. Siakam,22,25
87,1,0:31.0,,C. Miles misses 3-pt jump shot from 23 ft,22,25
88,1,0:28.0,Defensive rebound by J. Johnson,,22,25
89,1,0:08.0,Shooting foul by J. Poeltl (drawn by D. Wade),,22,25
90,1,0:08.0,D. Wade makes free throw 1 of 2,,23,25
91,1,0:08.0,D. Wade makes free throw 2 of 2,,24,25
92,1,0:03.0,,C. Miles makes 3-pt jump shot from 26 ft (assist by D. DeRozan),24,28
93,2,11:39.0,W. Ellington makes 3-pt jump shot from 26 ft (assist by D. Wade),,27,28
94,2,11:17.0,,Shooting foul by J. Johnson (drawn by C. Miles),27,28
95,2,11:17.0,,C. Miles misses free throw 1 of 3,27,28
96,2,11:17.0,,Offensive rebound by Team,27,28
97,2,11:17.0,,C. Miles makes free throw 2 of 3,27,29
98,2,11:17.0,,C. Miles makes free throw 3 of 3,27,30
99,2,10:52.0,D. Wade misses 3-pt jump shot from 26 ft,,27,30
100,2,10:48.0,Offensive rebound by W. Ellington,,27,30
101,2,10:35.0,W. Ellington misses 3-pt jump shot from 25 ft,,27,30
102,2,10:33.0,,Defensive rebound by F. VanVleet,27,30
103,2,10:27.0,,F. VanVleet makes 2-pt layup from 2 ft,27,32
104,2,10:06.0,Turnover by J. Johnson (bad pass; steal by F. VanVleet),,27,32
105,2,10:03.0,,F. VanVleet misses 2-pt layup from 2 ft (block by J. Richardson),27,32
106,2,9:59.0,,Offensive rebound by D. Wright,27,32
107,2,9:52.0,,F. VanVleet makes 2-pt layup from 2 ft (assist by P. Siakam),27,34
108,2,9:44.0,Miami full timeout,,27,34
109,2,9:32.0,W. Ellington makes 3-pt jump shot from 23 ft (assist by D. Wade),,30,34
110,2,9:05.0,,C. Miles misses 3-pt jump shot from 22 ft,30,34
111,2,9:04.0,Defensive rebound by Team,,30,34
112,2,9:04.0,,Loose ball foul by J. Poeltl (drawn by J. Johnson),30,34
113,2,8:41.0,J. Richardson makes 3-pt jump shot from 24 ft,,33,34
114,2,8:30.0,,F. VanVleet misses 2-pt layup from 2 ft,33,34
115,2,8:28.0,Defensive rebound by D. Wade,,33,34
116,2,8:23.0,D. Wade makes 2-pt layup from 2 ft (assist by J. Richardson),,35,34
117,2,8:06.0,,P. Siakam misses 2-pt layup from 1 ft,35,34
118,2,8:04.0,Defensive rebound by J. Johnson,,35,34
119,2,7:57.0,D. Wade misses 2-pt layup from 2 ft,,35,34
120,2,7:57.0,,Defensive rebound by P. Siakam,35,34
121,2,7:40.0,,C. Miles makes 3-pt jump shot from 23 ft,35,37
122,2,7:14.0,W. Ellington makes 3-pt jump shot from 22 ft (assist by D. Wade),,38,37
123,2,7:07.0,,P. Siakam misses 2-pt layup from 1 ft,38,37
124,2,7:04.0,Defensive rebound by D. Wade,,38,37
125,2,6:51.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by D. Wade),,40,37
126,2,6:45.0,,Toronto full timeout,40,37
127,2,6:45.0,,N. Powell enters the game for C. Miles,40,37
128,2,6:45.0,,J. Valančiūnas enters the game for F. VanVleet,40,37
129,2,6:45.0,,S. Ibaka enters the game for J. Poeltl,40,37
130,2,6:45.0,,K. Lowry enters the game for P. Siakam,40,37
131,2,6:45.0,H. Whiteside enters the game for D. Wade,,40,37
132,2,6:45.0,G. Dragić enters the game for B. Adebayo,,40,37
133,2,6:40.0,,K. Lowry misses 2-pt jump shot from 21 ft,40,37
134,2,6:37.0,Defensive rebound by W. Ellington,,40,37
135,2,6:22.0,J. Johnson makes 2-pt jump shot from 15 ft,,42,37
136,2,5:55.0,,D. Wright misses 3-pt jump shot from 22 ft,42,37
137,2,5:52.0,Defensive rebound by J. Johnson,,42,37
138,2,5:43.0,Turnover by G. Dragić (bad pass; steal by D. Wright),,42,37
