,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,INDIANA_ACTION,WASHINGTON_SCORE,INDIANA_SCORE
0,1,11:48.0,O. Porter makes 2-pt layup from 2 ft,,2,0
1,1,11:24.0,,M. Turner misses 2-pt jump shot from 22 ft,2,0
2,1,11:21.0,Defensive rebound by M. Morris,,2,0
3,1,11:17.0,Turnover by B. Beal (bad pass),,2,0
4,1,11:05.0,,L. Stephenson misses 3-pt jump shot from 25 ft,2,0
5,1,11:04.0,,Offensive rebound by T. Young,2,0
6,1,11:01.0,,T. Young misses 2-pt layup at rim,2,0
7,1,10:59.0,Defensive rebound by M. Morris,,2,0
8,1,10:45.0,B. Beal misses 3-pt jump shot from 22 ft,,2,0
9,1,10:43.0,,Defensive rebound by L. Stephenson,2,0
10,1,10:38.0,,Turnover by L. Stephenson (bad pass),2,0
11,1,10:28.0,M. Morris makes 2-pt layup from 3 ft (assist by T. Satoranský),,4,0
12,1,10:08.0,,C. Joseph misses 2-pt jump shot from 10 ft,4,0
13,1,10:05.0,Defensive rebound by M. Gortat,,4,0
14,1,9:51.0,M. Gortat misses 2-pt layup from 2 ft (block by B. Bogdanović),,4,0
15,1,9:49.0,Offensive rebound by M. Gortat,,4,0
16,1,9:45.0,O. Porter misses 3-pt jump shot from 28 ft,,4,0
17,1,9:42.0,,Defensive rebound by M. Turner,4,0
18,1,9:25.0,,Shooting foul by O. Porter (drawn by M. Turner),4,0
19,1,9:25.0,,M. Turner makes free throw 1 of 2,4,1
20,1,9:25.0,,M. Turner makes free throw 2 of 2,4,2
21,1,9:15.0,Personal foul by C. Joseph (drawn by B. Beal),,4,2
22,1,9:09.0,M. Gortat makes 2-pt dunk from 1 ft (assist by O. Porter),,6,2
23,1,8:53.0,,Turnover by M. Turner (bad pass; steal by T. Satoranský),6,2
24,1,8:45.0,M. Morris makes 2-pt jump shot from 12 ft (assist by T. Satoranský),,8,2
25,1,8:30.0,,M. Turner misses 2-pt jump shot from 12 ft,8,2
26,1,8:30.0,,Offensive rebound by T. Young,8,2
27,1,8:27.0,,T. Young misses 2-pt layup from 1 ft,8,2
28,1,8:27.0,Defensive rebound by M. Gortat,,8,2
29,1,8:15.0,B. Beal makes 2-pt jump shot from 18 ft,,10,2
30,1,8:07.0,,Indiana full timeout,10,2
31,1,7:54.0,,M. Turner makes 2-pt jump shot from 13 ft,10,4
32,1,7:32.0,M. Gortat makes 2-pt jump shot from 9 ft,,12,4
33,1,7:06.0,,L. Stephenson misses 2-pt jump shot from 20 ft,12,4
34,1,7:03.0,Defensive rebound by M. Morris,,12,4
35,1,6:49.0,B. Beal misses 2-pt jump shot from 18 ft,,12,4
36,1,6:48.0,,Defensive rebound by C. Joseph,12,4
37,1,6:45.0,,Shooting block foul by B. Beal (drawn by C. Joseph),12,4
38,1,6:45.0,,C. Joseph makes free throw 1 of 2,12,5
39,1,6:45.0,,C. Joseph makes free throw 2 of 2,12,6
40,1,6:30.0,M. Gortat misses 2-pt jump shot from 12 ft,,12,6
