,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,DALLAS_ACTION,SACRAMENTO_SCORE,DALLAS_SCORE
0,1,11:40.0,J. Jackson misses 2-pt jump shot from 19 ft,,0,0
1,1,11:36.0,,Defensive rebound by D. Smith,0,0
2,1,11:20.0,,D. Smith misses 3-pt jump shot from 25 ft,0,0
3,1,11:17.0,Defensive rebound by W. Cauley-Stein,,0,0
4,1,11:10.0,D. Fox misses 2-pt jump shot from 15 ft,,0,0
5,1,11:08.0,Offensive rebound by Z. Randolph,,0,0
6,1,11:08.0,Turnover by Z. Randolph (out of bounds lost ball),,0,0
7,1,10:46.0,,J. Barea makes 3-pt jump shot from 25 ft (assist by H. Barnes),0,3
8,1,10:26.0,B. Bogdanović misses 2-pt jump shot from 19 ft,,0,3
9,1,10:23.0,,Defensive rebound by W. Matthews,0,3
10,1,10:19.0,,W. Matthews misses 3-pt jump shot from 25 ft,0,3
11,1,10:17.0,Defensive rebound by Z. Randolph,,0,3
12,1,10:00.0,Z. Randolph makes 2-pt jump shot from 17 ft,,2,3
13,1,9:44.0,,H. Barnes misses 3-pt jump shot from 25 ft,2,3
14,1,9:43.0,Defensive rebound by Team,,2,3
15,1,9:31.0,Turnover by Z. Randolph (bad pass; steal by D. Smith),,2,3
16,1,9:25.0,,H. Barnes makes 2-pt layup from 1 ft (assist by D. Smith),2,5
17,1,9:12.0,W. Cauley-Stein misses 2-pt jump shot from 1 ft,,2,5
18,1,9:12.0,,Defensive rebound by D. Nowitzki,2,5
19,1,9:02.0,,D. Nowitzki misses 2-pt jump shot from 20 ft,2,5
20,1,8:59.0,Defensive rebound by D. Fox,,2,5
21,1,8:52.0,W. Cauley-Stein misses 2-pt jump shot from 15 ft,,2,5
22,1,8:49.0,,Defensive rebound by J. Barea,2,5
23,1,8:45.0,,Turnover by J. Barea (bad pass),2,5
24,1,8:29.0,Z. Randolph makes 2-pt hook shot from 6 ft (assist by J. Jackson),,4,5
25,1,8:08.0,,J. Barea misses 3-pt jump shot from 26 ft,4,5
26,1,8:05.0,Defensive rebound by Z. Randolph,,4,5
27,1,8:01.0,B. Bogdanović makes 2-pt layup at rim (assist by D. Fox),,6,5
28,1,7:39.0,,W. Matthews misses 2-pt layup from 1 ft,6,5
29,1,7:37.0,Defensive rebound by J. Jackson,,6,5
30,1,7:28.0,Z. Randolph makes 2-pt hook shot from 3 ft,,8,5
31,1,7:13.0,,D. Nowitzki misses 3-pt jump shot from 25 ft,8,5
32,1,7:10.0,Defensive rebound by J. Jackson,,8,5
33,1,7:05.0,D. Fox makes 2-pt layup at rim (assist by Z. Randolph),,10,5
34,1,7:03.0,,Dallas full timeout,10,5
35,1,6:43.0,,D. Smith makes 3-pt jump shot from 22 ft (assist by W. Matthews),10,8
36,1,6:20.0,Z. Randolph misses 3-pt jump shot from 25 ft,,10,8
37,1,6:18.0,,Defensive rebound by J. Barea,10,8
38,1,6:09.0,,J. Barea misses 3-pt jump shot from 25 ft,10,8
39,1,6:06.0,Defensive rebound by D. Fox,,10,8
40,1,6:02.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,10,8
41,1,6:00.0,,Defensive rebound by H. Barnes,10,8
42,1,5:51.0,,H. Barnes misses 2-pt layup from 2 ft (block by W. Cauley-Stein),10,8
43,1,5:51.0,Defensive rebound by B. Bogdanović,,10,8
44,1,5:46.0,J. Jackson makes 2-pt layup at rim (assist by B. Bogdanović),,12,8
45,1,5:29.0,,D. Smith misses 3-pt jump shot from 24 ft,12,8
46,1,5:29.0,Defensive rebound by J. Jackson,,12,8
47,1,5:15.0,D. Fox misses 3-pt jump shot from 24 ft,,12,8
48,1,5:10.0,Offensive rebound by J. Jackson,,12,8
49,1,5:06.0,D. Fox makes 2-pt layup from 1 ft,,14,8
50,1,4:55.0,,J. Barea misses 2-pt jump shot from 6 ft,14,8
51,1,4:53.0,Defensive rebound by B. Bogdanović,,14,8
52,1,4:52.0,Personal foul by D. Smith (drawn by B. Bogdanović),,14,8
53,1,4:52.0,,D. Powell enters the game for J. Barea,14,8
54,1,4:52.0,,Y. Ferrell enters the game for D. Nowitzki,14,8
55,1,4:52.0,V. Carter enters the game for B. Bogdanović,,14,8
56,1,4:40.0,Z. Randolph makes 2-pt hook shot from 7 ft (assist by J. Jackson),,16,8
57,1,4:18.0,,W. Matthews misses 2-pt jump shot from 17 ft,16,8
58,1,4:15.0,Defensive rebound by D. Fox,,16,8
59,1,4:05.0,Z. Randolph makes 3-pt jump shot from 25 ft (assist by D. Fox),,19,8
60,1,3:49.0,,Personal foul by Z. Randolph (drawn by D. Powell),19,8
61,1,3:49.0,K. Koufos enters the game for Z. Randolph,,19,8
62,1,3:35.0,,W. Matthews makes 3-pt jump shot from 24 ft (assist by D. Powell),19,11
63,1,3:23.0,K. Koufos makes 2-pt dunk from 1 ft (assist by D. Fox),,21,11
64,1,3:14.0,,D. Smith misses 3-pt jump shot from 24 ft,21,11
65,1,3:12.0,Defensive rebound by J. Jackson,,21,11
66,1,3:03.0,J. Jackson misses 3-pt jump shot from 22 ft,,21,11
67,1,2:59.0,,Defensive rebound by D. Smith,21,11
68,1,2:54.0,,W. Matthews misses 3-pt jump shot from 23 ft,21,11
69,1,2:53.0,Defensive rebound by Team,,21,11
70,1,2:53.0,Sacramento full timeout,,21,11
71,1,2:53.0,,D. McDermott enters the game for W. Matthews,21,11
72,1,2:53.0,B. Hield enters the game for J. Jackson,,21,11
73,1,2:46.0,,Violation by D. Smith (kicked ball),21,11
74,1,2:36.0,W. Cauley-Stein makes 2-pt jump shot from 1 ft (assist by D. Fox),,23,11
75,1,2:24.0,,D. Smith makes 2-pt layup from 1 ft (assist by D. Powell),23,13
76,1,2:05.0,K. Koufos makes 2-pt hook shot from 8 ft (assist by V. Carter),,25,13
77,1,1:52.0,,Turnover by D. Powell (bad pass),25,13
78,1,1:52.0,G. Temple enters the game for D. Fox,,25,13
79,1,1:42.0,W. Cauley-Stein misses 2-pt layup from 1 ft,,25,13
80,1,1:40.0,,Defensive rebound by D. Powell,25,13
81,1,1:32.0,,D. Smith misses 2-pt hook shot from 3 ft,25,13
82,1,1:32.0,Defensive rebound by Team,,25,13
83,1,1:32.0,,Loose ball foul by D. Smith (drawn by K. Koufos),25,13
84,1,1:32.0,,J. Barea enters the game for D. Smith,25,13
85,1,1:32.0,,D. Nowitzki enters the game for H. Barnes,25,13
86,1,1:17.0,G. Temple misses 2-pt jump shot from 18 ft,,25,13
87,1,1:15.0,Offensive rebound by K. Koufos,,25,13
88,1,1:13.0,V. Carter misses 3-pt jump shot from 24 ft,,25,13
89,1,1:09.0,,Defensive rebound by D. Powell,25,13
90,1,0:50.0,B. Bogdanović enters the game for W. Cauley-Stein,,25,13
91,1,0:47.0,,J. Barea misses 3-pt jump shot from 29 ft,25,13
92,1,0:44.0,Defensive rebound by K. Koufos,,25,13
93,1,0:27.0,B. Hield makes 2-pt layup at rim (assist by V. Carter),,27,13
94,1,0:07.0,,D. Powell makes 3-pt jump shot from 26 ft (assist by J. Barea),27,16
95,1,0:03.0,Shooting foul by D. Nowitzki (drawn by G. Temple),,27,16
96,1,0:03.0,G. Temple makes free throw 1 of 2,,28,16
97,1,0:03.0,G. Temple makes free throw 2 of 2,,29,16
98,1,0:00.0,,Y. Ferrell misses 3-pt jump shot from 31 ft,29,16
99,1,0:00.0,,Offensive rebound by Team,29,16
100,2,11:47.0,,D. McDermott makes 2-pt layup from 1 ft (assist by J. Barea),29,18
101,2,11:21.0,B. Hield misses 3-pt jump shot from 22 ft,,29,18
102,2,11:17.0,,Defensive rebound by J. Barea,29,18
103,2,11:14.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,29,18
104,2,11:10.0,Defensive rebound by B. Hield,,29,18
105,2,11:02.0,B. Hield misses 3-pt jump shot from 24 ft,,29,18
106,2,11:02.0,,Defensive rebound by D. McDermott,29,18
107,2,10:55.0,,Shooting foul by V. Carter (drawn by D. McDermott),29,18
108,2,10:55.0,,D. McDermott misses free throw 1 of 3,29,18
109,2,10:55.0,,Offensive rebound by Team,29,18
110,2,10:55.0,,D. McDermott makes free throw 2 of 3,29,19
111,2,10:55.0,,D. McDermott makes free throw 3 of 3,29,20
112,2,10:42.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by V. Carter),,32,20
113,2,10:26.0,,D. McDermott misses 2-pt layup at rim (block by K. Koufos),32,20
114,2,10:22.0,Defensive rebound by K. Koufos,,32,20
115,2,10:19.0,V. Carter makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),,35,20
116,2,10:18.0,,Dallas full timeout,35,20
117,2,10:00.0,,D. Powell makes 2-pt dunk from 1 ft (assist by J. Barea),35,22
118,2,9:41.0,B. Bogdanović makes 2-pt layup from 3 ft (assist by V. Carter),,37,22
119,2,9:25.0,,Personal foul by B. Bogdanović (drawn by D. Nowitzki),37,22
120,2,9:12.0,,J. Barea misses 3-pt jump shot from 26 ft,37,22
121,2,9:09.0,Defensive rebound by V. Carter,,37,22
122,2,9:01.0,B. Bogdanović makes 2-pt jump shot from 3 ft,,39,22
123,2,8:53.0,,Turnover by J. Barea (bad pass; steal by V. Carter),39,22
124,2,8:50.0,V. Carter makes 2-pt dunk at rim,,41,22
125,2,8:30.0,,J. Barea makes 2-pt layup at rim (assist by D. Nowitzki),41,24
126,2,8:10.0,G. Temple misses 3-pt jump shot from 25 ft,,41,24
127,2,8:06.0,,Defensive rebound by J. Barea,41,24
128,2,7:59.0,,D. Nowitzki makes 2-pt jump shot from 12 ft (assist by J. Barea),41,26
129,2,7:47.0,Personal foul by K. Collinsworth (drawn by B. Bogdanović),,41,26
130,2,7:47.0,,W. Matthews enters the game for J. Barea,41,26
131,2,7:47.0,,D. Smith enters the game for D. Powell,41,26
132,2,7:47.0,,M. Kleber enters the game for D. McDermott,41,26
133,2,7:47.0,,H. Barnes enters the game for D. Nowitzki,41,26
134,2,7:47.0,,Y. Ferrell enters the game for K. Collinsworth,41,26
135,2,7:37.0,G. Temple makes 2-pt layup at rim (assist by V. Carter),,43,26
136,2,7:31.0,,Personal foul by G. Temple (drawn by D. Smith),43,26
137,2,7:24.0,,D. Smith makes 2-pt layup at rim,43,28
138,2,7:04.0,B. Bogdanović misses 2-pt jump shot from 5 ft,,43,28
139,2,7:02.0,Offensive rebound by K. Koufos,,43,28
140,2,7:00.0,G. Temple makes 3-pt jump shot from 25 ft (assist by K. Koufos),,46,28
141,2,6:51.0,,Personal foul by B. Bogdanović (drawn by W. Matthews),46,28
142,2,6:51.0,D. Fox enters the game for B. Bogdanović,,46,28
143,2,6:41.0,,Shooting foul by V. Carter (drawn by H. Barnes),46,28
144,2,6:41.0,,H. Barnes misses free throw 1 of 2,46,28
145,2,6:41.0,,Offensive rebound by Team,46,28
146,2,6:41.0,,H. Barnes makes free throw 2 of 2,46,29
147,2,6:35.0,Personal foul by M. Kleber (drawn by D. Fox),,46,29
148,2,6:35.0,Z. Randolph enters the game for K. Koufos,,46,29
149,2,6:32.0,Personal foul by M. Kleber (drawn by D. Fox),,46,29
150,2,6:27.0,D. Fox misses 3-pt jump shot from 24 ft,,46,29
151,2,6:22.0,,Defensive rebound by M. Kleber,46,29
152,2,6:16.0,,H. Barnes misses 2-pt jump shot from 5 ft,46,29
153,2,6:14.0,Defensive rebound by V. Carter,,46,29
154,2,6:00.0,Turnover by Z. Randolph (bad pass),,46,29
155,2,6:00.0,W. Cauley-Stein enters the game for V. Carter,,46,29
156,2,5:43.0,,D. Smith misses 3-pt jump shot from 27 ft,46,29
157,2,5:40.0,Defensive rebound by W. Cauley-Stein,,46,29
158,2,5:31.0,D. Fox makes 2-pt layup at rim (assist by W. Cauley-Stein),,48,29
159,2,5:31.0,,Dallas full timeout,48,29
160,2,5:31.0,,S. Mejri enters the game for M. Kleber,48,29
161,2,5:31.0,J. Jackson enters the game for B. Hield,,48,29
162,2,5:11.0,,W. Matthews misses 2-pt jump shot from 6 ft (block by W. Cauley-Stein),48,29
163,2,5:11.0,,Offensive rebound by Team,48,29
164,2,5:08.0,,Shooting foul by G. Temple (drawn by W. Matthews),48,29
165,2,5:08.0,,W. Matthews makes free throw 1 of 2,48,30
166,2,5:08.0,,W. Matthews makes free throw 2 of 2,48,31
167,2,4:50.0,Z. Randolph makes 2-pt hook shot from 8 ft,,50,31
168,2,4:36.0,,H. Barnes makes 2-pt jump shot from 7 ft,50,33
169,2,4:36.0,,Shooting foul by G. Temple (drawn by H. Barnes),50,33
170,2,4:36.0,B. Bogdanović enters the game for G. Temple,,50,33
171,2,4:36.0,,H. Barnes makes free throw 1 of 1,50,34
172,2,4:19.0,J. Jackson makes 2-pt jump shot from 12 ft (assist by D. Fox),,52,34
173,2,4:19.0,Shooting foul by Y. Ferrell (drawn by J. Jackson),,52,34
174,2,4:19.0,J. Jackson makes free throw 1 of 1,,53,34
175,2,4:01.0,,H. Barnes misses 2-pt jump shot from 20 ft,53,34
176,2,3:58.0,Defensive rebound by Z. Randolph,,53,34
177,2,3:55.0,Personal foul by S. Mejri (drawn by W. Cauley-Stein),,53,34
178,2,3:55.0,W. Cauley-Stein misses free throw 1 of 2,,53,34
179,2,3:55.0,Offensive rebound by Team,,53,34
180,2,3:55.0,W. Cauley-Stein makes free throw 2 of 2,,54,34
181,2,3:42.0,,Y. Ferrell misses 2-pt jump shot from 15 ft,54,34
182,2,3:39.0,Defensive rebound by D. Fox,,54,34
183,2,3:34.0,D. Fox misses 2-pt layup from 1 ft (block by S. Mejri),,54,34
184,2,3:31.0,,Defensive rebound by S. Mejri,54,34
185,2,3:20.0,,W. Matthews makes 2-pt jump shot at rim,54,36
186,2,2:58.0,Z. Randolph makes 2-pt hook shot from 6 ft,,56,36
187,2,2:49.0,,Shooting foul by W. Cauley-Stein (drawn by D. Smith),56,36
188,2,2:49.0,,D. Smith makes free throw 1 of 2,56,37
189,2,2:49.0,,K. Collinsworth enters the game for Y. Ferrell,56,37
190,2,2:49.0,,D. Smith makes free throw 2 of 2,56,38
191,2,2:34.0,J. Jackson makes 2-pt layup at rim (assist by D. Fox),,58,38
192,2,2:19.0,,W. Matthews misses 2-pt layup from 2 ft,58,38
193,2,2:16.0,,Offensive rebound by W. Matthews,58,38
194,2,2:10.0,,H. Barnes misses 3-pt jump shot from 25 ft,58,38
195,2,2:07.0,Defensive rebound by B. Bogdanović,,58,38
196,2,2:02.0,Z. Randolph makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),,61,38
197,2,1:57.0,,Dallas full timeout,61,38
198,2,1:43.0,,Shooting foul by W. Cauley-Stein (drawn by H. Barnes),61,38
199,2,1:43.0,,H. Barnes misses free throw 1 of 2,61,38
200,2,1:43.0,,Offensive rebound by Team,61,38
201,2,1:43.0,,H. Barnes makes free throw 2 of 2,61,39
202,2,1:28.0,D. Fox misses 2-pt layup from 3 ft (block by S. Mejri),,61,39
203,2,1:28.0,Offensive rebound by Team,,61,39
204,2,1:22.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,61,39
205,2,1:22.0,,Defensive rebound by H. Barnes,61,39
206,2,1:15.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Smith),61,42
207,2,0:52.0,W. Cauley-Stein makes 2-pt layup at rim,,63,42
208,2,0:33.0,,D. Smith makes 2-pt jump shot from 23 ft,63,44
209,2,0:15.0,B. Bogdanović misses 2-pt jump shot from 11 ft,,63,44
210,2,0:13.0,Offensive rebound by W. Cauley-Stein,,63,44
211,2,0:13.0,W. Cauley-Stein makes 2-pt layup at rim,,65,44
212,2,0:00.0,,D. Smith misses 3-pt jump shot from 25 ft,65,44
213,2,0:00.0,,Offensive rebound by Team,65,44
214,3,11:47.0,,Turnover by J. Barea (bad pass; steal by W. Cauley-Stein),65,44
215,3,11:27.0,B. Bogdanović misses 3-pt jump shot from 22 ft,,65,44
216,3,11:24.0,,Defensive rebound by H. Barnes,65,44
217,3,11:17.0,,H. Barnes misses 3-pt jump shot from 24 ft,65,44
218,3,11:14.0,Defensive rebound by Z. Randolph,,65,44
219,3,11:03.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by D. Fox),,68,44
220,3,10:52.0,,D. Nowitzki misses 2-pt jump shot from 18 ft,68,44
221,3,10:51.0,,Offensive rebound by Team,68,44
222,3,10:51.0,Loose ball foul by W. Cauley-Stein (drawn by H. Barnes),,68,44
223,3,10:45.0,,W. Matthews misses 3-pt jump shot from 25 ft,68,44
224,3,10:42.0,Defensive rebound by B. Bogdanović,,68,44
225,3,10:24.0,W. Cauley-Stein makes 2-pt layup from 4 ft,,70,44
226,3,10:02.0,,W. Matthews makes 3-pt jump shot from 23 ft (assist by H. Barnes),70,47
227,3,9:45.0,D. Fox misses 2-pt jump shot from 15 ft,,70,47
228,3,9:42.0,,Defensive rebound by D. Nowitzki,70,47
229,3,9:31.0,,D. Smith makes 3-pt jump shot from 26 ft (assist by J. Barea),70,50
230,3,9:13.0,B. Bogdanović misses 2-pt jump shot from 3 ft (block by D. Nowitzki),,70,50
231,3,9:12.0,Offensive rebound by Team,,70,50
232,3,9:10.0,Z. Randolph misses 2-pt jump shot from 19 ft,,70,50
233,3,9:07.0,,Defensive rebound by D. Nowitzki,70,50
234,3,9:02.0,,Shooting foul by W. Cauley-Stein (drawn by D. Smith),70,50
235,3,9:02.0,,D. Smith misses free throw 1 of 2,70,50
236,3,9:02.0,,Offensive rebound by Team,70,50
237,3,9:02.0,,D. Smith makes free throw 2 of 2,70,51
238,3,8:41.0,J. Jackson makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),,73,51
239,3,8:25.0,,D. Nowitzki misses 2-pt jump shot from 21 ft,73,51
240,3,8:22.0,Defensive rebound by W. Cauley-Stein,,73,51
241,3,8:12.0,Turnover by B. Bogdanović (bad pass; steal by H. Barnes),,73,51
242,3,8:04.0,,Personal foul by B. Bogdanović (drawn by H. Barnes),73,51
243,3,8:04.0,V. Carter enters the game for W. Cauley-Stein,,73,51
244,3,7:51.0,,H. Barnes makes 3-pt jump shot from 24 ft (assist by J. Barea),73,54
245,3,7:32.0,J. Jackson misses 3-pt jump shot from 24 ft,,73,54
246,3,7:27.0,,Defensive rebound by D. Smith,73,54
247,3,7:24.0,,D. Smith makes 2-pt layup at rim,73,56
248,3,7:23.0,Sacramento full timeout,,73,56
249,3,7:14.0,Personal foul by J. Barea (drawn by B. Bogdanović),,73,56
250,3,7:03.0,V. Carter misses 3-pt jump shot from 24 ft,,73,56
251,3,7:00.0,,Defensive rebound by W. Matthews,73,56
252,3,6:52.0,,H. Barnes makes 3-pt jump shot from 22 ft (assist by J. Barea),73,59
253,3,6:37.0,Turnover by J. Jackson (traveling),,73,59
254,3,6:26.0,,J. Barea makes 2-pt layup at rim (assist by D. Nowitzki),73,61
255,3,6:07.0,Z. Randolph makes 2-pt jump shot from 16 ft,,75,61
256,3,5:56.0,,W. Matthews misses 3-pt jump shot from 22 ft,75,61
257,3,5:53.0,Defensive rebound by Z. Randolph,,75,61
258,3,5:47.0,Turnover by D. Fox (bad pass; steal by J. Barea),,75,61
259,3,5:41.0,,J. Barea misses 2-pt jump shot from 11 ft,75,61
260,3,5:37.0,Defensive rebound by Z. Randolph,,75,61
261,3,5:19.0,Z. Randolph makes 2-pt layup from 3 ft,,77,61
262,3,5:06.0,,Turnover by D. Nowitzki (out of bounds lost ball),77,61
263,3,5:06.0,,D. Powell enters the game for D. Nowitzki,77,61
264,3,5:06.0,,Y. Ferrell enters the game for J. Barea,77,61
265,3,4:52.0,Z. Randolph misses 2-pt jump shot from 16 ft,,77,61
266,3,4:49.0,,Defensive rebound by H. Barnes,77,61
267,3,4:33.0,,H. Barnes makes 2-pt jump shot from 8 ft,77,63
268,3,4:23.0,B. Bogdanović makes 3-pt jump shot from 27 ft (assist by V. Carter),,80,63
269,3,4:04.0,,Turnover by D. Smith (bad pass; steal by D. Fox),80,63
270,3,4:04.0,Personal foul by D. Smith (drawn by D. Fox),,80,63
271,3,3:49.0,Z. Randolph misses 2-pt jump shot from 14 ft,,80,63
272,3,3:46.0,,Defensive rebound by W. Matthews,80,63
273,3,3:40.0,,D. Smith misses 3-pt jump shot from 24 ft,80,63
