,QUARTER,TIME_REMAINING,DENVER_ACTION,MINNESOTA_ACTION,DENVER_SCORE,MINNESOTA_SCORE
0,1,11:41.0,N. Jokić misses 3-pt jump shot from 25 ft,,0,0
1,1,11:37.0,,Defensive rebound by A. Wiggins,0,0
2,1,11:26.0,,K. Towns misses 2-pt hook shot from 5 ft,0,0
3,1,11:21.0,,Offensive rebound by K. Towns,0,0
4,1,11:21.0,,K. Towns makes 2-pt layup at rim,0,2
5,1,11:01.0,W. Barton misses 2-pt layup at rim,,0,2
6,1,10:59.0,,Defensive rebound by T. Gibson,0,2
7,1,10:53.0,,A. Wiggins misses 2-pt jump shot from 5 ft,0,2
8,1,10:53.0,Defensive rebound by W. Chandler,,0,2
9,1,10:42.0,N. Jokić makes 2-pt jump shot from 9 ft (assist by J. Murray),,2,2
10,1,10:23.0,,Personal block foul by P. Millsap (drawn by K. Towns),2,2
11,1,10:09.0,,K. Towns misses 2-pt jump shot from 17 ft,2,2
12,1,10:07.0,Defensive rebound by W. Chandler,,2,2
13,1,9:59.0,W. Barton makes 3-pt jump shot from 25 ft (assist by W. Chandler),,5,2
14,1,9:38.0,,K. Towns makes 2-pt jump shot from 19 ft (assist by J. Teague),5,4
15,1,9:27.0,N. Jokić misses 2-pt jump shot from 22 ft,,5,4
16,1,9:23.0,Offensive rebound by J. Murray,,5,4
17,1,9:20.0,W. Barton misses 3-pt jump shot from 26 ft,,5,4
18,1,9:17.0,,Defensive rebound by T. Gibson,5,4
19,1,9:12.0,,T. Gibson makes 2-pt jump shot from 13 ft (assist by J. Teague),5,6
20,1,8:58.0,J. Murray makes 2-pt layup from 1 ft,,7,6
21,1,8:38.0,,Turnover by J. Teague (lost ball; steal by N. Jokić),7,6
22,1,8:33.0,Shooting foul by K. Towns (drawn by W. Barton),,7,6
23,1,8:33.0,W. Barton misses free throw 1 of 2,,7,6
24,1,8:33.0,Offensive rebound by Team,,7,6
25,1,8:33.0,W. Barton makes free throw 2 of 2,,8,6
26,1,8:17.0,,A. Wiggins misses 3-pt jump shot from 25 ft,8,6
27,1,8:15.0,Defensive rebound by N. Jokić,,8,6
28,1,7:57.0,P. Millsap makes 3-pt jump shot from 23 ft (assist by W. Chandler),,11,6
29,1,7:41.0,,T. Gibson makes 2-pt layup from 2 ft (assist by J. Teague),11,8
30,1,7:26.0,W. Chandler misses 3-pt jump shot from 22 ft,,11,8
31,1,7:24.0,Offensive rebound by W. Barton,,11,8
32,1,7:24.0,W. Barton makes 2-pt layup at rim,,13,8
33,1,7:15.0,,J. Teague misses 3-pt jump shot from 24 ft,13,8
34,1,7:11.0,Defensive rebound by N. Jokić,,13,8
35,1,7:07.0,W. Barton misses 2-pt jump shot from 11 ft,,13,8
36,1,7:04.0,,Defensive rebound by A. Wiggins,13,8
37,1,6:52.0,,J. Butler makes 2-pt layup from 1 ft (assist by K. Towns),13,10
38,1,6:32.0,N. Jokić misses 2-pt layup at rim,,13,10
39,1,6:30.0,,Defensive rebound by T. Gibson,13,10
40,1,6:17.0,,A. Wiggins makes 3-pt jump shot from 22 ft (assist by J. Butler),13,13
41,1,6:03.0,W. Barton makes 3-pt jump shot from 23 ft (assist by N. Jokić),,16,13
42,1,5:43.0,,J. Butler misses 3-pt jump shot from 24 ft,16,13
43,1,5:40.0,,Offensive rebound by J. Butler,16,13
44,1,5:38.0,,J. Butler makes 2-pt layup from 1 ft,16,15
45,1,5:38.0,Denver full timeout,,16,15
46,1,5:38.0,,N. Bjelica enters the game for J. Butler,16,15
47,1,5:38.0,G. Harris enters the game for N. Jokić,,16,15
48,1,5:38.0,M. Plumlee enters the game for W. Chandler,,16,15
49,1,5:11.0,J. Murray misses 2-pt jump shot from 17 ft,,16,15
50,1,5:10.0,Offensive rebound by J. Murray,,16,15
51,1,5:09.0,W. Barton makes 2-pt layup from 1 ft (assist by J. Murray),,18,15
52,1,5:09.0,Shooting foul by N. Bjelica (drawn by W. Barton),,18,15
53,1,5:09.0,W. Barton misses free throw 1 of 1,,18,15
54,1,5:05.0,,Defensive rebound by K. Towns,18,15
55,1,4:50.0,,K. Towns makes 2-pt jump shot from 8 ft,18,17
56,1,4:47.0,Turnover by P. Millsap (bad pass),,18,17
57,1,4:33.0,,K. Towns makes 2-pt hook shot from 5 ft,18,19
58,1,4:09.0,Shooting foul by T. Gibson (drawn by M. Plumlee),,18,19
59,1,4:09.0,M. Plumlee misses free throw 1 of 2,,18,19
60,1,4:09.0,Offensive rebound by Team,,18,19
61,1,4:09.0,,G. Dieng enters the game for K. Towns,18,19
62,1,4:09.0,M. Plumlee makes free throw 2 of 2,,19,19
63,1,3:58.0,,J. Teague makes 2-pt jump shot from 7 ft,19,21
64,1,3:44.0,P. Millsap misses 2-pt layup from 4 ft,,19,21
65,1,3:42.0,,Defensive rebound by G. Dieng,19,21
66,1,3:33.0,N. Jokić enters the game for P. Millsap,,19,21
67,1,3:28.0,,Personal foul by W. Barton (drawn by A. Wiggins),19,21
68,1,3:28.0,W. Chandler enters the game for W. Barton,,19,21
69,1,3:18.0,,G. Dieng misses 2-pt jump shot from 10 ft (block by M. Plumlee),19,21
70,1,3:15.0,,Offensive rebound by G. Dieng,19,21
71,1,3:12.0,,N. Bjelica misses 2-pt jump shot from 9 ft,19,21
72,1,3:11.0,,Offensive rebound by N. Bjelica,19,21
73,1,3:00.0,,G. Dieng misses 3-pt jump shot from 22 ft,19,21
74,1,2:58.0,Defensive rebound by N. Jokić,,19,21
75,1,2:54.0,W. Chandler misses 2-pt layup from 3 ft,,19,21
76,1,2:50.0,,Defensive rebound by N. Bjelica,19,21
77,1,2:43.0,,J. Teague misses 2-pt jump shot from 4 ft,19,21
78,1,2:43.0,Defensive rebound by J. Murray,,19,21
79,1,2:37.0,G. Harris misses 3-pt jump shot from 26 ft,,19,21
80,1,2:33.0,,Defensive rebound by G. Dieng,19,21
81,1,2:19.0,,G. Dieng makes 3-pt jump shot from 23 ft (assist by J. Teague),19,24
82,1,2:03.0,J. Murray misses 2-pt jump shot from 18 ft,,19,24
83,1,2:00.0,Offensive rebound by J. Murray,,19,24
84,1,1:59.0,G. Harris makes 3-pt jump shot from 25 ft (assist by J. Murray),,22,24
85,1,1:37.0,,J. Teague misses 2-pt jump shot from 7 ft,22,24
86,1,1:35.0,Defensive rebound by G. Harris,,22,24
87,1,1:18.0,Turnover by W. Chandler (lost ball; steal by N. Bjelica),,22,24
88,1,1:03.0,,T. Gibson makes 2-pt layup from 1 ft,22,26
89,1,1:03.0,Denver full timeout,,22,26
90,1,1:03.0,,T. Jones enters the game for J. Teague,22,26
91,1,1:03.0,,J. Crawford enters the game for T. Gibson,22,26
92,1,1:03.0,D. Harris enters the game for J. Murray,,22,26
93,1,0:44.0,Turnover by G. Harris (out of bounds lost ball),,22,26
94,1,0:32.0,,Shooting foul by N. Jokić (drawn by A. Wiggins),22,26
95,1,0:32.0,,A. Wiggins makes free throw 1 of 2,22,27
96,1,0:32.0,,A. Wiggins makes free throw 2 of 2,22,28
97,1,0:21.0,G. Harris makes 2-pt jump shot from 5 ft,,24,28
98,1,0:08.0,,Personal foul by W. Chandler (drawn by A. Wiggins),24,28
99,1,0:08.0,,A. Wiggins makes free throw 1 of 2,24,29
100,1,0:08.0,,J. Teague enters the game for N. Bjelica,24,29
101,1,0:08.0,,J. Butler enters the game for T. Jones,24,29
102,1,0:08.0,,T. Gibson enters the game for J. Crawford,24,29
103,1,0:08.0,W. Barton enters the game for M. Plumlee,,24,29
104,1,0:08.0,,A. Wiggins misses free throw 2 of 2,24,29
105,1,0:07.0,Defensive rebound by W. Chandler,,24,29
106,1,0:00.0,N. Jokić makes 2-pt layup from 3 ft (assist by W. Barton),,26,29
107,2,11:38.0,,J. Crawford misses 2-pt jump shot from 18 ft,26,29
108,2,11:36.0,Defensive rebound by D. Harris,,26,29
109,2,11:21.0,G. Harris misses 2-pt jump shot from 20 ft,,26,29
110,2,11:19.0,,Defensive rebound by J. Crawford,26,29
111,2,11:07.0,Offensive charge foul by T. Jones (drawn by D. Harris),,26,29
112,2,11:07.0,,Turnover by T. Jones (offensive foul),26,29
113,2,10:54.0,N. Jokić makes 2-pt jump shot from 11 ft (assist by D. Harris),,28,29
114,2,10:32.0,,K. Towns makes 2-pt dunk from 1 ft (assist by T. Jones),28,31
115,2,10:16.0,G. Harris makes 2-pt layup at rim,,30,31
116,2,10:03.0,,T. Jones makes 3-pt jump shot from 24 ft (assist by J. Crawford),30,34
117,2,9:50.0,D. Harris makes 2-pt layup from 1 ft,,32,34
