,QUARTER,TIME_REMAINING,ATLANTA_ACTION,BROOKLYN_ACTION,ATLANTA_SCORE,BROOKLYN_SCORE
0,1,11:47.0,T. Prince misses 3-pt jump shot from 24 ft,,0,0
1,1,11:43.0,Offensive rebound by E. İlyasova,,0,0
2,1,11:22.0,Shooting foul by T. Booker (drawn by E. İlyasova),,0,0
3,1,11:22.0,E. İlyasova misses free throw 1 of 3,,0,0
4,1,11:22.0,Offensive rebound by Team,,0,0
5,1,11:22.0,E. İlyasova makes free throw 2 of 3,,1,0
6,1,11:22.0,E. İlyasova misses free throw 3 of 3,,1,0
7,1,11:20.0,,Defensive rebound by S. Dinwiddie,1,0
8,1,11:05.0,,Turnover by T. Booker (lost ball; steal by E. İlyasova),1,0
9,1,10:54.0,Turnover by M. Plumlee (out of bounds lost ball),,1,0
10,1,10:37.0,,T. Booker misses 2-pt layup from 2 ft (block by M. Plumlee),1,0
11,1,10:37.0,Defensive rebound by Team,,1,0
12,1,10:29.0,E. İlyasova misses 3-pt jump shot from 25 ft,,1,0
13,1,10:26.0,,Defensive rebound by A. Crabbe,1,0
14,1,10:23.0,Offensive charge foul by A. Crabbe (drawn by E. İlyasova),,1,0
15,1,10:23.0,,Turnover by A. Crabbe (offensive foul),1,0
16,1,10:05.0,D. Schröder misses 2-pt jump shot from 11 ft,,1,0
17,1,10:04.0,,Defensive rebound by Team,1,0
18,1,9:49.0,,A. Crabbe makes 2-pt jump shot from 13 ft (assist by D. Carroll),1,2
19,1,9:32.0,E. İlyasova misses 3-pt jump shot from 25 ft,,1,2
20,1,9:32.0,,Defensive rebound by D. Carroll,1,2
21,1,9:21.0,,D. Carroll misses 3-pt jump shot from 24 ft,1,2
22,1,9:21.0,Defensive rebound by E. İlyasova,,1,2
23,1,9:11.0,D. Schröder makes 2-pt jump shot from 10 ft,,3,2
24,1,8:46.0,,S. Dinwiddie makes 3-pt jump shot from 25 ft,3,5
25,1,8:32.0,D. Schröder misses 2-pt jump shot from 16 ft,,3,5
26,1,8:29.0,Offensive rebound by E. İlyasova,,3,5
27,1,8:29.0,E. İlyasova misses 2-pt layup from 1 ft (block by S. Dinwiddie),,3,5
28,1,8:29.0,Offensive rebound by E. İlyasova,,3,5
29,1,8:28.0,E. İlyasova misses 2-pt layup from 1 ft,,3,5
30,1,8:28.0,Offensive rebound by E. İlyasova,,3,5
31,1,8:28.0,Shooting foul by T. Zeller (drawn by E. İlyasova),,3,5
32,1,8:28.0,E. İlyasova makes free throw 1 of 2,,4,5
33,1,8:28.0,T. Cavanaugh enters the game for M. Plumlee,,4,5
34,1,8:28.0,E. İlyasova makes free throw 2 of 2,,5,5
35,1,8:17.0,,Personal foul by T. Cavanaugh (drawn by T. Booker),5,5
36,1,8:06.0,,D. Carroll misses 3-pt jump shot from 25 ft,5,5
37,1,8:02.0,Defensive rebound by T. Cavanaugh,,5,5
38,1,7:47.0,D. Schröder makes 2-pt jump shot from 17 ft,,7,5
39,1,7:30.0,,T. Booker misses 2-pt layup from 4 ft (block by T. Prince),7,5
40,1,7:27.0,,Offensive rebound by D. Carroll,7,5
41,1,7:24.0,,D. Carroll misses 2-pt hook shot from 8 ft,7,5
42,1,7:24.0,Defensive rebound by D. Schröder,,7,5
43,1,7:14.0,D. Schröder misses 2-pt jump shot from 9 ft (block by S. Dinwiddie),,7,5
44,1,7:14.0,,Defensive rebound by T. Zeller,7,5
45,1,7:07.0,,S. Dinwiddie makes 3-pt jump shot from 26 ft (assist by D. Carroll),7,8
46,1,6:40.0,E. İlyasova misses 3-pt jump shot from 22 ft,,7,8
47,1,6:37.0,,Defensive rebound by D. Carroll,7,8
48,1,6:34.0,,S. Dinwiddie misses 3-pt jump shot from 23 ft,7,8
49,1,6:29.0,Defensive rebound by T. Cavanaugh,,7,8
50,1,6:26.0,Atlanta full timeout,,7,8
51,1,6:26.0,,R. Hollis-Jefferson enters the game for T. Booker,7,8
52,1,6:26.0,M. Belinelli enters the game for E. İlyasova,,7,8
53,1,6:17.0,K. Bazemore makes 3-pt jump shot from 24 ft (assist by D. Schröder),,10,8
54,1,6:06.0,,R. Hollis-Jefferson makes 2-pt jump shot from 14 ft (assist by S. Dinwiddie),10,10
55,1,5:46.0,T. Prince misses 2-pt jump shot from 17 ft,,10,10
56,1,5:43.0,,Defensive rebound by A. Crabbe,10,10
57,1,5:39.0,,R. Hollis-Jefferson misses 2-pt jump shot from 13 ft,10,10
58,1,5:35.0,Defensive rebound by K. Bazemore,,10,10
59,1,5:21.0,D. Schröder misses 3-pt jump shot from 24 ft,,10,10
60,1,5:19.0,,Defensive rebound by D. Carroll,10,10
61,1,5:12.0,,S. Dinwiddie makes 3-pt jump shot from 24 ft (assist by R. Hollis-Jefferson),10,13
62,1,4:55.0,T. Prince misses 2-pt layup from 3 ft (block by T. Zeller),,10,13
63,1,4:55.0,Offensive rebound by Team,,10,13
64,1,4:55.0,,J. Harris enters the game for A. Crabbe,10,13
65,1,4:55.0,,J. Allen enters the game for T. Zeller,10,13
66,1,4:55.0,D. Bembry enters the game for T. Prince,,10,13
67,1,4:55.0,I. Taylor enters the game for D. Schröder,,10,13
68,1,4:55.0,L. Babbitt enters the game for K. Bazemore,,10,13
69,1,4:46.0,L. Babbitt makes 2-pt jump shot from 17 ft,,12,13
70,1,4:25.0,,D. Carroll misses 3-pt jump shot from 24 ft,12,13
71,1,4:22.0,,Offensive rebound by J. Allen,12,13
72,1,4:21.0,,J. Allen misses 2-pt hook shot from 3 ft,12,13
73,1,4:21.0,Defensive rebound by M. Belinelli,,12,13
74,1,4:10.0,M. Belinelli misses 3-pt jump shot from 24 ft,,12,13
75,1,4:06.0,,Defensive rebound by S. Dinwiddie,12,13
76,1,3:55.0,,Shooting foul by D. Bembry (drawn by R. Hollis-Jefferson),12,13
77,1,3:55.0,,R. Hollis-Jefferson makes free throw 1 of 2,12,14
78,1,3:55.0,,S. Kilpatrick enters the game for S. Dinwiddie,12,14
79,1,3:55.0,,C. LeVert enters the game for D. Carroll,12,14
80,1,3:55.0,,R. Hollis-Jefferson makes free throw 2 of 2,12,15
81,1,3:45.0,Shooting foul by S. Kilpatrick (drawn by L. Babbitt),,12,15
82,1,3:45.0,L. Babbitt misses free throw 1 of 2,,12,15
83,1,3:45.0,Offensive rebound by Team,,12,15
84,1,3:45.0,L. Babbitt makes free throw 2 of 2,,13,15
85,1,3:35.0,,C. LeVert makes 3-pt jump shot from 23 ft (assist by J. Harris),13,18
86,1,3:16.0,I. Taylor makes 2-pt jump shot from 7 ft,,15,18
87,1,3:05.0,,Shooting foul by L. Babbitt (drawn by R. Hollis-Jefferson),15,18
88,1,3:05.0,,R. Hollis-Jefferson misses free throw 1 of 2,15,18
89,1,3:05.0,,Offensive rebound by Team,15,18
90,1,3:05.0,,R. Hollis-Jefferson makes free throw 2 of 2,15,19
91,1,2:49.0,M. Belinelli misses 3-pt jump shot from 24 ft,,15,19
92,1,2:45.0,Offensive rebound by T. Cavanaugh,,15,19
93,1,2:37.0,I. Taylor makes 3-pt jump shot from 24 ft,,18,19
94,1,2:35.0,,Brooklyn full timeout,18,19
95,1,2:35.0,M. Plumlee enters the game for T. Cavanaugh,,18,19
96,1,2:25.0,,J. Harris makes 3-pt jump shot from 25 ft (assist by R. Hollis-Jefferson),18,22
97,1,2:11.0,D. Bembry misses 2-pt layup from 2 ft (block by J. Allen),,18,22
98,1,2:11.0,Offensive rebound by Team,,18,22
99,1,1:59.0,I. Taylor misses 3-pt jump shot from 23 ft,,18,22
100,1,1:55.0,,Defensive rebound by C. LeVert,18,22
101,1,1:50.0,,J. Harris misses 3-pt jump shot from 25 ft,18,22
102,1,1:50.0,Defensive rebound by M. Plumlee,,18,22
103,1,1:41.0,L. Babbitt makes 3-pt jump shot from 24 ft (assist by M. Belinelli),,21,22
104,1,1:20.0,,R. Hollis-Jefferson misses 3-pt jump shot from 24 ft,21,22
105,1,1:20.0,Defensive rebound by M. Plumlee,,21,22
106,1,1:09.0,M. Belinelli misses 2-pt jump shot from 20 ft,,21,22
107,1,1:06.0,,Defensive rebound by J. Harris,21,22
108,1,0:58.0,,S. Kilpatrick misses 3-pt jump shot from 24 ft,21,22
109,1,0:56.0,Defensive rebound by D. Bembry,,21,22
110,1,0:48.0,D. Bembry misses 2-pt jump shot from 6 ft,,21,22
111,1,0:46.0,,Defensive rebound by R. Hollis-Jefferson,21,22
112,1,0:41.0,,R. Hollis-Jefferson misses 2-pt jump shot from 8 ft,21,22
113,1,0:37.0,Defensive rebound by M. Belinelli,,21,22
114,1,0:27.0,M. Belinelli makes 2-pt jump shot from 8 ft (assist by I. Taylor),,23,22
115,1,0:08.0,,C. LeVert misses 3-pt jump shot from 25 ft,23,22
116,1,0:05.0,Defensive rebound by M. Plumlee,,23,22
117,1,0:00.0,I. Taylor makes 2-pt layup from 1 ft,,25,22
118,2,11:47.0,,T. Zeller misses 2-pt hook shot from 5 ft,25,22
119,2,11:44.0,Defensive rebound by D. Bembry,,25,22
120,2,11:34.0,Def 3 sec tech foul by T. Zeller,,25,22
121,2,11:34.0,M. Belinelli makes technical free throw,,26,22
122,2,11:24.0,M. Belinelli makes 2-pt jump shot from 18 ft,,28,22
123,2,11:10.0,,Turnover by C. LeVert (bad pass; steal by D. Bembry),28,22
124,2,11:08.0,D. Bembry makes 2-pt dunk from 1 ft,,30,22
125,2,10:58.0,,Q. Acy misses 3-pt jump shot from 22 ft,30,22
126,2,10:55.0,Defensive rebound by D. Bembry,,30,22
127,2,10:39.0,Turnover by M. Plumlee (bad pass),,30,22
128,2,10:39.0,T. Cavanaugh enters the game for M. Plumlee,,30,22
129,2,10:25.0,,Turnover by Q. Acy (bad pass; steal by M. Belinelli),30,22
130,2,10:16.0,M. Belinelli misses 2-pt jump shot from 19 ft,,30,22
131,2,10:13.0,,Defensive rebound by C. LeVert,30,22
132,2,9:58.0,,Turnover by J. Harris (bad pass; steal by D. Bembry),30,22
133,2,9:53.0,D. Bembry makes 2-pt layup at rim,,32,22
134,2,9:53.0,,Brooklyn full timeout,32,22
135,2,9:53.0,,A. Crabbe enters the game for S. Kilpatrick,32,22
136,2,9:44.0,,J. Harris misses 2-pt layup from 2 ft (block by K. Bazemore),32,22
137,2,9:42.0,Defensive rebound by D. Bembry,,32,22
