,QUARTER,TIME_REMAINING,ATLANTA_ACTION,DALLAS_ACTION,ATLANTA_SCORE,DALLAS_SCORE
0,1,11:44.0,D. Schröder makes 2-pt jump shot from 18 ft,,2,0
1,1,11:28.0,,D. Smith makes 2-pt dunk at rim (assist by W. Matthews),2,2
2,1,11:04.0,D. Schröder misses 2-pt layup from 6 ft,,2,2
3,1,11:02.0,Offensive rebound by E. İlyasova,,2,2
4,1,11:00.0,E. İlyasova misses 2-pt layup from 2 ft,,2,2
5,1,11:00.0,,Defensive rebound by D. Nowitzki,2,2
6,1,10:55.0,,D. Smith makes 2-pt jump shot from 11 ft,2,4
7,1,10:32.0,K. Bazemore misses 2-pt jump shot from 5 ft,,2,4
8,1,10:30.0,,Defensive rebound by H. Barnes,2,4
9,1,10:22.0,,D. Nowitzki makes 3-pt jump shot from 23 ft (assist by D. Smith),2,7
10,1,10:06.0,D. Dedmon misses 2-pt jump shot from 16 ft,,2,7
11,1,10:02.0,,Defensive rebound by H. Barnes,2,7
12,1,9:54.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,2,7
13,1,9:51.0,Defensive rebound by D. Schröder,,2,7
14,1,9:45.0,D. Schröder makes 2-pt jump shot from 13 ft,,4,7
15,1,9:24.0,,Personal foul by E. İlyasova (drawn by Y. Ferrell),4,7
16,1,9:16.0,,D. Nowitzki misses 2-pt jump shot from 20 ft,4,7
17,1,9:14.0,Defensive rebound by T. Prince,,4,7
18,1,8:59.0,T. Prince makes 2-pt layup from 5 ft,,6,7
19,1,8:43.0,,H. Barnes misses 3-pt jump shot from 24 ft,6,7
20,1,8:41.0,Defensive rebound by K. Bazemore,,6,7
21,1,8:33.0,D. Schröder misses 2-pt layup from 5 ft,,6,7
22,1,8:31.0,,Defensive rebound by H. Barnes,6,7
23,1,8:24.0,,H. Barnes misses 3-pt jump shot from 24 ft,6,7
24,1,8:21.0,Defensive rebound by D. Schröder,,6,7
25,1,8:13.0,T. Prince makes 2-pt jump shot from 21 ft (assist by D. Schröder),,8,7
26,1,8:01.0,,Turnover by D. Smith (palming),8,7
27,1,7:50.0,E. İlyasova makes 2-pt layup from 2 ft (assist by K. Bazemore),,10,7
28,1,7:29.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,10,7
29,1,7:26.0,Defensive rebound by E. İlyasova,,10,7
30,1,7:21.0,D. Schröder misses 3-pt jump shot from 25 ft,,10,7
31,1,7:18.0,,Defensive rebound by D. Nowitzki,10,7
32,1,7:04.0,,H. Barnes misses 3-pt jump shot from 24 ft,10,7
33,1,7:00.0,Defensive rebound by D. Dedmon,,10,7
34,1,6:45.0,D. Schröder misses 2-pt jump shot from 16 ft,,10,7
35,1,6:42.0,,Defensive rebound by H. Barnes,10,7
36,1,6:37.0,Violation by E. İlyasova (kicked ball),,10,7
37,1,6:37.0,,Dallas full timeout,10,7
38,1,6:37.0,,N. Noel enters the game for D. Nowitzki,10,7
39,1,6:37.0,,J. Barea enters the game for D. Smith,10,7
40,1,6:37.0,J. Collins enters the game for D. Dedmon,,10,7
41,1,6:21.0,,Turnover by H. Barnes (lost ball; steal by D. Schröder),10,7
42,1,6:19.0,J. Collins makes 2-pt layup from 3 ft (assist by T. Prince),,12,7
43,1,6:19.0,Shooting foul by N. Noel (drawn by J. Collins),,12,7
44,1,6:19.0,M. Belinelli enters the game for K. Bazemore,,12,7
45,1,6:19.0,J. Collins makes free throw 1 of 1,,13,7
46,1,5:59.0,,J. Barea misses 2-pt jump shot from 6 ft,13,7
47,1,5:57.0,Defensive rebound by E. İlyasova,,13,7
48,1,5:52.0,T. Prince misses 2-pt jump shot from 17 ft,,13,7
49,1,5:49.0,,Defensive rebound by N. Noel,13,7
50,1,5:33.0,,N. Noel makes 2-pt layup at rim (assist by J. Barea),13,9
51,1,5:16.0,D. Schröder makes 2-pt jump shot from 18 ft,,15,9
52,1,5:01.0,,N. Noel makes 2-pt layup at rim (assist by J. Barea),15,11
53,1,4:45.0,M. Belinelli makes 3-pt jump shot from 26 ft (assist by J. Collins),,18,11
54,1,4:30.0,,Y. Ferrell makes 3-pt jump shot from 24 ft (assist by J. Barea),18,14
55,1,4:20.0,Atlanta full timeout,,18,14
56,1,4:20.0,,D. Harris enters the game for Y. Ferrell,18,14
57,1,4:20.0,M. Muscala enters the game for E. İlyasova,,18,14
58,1,4:20.0,M. Delaney enters the game for T. Prince,,18,14
59,1,4:20.0,D. Bembry enters the game for D. Schröder,,18,14
60,1,4:13.0,M. Belinelli misses 2-pt jump shot from 19 ft,,18,14
61,1,4:11.0,,Defensive rebound by N. Noel,18,14
62,1,4:10.0,,Turnover by D. Harris (out of bounds lost ball),18,14
63,1,3:53.0,M. Belinelli misses 2-pt jump shot from 19 ft,,18,14
64,1,3:51.0,J. Collins makes 2-pt dunk at rim,,20,14
65,1,3:46.0,Offensive rebound by J. Collins,,20,14
66,1,3:35.0,,J. Barea makes 3-pt jump shot from 25 ft (assist by W. Matthews),20,17
67,1,3:30.0,Personal block foul by J. Barea (drawn by M. Delaney),,20,17
68,1,3:20.0,M. Belinelli makes 2-pt layup from 2 ft (assist by M. Muscala),,22,17
69,1,2:55.0,,J. Barea misses 3-pt jump shot from 22 ft,22,17
70,1,2:51.0,,Offensive rebound by N. Noel,22,17
71,1,2:38.0,,D. Harris makes 2-pt jump shot from 6 ft,22,19
72,1,2:20.0,M. Delaney misses 2-pt jump shot from 17 ft,,22,19
73,1,2:17.0,Offensive rebound by J. Collins,,22,19
74,1,2:08.0,M. Belinelli misses 2-pt jump shot from 12 ft,,22,19
75,1,2:05.0,,Defensive rebound by N. Noel,22,19
76,1,1:58.0,,J. Barea makes 3-pt jump shot from 24 ft (assist by W. Matthews),22,22
77,1,1:41.0,Turnover by D. Bembry (bad pass),,22,22
78,1,1:41.0,,D. Powell enters the game for N. Noel,22,22
79,1,1:41.0,,D. Nowitzki enters the game for W. Matthews,22,22
80,1,1:41.0,,D. Finney-Smith enters the game for H. Barnes,22,22
81,1,1:30.0,,Turnover by D. Powell (lost ball; steal by J. Collins),22,22
82,1,1:25.0,M. Delaney makes 2-pt jump shot from 17 ft,,24,22
83,1,1:13.0,,Personal foul by M. Muscala (drawn by J. Barea),24,22
84,1,1:01.0,,D. Harris misses 3-pt jump shot from 22 ft,24,22
85,1,0:58.0,Defensive rebound by M. Muscala,,24,22
86,1,0:41.0,Shooting foul by D. Nowitzki (drawn by J. Collins),,24,22
87,1,0:41.0,J. Collins makes free throw 1 of 2,,25,22
88,1,0:41.0,J. Collins misses free throw 2 of 2,,25,22
89,1,0:39.0,,Defensive rebound by D. Nowitzki,25,22
90,1,0:33.0,,D. Harris makes 2-pt layup from 1 ft,25,24
91,1,0:27.0,Turnover by M. Delaney (palming),,25,24
92,1,0:13.0,,D. Harris misses 2-pt jump shot from 5 ft,25,24
93,1,0:11.0,Defensive rebound by M. Muscala,,25,24
94,1,0:01.0,M. Belinelli misses 2-pt jump shot from 11 ft,,25,24
95,1,0:01.0,Offensive rebound by J. Collins,,25,24
96,1,0:00.0,J. Collins makes 2-pt dunk at rim,,27,24
97,1,0:00.0,,D. Harris misses 3-pt jump shot from 76 ft,27,24
98,1,0:00.0,Defensive rebound by Team,,27,24
99,2,11:51.0,,D. Nowitzki misses 2-pt jump shot from 16 ft,27,24
100,2,11:48.0,Defensive rebound by K. Bazemore,,27,24
101,2,11:43.0,D. Schröder misses 2-pt layup from 3 ft,,27,24
102,2,11:42.0,,Defensive rebound by D. Nowitzki,27,24
103,2,11:35.0,,Def 3 sec tech foul by M. Muscala,27,24
104,2,11:35.0,,D. Nowitzki misses technical free throw,27,24
105,2,11:35.0,,Offensive rebound by Team,27,24
106,2,11:27.0,,D. Finney-Smith misses 3-pt jump shot from 23 ft,27,24
107,2,11:23.0,Defensive rebound by M. Delaney,,27,24
108,2,11:18.0,D. Schröder makes 2-pt layup at rim,,29,24
109,2,11:11.0,,D. Harris makes 2-pt layup from 2 ft (assist by J. Barea),29,26
110,2,11:11.0,,Shooting foul by M. Delaney (drawn by D. Harris),29,26
111,2,11:11.0,,D. Smith enters the game for J. Barea,29,26
112,2,11:11.0,D. Dedmon enters the game for J. Collins,,29,26
113,2,11:11.0,,D. Harris makes free throw 1 of 1,29,27
114,2,10:51.0,Turnover by D. Schröder (bad pass),,29,27
115,2,10:43.0,,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by D. Smith),29,30
116,2,10:19.0,M. Delaney makes 3-pt jump shot from 27 ft (assist by D. Schröder),,32,30
117,2,10:10.0,T. Prince enters the game for M. Delaney,,32,30
118,2,10:10.0,E. İlyasova enters the game for M. Muscala,,32,30
119,2,10:03.0,,D. Finney-Smith misses 3-pt jump shot from 23 ft,32,30
120,2,9:59.0,,Offensive rebound by D. Smith,32,30
121,2,9:57.0,,D. Harris misses 3-pt jump shot from 24 ft,32,30
122,2,9:57.0,Defensive rebound by T. Prince,,32,30
123,2,9:50.0,D. Schröder misses 2-pt jump shot from 14 ft,,32,30
124,2,9:47.0,Offensive rebound by K. Bazemore,,32,30
125,2,9:46.0,K. Bazemore misses 2-pt layup from 1 ft,,32,30
126,2,9:46.0,,Defensive rebound by D. Finney-Smith,32,30
127,2,9:34.0,,D. Smith misses 2-pt jump shot from 7 ft (block by D. Dedmon),32,30
128,2,9:32.0,Defensive rebound by D. Dedmon,,32,30
129,2,9:32.0,Personal take foul by D. Harris (drawn by D. Schröder),,32,30
130,2,9:19.0,D. Schröder makes 3-pt jump shot from 25 ft,,35,30
131,2,8:57.0,,D. Finney-Smith makes 2-pt dunk from 1 ft (assist by D. Smith),35,32
132,2,8:43.0,T. Prince misses 2-pt jump shot from 13 ft,,35,32
133,2,8:42.0,,Defensive rebound by Team,35,32
134,2,8:42.0,,N. Noel enters the game for D. Nowitzki,35,32
135,2,8:25.0,,Personal foul by T. Prince (drawn by N. Noel),35,32
136,2,8:25.0,,H. Barnes enters the game for D. Powell,35,32
137,2,8:21.0,Offensive charge foul by D. Finney-Smith (drawn by E. İlyasova),,35,32
138,2,8:21.0,,Turnover by D. Finney-Smith (offensive foul),35,32
139,2,8:03.0,D. Schröder misses 2-pt layup from 3 ft (block by N. Noel),,35,32
140,2,7:59.0,,Defensive rebound by N. Noel,35,32
141,2,7:57.0,,D. Smith misses 2-pt jump shot from 4 ft (block by D. Dedmon),35,32
142,2,7:53.0,Defensive rebound by T. Prince,,35,32
143,2,7:53.0,Personal foul by N. Noel (drawn by T. Prince),,35,32
144,2,7:46.0,D. Schröder misses 2-pt jump shot from 16 ft,,35,32
145,2,7:43.0,,Defensive rebound by N. Noel,35,32
146,2,7:29.0,,Personal block foul by D. Dedmon (drawn by H. Barnes),35,32
147,2,7:29.0,,H. Barnes makes free throw 1 of 2,35,33
