,QUARTER,TIME_REMAINING,HOUSTON_ACTION,MINNESOTA_ACTION,HOUSTON_SCORE,MINNESOTA_SCORE
0,1,11:36.0,J. Harden misses 2-pt layup from 2 ft,,0,0
1,1,11:33.0,Offensive rebound by C. Capela,,0,0
2,1,11:33.0,C. Capela misses 2-pt layup at rim,,0,0
3,1,11:32.0,,Defensive rebound by T. Gibson,0,0
4,1,11:14.0,,K. Towns makes 2-pt hook shot from 9 ft (assist by J. Butler),0,2
5,1,11:01.0,L. Mbah a Moute misses 2-pt layup from 2 ft (block by A. Wiggins),,0,2
6,1,11:01.0,,Defensive rebound by K. Towns,0,2
7,1,10:48.0,,J. Butler makes 2-pt jump shot from 11 ft (assist by K. Towns),0,4
8,1,10:34.0,Turnover by J. Harden (bad pass; steal by K. Towns),,0,4
9,1,10:30.0,,J. Teague makes 3-pt jump shot from 25 ft (assist by J. Butler),0,7
10,1,10:11.0,L. Mbah a Moute misses 3-pt jump shot from 25 ft,,0,7
11,1,10:10.0,,Defensive rebound by K. Towns,0,7
12,1,9:49.0,,A. Wiggins misses 3-pt jump shot from 24 ft,0,7
13,1,9:47.0,Defensive rebound by J. Harden,,0,7
14,1,9:44.0,,Offensive charge foul by L. Mbah a Moute (drawn by J. Teague),0,7
15,1,9:44.0,Turnover by L. Mbah a Moute (offensive foul),,0,7
16,1,9:31.0,,Turnover by K. Towns (traveling),0,7
17,1,9:20.0,P. Tucker makes 3-pt jump shot from 26 ft (assist by C. Paul),,3,7
18,1,8:57.0,,Minnesota full timeout,3,7
19,1,8:54.0,,J. Teague misses 3-pt jump shot from 25 ft (block by J. Harden),3,7
20,1,8:53.0,,Offensive rebound by Team,3,7
21,1,8:53.0,,Turnover by Team (shot clock),3,7
22,1,8:35.0,C. Paul makes 2-pt jump shot from 15 ft,,5,7
23,1,8:18.0,,T. Gibson misses 2-pt layup at rim,5,7
24,1,8:16.0,Defensive rebound by J. Harden,,5,7
25,1,8:03.0,J. Harden misses 2-pt layup at rim,,5,7
26,1,8:01.0,,Defensive rebound by J. Butler,5,7
27,1,7:46.0,,J. Butler makes 2-pt jump shot from 12 ft (assist by J. Teague),5,9
28,1,7:24.0,C. Paul makes 2-pt jump shot from 19 ft,,7,9
29,1,7:05.0,,K. Towns makes 2-pt jump shot from 1 ft,7,11
30,1,6:48.0,C. Paul misses 2-pt jump shot from 19 ft,,7,11
31,1,6:42.0,,Defensive rebound by J. Teague,7,11
