,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,ORLANDO_ACTION,MILWAUKEE_SCORE,ORLANDO_SCORE
0,1,11:41.0,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by T. Maker),,2,0
1,1,11:19.0,Violation by T. Maker (kicked ball),,2,0
2,1,11:04.0,,J. Simmons misses 2-pt jump shot from 17 ft,2,0
3,1,11:01.0,,Offensive rebound by D. Augustin,2,0
4,1,10:48.0,,M. Hezonja makes 3-pt jump shot from 26 ft (assist by J. Simmons),2,3
5,1,10:28.0,G. Antetokounmpo misses 2-pt jump shot from 21 ft,,2,3
6,1,10:25.0,,Defensive rebound by M. Hezonja,2,3
7,1,10:20.0,,B. Biyombo misses 2-pt layup from 1 ft (block by T. Maker),2,3
8,1,10:16.0,Defensive rebound by K. Middleton,,2,3
9,1,10:08.0,Turnover by K. Middleton (bad pass; steal by J. Simmons),,2,3
10,1,10:07.0,,Shooting foul by E. Bledsoe (drawn by M. Hezonja),2,3
11,1,10:07.0,,M. Hezonja makes free throw 1 of 2,2,4
12,1,10:07.0,,M. Hezonja makes free throw 2 of 2,2,5
13,1,9:52.0,T. Maker makes 2-pt jump shot from 20 ft (assist by E. Bledsoe),,4,5
14,1,9:34.0,,E. Fournier misses 3-pt jump shot from 23 ft,4,5
15,1,9:31.0,Defensive rebound by T. Maker,,4,5
16,1,9:15.0,K. Middleton makes 2-pt jump shot from 15 ft,,6,5
17,1,8:52.0,,J. Simmons misses 3-pt jump shot from 25 ft (block by G. Antetokounmpo),6,5
18,1,8:48.0,Defensive rebound by K. Middleton,,6,5
19,1,8:46.0,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),,8,5
20,1,8:29.0,,M. Hezonja makes 2-pt layup from 2 ft (assist by E. Fournier),8,7
21,1,8:15.0,Turnover by K. Middleton (bad pass),,8,7
22,1,8:00.0,,E. Fournier makes 2-pt layup from 2 ft (assist by B. Biyombo),8,9
23,1,7:39.0,Turnover by G. Antetokounmpo (traveling),,8,9
24,1,7:28.0,,J. Simmons misses 3-pt jump shot from 26 ft,8,9
25,1,7:24.0,Defensive rebound by T. Snell,,8,9
26,1,7:13.0,T. Maker makes 2-pt dunk from 2 ft (assist by T. Snell),,10,9
27,1,6:55.0,,M. Hezonja makes 2-pt layup from 1 ft (assist by D. Augustin),10,11
28,1,6:38.0,,Orlando full timeout,10,11
29,1,6:34.0,K. Middleton makes 2-pt jump shot from 15 ft,,12,11
30,1,6:10.0,,E. Fournier makes 3-pt jump shot from 27 ft (assist by D. Augustin),12,14
31,1,5:49.0,T. Snell misses 3-pt jump shot from 25 ft,,12,14
32,1,5:45.0,,Defensive rebound by D. Augustin,12,14
33,1,5:39.0,,M. Hezonja misses 3-pt jump shot from 26 ft,12,14
34,1,5:36.0,,Offensive rebound by B. Biyombo,12,14
35,1,5:24.0,,Turnover by E. Fournier (bad pass; steal by G. Antetokounmpo),12,14
36,1,5:22.0,Personal foul by J. Simmons (drawn by G. Antetokounmpo),,12,14
37,1,5:22.0,S. Kilpatrick enters the game for T. Snell,,12,14
38,1,5:12.0,T. Maker misses 2-pt jump shot from 18 ft,,12,14
39,1,5:09.0,,Defensive rebound by M. Hezonja,12,14
40,1,4:58.0,,Turnover by M. Hezonja (bad pass),12,14
41,1,4:58.0,S. Brown enters the game for G. Antetokounmpo,,12,14
42,1,4:52.0,Shooting foul by J. Simmons (drawn by T. Maker),,12,14
43,1,4:52.0,T. Maker makes free throw 1 of 2,,13,14
44,1,4:52.0,,W. Iwundu enters the game for J. Simmons,13,14
45,1,4:52.0,T. Maker makes free throw 2 of 2,,14,14
46,1,4:41.0,,Turnover by D. Augustin (bad pass),14,14
47,1,4:24.0,K. Middleton makes 2-pt jump shot from 15 ft,,16,14
48,1,4:12.0,,Shooting foul by T. Maker (drawn by D. Augustin),16,14
49,1,4:12.0,,D. Augustin makes free throw 1 of 2,16,15
50,1,4:12.0,,S. Mack enters the game for M. Hezonja,16,15
51,1,4:12.0,,M. Speights enters the game for B. Biyombo,16,15
52,1,4:12.0,T. Zeller enters the game for T. Maker,,16,15
53,1,4:12.0,,D. Augustin makes free throw 2 of 2,16,16
54,1,3:58.0,S. Kilpatrick makes 2-pt jump shot from 9 ft,,18,16
55,1,3:42.0,,E. Fournier misses 2-pt layup from 3 ft,18,16
56,1,3:39.0,Defensive rebound by T. Zeller,,18,16
57,1,3:36.0,S. Kilpatrick makes 2-pt layup from 2 ft (assist by K. Middleton),,20,16
58,1,3:20.0,,W. Iwundu makes 2-pt jump shot from 19 ft (assist by D. Augustin),20,18
59,1,2:59.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,20,18
60,1,2:56.0,Offensive rebound by T. Zeller,,20,18
61,1,2:52.0,S. Brown misses 2-pt jump shot from 14 ft,,20,18
62,1,2:48.0,Offensive rebound by T. Zeller,,20,18
63,1,2:41.0,S. Kilpatrick misses 3-pt jump shot from 26 ft,,20,18
64,1,2:39.0,,Defensive rebound by D. Augustin,20,18
65,1,2:37.0,,S. Mack makes 2-pt layup from 1 ft (assist by D. Augustin),20,20
66,1,2:37.0,Violation by S. Kilpatrick (def goaltending),,20,20
67,1,2:37.0,Milwaukee full timeout,,20,20
68,1,2:37.0,,A. Afflalo enters the game for D. Augustin,20,20
69,1,2:26.0,K. Middleton makes 2-pt jump shot from 17 ft,,22,20
70,1,1:58.0,,E. Fournier makes 3-pt jump shot from 25 ft (assist by S. Mack),22,23
71,1,1:36.0,E. Bledsoe misses 2-pt jump shot from 23 ft,,22,23
72,1,1:33.0,,Defensive rebound by E. Fournier,22,23
73,1,1:29.0,,S. Mack makes 3-pt jump shot from 26 ft (assist by A. Afflalo),22,26
74,1,1:14.0,K. Middleton misses 3-pt jump shot from 25 ft,,22,26
75,1,1:11.0,,Defensive rebound by A. Afflalo,22,26
76,1,1:06.0,,M. Speights makes 3-pt jump shot from 26 ft (assist by S. Mack),22,29
77,1,0:50.0,Personal foul by S. Mack (drawn by E. Bledsoe),,22,29
78,1,0:50.0,G. Antetokounmpo enters the game for E. Bledsoe,,22,29
79,1,0:50.0,J. Terry enters the game for K. Middleton,,22,29
80,1,0:30.0,G. Antetokounmpo misses 2-pt jump shot from 18 ft,,22,29
81,1,0:27.0,,Defensive rebound by A. Afflalo,22,29
82,1,0:25.0,,M. Speights misses 3-pt jump shot from 27 ft,22,29
83,1,0:25.0,Defensive rebound by T. Zeller,,22,29
84,1,0:03.0,G. Antetokounmpo makes 2-pt jump shot from 11 ft,,24,29
85,1,0:00.0,,A. Afflalo misses 2-pt jump shot from 19 ft,24,29
86,1,0:00.0,,Offensive rebound by Team,24,29
87,2,11:39.0,,K. Birch misses 2-pt hook shot from 8 ft,24,29
88,2,11:37.0,Defensive rebound by T. Zeller,,24,29
89,2,11:28.0,T. Zeller makes 2-pt hook shot from 10 ft (assist by G. Antetokounmpo),,26,29
90,2,11:01.0,,A. Afflalo misses 3-pt jump shot from 25 ft,26,29
91,2,10:59.0,,Offensive rebound by M. Speights,26,29
92,2,10:59.0,,M. Speights misses 2-pt layup from 1 ft,26,29
93,2,10:59.0,,Offensive rebound by K. Birch,26,29
94,2,10:59.0,,Shooting foul by T. Zeller (drawn by K. Birch),26,29
95,2,10:59.0,,K. Birch misses free throw 1 of 2,26,29
96,2,10:59.0,,Offensive rebound by Team,26,29
97,2,10:59.0,,K. Birch misses free throw 2 of 2,26,29
98,2,10:59.0,Defensive rebound by S. Brown,,26,29
99,2,10:46.0,S. Brown misses 2-pt layup from 2 ft,,26,29
100,2,10:46.0,Offensive rebound by T. Zeller,,26,29
101,2,10:38.0,T. Zeller misses 2-pt layup at rim,,26,29
102,2,10:38.0,,Defensive rebound by M. Speights,26,29
103,2,10:33.0,,S. Mack makes 2-pt layup from 1 ft,26,31
104,2,10:27.0,J. Terry misses 3-pt jump shot from 25 ft,,26,31
105,2,10:23.0,,Defensive rebound by A. Afflalo,26,31
106,2,10:15.0,,W. Iwundu misses 2-pt jump shot from 18 ft,26,31
107,2,10:12.0,Defensive rebound by S. Kilpatrick,,26,31
108,2,10:10.0,Turnover by S. Brown (traveling),,26,31
109,2,9:50.0,,Turnover by M. Speights (lost ball; steal by S. Brown),26,31
110,2,9:39.0,Shooting foul by M. Speights (drawn by S. Kilpatrick),,26,31
111,2,9:39.0,S. Kilpatrick makes free throw 1 of 2,,27,31
112,2,9:39.0,S. Kilpatrick makes free throw 2 of 2,,28,31
113,2,9:23.0,,Turnover by M. Speights (bad pass; steal by S. Kilpatrick),28,31
114,2,9:20.0,Shooting foul by A. Afflalo (drawn by G. Antetokounmpo),,28,31
115,2,9:20.0,G. Antetokounmpo makes free throw 1 of 2,,29,31
116,2,9:20.0,G. Antetokounmpo misses free throw 2 of 2,,29,31
117,2,9:17.0,,Defensive rebound by K. Birch,29,31
118,2,9:07.0,,Turnover by S. Mack (bad pass),29,31
119,2,9:07.0,T. Snell enters the game for S. Brown,,29,31
120,2,8:54.0,Shooting foul by M. Speights (drawn by G. Antetokounmpo),,29,31
121,2,8:54.0,G. Antetokounmpo makes free throw 1 of 2,,30,31
122,2,8:54.0,,M. Hezonja enters the game for M. Speights,30,31
123,2,8:54.0,G. Antetokounmpo misses free throw 2 of 2,,30,31
124,2,8:51.0,,Defensive rebound by S. Mack,30,31
125,2,8:32.0,,S. Mack makes 2-pt layup from 2 ft,30,33
126,2,8:23.0,J. Terry misses 2-pt jump shot from 20 ft,,30,33
127,2,8:21.0,,Defensive rebound by K. Birch,30,33
128,2,8:11.0,,A. Afflalo makes 3-pt jump shot from 26 ft (assist by S. Mack),30,36
129,2,8:10.0,Milwaukee full timeout,,30,36
130,2,8:10.0,E. Bledsoe enters the game for J. Terry,,30,36
131,2,7:58.0,S. Kilpatrick makes 3-pt jump shot from 25 ft (assist by E. Bledsoe),,33,36
132,2,7:41.0,,Turnover by S. Mack (bad pass; steal by S. Kilpatrick),33,36
133,2,7:25.0,S. Kilpatrick misses 3-pt jump shot from 26 ft,,33,36
134,2,7:21.0,,Defensive rebound by K. Birch,33,36
135,2,7:15.0,,S. Mack makes 3-pt jump shot from 25 ft,33,39
136,2,6:56.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,35,39
137,2,6:46.0,,K. Birch misses 2-pt layup from 2 ft,35,39
138,2,6:43.0,Defensive rebound by T. Zeller,,35,39
139,2,6:41.0,Turnover by E. Bledsoe (bad pass; steal by S. Mack),,35,39
140,2,6:41.0,,Personal foul by E. Bledsoe (drawn by S. Mack),35,39
141,2,6:41.0,K. Middleton enters the game for G. Antetokounmpo,,35,39
