,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,TORONTO_ACTION,GOLDEN STATE_SCORE,TORONTO_SCORE
0,1,11:43.0,,S. Ibaka makes 3-pt jump shot from 26 ft (assist by O. Anunoby),0,3
1,1,11:27.0,K. Durant makes 2-pt dunk at rim (assist by D. Green),,2,3
2,1,11:09.0,,D. Wright makes 2-pt hook shot from 2 ft,2,5
3,1,10:44.0,K. Thompson makes 2-pt jump shot from 13 ft,,4,5
4,1,10:35.0,,D. DeRozan makes 2-pt layup from 1 ft,4,7
5,1,10:19.0,D. Green makes 3-pt jump shot from 25 ft (assist by Z. Pachulia),,7,7
6,1,9:58.0,,J. Valančiūnas makes 2-pt layup from 2 ft (assist by D. DeRozan),7,9
7,1,9:46.0,S. Curry misses 3-pt jump shot from 25 ft,,7,9
8,1,9:44.0,,Defensive rebound by S. Ibaka,7,9
9,1,9:33.0,,S. Ibaka misses 2-pt jump shot from 15 ft,7,9
10,1,9:31.0,Defensive rebound by D. Green,,7,9
11,1,9:20.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by Z. Pachulia),,10,9
12,1,9:03.0,,Personal foul by Z. Pachulia (drawn by J. Valančiūnas),10,9
13,1,8:57.0,,Shooting foul by S. Curry (drawn by D. DeRozan),10,9
14,1,8:57.0,,D. DeRozan makes free throw 1 of 2,10,10
15,1,8:57.0,,D. DeRozan makes free throw 2 of 2,10,11
16,1,8:44.0,Z. Pachulia makes 2-pt layup from 8 ft (assist by S. Curry),,12,11
17,1,8:35.0,,D. Wright misses 2-pt layup from 5 ft,12,11
18,1,8:35.0,Defensive rebound by S. Curry,,12,11
19,1,8:28.0,D. Green makes 2-pt jump shot from 9 ft (assist by S. Curry),,14,11
20,1,8:03.0,,Turnover by J. Valančiūnas (lost ball; steal by S. Curry),14,11
21,1,7:54.0,K. Durant makes 3-pt jump shot from 26 ft (assist by D. Green),,17,11
22,1,7:45.0,,Toronto full timeout,17,11
23,1,7:34.0,,J. Valančiūnas makes 2-pt hook shot from 8 ft (assist by D. DeRozan),17,13
24,1,7:16.0,K. Thompson makes 2-pt jump shot from 19 ft (assist by D. Green),,19,13
25,1,7:03.0,,O. Anunoby misses 3-pt jump shot from 25 ft,19,13
26,1,7:00.0,,Offensive rebound by D. Wright,19,13
27,1,6:53.0,,O. Anunoby makes 3-pt jump shot from 22 ft (assist by D. Wright),19,16
28,1,6:45.0,K. Thompson misses 3-pt jump shot from 25 ft,,19,16
29,1,6:42.0,,Defensive rebound by O. Anunoby,19,16
30,1,6:36.0,,D. DeRozan misses 2-pt jump shot from 22 ft,19,16
31,1,6:33.0,Defensive rebound by K. Durant,,19,16
32,1,6:29.0,K. Durant makes 2-pt jump shot from 9 ft,,21,16
33,1,6:16.0,,D. DeRozan misses 2-pt jump shot from 7 ft,21,16
