,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,PORTLAND_ACTION,MINNESOTA_SCORE,PORTLAND_SCORE
0,1,11:41.0,T. Gibson misses 2-pt jump shot from 11 ft,,0,0
1,1,11:38.0,,Defensive rebound by A. Aminu,0,0
2,1,11:31.0,,E. Turner makes 2-pt jump shot from 15 ft,0,2
3,1,11:14.0,A. Wiggins makes 2-pt layup from 1 ft,,2,2
4,1,10:49.0,,A. Aminu misses 3-pt jump shot from 23 ft,2,2
5,1,10:45.0,Defensive rebound by N. Bjelica,,2,2
6,1,10:39.0,T. Gibson misses 2-pt layup from 2 ft,,2,2
7,1,10:37.0,,Defensive rebound by A. Aminu,2,2
8,1,10:30.0,,Turnover by A. Aminu (bad pass; steal by J. Teague),2,2
9,1,10:16.0,T. Gibson makes 2-pt jump shot from 17 ft,,4,2
10,1,9:58.0,,C. McCollum misses 2-pt jump shot from 16 ft,4,2
11,1,9:55.0,Defensive rebound by J. Teague,,4,2
12,1,9:48.0,K. Towns makes 2-pt layup at rim,,6,2
13,1,9:39.0,,C. McCollum makes 2-pt layup from 1 ft,6,4
14,1,9:24.0,K. Towns makes 2-pt layup from 1 ft (assist by J. Teague),,8,4
15,1,9:13.0,,D. Lillard makes 3-pt jump shot from 28 ft (assist by E. Turner),8,7
16,1,8:59.0,J. Teague makes 2-pt jump shot from 3 ft,,10,7
17,1,8:45.0,,J. Nurkić misses 2-pt jump shot from 21 ft,10,7
18,1,8:43.0,Defensive rebound by A. Wiggins,,10,7
19,1,8:32.0,T. Gibson makes 2-pt jump shot from 13 ft (assist by A. Wiggins),,12,7
20,1,8:05.0,,J. Nurkić misses 2-pt jump shot at rim,12,7
21,1,8:02.0,Defensive rebound by T. Gibson,,12,7
22,1,7:53.0,A. Wiggins makes 2-pt jump shot from 7 ft,,14,7
23,1,7:33.0,,J. Nurkić makes 2-pt dunk at rim (assist by D. Lillard),14,9
24,1,7:18.0,J. Teague misses 2-pt jump shot from 13 ft,,14,9
25,1,7:15.0,,Defensive rebound by A. Aminu,14,9
26,1,7:11.0,,A. Aminu makes 2-pt layup at rim,14,11
27,1,6:52.0,A. Wiggins makes 2-pt jump shot from 12 ft,,16,11
28,1,6:52.0,,Portland full timeout,16,11
29,1,6:30.0,,J. Nurkić misses 2-pt layup from 1 ft,16,11
30,1,6:27.0,Defensive rebound by A. Wiggins,,16,11
