,QUARTER,TIME_REMAINING,DALLAS_ACTION,ATLANTA_ACTION,DALLAS_SCORE,ATLANTA_SCORE
0,1,11:45.0,,E. İlyasova makes 2-pt dunk at rim (assist by K. Bazemore),0,2
1,1,11:27.0,M. Kleber makes 2-pt dunk at rim (assist by D. Smith),,2,2
2,1,11:13.0,,Turnover by T. Prince (bad pass),2,2
3,1,11:06.0,Shooting foul by M. Plumlee (drawn by M. Kleber),,2,2
4,1,11:06.0,M. Kleber makes free throw 1 of 2,,3,2
5,1,11:06.0,M. Kleber makes free throw 2 of 2,,4,2
6,1,10:52.0,,T. Prince makes 2-pt jump shot from 7 ft,4,4
7,1,10:52.0,,Shooting foul by H. Barnes (drawn by T. Prince),4,4
8,1,10:52.0,,T. Prince makes free throw 1 of 1,4,5
9,1,10:33.0,D. Smith misses 2-pt jump shot from 17 ft,,4,5
10,1,10:29.0,,Defensive rebound by T. Prince,4,5
11,1,10:23.0,,D. Schröder misses 2-pt jump shot from 10 ft,4,5
12,1,10:19.0,Defensive rebound by D. Nowitzki,,4,5
13,1,10:10.0,Turnover by M. Kleber (bad pass; steal by E. İlyasova),,4,5
14,1,10:05.0,,E. İlyasova makes 2-pt layup from 2 ft (assist by D. Schröder),4,7
15,1,9:46.0,W. Matthews misses 3-pt jump shot from 24 ft,,4,7
16,1,9:42.0,,Defensive rebound by E. İlyasova,4,7
17,1,9:37.0,,T. Prince makes 2-pt layup from 3 ft (assist by D. Schröder),4,9
18,1,9:23.0,Dallas full timeout,,4,9
19,1,9:14.0,M. Kleber makes 2-pt layup at rim (assist by D. Smith),,6,9
20,1,8:56.0,,D. Schröder misses 3-pt jump shot from 24 ft,6,9
21,1,8:54.0,Defensive rebound by D. Nowitzki,,6,9
22,1,8:47.0,H. Barnes makes 2-pt jump shot from 19 ft (assist by D. Nowitzki),,8,9
23,1,8:27.0,,T. Prince misses 2-pt jump shot from 18 ft,8,9
24,1,8:26.0,Defensive rebound by Team,,8,9
25,1,8:26.0,,Loose ball foul by M. Plumlee (drawn by D. Nowitzki),8,9
26,1,8:13.0,Personal foul by E. İlyasova (drawn by W. Matthews),,8,9
27,1,8:01.0,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by W. Matthews),,11,9
28,1,7:46.0,Offensive charge foul by T. Prince (drawn by M. Kleber),,11,9
29,1,7:46.0,,Turnover by T. Prince (offensive foul),11,9
30,1,7:35.0,D. Smith misses 2-pt layup at rim,,11,9
31,1,7:28.0,,Defensive rebound by T. Prince,11,9
32,1,7:27.0,,E. İlyasova makes 3-pt jump shot from 24 ft (assist by T. Prince),11,12
33,1,7:06.0,D. Nowitzki misses 2-pt jump shot from 20 ft,,11,12
34,1,7:04.0,,Defensive rebound by K. Bazemore,11,12
35,1,6:58.0,,T. Prince misses 2-pt layup from 3 ft (block by M. Kleber),11,12
36,1,6:54.0,Defensive rebound by H. Barnes,,11,12
37,1,6:47.0,D. Smith misses 3-pt jump shot from 26 ft,,11,12
38,1,6:42.0,,Defensive rebound by E. İlyasova,11,12
39,1,6:28.0,,E. İlyasova makes 2-pt hook shot from 3 ft (assist by K. Bazemore),11,14
40,1,6:28.0,,Shooting foul by W. Matthews (drawn by E. İlyasova),11,14
41,1,6:28.0,,J. Collins enters the game for M. Plumlee,11,14
42,1,6:28.0,Y. Ferrell enters the game for D. Nowitzki,,11,14
43,1,6:28.0,S. Mejri enters the game for D. Smith,,11,14
44,1,6:28.0,,E. İlyasova makes free throw 1 of 1,11,15
45,1,6:09.0,H. Barnes makes 2-pt jump shot from 1 ft,,13,15
46,1,5:55.0,,J. Collins makes 2-pt dunk from 1 ft (assist by D. Schröder),13,17
47,1,5:37.0,H. Barnes misses 2-pt jump shot from 12 ft,,13,17
48,1,5:33.0,,Defensive rebound by K. Bazemore,13,17
49,1,5:28.0,,K. Bazemore misses 3-pt jump shot from 25 ft,13,17
50,1,5:24.0,Defensive rebound by S. Mejri,,13,17
51,1,5:19.0,Y. Ferrell makes 3-pt jump shot from 24 ft (assist by S. Mejri),,16,17
52,1,5:17.0,,Atlanta full timeout,16,17
53,1,5:17.0,,M. Belinelli enters the game for K. Bazemore,16,17
54,1,5:02.0,,M. Belinelli misses 2-pt jump shot from 17 ft,16,17
55,1,5:00.0,Defensive rebound by S. Mejri,,16,17
56,1,4:45.0,Y. Ferrell makes 2-pt jump shot from 14 ft (assist by H. Barnes),,18,17
57,1,4:26.0,,D. Schröder makes 2-pt layup from 1 ft (assist by T. Prince),18,19
58,1,4:10.0,Y. Ferrell misses 2-pt jump shot from 20 ft,,18,19
59,1,4:06.0,Offensive rebound by S. Mejri,,18,19
60,1,4:02.0,W. Matthews misses 3-pt jump shot from 22 ft,,18,19
61,1,3:56.0,,Defensive rebound by D. Schröder,18,19
62,1,3:40.0,,Turnover by T. Prince (bad pass; steal by W. Matthews),18,19
63,1,3:33.0,H. Barnes misses 2-pt layup from 3 ft,,18,19
64,1,3:29.0,Offensive rebound by M. Kleber,,18,19
65,1,3:25.0,Y. Ferrell misses 3-pt jump shot from 24 ft,,18,19
66,1,3:22.0,,Defensive rebound by T. Prince,18,19
67,1,3:04.0,Offensive charge foul by T. Prince (drawn by S. Mejri),,18,19
68,1,3:04.0,,Turnover by T. Prince (offensive foul),18,19
69,1,3:04.0,,I. Taylor enters the game for T. Prince,18,19
70,1,3:04.0,,M. Delaney enters the game for D. Schröder,18,19
71,1,3:04.0,J. Barea enters the game for Y. Ferrell,,18,19
72,1,3:04.0,D. Harris enters the game for W. Matthews,,18,19
73,1,2:50.0,Turnover by D. Harris (bad pass),,18,19
74,1,2:50.0,,T. Cavanaugh enters the game for E. İlyasova,18,19
75,1,2:41.0,,J. Collins makes 2-pt dunk from 1 ft (assist by M. Delaney),18,21
76,1,2:17.0,D. Harris misses 3-pt jump shot from 25 ft,,18,21
77,1,2:14.0,Offensive rebound by M. Kleber,,18,21
78,1,2:11.0,M. Kleber makes 2-pt dunk from 1 ft (assist by J. Barea),,20,21
79,1,1:51.0,,T. Cavanaugh misses 3-pt jump shot from 23 ft,20,21
80,1,1:48.0,Defensive rebound by D. Harris,,20,21
81,1,1:36.0,J. Barea misses 3-pt jump shot from 22 ft,,20,21
82,1,1:33.0,,Defensive rebound by J. Collins,20,21
83,1,1:22.0,,J. Collins makes 2-pt layup from 3 ft (assist by I. Taylor),20,23
84,1,1:05.0,D. Harris makes 3-pt jump shot from 25 ft (assist by J. Barea),,23,23
85,1,0:49.0,,T. Cavanaugh misses 3-pt jump shot from 24 ft,23,23
86,1,0:46.0,Defensive rebound by H. Barnes,,23,23
87,1,0:35.0,Personal foul by I. Taylor (drawn by S. Mejri),,23,23
88,1,0:35.0,D. Powell enters the game for H. Barnes,,23,23
89,1,0:35.0,Y. Ferrell enters the game for M. Kleber,,23,23
90,1,0:35.0,D. Nowitzki enters the game for S. Mejri,,23,23
91,1,0:33.0,Personal block foul by M. Delaney (drawn by D. Harris),,23,23
92,1,0:33.0,D. Harris makes free throw 1 of 2,,24,23
93,1,0:33.0,M. Kleber enters the game for D. Nowitzki,,24,23
94,1,0:33.0,D. Harris makes free throw 2 of 2,,25,23
95,1,0:22.0,,T. Cavanaugh makes 2-pt layup at rim (assist by I. Taylor),25,25
96,1,0:02.0,M. Kleber misses 3-pt jump shot from 23 ft,,25,25
97,1,0:02.0,,Defensive rebound by M. Belinelli,25,25
98,2,11:40.0,J. Barea misses 2-pt jump shot from 10 ft,,25,25
99,2,11:36.0,,Defensive rebound by J. Collins,25,25
100,2,11:33.0,,I. Taylor makes 2-pt layup at rim (assist by M. Delaney),25,27
101,2,11:23.0,D. Nowitzki misses 2-pt jump shot from 19 ft,,25,27
102,2,11:20.0,,Defensive rebound by M. Delaney,25,27
103,2,11:08.0,,M. Delaney makes 2-pt jump shot from 19 ft (assist by J. Collins),25,29
104,2,10:51.0,Turnover by J. Barea (bad pass; steal by M. Belinelli),,25,29
105,2,10:42.0,,M. Delaney misses 3-pt jump shot from 24 ft,25,29
106,2,10:39.0,Defensive rebound by D. Nowitzki,,25,29
107,2,10:29.0,J. Barea makes 2-pt jump shot from 12 ft,,27,29
108,2,10:10.0,,M. Delaney misses 2-pt jump shot from 16 ft,27,29
109,2,10:08.0,Defensive rebound by Y. Ferrell,,27,29
110,2,10:01.0,Y. Ferrell misses 2-pt jump shot from 8 ft,,27,29
111,2,10:00.0,Offensive rebound by Team,,27,29
112,2,10:00.0,,K. Bazemore enters the game for M. Belinelli,27,29
113,2,9:54.0,D. Harris misses 2-pt layup from 1 ft,,27,29
114,2,9:51.0,,Defensive rebound by T. Cavanaugh,27,29
115,2,9:38.0,,T. Cavanaugh makes 2-pt layup from 1 ft (assist by I. Taylor),27,31
116,2,9:17.0,Def 3 sec tech foul by I. Taylor,,27,31
117,2,9:17.0,D. Nowitzki makes technical free throw,,28,31
118,2,9:09.0,Y. Ferrell makes 2-pt jump shot from 18 ft (assist by D. Nowitzki),,30,31
119,2,8:56.0,,J. Collins makes 2-pt layup from 1 ft (assist by K. Bazemore),30,33
120,2,8:56.0,,Shooting foul by Y. Ferrell (drawn by J. Collins),30,33
121,2,8:56.0,,E. İlyasova enters the game for T. Cavanaugh,30,33
122,2,8:56.0,,J. Collins misses free throw 1 of 1,30,33
123,2,8:54.0,Defensive rebound by D. Nowitzki,,30,33
124,2,8:41.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,30,33
125,2,8:37.0,,Defensive rebound by K. Bazemore,30,33
126,2,8:27.0,,Turnover by K. Bazemore (out of bounds lost ball),30,33
127,2,8:27.0,,M. Plumlee enters the game for J. Collins,30,33
128,2,8:13.0,D. Nowitzki makes 2-pt jump shot from 19 ft (assist by J. Barea),,32,33
129,2,8:01.0,,K. Bazemore misses 2-pt jump shot from 12 ft,32,33
130,2,7:57.0,Defensive rebound by D. Nowitzki,,32,33
131,2,7:47.0,D. Harris makes 3-pt jump shot from 23 ft (assist by J. Barea),,35,33
132,2,7:45.0,,Atlanta full timeout,35,33
133,2,7:45.0,,D. Schröder enters the game for I. Taylor,35,33
134,2,7:27.0,,D. Schröder misses 2-pt jump shot from 17 ft,35,33
135,2,7:22.0,,Offensive rebound by M. Plumlee,35,33
136,2,7:10.0,,M. Plumlee makes 2-pt layup from 2 ft (assist by D. Schröder),35,35
137,2,6:53.0,Turnover by J. Barea (bad pass; steal by D. Schröder),,35,35
138,2,6:49.0,,Shooting foul by Y. Ferrell (drawn by E. İlyasova),35,35
139,2,6:49.0,,E. İlyasova makes free throw 1 of 2,35,36
140,2,6:49.0,,T. Prince enters the game for M. Delaney,35,36
141,2,6:49.0,W. Matthews enters the game for Y. Ferrell,,35,36
142,2,6:49.0,,E. İlyasova makes free throw 2 of 2,35,37
143,2,6:49.0,D. Smith enters the game for D. Harris,,35,37
144,2,6:36.0,W. Matthews makes 2-pt layup from 1 ft (assist by D. Nowitzki),,37,37
145,2,6:20.0,,D. Schröder makes 2-pt layup from 1 ft,37,39
146,2,6:03.0,Shooting foul by D. Schröder (drawn by D. Smith),,37,39
147,2,6:03.0,D. Smith misses free throw 1 of 2,,37,39
148,2,6:03.0,Offensive rebound by Team,,37,39
149,2,6:03.0,D. Smith makes free throw 2 of 2,,38,39
150,2,5:57.0,,D. Schröder misses 3-pt jump shot from 24 ft,38,39
