,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,ORLANDO_ACTION,BROOKLYN_SCORE,ORLANDO_SCORE
0,1,11:40.0,D. Russell makes 3-pt jump shot from 26 ft (assist by C. LeVert),,3,0
1,1,11:16.0,,A. Gordon makes 2-pt jump shot from 15 ft,3,2
2,1,11:01.0,Shooting foul by T. Ross (drawn by C. LeVert),,3,2
3,1,11:01.0,C. LeVert makes free throw 1 of 2,,4,2
4,1,11:01.0,C. LeVert makes free throw 2 of 2,,5,2
5,1,10:51.0,,Turnover by D. Augustin (bad pass; steal by D. Russell),5,2
6,1,10:44.0,D. Carroll misses 2-pt hook shot from 6 ft,,5,2
7,1,10:40.0,,Defensive rebound by E. Fournier,5,2
8,1,10:34.0,,E. Fournier makes 2-pt jump shot from 17 ft,5,4
9,1,10:22.0,Turnover by C. LeVert (bad pass; steal by D. Augustin),,5,4
10,1,10:17.0,,E. Fournier makes 2-pt layup from 1 ft (assist by D. Augustin),5,6
11,1,10:09.0,D. Russell misses 2-pt jump shot from 15 ft,,5,6
12,1,10:05.0,,Defensive rebound by E. Fournier,5,6
13,1,10:02.0,,Turnover by E. Fournier (bad pass; steal by R. Hollis-Jefferson),5,6
14,1,9:56.0,D. Russell makes 3-pt jump shot from 27 ft (assist by D. Carroll),,8,6
15,1,9:30.0,,N. Vučević makes 2-pt hook shot from 8 ft,8,8
16,1,9:21.0,D. Russell makes 3-pt jump shot from 28 ft,,11,8
17,1,9:08.0,,A. Gordon makes 3-pt jump shot from 26 ft (assist by D. Augustin),11,11
18,1,8:51.0,C. LeVert misses 3-pt jump shot from 25 ft,,11,11
19,1,8:47.0,,Defensive rebound by A. Gordon,11,11
20,1,8:41.0,,A. Gordon makes 2-pt dunk at rim,11,13
21,1,8:23.0,R. Hollis-Jefferson makes 2-pt layup from 1 ft,,13,13
22,1,8:05.0,,A. Gordon makes 2-pt layup from 1 ft,13,15
23,1,8:05.0,,Shooting foul by R. Hollis-Jefferson (drawn by A. Gordon),13,15
24,1,8:05.0,,A. Gordon makes free throw 1 of 1,13,16
25,1,7:54.0,C. LeVert misses 2-pt jump shot from 13 ft,,13,16
26,1,7:51.0,,Defensive rebound by N. Vučević,13,16
27,1,7:47.0,,Personal foul by C. LeVert (drawn by D. Augustin),13,16
28,1,7:40.0,,N. Vučević misses 3-pt jump shot from 25 ft,13,16
29,1,7:37.0,,Offensive rebound by Team,13,16
30,1,7:37.0,Loose ball foul by R. Hollis-Jefferson (drawn by A. Gordon),,13,16
31,1,7:16.0,,N. Vučević misses 2-pt jump shot from 11 ft,13,16
32,1,7:14.0,,Offensive rebound by E. Fournier,13,16
33,1,7:11.0,,E. Fournier misses 2-pt layup from 2 ft,13,16
34,1,7:08.0,Defensive rebound by T. Mozgov,,13,16
35,1,6:58.0,D. Russell makes 3-pt jump shot from 25 ft,,16,16
36,1,6:48.0,,Shooting foul by T. Mozgov (drawn by D. Augustin),16,16
37,1,6:48.0,,Orlando full timeout,16,16
38,1,6:48.0,Q. Acy enters the game for R. Hollis-Jefferson,,16,16
39,1,6:48.0,,D. Augustin makes free throw 1 of 2,16,17
40,1,6:48.0,,D. Augustin makes free throw 2 of 2,16,18
41,1,6:29.0,Q. Acy misses 3-pt jump shot from 25 ft,,16,18
42,1,6:26.0,,Defensive rebound by N. Vučević,16,18
43,1,6:14.0,,Turnover by T. Ross (step out of bounds),16,18
44,1,6:14.0,T. Booker enters the game for T. Mozgov,,16,18
45,1,6:14.0,A. Crabbe enters the game for C. LeVert,,16,18
46,1,6:06.0,D. Carroll misses 2-pt jump shot from 10 ft,,16,18
47,1,6:03.0,,Defensive rebound by A. Gordon,16,18
48,1,5:58.0,,T. Ross misses 3-pt jump shot from 26 ft,16,18
49,1,5:54.0,Defensive rebound by D. Russell,,16,18
50,1,5:54.0,Turnover by D. Russell (bad pass),,16,18
51,1,5:39.0,,A. Gordon misses 2-pt jump shot from 20 ft,16,18
52,1,5:36.0,Defensive rebound by D. Carroll,,16,18
53,1,5:25.0,Q. Acy misses 3-pt jump shot from 23 ft,,16,18
