,QUARTER,TIME_REMAINING,MIAMI_ACTION,MEMPHIS_ACTION,MIAMI_SCORE,MEMPHIS_SCORE
0,1,11:43.0,,M. Gasol makes 2-pt layup from 2 ft (assist by T. Evans),0,2
1,1,11:43.0,,Shooting foul by K. Olynyk (drawn by M. Gasol),0,2
2,1,11:43.0,,M. Gasol makes free throw 1 of 1,0,3
3,1,11:28.0,K. Olynyk misses 3-pt jump shot from 26 ft,,0,3
4,1,11:25.0,,Defensive rebound by D. Brooks,0,3
5,1,11:15.0,,J. Green makes 2-pt layup from 1 ft (assist by A. Harrison),0,5
6,1,11:03.0,D. Waiters makes 2-pt layup at rim,,2,5
7,1,10:43.0,,T. Evans misses 2-pt layup from 3 ft,2,5
8,1,10:43.0,Defensive rebound by Team,,2,5
9,1,10:43.0,,Loose ball foul by M. Gasol (drawn by J. Richardson),2,5
10,1,10:19.0,J. Richardson misses 2-pt jump shot from 19 ft,,2,5
11,1,10:19.0,Offensive rebound by Team,,2,5
12,1,10:19.0,Turnover by Team (shot clock),,2,5
13,1,10:04.0,,M. Gasol misses 2-pt hook shot from 7 ft,2,5
14,1,10:02.0,Defensive rebound by G. Dragić,,2,5
15,1,9:53.0,G. Dragić misses 2-pt jump shot from 16 ft,,2,5
16,1,9:51.0,,Defensive rebound by T. Evans,2,5
17,1,9:41.0,,A. Harrison makes 3-pt jump shot from 25 ft (assist by M. Gasol),2,8
18,1,9:23.0,J. Richardson makes 3-pt jump shot from 23 ft (assist by J. Johnson),,5,8
19,1,9:02.0,,T. Evans misses 3-pt jump shot from 27 ft,5,8
20,1,9:01.0,,Offensive rebound by M. Gasol,5,8
21,1,9:01.0,,Personal foul by K. Olynyk (drawn by M. Gasol),5,8
22,1,9:01.0,B. Adebayo enters the game for K. Olynyk,,5,8
23,1,8:42.0,,J. Green makes 2-pt hook shot from 5 ft (assist by A. Harrison),5,10
24,1,8:25.0,B. Adebayo makes 2-pt layup at rim (assist by J. Johnson),,7,10
25,1,8:15.0,,Turnover by T. Evans (bad pass; steal by B. Adebayo),7,10
26,1,8:10.0,G. Dragić makes 2-pt layup at rim (assist by B. Adebayo),,9,10
27,1,7:54.0,,D. Brooks misses 3-pt jump shot from 26 ft,9,10
28,1,7:52.0,Defensive rebound by J. Richardson,,9,10
29,1,7:46.0,J. Richardson misses 2-pt jump shot from 7 ft,,9,10
30,1,7:43.0,,Defensive rebound by T. Evans,9,10
31,1,7:31.0,,J. Green misses 2-pt layup at rim,9,10
32,1,7:28.0,Defensive rebound by G. Dragić,,9,10
33,1,7:22.0,G. Dragić misses 2-pt jump shot from 10 ft,,9,10
34,1,7:22.0,Offensive rebound by Team,,9,10
35,1,7:22.0,,Loose ball foul by D. Brooks (drawn by B. Adebayo),9,10
36,1,7:22.0,,M. Chalmers enters the game for T. Evans,9,10
37,1,7:04.0,Turnover by J. Johnson (bad pass; steal by J. Green),,9,10
38,1,6:57.0,,M. Chalmers misses 3-pt jump shot from 22 ft,9,10
39,1,6:54.0,,Offensive rebound by J. Green,9,10
40,1,6:35.0,,M. Gasol misses 2-pt jump shot from 8 ft,9,10
41,1,6:31.0,,Offensive rebound by Team,9,10
42,1,6:31.0,,Memphis full timeout,9,10
43,1,6:26.0,,Shooting foul by B. Adebayo (drawn by M. Gasol),9,10
44,1,6:26.0,,M. Gasol makes free throw 1 of 2,9,11
45,1,6:26.0,,M. Gasol makes free throw 2 of 2,9,12
46,1,6:02.0,J. Richardson makes 3-pt jump shot from 22 ft (assist by G. Dragić),,12,12
47,1,5:52.0,,Offensive foul by A. Harrison (drawn by J. Richardson),12,12
48,1,5:52.0,,Turnover by A. Harrison (offensive foul),12,12
49,1,5:52.0,,B. McLemore enters the game for J. Green,12,12
50,1,5:52.0,,C. Parsons enters the game for A. Harrison,12,12
51,1,5:52.0,T. Johnson enters the game for J. Richardson,,12,12
52,1,5:36.0,G. Dragić misses 3-pt jump shot from 26 ft,,12,12
53,1,5:33.0,,Defensive rebound by B. McLemore,12,12
54,1,5:27.0,,Turnover by M. Gasol (out of bounds lost ball),12,12
55,1,5:05.0,G. Dragić makes 2-pt layup at rim (assist by D. Waiters),,14,12
56,1,4:47.0,,Turnover by D. Brooks (lost ball; steal by D. Waiters),14,12
57,1,4:44.0,Shooting foul by D. Brooks (drawn by B. Adebayo),,14,12
58,1,4:44.0,B. Adebayo makes free throw 1 of 2,,15,12
59,1,4:44.0,,J. Ennis enters the game for D. Brooks,15,12
60,1,4:44.0,W. Ellington enters the game for G. Dragić,,15,12
61,1,4:44.0,B. Adebayo makes free throw 2 of 2,,16,12
62,1,4:28.0,,B. McLemore misses 2-pt jump shot from 19 ft (block by J. Johnson),16,12
63,1,4:24.0,Defensive rebound by B. Adebayo,,16,12
64,1,4:13.0,Shooting foul by C. Parsons (drawn by D. Waiters),,16,12
65,1,4:13.0,D. Waiters makes free throw 1 of 2,,17,12
66,1,4:13.0,D. Waiters misses free throw 2 of 2,,17,12
67,1,4:11.0,,Defensive rebound by M. Gasol,17,12
68,1,3:54.0,,M. Gasol makes 2-pt dunk at rim (assist by C. Parsons),17,14
69,1,3:39.0,T. Johnson misses 3-pt jump shot from 23 ft,,17,14
70,1,3:35.0,,Defensive rebound by B. McLemore,17,14
71,1,3:26.0,,B. McLemore makes 2-pt layup at rim (assist by M. Gasol),17,16
