,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,DALLAS_ACTION,PHILADELPHIA_SCORE,DALLAS_SCORE
0,1,11:46.0,D. Šarić makes 3-pt jump shot from 24 ft (assist by B. Simmons),,3,0
1,1,11:32.0,,Turnover by D. Smith (lost ball; steal by B. Simmons),3,0
2,1,11:27.0,Turnover by R. Covington (bad pass; steal by W. Matthews),,3,0
3,1,11:14.0,,H. Barnes misses 2-pt jump shot from 20 ft,3,0
4,1,11:09.0,Defensive rebound by B. Simmons,,3,0
5,1,10:59.0,Personal foul by N. Noel (drawn by J. Embiid),,3,0
6,1,10:53.0,D. Šarić misses 3-pt jump shot from 24 ft,,3,0
7,1,10:50.0,,Defensive rebound by N. Noel,3,0
8,1,10:36.0,,D. Smith misses 2-pt jump shot from 9 ft,3,0
9,1,10:33.0,,Offensive rebound by N. Noel,3,0
10,1,10:30.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by D. Nowitzki),3,3
11,1,10:20.0,R. Covington makes 3-pt jump shot from 24 ft (assist by J. Embiid),,6,3
12,1,10:07.0,,Turnover by H. Barnes (bad pass),6,3
13,1,9:55.0,J. Embiid misses 2-pt jump shot from 21 ft,,6,3
14,1,9:52.0,,Defensive rebound by H. Barnes,6,3
15,1,9:32.0,,W. Matthews makes 3-pt jump shot from 24 ft (assist by D. Smith),6,6
16,1,9:19.0,B. Simmons makes 2-pt layup at rim (assist by D. Šarić),,8,6
17,1,9:07.0,,D. Smith makes 3-pt jump shot from 25 ft,8,9
18,1,8:49.0,J. Embiid makes 3-pt jump shot from 23 ft (assist by B. Simmons),,11,9
19,1,8:33.0,,W. Matthews misses 3-pt jump shot from 23 ft,11,9
20,1,8:31.0,Defensive rebound by J. Embiid,,11,9
21,1,8:22.0,J. Embiid misses 2-pt layup from 1 ft,,11,9
22,1,8:20.0,Offensive rebound by J. Embiid,,11,9
23,1,8:19.0,J. Embiid makes 2-pt dunk at rim,,13,9
24,1,7:55.0,,D. Smith misses 3-pt jump shot from 26 ft (block by B. Simmons),13,9
25,1,7:52.0,Defensive rebound by J. Bayless,,13,9
26,1,7:42.0,D. Šarić misses 3-pt jump shot from 25 ft,,13,9
27,1,7:39.0,,Defensive rebound by W. Matthews,13,9
28,1,7:24.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by D. Nowitzki),13,12
