,QUARTER,TIME_REMAINING,CHICAGO_ACTION,MILWAUKEE_ACTION,CHICAGO_SCORE,MILWAUKEE_SCORE
0,1,11:45.0,,G. Antetokounmpo makes 2-pt jump shot from 17 ft (assist by J. Henson),0,2
1,1,11:30.0,Turnover by R. Lopez (turnover),,0,2
2,1,11:18.0,,Turnover by G. Antetokounmpo (step out of bounds),0,2
3,1,10:55.0,D. Valentine makes 2-pt jump shot from 17 ft (assist by K. Dunn),,2,2
4,1,10:44.0,,E. Bledsoe makes 2-pt layup at rim (assist by J. Henson),2,4
5,1,10:44.0,,Shooting foul by D. Valentine (drawn by E. Bledsoe),2,4
6,1,10:44.0,,E. Bledsoe makes free throw 1 of 1,2,5
7,1,10:32.0,L. Markkanen misses 3-pt jump shot from 27 ft,,2,5
8,1,10:28.0,Offensive rebound by D. Valentine,,2,5
9,1,10:24.0,D. Valentine misses 3-pt jump shot from 26 ft,,2,5
10,1,10:21.0,,Defensive rebound by E. Bledsoe,2,5
11,1,10:16.0,,G. Antetokounmpo makes 2-pt dunk at rim,2,7
12,1,10:01.0,Personal foul by E. Bledsoe (drawn by L. Markkanen),,2,7
13,1,9:59.0,K. Dunn makes 2-pt jump shot from 3 ft (assist by D. Valentine),,4,7
14,1,9:31.0,,T. Snell misses 3-pt jump shot from 26 ft,4,7
15,1,9:27.0,Defensive rebound by L. Markkanen,,4,7
16,1,9:22.0,K. Dunn makes 2-pt layup from 1 ft,,6,7
17,1,9:11.0,,E. Bledsoe misses 2-pt jump shot from 7 ft,6,7
18,1,9:06.0,Defensive rebound by K. Dunn,,6,7
19,1,8:56.0,K. Dunn misses 2-pt jump shot from 19 ft,,6,7
20,1,8:56.0,,Defensive rebound by Team,6,7
21,1,8:44.0,,G. Antetokounmpo makes 2-pt layup at rim,6,9
22,1,8:21.0,Turnover by K. Dunn (bad pass),,6,9
23,1,8:14.0,,T. Snell makes 3-pt jump shot from 23 ft (assist by K. Middleton),6,12
24,1,7:58.0,Shooting foul by G. Antetokounmpo (drawn by L. Markkanen),,6,12
25,1,7:58.0,L. Markkanen misses free throw 1 of 2,,6,12
26,1,7:58.0,Offensive rebound by Team,,6,12
27,1,7:58.0,L. Markkanen misses free throw 2 of 2,,6,12
28,1,7:54.0,,Defensive rebound by J. Henson,6,12
