,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,WASHINGTON_ACTION,NEW ORLEANS_SCORE,WASHINGTON_SCORE
0,1,11:34.0,A. Davis makes 2-pt jump shot from 17 ft,,2,0
1,1,11:21.0,,J. Wall misses 2-pt jump shot from 18 ft,2,0
2,1,11:17.0,,Offensive rebound by J. Wall,2,0
3,1,11:16.0,,B. Beal misses 3-pt jump shot from 25 ft,2,0
4,1,11:13.0,Defensive rebound by A. Davis,,2,0
5,1,11:05.0,Turnover by A. Davis (lost ball; steal by K. Oubre),,2,0
6,1,11:01.0,,K. Oubre makes 2-pt dunk from 1 ft,2,2
7,1,10:55.0,Turnover by R. Rondo (bad pass),,2,2
8,1,10:41.0,,M. Gortat makes 2-pt layup at rim (assist by J. Wall),2,4
9,1,10:26.0,D. Cousins misses 2-pt jump shot from 21 ft,,2,4
10,1,10:26.0,,Defensive rebound by B. Beal,2,4
11,1,10:11.0,,M. Morris makes 2-pt layup from 2 ft,2,6
12,1,9:53.0,D. Cousins misses 2-pt layup from 2 ft (block by M. Gortat),,2,6
13,1,9:51.0,,Defensive rebound by K. Oubre,2,6
14,1,9:44.0,,K. Oubre misses 3-pt jump shot from 24 ft,2,6
15,1,9:41.0,Defensive rebound by R. Rondo,,2,6
16,1,9:39.0,Personal block foul by K. Oubre (drawn by R. Rondo),,2,6
17,1,9:28.0,D. Cousins misses 2-pt jump shot from 19 ft,,2,6
18,1,9:26.0,Offensive rebound by J. Holiday,,2,6
19,1,9:22.0,D. Cousins makes 2-pt layup from 1 ft (assist by J. Holiday),,4,6
20,1,9:12.0,,B. Beal misses 3-pt jump shot from 25 ft,4,6
21,1,9:08.0,Defensive rebound by E. Moore,,4,6
22,1,9:02.0,A. Davis misses 2-pt layup from 6 ft,,4,6
23,1,9:00.0,,Defensive rebound by M. Gortat,4,6
24,1,8:54.0,,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),4,8
25,1,8:47.0,J. Holiday misses 2-pt layup from 1 ft,,4,8
26,1,8:47.0,Offensive rebound by J. Holiday,,4,8
27,1,8:46.0,J. Holiday misses 2-pt layup from 1 ft,,4,8
