,QUARTER,TIME_REMAINING,PHOENIX_ACTION,DENVER_ACTION,PHOENIX_SCORE,DENVER_SCORE
0,1,11:53.0,,J. Murray misses 3-pt jump shot from 24 ft,0,0
1,1,11:50.0,Defensive rebound by T. Warren,,0,0
2,1,11:32.0,G. Monroe makes 2-pt hook shot from 4 ft,,2,0
3,1,11:17.0,,G. Harris makes 2-pt dunk from 1 ft (assist by M. Plumlee),2,2
4,1,10:56.0,D. Booker misses 3-pt jump shot from 25 ft,,2,2
5,1,10:53.0,,Defensive rebound by M. Plumlee,2,2
6,1,10:47.0,,Turnover by M. Plumlee (bad pass; steal by M. Chriss),2,2
7,1,10:39.0,G. Monroe misses 2-pt layup from 3 ft (block by W. Chandler),,2,2
8,1,10:34.0,Offensive rebound by G. Monroe,,2,2
9,1,10:31.0,T. Ulis misses 2-pt layup from 4 ft (block by M. Plumlee),,2,2
10,1,10:28.0,,Defensive rebound by G. Harris,2,2
11,1,10:25.0,,G. Harris makes 2-pt layup from 2 ft,2,4
12,1,10:03.0,T. Ulis makes 2-pt jump shot from 21 ft (assist by M. Chriss),,4,4
13,1,9:46.0,,W. Chandler makes 2-pt layup from 3 ft (assist by M. Plumlee),4,6
14,1,9:38.0,D. Booker makes 3-pt jump shot from 24 ft (assist by T. Ulis),,7,6
15,1,9:20.0,,Turnover by N. Jokić (bad pass; steal by M. Chriss),7,6
16,1,9:16.0,Turnover by T. Warren (bad pass),,7,6
17,1,9:00.0,,N. Jokić misses 2-pt layup from 2 ft,7,6
18,1,8:58.0,Defensive rebound by G. Monroe,,7,6
19,1,8:55.0,T. Warren makes 2-pt layup from 2 ft,,9,6
20,1,8:42.0,,G. Harris makes 2-pt layup from 2 ft (assist by M. Plumlee),9,8
21,1,8:42.0,,Shooting foul by T. Ulis (drawn by G. Harris),9,8
22,1,8:42.0,,G. Harris makes free throw 1 of 1,9,9
23,1,8:33.0,M. Chriss misses 3-pt jump shot from 24 ft,,9,9
24,1,8:31.0,Offensive rebound by G. Monroe,,9,9
25,1,8:30.0,Shooting foul by M. Plumlee (drawn by M. Chriss),,9,9
26,1,8:30.0,M. Chriss misses free throw 1 of 2,,9,9
27,1,8:30.0,Offensive rebound by Team,,9,9
28,1,8:30.0,M. Chriss misses free throw 2 of 2,,9,9
29,1,8:28.0,,Defensive rebound by N. Jokić,9,9
30,1,8:17.0,,J. Murray makes 2-pt layup from 2 ft (assist by N. Jokić),9,11
31,1,8:04.0,M. Chriss makes 3-pt jump shot from 24 ft (assist by T. Warren),,12,11
32,1,7:58.0,,Personal foul by D. Booker (drawn by N. Jokić),12,11
33,1,7:55.0,,Shooting foul by G. Monroe (drawn by M. Plumlee),12,11
34,1,7:55.0,,M. Plumlee makes free throw 1 of 2,12,12
35,1,7:55.0,,M. Plumlee misses free throw 2 of 2,12,12
36,1,7:53.0,Defensive rebound by G. Monroe,,12,12
37,1,7:41.0,Turnover by D. Booker (bad pass),,12,12
38,1,7:33.0,,Turnover by M. Plumlee (bad pass; steal by M. Chriss),12,12
39,1,7:30.0,Turnover by M. Chriss (bad pass),,12,12
40,1,7:28.0,,G. Harris makes 2-pt jump shot from 14 ft (assist by J. Murray),12,14
41,1,7:17.0,Turnover by M. Chriss (lost ball; steal by J. Murray),,12,14
42,1,7:12.0,,J. Murray makes 3-pt jump shot from 23 ft (assist by W. Chandler),12,17
43,1,7:09.0,Phoenix full timeout,,12,17
44,1,7:09.0,T. Daniels enters the game for D. Booker,,12,17
45,1,7:09.0,I. Canaan enters the game for T. Ulis,,12,17
46,1,6:59.0,I. Canaan misses 3-pt jump shot from 25 ft,,12,17
47,1,6:55.0,,Defensive rebound by M. Plumlee,12,17
48,1,6:47.0,,G. Harris makes 2-pt jump shot from 22 ft,12,19
49,1,6:27.0,T. Warren makes 2-pt jump shot from 15 ft (assist by I. Canaan),,14,19
50,1,6:05.0,,M. Plumlee misses 2-pt layup from 4 ft,14,19
51,1,6:03.0,Defensive rebound by G. Monroe,,14,19
52,1,5:55.0,Turnover by G. Monroe (bad pass; steal by G. Harris),,14,19
