,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,DETROIT_ACTION,CLEVELAND_SCORE,DETROIT_SCORE
0,1,11:43.0,,R. Bullock misses 3-pt jump shot from 26 ft,0,0
1,1,11:40.0,Defensive rebound by L. James,,0,0
2,1,11:35.0,J. Smith misses 3-pt jump shot from 25 ft,,0,0
3,1,11:32.0,,Defensive rebound by A. Drummond,0,0
4,1,11:19.0,,Turnover by S. Johnson (step out of bounds),0,0
5,1,11:09.0,Personal foul by A. Tolliver (drawn by L. James),,0,0
6,1,11:03.0,Turnover by I. Thomas (out of bounds lost ball),,0,0
7,1,10:46.0,,I. Smith makes 2-pt layup from 1 ft,0,2
8,1,10:34.0,Turnover by I. Thomas (lost ball; steal by A. Drummond),,0,2
9,1,10:28.0,,Offensive foul by S. Johnson (drawn by I. Thomas),0,2
10,1,10:28.0,,Turnover by S. Johnson (offensive foul),0,2
11,1,10:13.0,I. Thomas makes 2-pt jump shot from 20 ft,,2,2
12,1,10:00.0,,S. Johnson misses 3-pt jump shot from 23 ft,2,2
13,1,9:56.0,Defensive rebound by I. Thomas,,2,2
14,1,9:44.0,L. James misses 2-pt jump shot from 14 ft,,2,2
15,1,9:37.0,Offensive rebound by T. Thompson,,2,2
16,1,9:37.0,T. Thompson makes 2-pt layup at rim,,4,2
17,1,9:29.0,,R. Bullock makes 2-pt layup from 1 ft (assist by I. Smith),4,4
18,1,9:15.0,Turnover by I. Thomas (bad pass; steal by A. Drummond),,4,4
19,1,9:10.0,,R. Bullock misses 3-pt jump shot from 26 ft,4,4
20,1,9:06.0,,Offensive rebound by A. Drummond,4,4
21,1,9:04.0,,A. Drummond misses 2-pt jump shot from 8 ft,4,4
22,1,9:04.0,Defensive rebound by T. Thompson,,4,4
23,1,8:48.0,T. Thompson misses 2-pt layup from 2 ft (block by A. Drummond),,4,4
24,1,8:46.0,,Defensive rebound by S. Johnson,4,4
25,1,8:44.0,,R. Bullock misses 2-pt layup from 2 ft,4,4
26,1,8:40.0,Defensive rebound by J. Smith,,4,4
27,1,8:36.0,T. Thompson makes 2-pt layup at rim (assist by I. Thomas),,6,4
28,1,8:21.0,,R. Bullock makes 2-pt layup at rim (assist by A. Drummond),6,6
29,1,7:49.0,L. James misses 2-pt jump shot from 20 ft,,6,6
30,1,7:47.0,,Defensive rebound by A. Drummond,6,6
31,1,7:41.0,,S. Johnson makes 2-pt layup at rim,6,8
32,1,7:22.0,Turnover by I. Thomas (lost ball; steal by A. Drummond),,6,8
33,1,7:19.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by I. Smith),6,10
34,1,7:19.0,Cleveland full timeout,,6,10
35,1,7:19.0,J. Crowder enters the game for K. Love,,6,10
36,1,7:00.0,J. Crowder misses 3-pt jump shot from 24 ft,,6,10
37,1,6:56.0,,Defensive rebound by A. Drummond,6,10
38,1,6:40.0,,A. Drummond misses 2-pt jump shot from 5 ft,6,10
39,1,6:38.0,Defensive rebound by J. Smith,,6,10
40,1,6:32.0,J. Crowder misses 2-pt layup from 4 ft (block by A. Tolliver),,6,10
41,1,6:32.0,,Defensive rebound by A. Drummond,6,10
42,1,6:27.0,,S. Johnson misses 2-pt layup from 1 ft,6,10
43,1,6:27.0,Defensive rebound by T. Thompson,,6,10
44,1,6:20.0,J. Crowder misses 3-pt jump shot from 24 ft,,6,10
45,1,6:20.0,Offensive rebound by Team,,6,10
46,1,6:07.0,T. Thompson makes 2-pt layup from 1 ft (assist by J. Crowder),,8,10
47,1,5:54.0,,R. Bullock makes 3-pt jump shot from 26 ft (assist by A. Drummond),8,13
48,1,5:43.0,L. James makes 2-pt jump shot from 19 ft,,10,13
49,1,5:25.0,,R. Bullock makes 2-pt layup from 3 ft (assist by A. Drummond),10,15
50,1,5:25.0,,Shooting foul by I. Thomas (drawn by R. Bullock),10,15
51,1,5:25.0,,R. Bullock misses free throw 1 of 1,10,15
52,1,5:22.0,Defensive rebound by L. James,,10,15
53,1,5:12.0,L. James makes 2-pt jump shot from 17 ft,,12,15
54,1,4:56.0,,I. Smith makes 2-pt jump shot from 10 ft,12,17
55,1,4:37.0,J. Crowder makes 3-pt jump shot from 22 ft (assist by J. Smith),,15,17
