,QUARTER,TIME_REMAINING,DETROIT_ACTION,MILWAUKEE_ACTION,DETROIT_SCORE,MILWAUKEE_SCORE
0,1,11:33.0,R. Jackson makes 2-pt layup from 1 ft (assist by A. Drummond),,2,0
1,1,11:12.0,,J. Henson misses 2-pt jump shot from 16 ft,2,0
2,1,11:09.0,Defensive rebound by T. Harris,,2,0
3,1,11:04.0,Personal foul by T. Snell (drawn by T. Harris),,2,0
4,1,10:57.0,A. Bradley makes 3-pt jump shot from 22 ft (assist by A. Drummond),,5,0
5,1,10:41.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,5,0
6,1,10:39.0,Defensive rebound by S. Johnson,,5,0
7,1,10:34.0,A. Bradley makes 3-pt jump shot from 25 ft,,8,0
8,1,10:13.0,,G. Antetokounmpo makes 2-pt jump shot from 20 ft (assist by E. Bledsoe),8,2
9,1,9:48.0,Turnover by T. Harris (bad pass),,8,2
10,1,9:39.0,,G. Antetokounmpo makes 2-pt hook shot from 3 ft (assist by K. Middleton),8,4
11,1,9:22.0,Shooting foul by T. Snell (drawn by A. Bradley),,8,4
12,1,9:22.0,A. Bradley makes free throw 1 of 2,,9,4
13,1,9:22.0,,D. Liggins enters the game for T. Snell,9,4
14,1,9:22.0,A. Bradley makes free throw 2 of 2,,10,4
15,1,9:05.0,,K. Middleton makes 2-pt jump shot from 11 ft (assist by G. Antetokounmpo),10,6
16,1,8:51.0,T. Harris misses 2-pt layup from 4 ft (block by G. Antetokounmpo),,10,6
17,1,8:49.0,,Defensive rebound by K. Middleton,10,6
18,1,8:47.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,10,6
19,1,8:47.0,,Offensive rebound by J. Henson,10,6
20,1,8:38.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,10,6
21,1,8:38.0,,Offensive rebound by J. Henson,10,6
22,1,8:20.0,,K. Middleton misses 2-pt layup from 3 ft,10,6
23,1,8:17.0,,Offensive rebound by J. Henson,10,6
24,1,8:15.0,,J. Henson misses 2-pt hook shot from 4 ft,10,6
25,1,8:15.0,Defensive rebound by S. Johnson,,10,6
26,1,8:08.0,Shooting foul by E. Bledsoe (drawn by R. Jackson),,10,6
27,1,8:08.0,R. Jackson makes free throw 1 of 2,,11,6
28,1,8:08.0,R. Jackson makes free throw 2 of 2,,12,6
29,1,8:01.0,,Personal foul by S. Johnson (drawn by J. Henson),12,6
30,1,7:50.0,,G. Antetokounmpo makes 2-pt layup at rim,12,8
31,1,7:34.0,A. Drummond makes 2-pt layup from 2 ft (assist by A. Bradley),,14,8
32,1,7:30.0,,Personal foul by R. Jackson (drawn by E. Bledsoe),14,8
33,1,7:22.0,,Personal foul by A. Bradley (drawn by J. Henson),14,8
34,1,7:08.0,,J. Henson makes 2-pt layup at rim (assist by E. Bledsoe),14,10
35,1,6:55.0,T. Harris misses 3-pt jump shot from 26 ft,,14,10
36,1,6:52.0,,Defensive rebound by D. Liggins,14,10
37,1,6:43.0,,G. Antetokounmpo makes 2-pt jump shot from 12 ft,14,12
38,1,6:35.0,,Offensive charge foul by A. Drummond (drawn by J. Henson),14,12
39,1,6:35.0,Turnover by A. Drummond (offensive foul),,14,12
40,1,6:35.0,,Milwaukee full timeout,14,12
41,1,6:08.0,,K. Middleton misses 3-pt jump shot from 26 ft,14,12
42,1,6:05.0,,Offensive rebound by E. Bledsoe,14,12
43,1,6:03.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,14,12
44,1,6:00.0,Defensive rebound by R. Jackson,,14,12
45,1,5:57.0,R. Jackson misses 2-pt jump shot from 12 ft,,14,12
46,1,5:54.0,,Defensive rebound by J. Henson,14,12
47,1,5:50.0,,D. Liggins misses 3-pt jump shot from 22 ft,14,12
48,1,5:50.0,Defensive rebound by A. Drummond,,14,12
49,1,5:44.0,Turnover by A. Bradley (traveling),,14,12
50,1,5:30.0,,D. Liggins misses 3-pt jump shot from 26 ft,14,12
51,1,5:27.0,Defensive rebound by A. Drummond,,14,12
52,1,5:20.0,T. Harris misses 2-pt hook shot from 3 ft (block by D. Liggins),,14,12
53,1,5:20.0,Offensive rebound by A. Bradley,,14,12
54,1,5:19.0,A. Bradley misses 3-pt jump shot from 22 ft (block by E. Bledsoe),,14,12
55,1,5:19.0,Offensive rebound by A. Drummond,,14,12
56,1,5:14.0,A. Drummond misses 2-pt hook shot from 9 ft (block by J. Henson),,14,12
57,1,5:11.0,,Defensive rebound by E. Bledsoe,14,12
58,1,5:05.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),14,15
59,1,4:54.0,Detroit full timeout,,14,15
60,1,4:54.0,,M. Brogdon enters the game for E. Bledsoe,14,15
61,1,4:54.0,,T. Maker enters the game for J. Henson,14,15
62,1,4:54.0,A. Tolliver enters the game for S. Johnson,,14,15
63,1,4:39.0,Turnover by A. Bradley (bad pass),,14,15
64,1,4:18.0,,M. Brogdon makes 3-pt jump shot from 23 ft (assist by D. Liggins),14,18
65,1,3:50.0,A. Drummond misses 2-pt layup from 3 ft (block by T. Maker),,14,18
66,1,3:46.0,,Defensive rebound by G. Antetokounmpo,14,18
67,1,3:45.0,E. Moreland enters the game for A. Drummond,,14,18
68,1,3:40.0,,T. Maker makes 2-pt layup from 1 ft (assist by K. Middleton),14,20
69,1,3:17.0,A. Bradley makes 3-pt jump shot from 28 ft (assist by T. Harris),,17,20
70,1,2:58.0,,G. Antetokounmpo misses 2-pt jump shot from 18 ft,17,20
71,1,2:53.0,Defensive rebound by E. Moreland,,17,20
72,1,2:40.0,T. Harris makes 3-pt jump shot from 22 ft (assist by A. Bradley),,20,20
73,1,2:20.0,,M. Brogdon makes 2-pt jump shot from 15 ft,20,22
74,1,2:05.0,Turnover by A. Bradley (bad pass),,20,22
75,1,2:05.0,,D. Wilson enters the game for G. Antetokounmpo,20,22
76,1,2:05.0,I. Smith enters the game for R. Jackson,,20,22
77,1,1:56.0,,Shooting foul by I. Smith (drawn by M. Brogdon),20,22
78,1,1:56.0,,M. Brogdon makes free throw 1 of 2,20,23
79,1,1:56.0,,M. Brogdon makes free throw 2 of 2,20,24
80,1,1:35.0,Turnover by I. Smith (bad pass; steal by M. Brogdon),,20,24
81,1,1:29.0,,K. Middleton misses 2-pt jump shot from 8 ft,20,24
82,1,1:26.0,Defensive rebound by I. Smith,,20,24
83,1,1:21.0,A. Tolliver makes 3-pt jump shot from 26 ft (assist by I. Smith),,23,24
84,1,1:06.0,,K. Middleton makes 2-pt jump shot from 9 ft (assist by M. Brogdon),23,26
85,1,0:43.0,A. Bradley misses 3-pt jump shot from 23 ft,,23,26
86,1,0:37.0,,Defensive rebound by D. Wilson,23,26
87,1,0:30.0,,K. Middleton misses 2-pt jump shot from 8 ft,23,26
88,1,0:26.0,Defensive rebound by A. Bradley,,23,26
89,1,0:03.0,I. Smith misses 2-pt jump shot from 15 ft,,23,26
90,1,0:02.0,Offensive rebound by E. Moreland,,23,26
91,1,0:02.0,E. Moreland misses 2-pt dunk at rim,,23,26
92,1,0:02.0,,Defensive rebound by Team,23,26
93,1,0:02.0,L. Kennard enters the game for A. Bradley,,23,26
94,2,11:43.0,,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by M. Brogdon),23,28
95,2,11:20.0,Turnover by Team (shot clock),,23,28
96,2,11:08.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,23,28
97,2,11:02.0,,Offensive rebound by T. Maker,23,28
98,2,10:55.0,,Turnover by M. Brogdon (bad pass),23,28
99,2,10:41.0,L. Galloway misses 2-pt jump shot from 16 ft,,23,28
100,2,10:38.0,,Defensive rebound by T. Maker,23,28
101,2,10:31.0,,Shooting foul by A. Tolliver (drawn by G. Antetokounmpo),23,28
102,2,10:31.0,,G. Antetokounmpo misses free throw 1 of 2,23,28
103,2,10:31.0,,Offensive rebound by Team,23,28
104,2,10:31.0,,G. Antetokounmpo makes free throw 2 of 2,23,29
105,2,10:08.0,I. Smith misses 3-pt jump shot from 28 ft,,23,29
106,2,10:07.0,Offensive rebound by Team,,23,29
107,2,10:06.0,Turnover by Team (shot clock),,23,29
108,2,9:55.0,,G. Antetokounmpo misses 2-pt layup at rim (block by E. Moreland),23,29
109,2,9:51.0,Defensive rebound by I. Smith,,23,29
110,2,9:49.0,L. Kennard misses 3-pt jump shot from 25 ft,,23,29
111,2,9:46.0,Offensive rebound by E. Moreland,,23,29
112,2,9:43.0,I. Smith misses 2-pt jump shot from 2 ft (block by T. Maker),,23,29
113,2,9:43.0,Offensive rebound by L. Galloway,,23,29
114,2,9:35.0,I. Smith misses 2-pt layup from 6 ft (block by G. Antetokounmpo),,23,29
115,2,9:35.0,Offensive rebound by Team,,23,29
116,2,9:35.0,Technical foul by I. Smith,,23,29
117,2,9:35.0,,T. Snell makes technical free throw,23,30
118,2,9:28.0,Turnover by E. Moreland (bad pass),,23,30
119,2,9:12.0,,T. Snell misses 3-pt jump shot from 27 ft,23,30
120,2,9:09.0,Defensive rebound by E. Moreland,,23,30
121,2,9:03.0,I. Smith misses 2-pt jump shot from 7 ft,,23,30
122,2,8:59.0,,Defensive rebound by M. Brogdon,23,30
123,2,8:57.0,,Turnover by M. Brogdon (bad pass),23,30
124,2,8:56.0,Detroit full timeout,,23,30
125,2,8:43.0,L. Galloway misses 2-pt layup from 3 ft,,23,30
126,2,8:39.0,Offensive rebound by E. Moreland,,23,30
127,2,8:25.0,L. Kennard makes 3-pt jump shot from 27 ft (assist by E. Moreland),,26,30
128,2,7:59.0,,G. Antetokounmpo misses 2-pt layup at rim,26,30
129,2,7:51.0,Defensive rebound by L. Kennard,,26,30
130,2,7:43.0,L. Galloway misses 3-pt jump shot from 27 ft,,26,30
131,2,7:39.0,Offensive rebound by E. Moreland,,26,30
132,2,7:39.0,Detroit full timeout,,26,30
133,2,7:39.0,,J. Henson enters the game for T. Maker,26,30
134,2,7:39.0,,E. Bledsoe enters the game for D. Liggins,26,30
135,2,7:25.0,L. Kennard misses 2-pt jump shot from 7 ft,,26,30
136,2,7:22.0,,Defensive rebound by E. Bledsoe,26,30
137,2,7:10.0,,Turnover by J. Henson (traveling),26,30
138,2,7:10.0,A. Drummond enters the game for E. Moreland,,26,30
139,2,6:51.0,A. Drummond makes 2-pt layup from 1 ft (assist by A. Tolliver),,28,30
140,2,6:36.0,,J. Henson misses 2-pt hook shot from 3 ft,28,30
141,2,6:33.0,Defensive rebound by A. Drummond,,28,30
142,2,6:29.0,I. Smith makes 2-pt layup from 1 ft,,30,30
143,2,6:20.0,,E. Bledsoe misses 2-pt layup from 2 ft,30,30
144,2,6:20.0,Defensive rebound by A. Drummond,,30,30
145,2,6:09.0,A. Tolliver misses 3-pt jump shot from 23 ft,,30,30
146,2,6:06.0,Offensive rebound by A. Tolliver,,30,30
147,2,5:58.0,L. Galloway misses 2-pt jump shot from 5 ft,,30,30
148,2,5:55.0,Offensive rebound by A. Drummond,,30,30
149,2,5:54.0,A. Drummond misses 2-pt layup from 5 ft (block by J. Henson),,30,30
150,2,5:54.0,Offensive rebound by A. Drummond,,30,30
151,2,5:52.0,A. Drummond misses 2-pt layup from 11 ft,,30,30
152,2,5:52.0,Offensive rebound by Team,,30,30
153,2,5:52.0,Personal foul by J. Henson (drawn by A. Drummond),,30,30
154,2,5:52.0,,K. Middleton enters the game for G. Antetokounmpo,30,30
155,2,5:52.0,A. Bradley enters the game for L. Kennard,,30,30
156,2,5:52.0,S. Johnson enters the game for L. Galloway,,30,30
157,2,5:47.0,Turnover by A. Drummond (lost ball; steal by K. Middleton),,30,30
158,2,5:43.0,,E. Bledsoe misses 2-pt layup from 2 ft (block by A. Tolliver),30,30
159,2,5:35.0,Defensive rebound by S. Johnson,,30,30
160,2,5:32.0,A. Bradley makes 3-pt jump shot from 22 ft (assist by A. Tolliver),,33,30
161,2,5:13.0,,M. Brogdon misses 2-pt jump shot from 15 ft,33,30
162,2,5:11.0,,Offensive rebound by J. Henson,33,30
163,2,5:02.0,,Personal foul by I. Smith (drawn by M. Brogdon),33,30
164,2,5:02.0,T. Harris enters the game for I. Smith,,33,30
