,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,NEW YORK_ACTION,PHILADELPHIA_SCORE,NEW YORK_SCORE
0,1,11:32.0,,K. Porziņģis misses 2-pt jump shot from 22 ft,0,0
1,1,11:29.0,Defensive rebound by R. Covington,,0,0
2,1,11:12.0,J. Embiid makes 2-pt jump shot from 13 ft,,2,0
3,1,10:50.0,,K. Porziņģis misses 2-pt jump shot from 14 ft,2,0
4,1,10:48.0,Defensive rebound by J. Redick,,2,0
5,1,10:36.0,D. Šarić misses 2-pt jump shot from 22 ft,,2,0
6,1,10:34.0,,Defensive rebound by E. Freedom,2,0
7,1,10:23.0,,E. Freedom misses 2-pt layup from 2 ft,2,0
8,1,10:21.0,Defensive rebound by B. Simmons,,2,0
9,1,10:15.0,R. Covington makes 3-pt jump shot from 24 ft (assist by D. Šarić),,5,0
10,1,9:59.0,,K. Porziņģis misses 2-pt jump shot from 12 ft,5,0
11,1,9:54.0,Defensive rebound by R. Covington,,5,0
12,1,9:49.0,Offensive foul by J. Embiid (drawn by L. Thomas),,5,0
13,1,9:49.0,Turnover by J. Embiid (offensive foul),,5,0
14,1,9:37.0,,C. Lee makes 2-pt jump shot from 20 ft (assist by E. Freedom),5,2
15,1,9:13.0,J. Redick makes 2-pt jump shot from 15 ft,,7,2
16,1,8:58.0,,J. Jack misses 2-pt jump shot from 10 ft,7,2
17,1,8:56.0,,Offensive rebound by E. Freedom,7,2
18,1,8:55.0,,E. Freedom misses 2-pt layup from 2 ft (block by J. Embiid),7,2
19,1,8:55.0,,Offensive rebound by Team,7,2
20,1,8:48.0,,Turnover by J. Jack (bad pass; steal by J. Redick),7,2
21,1,8:45.0,Turnover by J. Embiid (lost ball; steal by J. Jack),,7,2
22,1,8:42.0,,Shooting foul by B. Simmons (drawn by K. Porziņģis),7,2
23,1,8:42.0,,K. Porziņģis makes free throw 1 of 2,7,3
24,1,8:42.0,,K. Porziņģis makes free throw 2 of 2,7,4
25,1,8:26.0,R. Covington misses 3-pt jump shot from 25 ft,,7,4
26,1,8:22.0,,Defensive rebound by L. Thomas,7,4
27,1,8:09.0,,E. Freedom makes 2-pt jump shot from 6 ft,7,6
28,1,8:00.0,D. Šarić misses 3-pt jump shot from 25 ft,,7,6
29,1,8:00.0,,Defensive rebound by J. Jack,7,6
30,1,7:54.0,,K. Porziņģis makes 2-pt dunk at rim (assist by J. Jack),7,8
31,1,7:29.0,D. Šarić misses 2-pt jump shot from 12 ft,,7,8
32,1,7:27.0,,Defensive rebound by E. Freedom,7,8
33,1,7:18.0,,Turnover by E. Freedom (out of bounds lost ball),7,8
34,1,7:08.0,J. Redick makes 2-pt jump shot from 21 ft,,9,8
35,1,6:52.0,,C. Lee makes 2-pt jump shot from 8 ft (assist by J. Jack),9,10
36,1,6:29.0,Turnover by D. Šarić (turnover),,9,10
37,1,6:29.0,,New York full timeout,9,10
38,1,6:29.0,T. McConnell enters the game for J. Embiid,,9,10
39,1,6:29.0,A. Johnson enters the game for J. Redick,,9,10
40,1,6:09.0,,E. Freedom makes 2-pt layup at rim (assist by J. Jack),9,12
41,1,5:58.0,R. Covington misses 2-pt layup from 2 ft (block by K. Porziņģis),,9,12
42,1,5:55.0,Offensive rebound by B. Simmons,,9,12
43,1,5:45.0,A. Johnson makes 2-pt hook shot from 6 ft,,11,12
44,1,5:27.0,,F. Ntilikina enters the game for J. Jack,11,12
45,1,5:21.0,,C. Lee makes 2-pt jump shot from 21 ft,11,14
46,1,5:10.0,B. Simmons misses 2-pt jump shot from 16 ft,,11,14
47,1,5:07.0,,Defensive rebound by E. Freedom,11,14
48,1,4:58.0,,F. Ntilikina misses 2-pt jump shot from 19 ft,11,14
49,1,4:54.0,Defensive rebound by R. Covington,,11,14
50,1,4:40.0,T. McConnell misses 2-pt layup from 1 ft,,11,14
51,1,4:40.0,,Defensive rebound by Team,11,14
52,1,4:40.0,,K. O'Quinn enters the game for E. Freedom,11,14
53,1,4:40.0,J. Bayless enters the game for B. Simmons,,11,14
54,1,4:25.0,,C. Lee misses 2-pt jump shot from 16 ft,11,14
55,1,4:21.0,,Offensive rebound by C. Lee,11,14
56,1,4:09.0,,F. Ntilikina makes 2-pt layup from 1 ft,11,16
57,1,3:49.0,R. Covington misses 2-pt layup from 1 ft,,11,16
58,1,3:45.0,Offensive rebound by D. Šarić,,11,16
59,1,3:45.0,D. Šarić misses 2-pt layup at rim,,11,16
60,1,3:44.0,,Defensive rebound by K. O'Quinn,11,16
61,1,3:35.0,,K. Porziņģis makes 2-pt jump shot from 8 ft (assist by F. Ntilikina),11,18
62,1,3:35.0,Philadelphia full timeout,,11,18
63,1,3:35.0,,D. McDermott enters the game for L. Thomas,11,18
64,1,3:35.0,J. Embiid enters the game for A. Johnson,,11,18
65,1,3:35.0,T. Booker enters the game for D. Šarić,,11,18
66,1,3:18.0,Personal foul by C. Lee (drawn by J. Embiid),,11,18
67,1,3:07.0,T. McConnell makes 2-pt jump shot from 7 ft,,13,18
68,1,2:48.0,,C. Lee makes 2-pt jump shot from 16 ft,13,20
69,1,2:31.0,J. Embiid misses 2-pt hook shot from 5 ft,,13,20
70,1,2:28.0,Offensive rebound by T. Booker,,13,20
