,QUARTER,TIME_REMAINING,DALLAS_ACTION,SACRAMENTO_ACTION,DALLAS_SCORE,SACRAMENTO_SCORE
0,1,11:43.0,,W. Cauley-Stein makes 2-pt dunk at rim (assist by B. Bogdanović),0,2
1,1,11:20.0,H. Barnes misses 2-pt jump shot from 6 ft,,0,2
2,1,11:17.0,,Defensive rebound by J. Jackson,0,2
3,1,10:58.0,,Turnover by Z. Randolph (lost ball; steal by D. Powell),0,2
4,1,10:54.0,D. Smith misses 3-pt jump shot from 25 ft,,0,2
5,1,10:51.0,Offensive rebound by D. Powell,,0,2
6,1,10:36.0,D. Nowitzki makes 2-pt jump shot from 18 ft (assist by D. Smith),,2,2
7,1,10:17.0,,Z. Randolph makes 2-pt jump shot from 15 ft,2,4
8,1,9:57.0,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by W. Matthews),,5,4
9,1,9:36.0,,W. Cauley-Stein makes 2-pt hook shot from 6 ft,5,6
10,1,9:10.0,D. Smith misses 3-pt jump shot from 23 ft,,5,6
11,1,9:06.0,,Defensive rebound by J. Jackson,5,6
12,1,8:57.0,,Z. Randolph makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),5,9
13,1,8:31.0,H. Barnes makes 3-pt jump shot from 25 ft,,8,9
14,1,8:21.0,,Turnover by W. Cauley-Stein (traveling),8,9
15,1,8:08.0,H. Barnes misses 2-pt hook shot from 6 ft,,8,9
16,1,8:04.0,,Defensive rebound by W. Cauley-Stein,8,9
17,1,7:51.0,,W. Cauley-Stein misses 2-pt hook shot from 7 ft,8,9
18,1,7:48.0,,Offensive rebound by Z. Randolph,8,9
19,1,7:47.0,,W. Cauley-Stein makes 2-pt jump shot from 21 ft (assist by Z. Randolph),8,11
20,1,7:28.0,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by W. Matthews),,11,11
21,1,7:14.0,,Z. Randolph misses 3-pt jump shot from 25 ft,11,11
22,1,7:13.0,,Offensive rebound by Team,11,11
23,1,7:13.0,S. Mejri enters the game for D. Nowitzki,,11,11
24,1,7:13.0,Y. Ferrell enters the game for D. Powell,,11,11
25,1,7:00.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,11,11
26,1,6:57.0,,Offensive rebound by J. Jackson,11,11
27,1,6:56.0,,J. Jackson makes 2-pt jump shot from 7 ft,11,13
28,1,6:37.0,H. Barnes makes 3-pt jump shot from 24 ft,,14,13
29,1,6:20.0,,W. Cauley-Stein misses 2-pt layup from 2 ft,14,13
30,1,6:17.0,Defensive rebound by S. Mejri,,14,13
31,1,6:05.0,H. Barnes makes 3-pt jump shot from 23 ft (assist by W. Matthews),,17,13
32,1,5:57.0,,Sacramento full timeout,17,13
33,1,5:43.0,Offensive charge foul by Z. Randolph (drawn by S. Mejri),,17,13
34,1,5:43.0,,Turnover by Z. Randolph (offensive foul),17,13
35,1,5:28.0,Turnover by S. Mejri (out of bounds lost ball),,17,13
36,1,5:10.0,,D. Fox makes 2-pt jump shot from 16 ft,17,15
37,1,4:58.0,W. Matthews makes 2-pt layup from 1 ft (assist by S. Mejri),,19,15
38,1,4:32.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,19,15
39,1,4:29.0,,Offensive rebound by W. Cauley-Stein,19,15
40,1,4:26.0,,Turnover by W. Cauley-Stein (bad pass),19,15
41,1,4:26.0,,G. Temple enters the game for J. Jackson,19,15
42,1,4:26.0,,V. Carter enters the game for Z. Randolph,19,15
43,1,4:09.0,Turnover by D. Smith (bad pass; steal by B. Bogdanović),,19,15
44,1,4:04.0,,Turnover by B. Bogdanović (bad pass; steal by D. Smith),19,15
45,1,3:51.0,S. Mejri makes 2-pt layup at rim (assist by H. Barnes),,21,15
46,1,3:41.0,,D. Fox makes 2-pt jump shot from 15 ft (assist by G. Temple),21,17
47,1,3:28.0,Shooting foul by B. Bogdanović (drawn by S. Mejri),,21,17
48,1,3:28.0,S. Mejri makes free throw 1 of 2,,22,17
49,1,3:28.0,,G. Hill enters the game for B. Bogdanović,22,17
50,1,3:28.0,J. Barea enters the game for D. Smith,,22,17
51,1,3:28.0,S. Mejri makes free throw 2 of 2,,23,17
52,1,3:10.0,,G. Temple makes 2-pt jump shot from 9 ft,23,19
53,1,2:50.0,W. Matthews makes 2-pt hook shot from 7 ft,,25,19
54,1,2:42.0,,V. Carter makes 3-pt jump shot from 25 ft (assist by D. Fox),25,22
55,1,2:31.0,Personal foul by V. Carter (drawn by H. Barnes),,25,22
56,1,2:31.0,Dallas full timeout,,25,22
57,1,2:31.0,D. Powell enters the game for W. Matthews,,25,22
58,1,2:31.0,D. Nowitzki enters the game for H. Barnes,,25,22
59,1,2:31.0,D. Harris enters the game for S. Mejri,,25,22
60,1,2:24.0,Y. Ferrell misses 3-pt jump shot from 23 ft,,25,22
61,1,2:20.0,Offensive rebound by D. Harris,,25,22
62,1,2:16.0,J. Barea misses 3-pt jump shot from 24 ft,,25,22
63,1,2:15.0,,Defensive rebound by Team,25,22
64,1,1:58.0,,W. Cauley-Stein misses 2-pt hook shot from 6 ft,25,22
65,1,1:55.0,Defensive rebound by D. Nowitzki,,25,22
