,QUARTER,TIME_REMAINING,BOSTON_ACTION,CHICAGO_ACTION,BOSTON_SCORE,CHICAGO_SCORE
0,1,11:44.0,Turnover by J. Brown (bad pass; steal by Z. LaVine),,0,0
1,1,11:39.0,,Turnover by D. Nwaba (discontinued dribble),0,0
2,1,11:22.0,J. Brown makes 2-pt layup from 2 ft (assist by S. Larkin),,2,0
3,1,11:01.0,,B. Portis misses 3-pt jump shot from 23 ft,2,0
4,1,10:58.0,Defensive rebound by S. Larkin,,2,0
5,1,10:45.0,J. Tatum misses 2-pt layup from 1 ft,,2,0
6,1,10:43.0,Offensive rebound by Team,,2,0
7,1,10:34.0,A. Horford makes 2-pt layup from 1 ft (assist by J. Brown),,4,0
8,1,10:15.0,,Z. LaVine misses 2-pt jump shot from 21 ft,4,0
9,1,10:13.0,Defensive rebound by A. Horford,,4,0
10,1,10:01.0,J. Tatum makes 3-pt jump shot from 24 ft (assist by A. Horford),,7,0
11,1,9:37.0,,Z. LaVine misses 2-pt layup from 3 ft,7,0
12,1,9:34.0,Defensive rebound by S. Larkin,,7,0
13,1,9:28.0,A. Horford misses 2-pt hook shot from 2 ft,,7,0
14,1,9:26.0,,Defensive rebound by B. Portis,7,0
15,1,9:15.0,,B. Portis makes 2-pt layup from 1 ft (assist by K. Dunn),7,2
16,1,9:15.0,,Shooting foul by J. Tatum (drawn by B. Portis),7,2
17,1,9:15.0,,B. Portis makes free throw 1 of 1,7,3
18,1,8:51.0,A. Baynes misses 2-pt hook shot from 5 ft,,7,3
19,1,8:49.0,,Defensive rebound by L. Markkanen,7,3
20,1,8:43.0,,D. Nwaba misses 2-pt layup from 1 ft,7,3
21,1,8:43.0,,Offensive rebound by D. Nwaba,7,3
22,1,8:37.0,,D. Nwaba makes 2-pt layup at rim,7,5
23,1,8:24.0,J. Brown misses 2-pt layup from 1 ft,,7,5
24,1,8:22.0,Offensive rebound by A. Baynes,,7,5
25,1,8:21.0,A. Baynes misses 2-pt layup from 1 ft (block by L. Markkanen),,7,5
26,1,8:21.0,,Defensive rebound by K. Dunn,7,5
27,1,8:10.0,,K. Dunn misses 2-pt layup from 1 ft,7,5
28,1,8:07.0,Defensive rebound by J. Tatum,,7,5
29,1,8:04.0,J. Tatum makes 2-pt layup from 1 ft,,9,5
30,1,7:46.0,,K. Dunn misses 2-pt jump shot from 21 ft,9,5
31,1,7:44.0,Defensive rebound by J. Brown,,9,5
32,1,7:38.0,J. Brown makes 2-pt layup from 2 ft,,11,5
33,1,7:38.0,Shooting foul by D. Nwaba (drawn by J. Brown),,11,5
34,1,7:38.0,J. Brown makes free throw 1 of 1,,12,5
35,1,7:18.0,,Z. LaVine misses 2-pt jump shot from 20 ft,12,5
36,1,7:16.0,Defensive rebound by S. Larkin,,12,5
37,1,7:02.0,A. Horford misses 2-pt layup from 3 ft,,12,5
38,1,7:02.0,Offensive rebound by A. Baynes,,12,5
39,1,7:02.0,A. Baynes makes 2-pt layup at rim,,14,5
40,1,7:02.0,,Chicago full timeout,14,5
41,1,6:51.0,,K. Dunn misses 3-pt jump shot from 25 ft,14,5
42,1,6:48.0,Defensive rebound by A. Horford,,14,5
43,1,6:32.0,A. Horford makes 2-pt hook shot from 2 ft,,16,5
44,1,6:14.0,,L. Markkanen misses 3-pt jump shot from 22 ft (block by A. Horford),16,5
45,1,6:09.0,Defensive rebound by J. Tatum,,16,5
46,1,6:07.0,S. Larkin makes 3-pt jump shot from 25 ft (assist by J. Tatum),,19,5
47,1,5:52.0,,Z. LaVine misses 3-pt jump shot from 25 ft,19,5
48,1,5:52.0,Defensive rebound by J. Tatum,,19,5
49,1,5:41.0,J. Tatum misses 3-pt jump shot from 24 ft,,19,5
50,1,5:41.0,,Defensive rebound by B. Portis,19,5
51,1,5:33.0,,Personal foul by A. Baynes (drawn by B. Portis),19,5
52,1,5:33.0,M. Smart enters the game for J. Tatum,,19,5
53,1,5:33.0,T. Rozier enters the game for S. Larkin,,19,5
54,1,5:29.0,,K. Dunn misses 2-pt layup from 2 ft,19,5
55,1,5:28.0,Defensive rebound by M. Smart,,19,5
56,1,5:18.0,Personal foul by L. Markkanen (drawn by A. Horford),,19,5
57,1,5:18.0,,D. Valentine enters the game for D. Nwaba,19,5
58,1,5:05.0,J. Brown makes 3-pt jump shot from 22 ft (assist by T. Rozier),,22,5
59,1,4:49.0,Offensive charge foul by K. Dunn (drawn by J. Brown),,22,5
60,1,4:49.0,,Turnover by K. Dunn (offensive foul),22,5
61,1,4:49.0,M. Morris enters the game for A. Baynes,,22,5
62,1,4:39.0,J. Brown makes 2-pt dunk at rim (assist by A. Horford),,24,5
63,1,4:39.0,,Chicago full timeout,24,5
64,1,4:21.0,,Turnover by K. Dunn (bad pass; steal by A. Horford),24,5
65,1,4:16.0,A. Horford makes 2-pt dunk from 1 ft,,26,5
66,1,3:55.0,,B. Portis misses 2-pt dunk at rim,26,5
67,1,3:53.0,Defensive rebound by J. Brown,,26,5
68,1,3:44.0,J. Brown misses 3-pt jump shot from 25 ft,,26,5
69,1,3:42.0,,Defensive rebound by B. Portis,26,5
70,1,3:30.0,,D. Valentine makes 2-pt jump shot from 21 ft,26,7
71,1,3:18.0,T. Rozier misses 2-pt layup from 1 ft,,26,7
72,1,3:16.0,,Defensive rebound by K. Dunn,26,7
73,1,3:13.0,,K. Dunn makes 2-pt jump shot from 14 ft,26,9
74,1,2:48.0,T. Rozier misses 2-pt jump shot from 13 ft,,26,9
75,1,2:45.0,,Defensive rebound by D. Valentine,26,9
76,1,2:31.0,,K. Dunn makes 3-pt jump shot from 25 ft,26,12
77,1,2:11.0,A. Horford makes 3-pt jump shot from 24 ft (assist by T. Rozier),,29,12
78,1,1:57.0,,Turnover by Z. LaVine (out of bounds lost ball),29,12
79,1,1:57.0,,D. Nwaba enters the game for Z. LaVine,29,12
80,1,1:57.0,,C. Payne enters the game for L. Markkanen,29,12
81,1,1:57.0,,C. Felício enters the game for K. Dunn,29,12
82,1,1:57.0,G. Monroe enters the game for A. Horford,,29,12
83,1,1:32.0,G. Monroe misses 2-pt jump shot from 12 ft,,29,12
84,1,1:28.0,Offensive rebound by M. Smart,,29,12
85,1,1:17.0,J. Brown makes 2-pt layup from 1 ft (assist by T. Rozier),,31,12
86,1,1:05.0,,Turnover by C. Payne (lost ball; steal by M. Morris),31,12
87,1,0:59.0,Turnover by T. Rozier (bad pass; steal by D. Valentine),,31,12
88,1,0:53.0,,Shooting foul by M. Morris (drawn by D. Nwaba),31,12
89,1,0:53.0,,D. Nwaba misses free throw 1 of 2,31,12
90,1,0:53.0,,Offensive rebound by Team,31,12
91,1,0:53.0,,N. Vonleh enters the game for B. Portis,31,12
92,1,0:53.0,,D. Nwaba makes free throw 2 of 2,31,13
93,1,0:42.0,J. Brown makes 2-pt layup at rim (assist by M. Smart),,33,13
94,1,0:23.0,,D. Valentine makes 3-pt jump shot from 25 ft (assist by C. Payne),33,16
95,1,0:09.0,Personal foul by C. Payne (drawn by T. Rozier),,33,16
96,1,0:04.0,M. Smart makes 2-pt jump shot from 22 ft (assist by T. Rozier),,35,16
97,1,0:00.0,,C. Payne misses 2-pt jump shot from 9 ft,35,16
98,1,0:00.0,,Offensive rebound by Team,35,16
99,2,11:51.0,,D. Valentine misses 2-pt jump shot from 21 ft,35,16
100,2,11:46.0,Defensive rebound by T. Rozier,,35,16
101,2,11:37.0,Turnover by G. Monroe (bad pass; steal by D. Nwaba),,35,16
102,2,11:34.0,,Turnover by D. Valentine (bad pass),35,16
103,2,11:10.0,G. Monroe makes 2-pt hook shot from 4 ft (assist by D. Theis),,37,16
104,2,10:46.0,,D. Nwaba misses 2-pt layup from 2 ft,37,16
105,2,10:44.0,Defensive rebound by D. Theis,,37,16
106,2,10:29.0,M. Smart misses 3-pt jump shot from 28 ft,,37,16
107,2,10:26.0,Offensive rebound by D. Theis,,37,16
108,2,10:19.0,M. Morris misses 2-pt jump shot from 14 ft,,37,16
109,2,10:16.0,Offensive rebound by G. Monroe,,37,16
110,2,10:14.0,G. Monroe makes 2-pt layup at rim,,39,16
111,2,10:14.0,,Chicago full timeout,39,16
112,2,9:58.0,,N. Vonleh misses 2-pt dunk at rim (block by D. Theis),39,16
113,2,9:53.0,Defensive rebound by G. Monroe,,39,16
114,2,9:50.0,M. Morris misses 2-pt jump shot from 1 ft,,39,16
115,2,9:50.0,Offensive rebound by D. Theis,,39,16
116,2,9:47.0,Turnover by D. Theis (bad pass),,39,16
117,2,9:34.0,,Shooting foul by M. Morris (drawn by D. Nwaba),39,16
118,2,9:34.0,,D. Nwaba misses free throw 1 of 2,39,16
119,2,9:34.0,,Offensive rebound by Team,39,16
120,2,9:34.0,,D. Nwaba makes free throw 2 of 2,39,17
121,2,9:28.0,Turnover by M. Smart (bad pass),,39,17
122,2,9:09.0,,Turnover by D. Nwaba (bad pass; steal by D. Theis),39,17
123,2,9:02.0,T. Rozier misses 3-pt jump shot from 25 ft,,39,17
124,2,9:00.0,,Defensive rebound by D. Valentine,39,17
125,2,8:53.0,,N. Vonleh misses 3-pt jump shot from 25 ft,39,17
126,2,8:53.0,Defensive rebound by G. Monroe,,39,17
127,2,8:37.0,M. Morris misses 3-pt jump shot from 24 ft,,39,17
128,2,8:31.0,,Defensive rebound by C. Felício,39,17
129,2,8:22.0,,C. Felício misses 2-pt jump shot from 16 ft,39,17
130,2,8:22.0,Defensive rebound by T. Rozier,,39,17
131,2,8:15.0,Turnover by G. Monroe (traveling),,39,17
132,2,8:15.0,,Z. LaVine enters the game for C. Felício,39,17
133,2,8:15.0,,B. Portis enters the game for D. Nwaba,39,17
134,2,8:15.0,,L. Markkanen enters the game for N. Vonleh,39,17
135,2,8:02.0,,B. Portis misses 2-pt jump shot from 18 ft,39,17
136,2,8:00.0,Defensive rebound by M. Morris,,39,17
137,2,7:44.0,G. Monroe misses 2-pt hook shot from 10 ft,,39,17
138,2,7:42.0,,Defensive rebound by D. Valentine,39,17
139,2,7:38.0,,Z. LaVine misses 3-pt jump shot from 26 ft,39,17
140,2,7:34.0,,Offensive rebound by B. Portis,39,17
141,2,7:31.0,,Turnover by B. Portis (traveling),39,17
142,2,7:31.0,,K. Dunn enters the game for C. Payne,39,17
143,2,7:31.0,J. Tatum enters the game for G. Monroe,,39,17
144,2,7:08.0,M. Smart misses 2-pt layup from 1 ft,,39,17
145,2,7:06.0,,Defensive rebound by B. Portis,39,17
146,2,6:59.0,,D. Valentine makes 2-pt jump shot from 13 ft,39,19
147,2,6:46.0,M. Morris misses 3-pt jump shot from 25 ft,,39,19
148,2,6:46.0,,Defensive rebound by K. Dunn,39,19
149,2,6:39.0,,L. Markkanen makes 2-pt layup at rim (assist by B. Portis),39,21
150,2,6:15.0,J. Tatum makes 2-pt jump shot from 18 ft,,41,21
151,2,5:55.0,,L. Markkanen misses 3-pt jump shot from 24 ft,41,21
152,2,5:51.0,Defensive rebound by D. Theis,,41,21
153,2,5:43.0,,Violation by B. Portis (kicked ball),41,21
154,2,5:43.0,S. Larkin enters the game for M. Smart,,41,21
155,2,5:32.0,D. Theis makes 2-pt dunk at rim (assist by S. Larkin),,43,21
156,2,5:20.0,,K. Dunn misses 2-pt jump shot from 12 ft,43,21
157,2,5:18.0,Defensive rebound by M. Morris,,43,21
158,2,5:03.0,J. Tatum misses 3-pt jump shot from 25 ft,,43,21
159,2,5:00.0,,Defensive rebound by B. Portis,43,21
160,2,4:56.0,,Shooting foul by D. Theis (drawn by Z. LaVine),43,21
161,2,4:56.0,,Z. LaVine misses free throw 1 of 2,43,21
162,2,4:56.0,,Offensive rebound by Team,43,21
163,2,4:56.0,,D. Nwaba enters the game for D. Valentine,43,21
164,2,4:56.0,,Z. LaVine makes free throw 2 of 2,43,22
165,2,4:38.0,Personal foul by Z. LaVine (drawn by S. Larkin),,43,22
166,2,4:29.0,M. Morris makes 2-pt jump shot from 18 ft (assist by T. Rozier),,45,22
167,2,4:10.0,J. Brown enters the game for S. Larkin,,45,22
168,2,4:10.0,A. Horford enters the game for T. Rozier,,45,22
169,2,4:10.0,M. Smart enters the game for M. Morris,,45,22
170,2,4:03.0,,Turnover by Team (shot clock),45,22
171,2,3:48.0,Turnover by J. Brown (bad pass; steal by K. Dunn),,45,22
172,2,3:39.0,,D. Nwaba misses 2-pt jump shot from 6 ft,45,22
173,2,3:37.0,Defensive rebound by A. Horford,,45,22
174,2,3:27.0,D. Theis makes 2-pt dunk at rim,,47,22
175,2,3:13.0,,Personal foul by D. Theis (drawn by K. Dunn),47,22
176,2,3:05.0,,Z. LaVine misses 2-pt jump shot from 20 ft,47,22
177,2,3:02.0,Defensive rebound by J. Tatum,,47,22
178,2,2:49.0,J. Tatum makes 2-pt layup at rim (assist by J. Brown),,49,22
179,2,2:34.0,,K. Dunn makes 2-pt layup from 1 ft,49,24
180,2,2:34.0,Boston full timeout,,49,24
181,2,2:19.0,J. Brown misses 3-pt jump shot from 25 ft,,49,24
182,2,2:15.0,,Defensive rebound by L. Markkanen,49,24
183,2,2:05.0,,Z. LaVine misses 3-pt jump shot from 25 ft,49,24
184,2,2:03.0,,Offensive rebound by D. Nwaba,49,24
185,2,1:54.0,,Z. LaVine makes 2-pt layup from 1 ft,49,26
186,2,1:42.0,Shooting foul by D. Nwaba (drawn by M. Smart),,49,26
187,2,1:42.0,M. Smart makes free throw 1 of 2,,50,26
188,2,1:42.0,A. Baynes enters the game for D. Theis,,50,26
189,2,1:42.0,M. Smart makes free throw 2 of 2,,51,26
190,2,1:20.0,,D. Nwaba makes 3-pt jump shot from 24 ft (assist by Z. LaVine),51,29
191,2,1:05.0,Shooting foul by K. Dunn (drawn by J. Tatum),,51,29
192,2,1:05.0,J. Tatum makes free throw 1 of 2,,52,29
193,2,1:05.0,,C. Payne enters the game for D. Nwaba,52,29
194,2,1:05.0,,D. Valentine enters the game for K. Dunn,52,29
195,2,1:05.0,J. Tatum makes free throw 2 of 2,,53,29
196,2,0:40.0,,Z. LaVine misses 2-pt jump shot from 16 ft,53,29
197,2,0:38.0,Defensive rebound by J. Tatum,,53,29
198,2,0:32.0,A. Horford makes 2-pt jump shot from 17 ft (assist by M. Smart),,55,29
199,2,0:26.0,,C. Payne misses 3-pt jump shot from 26 ft,55,29
200,2,0:23.0,Defensive rebound by J. Brown,,55,29
201,2,0:01.0,Turnover by Team (shot clock),,55,29
202,2,0:00.0,,B. Portis misses 3-pt jump shot from 26 ft (block by A. Baynes),55,29
203,2,0:00.0,,Offensive rebound by Team,55,29
204,3,11:45.0,,L. Markkanen makes 2-pt layup from 3 ft (assist by K. Dunn),55,31
205,3,11:30.0,J. Tatum misses 3-pt jump shot from 25 ft,,55,31
206,3,11:26.0,Offensive rebound by A. Horford,,55,31
207,3,11:16.0,Turnover by A. Baynes (lost ball; steal by Z. LaVine),,55,31
208,3,11:10.0,,Turnover by D. Nwaba (lost ball; steal by S. Larkin),55,31
209,3,11:05.0,,Violation by D. Nwaba (kicked ball),55,31
210,3,10:51.0,J. Tatum makes 3-pt jump shot from 25 ft,,58,31
211,3,10:29.0,,L. Markkanen makes 2-pt jump shot from 17 ft,58,33
212,3,10:11.0,,Violation by K. Dunn (kicked ball),58,33
213,3,10:06.0,S. Larkin makes 3-pt jump shot from 25 ft,,61,33
214,3,9:51.0,,B. Portis makes 2-pt jump shot from 21 ft (assist by K. Dunn),61,35
215,3,9:32.0,J. Tatum misses 2-pt jump shot from 20 ft,,61,35
216,3,9:29.0,,Defensive rebound by K. Dunn,61,35
217,3,9:24.0,,Personal foul by A. Horford (drawn by L. Markkanen),61,35
218,3,9:16.0,,L. Markkanen makes 3-pt jump shot from 25 ft (assist by D. Nwaba),61,38
219,3,9:01.0,A. Baynes makes 2-pt layup from 2 ft (assist by S. Larkin),,63,38
220,3,8:50.0,,B. Portis misses 2-pt hook shot from 7 ft,63,38
221,3,8:47.0,Defensive rebound by A. Baynes,,63,38
222,3,8:30.0,A. Horford makes 2-pt jump shot from 3 ft (assist by J. Tatum),,65,38
223,3,8:17.0,,L. Markkanen misses 2-pt jump shot from 11 ft,65,38
224,3,8:17.0,Defensive rebound by A. Baynes,,65,38
225,3,7:57.0,J. Brown makes 2-pt layup from 2 ft (assist by S. Larkin),,67,38
226,3,7:57.0,Shooting foul by D. Nwaba (drawn by J. Brown),,67,38
227,3,7:57.0,J. Brown makes free throw 1 of 1,,68,38
228,3,7:44.0,,Shooting foul by J. Tatum (drawn by B. Portis),68,38
229,3,7:44.0,,B. Portis makes free throw 1 of 2,68,39
230,3,7:44.0,,B. Portis makes free throw 2 of 2,68,40
231,3,7:24.0,J. Tatum misses 2-pt jump shot from 20 ft,,68,40
232,3,7:20.0,,Defensive rebound by L. Markkanen,68,40
233,3,7:14.0,,Turnover by Z. LaVine (bad pass; steal by S. Larkin),68,40
234,3,7:09.0,S. Larkin makes 3-pt jump shot from 25 ft,,71,40
235,3,6:59.0,,K. Dunn misses 2-pt hook shot from 3 ft (block by J. Tatum),71,40
236,3,6:56.0,Defensive rebound by S. Larkin,,71,40
237,3,6:45.0,J. Brown makes 2-pt jump shot from 3 ft,,73,40
238,3,6:45.0,,Chicago full timeout,73,40
239,3,6:30.0,,B. Portis misses 3-pt jump shot from 24 ft,73,40
240,3,6:26.0,Defensive rebound by J. Brown,,73,40
241,3,6:09.0,J. Tatum misses 3-pt jump shot from 25 ft,,73,40
242,3,6:08.0,,Defensive rebound by Team,73,40
243,3,6:08.0,,D. Valentine enters the game for D. Nwaba,73,40
244,3,6:08.0,T. Rozier enters the game for J. Tatum,,73,40
245,3,6:08.0,M. Smart enters the game for S. Larkin,,73,40
246,3,6:00.0,,Shooting block foul by A. Baynes (drawn by Z. LaVine),73,40
247,3,6:00.0,,Z. LaVine makes free throw 1 of 2,73,41
248,3,6:00.0,,Z. LaVine misses free throw 2 of 2,73,41
249,3,5:57.0,Defensive rebound by A. Horford,,73,41
250,3,5:43.0,M. Smart makes 3-pt jump shot from 25 ft,,76,41
251,3,5:30.0,,Z. LaVine misses 2-pt layup from 1 ft,76,41
252,3,5:28.0,Defensive rebound by A. Baynes,,76,41
253,3,5:25.0,Turnover by A. Horford (lost ball; steal by Z. LaVine),,76,41
254,3,5:16.0,Offensive charge foul by B. Portis (drawn by J. Brown),,76,41
255,3,5:16.0,,Turnover by B. Portis (offensive foul),76,41
256,3,5:00.0,J. Brown makes 2-pt layup from 2 ft (assist by A. Baynes),,78,41
257,3,4:50.0,,K. Dunn misses 3-pt jump shot from 24 ft,78,41
258,3,4:47.0,Defensive rebound by A. Horford,,78,41
259,3,4:40.0,M. Smart misses 3-pt jump shot from 24 ft,,78,41
260,3,4:32.0,Offensive rebound by A. Baynes,,78,41
261,3,4:31.0,T. Rozier misses 3-pt jump shot from 25 ft,,78,41
262,3,4:31.0,,Defensive rebound by D. Valentine,78,41
263,3,4:18.0,,Z. LaVine misses 3-pt jump shot from 23 ft,78,41
264,3,4:18.0,Defensive rebound by A. Horford,,78,41
265,3,4:07.0,Personal foul by K. Dunn (drawn by M. Smart),,78,41
266,3,4:07.0,M. Morris enters the game for A. Horford,,78,41
267,3,4:02.0,Personal foul by Z. LaVine (drawn by M. Smart),,78,41
268,3,4:02.0,,C. Felício enters the game for B. Portis,78,41
269,3,4:00.0,Turnover by A. Baynes (bad pass),,78,41
270,3,3:49.0,,L. Markkanen misses 3-pt jump shot from 25 ft,78,41
271,3,3:46.0,Defensive rebound by A. Baynes,,78,41
272,3,3:36.0,M. Morris misses 3-pt jump shot from 25 ft,,78,41
273,3,3:33.0,,Defensive rebound by C. Felício,78,41
274,3,3:24.0,,D. Valentine makes 3-pt jump shot from 24 ft (assist by L. Markkanen),78,44
275,3,3:13.0,Boston full timeout,,78,44
276,3,3:13.0,,D. Nwaba enters the game for Z. LaVine,78,44
277,3,3:13.0,G. Monroe enters the game for A. Baynes,,78,44
278,3,3:08.0,M. Morris misses 3-pt jump shot from 25 ft,,78,44
279,3,3:05.0,,Defensive rebound by D. Nwaba,78,44
280,3,2:49.0,,L. Markkanen misses 2-pt jump shot from 16 ft,78,44
281,3,2:46.0,Defensive rebound by T. Rozier,,78,44
282,3,2:40.0,Turnover by J. Brown (lost ball; steal by L. Markkanen),,78,44
283,3,2:33.0,,D. Valentine misses 2-pt jump shot from 12 ft,78,44
284,3,2:33.0,,Offensive rebound by C. Felício,78,44
285,3,2:28.0,,C. Felício makes 2-pt layup from 1 ft,78,46
286,3,2:15.0,G. Monroe makes 2-pt hook shot from 5 ft (assist by J. Brown),,80,46
287,3,1:58.0,,D. Valentine makes 2-pt jump shot from 20 ft (assist by D. Nwaba),80,48
288,3,1:41.0,T. Rozier makes 3-pt jump shot from 25 ft (assist by M. Smart),,83,48
289,3,1:23.0,,L. Markkanen makes 3-pt jump shot from 25 ft (assist by K. Dunn),83,51
290,3,0:57.0,J. Brown misses 3-pt jump shot from 23 ft,,83,51
291,3,0:54.0,,Defensive rebound by L. Markkanen,83,51
292,3,0:49.0,,C. Felício makes 2-pt layup at rim (assist by D. Nwaba),83,53
293,3,0:32.0,Turnover by M. Smart (bad pass; steal by C. Felício),,83,53
294,3,0:26.0,,Turnover by K. Dunn (bad pass; steal by T. Rozier),83,53
295,3,0:06.0,M. Smart misses 3-pt jump shot from 22 ft,,83,53
296,3,0:01.0,Offensive rebound by M. Morris,,83,53
297,3,0:00.0,M. Morris makes 3-pt jump shot from 25 ft,,86,53
298,4,11:43.0,T. Rozier misses 3-pt jump shot from 25 ft,,86,53
299,4,11:43.0,,Defensive rebound by D. Valentine,86,53
300,4,11:35.0,,D. Valentine makes 3-pt jump shot from 24 ft,86,56
301,4,11:19.0,Turnover by M. Morris (lost ball; steal by C. Payne),,86,56
302,4,11:14.0,,D. Valentine misses 3-pt jump shot from 24 ft,86,56
303,4,11:10.0,Defensive rebound by M. Morris,,86,56
