,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,NEW ORLEANS_ACTION,CLEVELAND_SCORE,NEW ORLEANS_SCORE
0,1,11:43.0,,E. Moore makes 2-pt layup from 3 ft (assist by D. Cousins),0,2
1,1,11:21.0,K. Love makes 3-pt jump shot from 28 ft (assist by L. James),,3,2
2,1,11:09.0,,D. Cousins misses 2-pt jump shot from 18 ft,3,2
3,1,11:04.0,Defensive rebound by K. Love,,3,2
4,1,10:54.0,Shooting foul by J. Holiday (drawn by L. James),,3,2
5,1,10:54.0,L. James makes free throw 1 of 2,,4,2
6,1,10:54.0,L. James makes free throw 2 of 2,,5,2
7,1,10:46.0,,Turnover by E. Moore (bad pass; steal by J. Smith),5,2
8,1,10:44.0,Turnover by J. Smith (traveling),,5,2
9,1,10:32.0,,A. Davis makes 2-pt layup from 1 ft (assist by D. Cousins),5,4
10,1,10:10.0,I. Shumpert makes 2-pt jump shot from 17 ft,,7,4
11,1,9:52.0,,J. Holiday makes 2-pt layup from 4 ft (assist by D. Cousins),7,6
12,1,9:41.0,Turnover by K. Love (lost ball; steal by A. Davis),,7,6
13,1,9:28.0,,E. Moore makes 3-pt jump shot from 27 ft (assist by A. Davis),7,9
14,1,9:28.0,,Technical foul by D. Cousins,7,9
15,1,9:28.0,Technical foul by T. Thompson,,7,9
16,1,9:17.0,K. Love misses 2-pt jump shot from 14 ft,,7,9
17,1,9:12.0,,Defensive rebound by J. Holiday,7,9
18,1,9:11.0,,D. Cunningham misses 3-pt jump shot from 27 ft,7,9
19,1,9:05.0,Defensive rebound by I. Shumpert,,7,9
20,1,8:52.0,L. James makes 2-pt dunk from 1 ft,,9,9
21,1,8:43.0,,E. Moore makes 3-pt jump shot from 23 ft (assist by D. Cousins),9,12
22,1,8:34.0,I. Shumpert makes 3-pt jump shot from 28 ft,,12,12
23,1,8:26.0,,D. Cousins misses 2-pt layup from 3 ft,12,12
24,1,8:21.0,Defensive rebound by K. Love,,12,12
25,1,8:21.0,Turnover by I. Shumpert (bad pass),,12,12
26,1,8:08.0,,D. Cousins makes 2-pt dunk at rim (assist by J. Holiday),12,14
27,1,7:49.0,K. Love misses 2-pt layup from 4 ft (block by A. Davis),,12,14
28,1,7:47.0,Offensive rebound by T. Thompson,,12,14
29,1,7:41.0,Turnover by L. James (bad pass),,12,14
30,1,7:25.0,,Personal foul by L. James (drawn by D. Cunningham),12,14
31,1,7:19.0,,J. Holiday makes 2-pt layup from 2 ft,12,16
32,1,7:19.0,,Shooting foul by T. Thompson (drawn by J. Holiday),12,16
33,1,7:19.0,,J. Holiday makes free throw 1 of 1,12,17
34,1,6:59.0,T. Thompson misses 2-pt hook shot from 6 ft,,12,17
35,1,6:53.0,,Defensive rebound by A. Davis,12,17
36,1,6:40.0,,D. Cousins misses 2-pt jump shot from 8 ft,12,17
37,1,6:40.0,,Offensive rebound by Team,12,17
38,1,6:40.0,,Loose ball foul by A. Davis (drawn by K. Love),12,17
39,1,6:40.0,,New Orleans full timeout,12,17
40,1,6:24.0,L. James misses 2-pt jump shot from 18 ft,,12,17
41,1,6:19.0,,Defensive rebound by E. Moore,12,17
42,1,6:10.0,,Personal foul by K. Love (drawn by A. Davis),12,17
43,1,5:58.0,,A. Davis misses 2-pt hook shot from 8 ft,12,17
44,1,5:54.0,Defensive rebound by K. Love,,12,17
45,1,5:47.0,L. James makes 2-pt jump shot from 14 ft,,14,17
46,1,5:33.0,,A. Davis makes 2-pt jump shot from 9 ft (assist by J. Holiday),14,19
47,1,5:11.0,K. Love makes 3-pt jump shot from 25 ft (assist by L. James),,17,19
48,1,4:57.0,,D. Cousins makes 3-pt jump shot from 24 ft (assist by J. Holiday),17,22
49,1,4:42.0,L. James misses 2-pt jump shot from 8 ft,,17,22
50,1,4:37.0,,Defensive rebound by A. Davis,17,22
51,1,4:35.0,,A. Davis makes 2-pt layup from 2 ft,17,24
52,1,4:19.0,Turnover by I. Shumpert (bad pass; steal by D. Cunningham),,17,24
53,1,4:15.0,,E. Moore makes 2-pt layup from 2 ft (assist by D. Cunningham),17,26
54,1,4:15.0,Cleveland full timeout,,17,26
55,1,4:15.0,,C. Diallo enters the game for D. Cousins,17,26
56,1,4:15.0,,J. Nelson enters the game for E. Moore,17,26
57,1,4:15.0,D. Wade enters the game for J. Smith,,17,26
58,1,4:15.0,K. Korver enters the game for I. Shumpert,,17,26
59,1,4:08.0,Personal foul by D. Cunningham (drawn by L. James),,17,26
60,1,4:08.0,J. Crowder enters the game for T. Thompson,,17,26
61,1,4:01.0,K. Love makes free throw 1 of 1,,18,26
62,1,3:56.0,L. James misses 2-pt layup from 5 ft (block by D. Cunningham),,18,26
63,1,3:50.0,,Defensive rebound by C. Diallo,18,26
64,1,3:45.0,,A. Davis misses 2-pt jump shot from 16 ft,18,26
65,1,3:38.0,Defensive rebound by K. Love,,18,26
66,1,3:36.0,D. Wade misses 2-pt jump shot from 17 ft,,18,26
67,1,3:27.0,,Defensive rebound by A. Davis,18,26
68,1,3:23.0,,C. Diallo misses 2-pt jump shot from 6 ft,18,26
69,1,3:17.0,Defensive rebound by K. Love,,18,26
70,1,3:05.0,Personal foul by C. Diallo (drawn by K. Love),,18,26
71,1,3:05.0,J. Green enters the game for K. Love,,18,26
72,1,2:58.0,J. Crowder misses 2-pt jump shot from 15 ft,,18,26
73,1,2:52.0,,Defensive rebound by A. Davis,18,26
74,1,2:46.0,,J. Holiday makes 3-pt jump shot from 29 ft (assist by J. Nelson),18,29
75,1,2:36.0,D. Wade misses 2-pt jump shot from 9 ft,,18,29
76,1,2:29.0,Offensive rebound by J. Crowder,,18,29
77,1,2:26.0,J. Green misses 3-pt jump shot from 29 ft,,18,29
78,1,2:22.0,,Defensive rebound by J. Nelson,18,29
79,1,2:11.0,,J. Holiday misses 3-pt jump shot from 27 ft,18,29
80,1,2:06.0,Defensive rebound by J. Crowder,,18,29
81,1,2:02.0,Shooting foul by C. Diallo (drawn by L. James),,18,29
82,1,2:02.0,L. James makes free throw 1 of 2,,19,29
83,1,2:02.0,L. James makes free throw 2 of 2,,20,29
84,1,1:49.0,,D. Cunningham makes 2-pt dunk from 2 ft (assist by C. Diallo),20,31
85,1,1:31.0,K. Korver misses 3-pt jump shot from 27 ft,,20,31
86,1,1:26.0,,Defensive rebound by J. Holiday,20,31
87,1,1:19.0,,A. Davis makes 2-pt layup from 3 ft (assist by J. Nelson),20,33
88,1,0:57.0,L. James misses 3-pt jump shot from 24 ft,,20,33
89,1,0:56.0,,Offensive rebound by Team,20,33
90,1,0:43.0,,J. Nelson misses 3-pt jump shot from 28 ft,20,33
91,1,0:37.0,Defensive rebound by J. Crowder,,20,33
92,1,0:34.0,J. Crowder misses 3-pt jump shot from 28 ft,,20,33
93,1,0:26.0,,Defensive rebound by D. Cunningham,20,33
94,1,0:22.0,Offensive charge foul by C. Diallo (drawn by J. Crowder),,20,33
95,1,0:22.0,,Turnover by C. Diallo (offensive foul),20,33
96,1,0:22.0,,J. Smith enters the game for C. Diallo,20,33
97,1,0:22.0,,I. Clark enters the game for J. Holiday,20,33
98,1,0:07.0,J. Green makes 2-pt dunk from 1 ft (assist by D. Wade),,22,33
99,1,0:00.0,,Shooting foul by K. Korver (drawn by A. Davis),22,33
100,1,0:00.0,,A. Davis makes free throw 1 of 2,22,34
101,1,0:00.0,,A. Davis makes free throw 2 of 2,22,35
102,2,11:39.0,J. Crowder makes 3-pt jump shot from 23 ft (assist by D. Wade),,25,35
103,2,11:16.0,,Shooting foul by C. Frye (drawn by D. Cousins),25,35
104,2,11:16.0,,D. Cousins makes free throw 1 of 2,25,36
105,2,11:16.0,,D. Cousins makes free throw 2 of 2,25,37
106,2,11:03.0,D. Wade makes 2-pt layup from 8 ft,,27,37
107,2,10:39.0,,E. Moore makes 3-pt jump shot from 24 ft (assist by I. Clark),27,40
108,2,10:21.0,J. Crowder misses 3-pt jump shot from 26 ft,,27,40
109,2,10:15.0,,Defensive rebound by D. Cousins,27,40
110,2,10:08.0,,Turnover by J. Nelson (bad pass; steal by C. Frye),27,40
111,2,10:06.0,J. Green misses 2-pt layup at rim,,27,40
112,2,10:06.0,,Defensive rebound by D. Cousins,27,40
113,2,9:55.0,J. Green misses 3-pt jump shot from 23 ft,,27,40
114,2,9:49.0,,Defensive rebound by I. Clark,27,40
115,2,9:46.0,Personal foul by J. Smith (drawn by C. Frye),,27,40
116,2,9:46.0,,T. Allen enters the game for J. Smith,27,40
117,2,9:31.0,K. Korver makes 2-pt jump shot from 18 ft (assist by D. Wade),,29,40
118,2,9:21.0,,Turnover by T. Allen (traveling),29,40
119,2,9:05.0,C. Frye misses 3-pt jump shot from 26 ft,,29,40
120,2,9:00.0,,Defensive rebound by D. Cousins,29,40
121,2,8:40.0,,Turnover by E. Moore (traveling),29,40
122,2,8:32.0,D. Wade makes 2-pt layup from 5 ft,,31,40
123,2,8:32.0,Shooting foul by D. Cousins (drawn by D. Wade),,31,40
124,2,8:32.0,D. Wade misses free throw 1 of 1,,31,40
125,2,8:29.0,,Defensive rebound by E. Moore,31,40
126,2,8:16.0,,E. Moore misses 3-pt jump shot from 25 ft,31,40
127,2,8:10.0,Defensive rebound by J. Green,,31,40
128,2,8:06.0,D. Wade makes 2-pt layup from 8 ft,,33,40
129,2,8:01.0,,New Orleans full timeout,33,40
130,2,8:01.0,,A. Davis enters the game for J. Nelson,33,40
131,2,8:01.0,,J. Holiday enters the game for T. Allen,33,40
132,2,7:56.0,,Personal foul by J. Green (drawn by D. Cousins),33,40
133,2,7:44.0,,I. Clark misses 2-pt jump shot from 12 ft,33,40
134,2,7:39.0,Defensive rebound by C. Frye,,33,40
135,2,7:36.0,D. Wade makes 2-pt dunk at rim,,35,40
136,2,7:18.0,,J. Holiday makes 2-pt layup from 1 ft (assist by D. Cousins),35,42
137,2,7:05.0,C. Frye misses 3-pt jump shot from 26 ft,,35,42
138,2,6:59.0,,Defensive rebound by A. Davis,35,42
139,2,6:48.0,,E. Moore makes 2-pt layup from 3 ft (assist by D. Cousins),35,44
140,2,6:47.0,Cleveland full timeout,,35,44
141,2,6:47.0,,D. Cunningham enters the game for D. Cousins,35,44
142,2,6:47.0,L. James enters the game for C. Frye,,35,44
143,2,6:47.0,K. Love enters the game for J. Green,,35,44
144,2,6:42.0,Turnover by L. James (bad pass),,35,44
145,2,6:25.0,,A. Davis misses 2-pt layup from 5 ft,35,44
146,2,6:14.0,,Offensive rebound by A. Davis,35,44
147,2,6:14.0,,A. Davis makes 2-pt layup at rim,35,46
148,2,6:07.0,D. Wade makes 2-pt layup from 9 ft,,37,46
149,2,5:54.0,,Shooting foul by K. Korver (drawn by A. Davis),37,46
150,2,5:54.0,,A. Davis makes free throw 1 of 2,37,47
151,2,5:54.0,J. Smith enters the game for J. Crowder,,37,47
152,2,5:54.0,,A. Davis makes free throw 2 of 2,37,48
153,2,5:54.0,T. Thompson enters the game for K. Korver,,37,48
154,2,5:42.0,T. Thompson makes 2-pt dunk from 2 ft (assist by L. James),,39,48
155,2,5:26.0,,A. Davis misses 2-pt layup from 6 ft,39,48
156,2,5:17.0,Defensive rebound by T. Thompson,,39,48
157,2,5:15.0,K. Love misses 2-pt layup from 4 ft (block by A. Davis),,39,48
158,2,5:08.0,,Defensive rebound by I. Clark,39,48
159,2,5:01.0,,A. Davis misses 2-pt dunk from 2 ft,39,48
160,2,4:54.0,Defensive rebound by J. Smith,,39,48
161,2,4:51.0,K. Love makes 2-pt hook shot from 4 ft (assist by J. Smith),,41,48
162,2,4:34.0,,J. Holiday makes 3-pt jump shot from 26 ft (assist by E. Moore),41,51
163,2,4:18.0,K. Love misses 3-pt jump shot from 23 ft,,41,51
164,2,4:16.0,Offensive rebound by J. Smith,,41,51
165,2,4:16.0,Personal foul by E. Moore (drawn by J. Smith),,41,51
166,2,4:16.0,,D. Cousins enters the game for E. Moore,41,51
167,2,4:16.0,K. Korver enters the game for D. Wade,,41,51
168,2,3:49.0,,J. Holiday makes 2-pt layup from 1 ft,41,53
169,2,3:31.0,T. Thompson misses 2-pt layup from 5 ft (block by A. Davis),,41,53
170,2,3:21.0,,Defensive rebound by D. Cousins,41,53
171,2,3:19.0,,J. Holiday makes 2-pt layup from 2 ft (assist by I. Clark),41,55
172,2,3:02.0,Shooting foul by A. Davis (drawn by T. Thompson),,41,55
173,2,3:02.0,T. Thompson makes free throw 1 of 2,,42,55
174,2,3:02.0,T. Thompson misses free throw 2 of 2,,42,55
175,2,2:58.0,,Defensive rebound by A. Davis,42,55
176,2,2:52.0,,D. Cousins makes 2-pt hook shot from 3 ft (assist by J. Holiday),42,57
177,2,2:40.0,K. Korver makes 3-pt jump shot from 26 ft (assist by L. James),,45,57
178,2,2:25.0,,I. Clark misses 2-pt jump shot from 7 ft (block by K. Korver),45,57
179,2,2:23.0,Defensive rebound by T. Thompson,,45,57
180,2,2:23.0,,Offensive charge foul by L. James (drawn by A. Davis),45,57
181,2,2:23.0,Turnover by L. James (offensive foul),,45,57
182,2,2:17.0,,I. Clark makes 3-pt jump shot from 28 ft (assist by D. Cousins),45,60
183,2,1:57.0,Shooting foul by I. Clark (drawn by K. Love),,45,60
184,2,1:57.0,K. Love makes free throw 1 of 2,,46,60
185,2,1:57.0,D. Wade enters the game for K. Korver,,46,60
186,2,1:57.0,K. Love makes free throw 2 of 2,,47,60
187,2,1:47.0,,Turnover by D. Cousins (bad pass; steal by K. Love),47,60
188,2,1:40.0,T. Thompson makes 2-pt dunk from 2 ft (assist by L. James),,49,60
189,2,1:17.0,,I. Clark misses 3-pt jump shot from 28 ft,49,60
190,2,1:13.0,Defensive rebound by K. Love,,49,60
191,2,1:09.0,Turnover by L. James (lost ball; steal by D. Cousins),,49,60
192,2,1:03.0,,D. Cousins makes 2-pt layup from 3 ft (assist by D. Cunningham),49,62
193,2,1:03.0,Shooting foul by D. Cunningham (drawn by L. James),,49,62
194,2,0:52.0,L. James makes free throw 2 of 2,,50,62
195,2,0:52.0,L. James misses free throw 1 of 2,,50,62
196,2,0:52.0,Offensive rebound by Team,,50,62
197,2,0:52.0,,E. Moore enters the game for D. Cunningham,50,62
198,2,0:41.0,,A. Davis misses 2-pt jump shot from 14 ft,50,62
199,2,0:34.0,Defensive rebound by K. Love,,50,62
200,2,0:28.0,D. Wade misses 2-pt jump shot from 20 ft,,50,62
201,2,0:24.0,,Defensive rebound by J. Holiday,50,62
202,2,0:24.0,,E. Moore makes 3-pt jump shot from 26 ft (assist by J. Holiday),50,65
203,2,0:24.0,Cleveland full timeout,,50,65
204,2,0:24.0,,J. Smith enters the game for D. Cousins,50,65
205,2,0:24.0,,T. Allen enters the game for A. Davis,50,65
206,2,0:24.0,K. Korver enters the game for T. Thompson,,50,65
207,2,0:01.0,Shooting foul by T. Allen (drawn by K. Love),,50,65
208,2,0:01.0,K. Love makes free throw 1 of 2,,51,65
209,2,0:01.0,J. Green enters the game for L. James,,51,65
210,2,0:01.0,K. Love makes free throw 2 of 2,,52,65
211,2,0:00.0,,T. Allen misses 3-pt jump shot from 53 ft,52,65
212,2,0:00.0,Defensive rebound by Team,,52,65
213,3,11:46.0,J. Smith misses 3-pt jump shot from 29 ft,,52,65
214,3,11:42.0,,Defensive rebound by A. Davis,52,65
