,QUARTER,TIME_REMAINING,UTAH_ACTION,NEW YORK_ACTION,UTAH_SCORE,NEW YORK_SCORE
0,1,11:40.0,,K. Porziņģis misses 2-pt jump shot from 18 ft,0,0
1,1,11:39.0,Defensive rebound by Team,,0,0
2,1,11:26.0,D. Mitchell makes 2-pt dunk from 1 ft (assist by R. Rubio),,2,0
3,1,11:09.0,,Turnover by T. Hardaway (traveling),2,0
4,1,10:58.0,J. Jerebko misses 3-pt jump shot from 25 ft,,2,0
5,1,10:57.0,,Defensive rebound by C. Lee,2,0
6,1,10:49.0,,K. Porziņģis misses 2-pt jump shot from 9 ft,2,0
7,1,10:48.0,Defensive rebound by D. Favors,,2,0
8,1,10:34.0,J. Jerebko misses 3-pt jump shot from 26 ft,,2,0
9,1,10:28.0,Offensive rebound by D. Favors,,2,0
10,1,10:28.0,D. Favors misses 2-pt layup at rim,,2,0
11,1,10:28.0,,Defensive rebound by E. Freedom,2,0
12,1,10:23.0,,C. Lee makes 2-pt jump shot from 11 ft,2,2
13,1,10:05.0,Turnover by D. Mitchell (bad pass),,2,2
14,1,9:53.0,,Shooting foul by D. Mitchell (drawn by C. Lee),2,2
15,1,9:53.0,,C. Lee makes free throw 2 of 2,2,3
16,1,9:53.0,,C. Lee makes free throw 1 of 2,2,4
17,1,9:45.0,Personal foul by J. Jack (drawn by R. Rubio),,2,4
18,1,9:38.0,D. Mitchell makes 2-pt layup at rim (assist by R. Rubio),,4,4
19,1,9:26.0,,E. Freedom makes 2-pt layup from 1 ft (assist by T. Hardaway),4,6
20,1,9:12.0,D. Mitchell makes 2-pt jump shot from 15 ft (assist by D. Favors),,6,6
21,1,9:00.0,,Shooting foul by J. Jerebko (drawn by K. Porziņģis),6,6
22,1,9:00.0,,K. Porziņģis makes free throw 1 of 2,6,7
23,1,9:00.0,,K. Porziņģis makes free throw 2 of 2,6,8
24,1,8:48.0,D. Mitchell misses 3-pt jump shot from 24 ft,,6,8
25,1,8:44.0,,Defensive rebound by C. Lee,6,8
26,1,8:40.0,,K. Porziņģis misses 2-pt jump shot from 14 ft,6,8
27,1,8:39.0,Defensive rebound by D. Mitchell,,6,8
28,1,8:22.0,R. Rubio makes 2-pt jump shot from 14 ft (assist by D. Favors),,8,8
29,1,8:09.0,,C. Lee makes 3-pt jump shot from 23 ft (assist by J. Jack),8,11
30,1,7:45.0,J. Ingles makes 3-pt jump shot from 25 ft,,11,11
31,1,7:32.0,,K. Porziņģis makes 2-pt jump shot from 8 ft (assist by T. Hardaway),11,13
32,1,7:20.0,R. Rubio misses 3-pt jump shot from 22 ft,,11,13
33,1,7:19.0,,Defensive rebound by J. Jack,11,13
34,1,7:08.0,,T. Hardaway makes 2-pt jump shot from 16 ft,11,15
35,1,6:59.0,Offensive foul by J. Ingles (drawn by T. Hardaway),,11,15
36,1,6:59.0,Turnover by J. Ingles (offensive foul),,11,15
37,1,6:59.0,,New York full timeout,11,15
38,1,6:59.0,R. Hood enters the game for R. Rubio,,11,15
39,1,6:49.0,,C. Lee misses 2-pt jump shot from 7 ft (block by D. Favors),11,15
40,1,6:48.0,Defensive rebound by J. Jerebko,,11,15
41,1,6:36.0,J. Ingles makes 3-pt jump shot from 25 ft (assist by D. Favors),,14,15
42,1,6:20.0,,K. Porziņģis misses 2-pt jump shot from 8 ft,14,15
43,1,6:19.0,Defensive rebound by R. Hood,,14,15
44,1,6:13.0,R. Hood makes 3-pt jump shot from 25 ft,,17,15
45,1,5:55.0,,E. Freedom makes 2-pt layup from 1 ft (assist by J. Jack),17,17
46,1,5:38.0,D. Favors misses 2-pt jump shot from 18 ft,,17,17
47,1,5:37.0,,Defensive rebound by K. Porziņģis,17,17
48,1,5:24.0,,E. Freedom makes 2-pt hook shot from 3 ft,17,19
49,1,5:08.0,D. Mitchell makes 2-pt layup from 1 ft,,19,19
50,1,5:01.0,,Shooting foul by J. Ingles (drawn by K. Porziņģis),19,19
51,1,5:01.0,,D. McDermott enters the game for C. Lee,19,19
52,1,5:01.0,A. Burks enters the game for J. Ingles,,19,19
53,1,5:01.0,T. Sefolosha enters the game for J. Jerebko,,19,19
54,1,5:01.0,,K. Porziņģis misses free throw 1 of 2,19,19
55,1,5:01.0,,Offensive rebound by Team,19,19
56,1,5:01.0,,K. Porziņģis makes free throw 2 of 2,19,20
57,1,4:48.0,R. Hood makes 2-pt jump shot from 12 ft,,21,20
