,QUARTER,TIME_REMAINING,INDIANA_ACTION,WASHINGTON_ACTION,INDIANA_SCORE,WASHINGTON_SCORE
0,1,11:48.0,,O. Porter misses 2-pt jump shot from 17 ft,0,0
1,1,11:44.0,Defensive rebound by V. Oladipo,,0,0
2,1,11:29.0,V. Oladipo makes 2-pt jump shot from 20 ft,,2,0
3,1,11:12.0,,B. Beal makes 2-pt jump shot from 17 ft,2,2
4,1,10:54.0,M. Turner misses 2-pt layup from 3 ft,,2,2
5,1,10:52.0,Offensive rebound by M. Turner,,2,2
6,1,10:52.0,M. Turner misses 2-pt layup from 2 ft,,2,2
7,1,10:49.0,,Defensive rebound by M. Gortat,2,2
8,1,10:34.0,,M. Gortat misses 2-pt jump shot from 9 ft,2,2
9,1,10:32.0,Defensive rebound by V. Oladipo,,2,2
10,1,10:25.0,M. Turner makes 3-pt jump shot from 27 ft (assist by V. Oladipo),,5,2
11,1,10:12.0,,B. Beal misses 3-pt jump shot from 26 ft,5,2
12,1,10:12.0,Defensive rebound by M. Turner,,5,2
13,1,10:01.0,B. Bogdanović makes 2-pt jump shot from 19 ft (assist by C. Joseph),,7,2
14,1,9:48.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by T. Satoranský),7,5
15,1,9:42.0,Personal block foul by B. Beal (drawn by V. Oladipo),,7,5
16,1,9:37.0,Def 3 sec tech foul by M. Morris,,7,5
17,1,9:37.0,B. Bogdanović makes technical free throw,,8,5
18,1,9:30.0,B. Bogdanović misses 2-pt layup from 3 ft,,8,5
19,1,9:27.0,,Defensive rebound by O. Porter,8,5
20,1,9:17.0,,M. Gortat misses 2-pt hook shot from 9 ft,8,5
21,1,9:17.0,,Offensive rebound by Team,8,5
22,1,9:17.0,Loose ball foul by B. Bogdanović (drawn by T. Satoranský),,8,5
23,1,9:09.0,,Turnover by B. Beal (bad pass; steal by T. Young),8,5
24,1,9:02.0,C. Joseph makes 2-pt jump shot from 15 ft,,10,5
25,1,8:38.0,,B. Beal misses 2-pt jump shot from 10 ft,10,5
26,1,8:36.0,Defensive rebound by M. Turner,,10,5
27,1,8:30.0,V. Oladipo makes 2-pt layup from 2 ft,,12,5
28,1,8:30.0,,Washington full timeout,12,5
29,1,8:11.0,,M. Morris makes 2-pt jump shot from 15 ft,12,7
30,1,7:58.0,C. Joseph misses 2-pt jump shot from 21 ft,,12,7
31,1,7:55.0,,Defensive rebound by B. Beal,12,7
32,1,7:44.0,,O. Porter misses 2-pt jump shot from 10 ft,12,7
33,1,7:41.0,,Offensive rebound by M. Gortat,12,7
34,1,7:41.0,,M. Gortat makes 2-pt layup at rim,12,9
35,1,7:35.0,Shooting foul by O. Porter (drawn by V. Oladipo),,12,9
36,1,7:35.0,V. Oladipo makes free throw 1 of 2,,13,9
37,1,7:35.0,V. Oladipo makes free throw 2 of 2,,14,9
38,1,7:17.0,,O. Porter misses 3-pt jump shot from 23 ft,14,9
39,1,7:11.0,,Offensive rebound by M. Gortat,14,9
40,1,7:11.0,,M. Gortat makes 2-pt layup at rim,14,11
41,1,7:01.0,V. Oladipo misses 2-pt jump shot from 15 ft,,14,11
42,1,7:00.0,,Defensive rebound by T. Satoranský,14,11
43,1,6:52.0,,M. Gortat misses 2-pt layup at rim,14,11
44,1,6:50.0,Defensive rebound by T. Young,,14,11
45,1,6:36.0,Turnover by T. Young (bad pass),,14,11
46,1,6:20.0,,M. Gortat misses 2-pt hook shot from 9 ft,14,11
47,1,6:18.0,,Offensive rebound by M. Gortat,14,11
48,1,6:17.0,,B. Beal misses 3-pt jump shot from 29 ft,14,11
49,1,6:15.0,Defensive rebound by B. Bogdanović,,14,11
50,1,6:10.0,B. Bogdanović makes 2-pt jump shot from 17 ft,,16,11
51,1,5:54.0,,M. Morris makes 2-pt jump shot from 17 ft (assist by B. Beal),16,13
52,1,5:37.0,C. Joseph makes 2-pt jump shot from 1 ft,,18,13
53,1,5:29.0,Violation by M. Turner (kicked ball),,18,13
54,1,5:15.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by B. Beal),18,16
55,1,4:54.0,M. Turner misses 2-pt hook shot from 14 ft,,18,16
56,1,4:50.0,,Defensive rebound by M. Morris,18,16
57,1,4:29.0,,O. Porter misses 2-pt jump shot from 15 ft,18,16
58,1,4:26.0,Defensive rebound by M. Turner,,18,16
59,1,4:21.0,V. Oladipo makes 2-pt layup from 2 ft,,20,16
60,1,4:06.0,,T. Satoranský misses 2-pt jump shot from 10 ft,20,16
61,1,4:04.0,Defensive rebound by M. Turner,,20,16
62,1,4:02.0,Personal foul by T. Satoranský (drawn by V. Oladipo),,20,16
63,1,4:02.0,,I. Mahinmi enters the game for O. Porter,20,16
64,1,4:02.0,,J. Meeks enters the game for M. Gortat,20,16
65,1,4:02.0,D. Sabonis enters the game for T. Young,,20,16
66,1,3:50.0,B. Bogdanović misses 2-pt layup from 2 ft,,20,16
67,1,3:47.0,,Defensive rebound by I. Mahinmi,20,16
68,1,3:34.0,,B. Beal misses 2-pt jump shot from 15 ft,20,16
69,1,3:30.0,Defensive rebound by M. Turner,,20,16
70,1,3:20.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by M. Turner),,23,16
71,1,2:55.0,,Turnover by I. Mahinmi (lost ball; steal by C. Joseph),23,16
