,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,MEMPHIS_ACTION,LA CLIPPERS_SCORE,MEMPHIS_SCORE
0,1,11:46.0,M. Teodosić makes 2-pt jump shot from 20 ft (assist by D. Jordan),,2,0
1,1,11:28.0,,A. Harrison misses 3-pt jump shot from 23 ft,2,0
2,1,11:26.0,Defensive rebound by A. Rivers,,2,0
3,1,11:13.0,M. Teodosić makes 2-pt jump shot from 21 ft (assist by D. Jordan),,4,0
4,1,10:47.0,,T. Evans makes 3-pt jump shot from 24 ft (assist by C. Parsons),4,3
5,1,10:33.0,A. Rivers misses 3-pt jump shot from 26 ft,,4,3
6,1,10:31.0,,Defensive rebound by T. Evans,4,3
7,1,10:25.0,,M. Gasol misses 2-pt jump shot from 21 ft,4,3
8,1,10:22.0,Defensive rebound by J. Wilson,,4,3
9,1,10:13.0,Turnover by M. Teodosić (bad pass; steal by T. Evans),,4,3
10,1,10:09.0,,A. Harrison makes 2-pt layup at rim (assist by T. Evans),4,5
11,1,10:09.0,,Shooting foul by J. Wilson (drawn by A. Harrison),4,5
12,1,10:09.0,,A. Harrison makes free throw 1 of 1,4,6
13,1,9:53.0,J. Wilson makes 3-pt jump shot from 27 ft (assist by A. Rivers),,7,6
14,1,9:43.0,,T. Evans misses 2-pt layup from 4 ft,7,6
15,1,9:41.0,,Offensive rebound by T. Evans,7,6
16,1,9:37.0,,Turnover by C. Parsons (bad pass; steal by C. Williams),7,6
17,1,9:33.0,C. Williams makes 2-pt layup at rim,,9,6
18,1,9:20.0,,C. Parsons misses 3-pt jump shot from 25 ft,9,6
19,1,9:18.0,Defensive rebound by D. Jordan,,9,6
20,1,9:04.0,A. Rivers makes 2-pt jump shot from 17 ft,,11,6
21,1,8:49.0,,A. Harrison makes 2-pt layup at rim,11,8
22,1,8:42.0,C. Williams makes 3-pt jump shot from 25 ft (assist by M. Teodosić),,14,8
23,1,8:41.0,,Memphis full timeout,14,8
