,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DENVER_ACTION,BROOKLYN_SCORE,DENVER_SCORE
0,1,11:47.0,T. Mozgov misses 3-pt jump shot from 81 ft (block by N. Jokić),,0,0
1,1,11:47.0,,Defensive rebound by W. Chandler,0,0
2,1,11:40.0,,W. Chandler misses 3-pt jump shot from 24 ft,0,0
3,1,11:37.0,Defensive rebound by D. Carroll,,0,0
4,1,11:23.0,D. Carroll misses 3-pt jump shot from 22 ft,,0,0
5,1,11:21.0,,Defensive rebound by G. Harris,0,0
6,1,11:15.0,,G. Harris misses 2-pt jump shot from 12 ft (block by D. Russell),0,0
7,1,11:15.0,Defensive rebound by A. Crabbe,,0,0
8,1,11:03.0,D. Russell makes 2-pt jump shot from 22 ft,,2,0
9,1,10:38.0,,P. Millsap misses 2-pt jump shot from 11 ft,2,0
10,1,10:36.0,Defensive rebound by A. Crabbe,,2,0
11,1,10:29.0,Turnover by D. Russell (bad pass; steal by N. Jokić),,2,0
12,1,10:21.0,,G. Harris misses 2-pt jump shot from 13 ft,2,0
13,1,10:17.0,Defensive rebound by T. Mozgov,,2,0
14,1,10:06.0,S. Dinwiddie misses 2-pt jump shot from 9 ft (block by N. Jokić),,2,0
15,1,10:03.0,,Defensive rebound by N. Jokić,2,0
16,1,10:01.0,,N. Jokić makes 2-pt layup from 2 ft,2,2
17,1,9:35.0,D. Russell misses 2-pt jump shot from 22 ft,,2,2
18,1,9:34.0,Offensive rebound by T. Mozgov,,2,2
19,1,9:13.0,A. Crabbe misses 3-pt jump shot from 25 ft,,2,2
20,1,9:11.0,,Defensive rebound by Team,2,2
21,1,8:59.0,,N. Jokić misses 3-pt jump shot from 25 ft,2,2
22,1,8:53.0,,Offensive rebound by W. Chandler,2,2
23,1,8:53.0,,W. Chandler misses 2-pt layup at rim,2,2
24,1,8:53.0,Defensive rebound by S. Dinwiddie,,2,2
25,1,8:46.0,D. Carroll makes 2-pt jump shot from 17 ft (assist by S. Dinwiddie),,4,2
26,1,8:34.0,,G. Harris misses 3-pt jump shot from 24 ft,4,2
27,1,8:31.0,Defensive rebound by D. Carroll,,4,2
28,1,8:19.0,D. Russell misses 2-pt jump shot from 14 ft,,4,2
29,1,8:17.0,,Defensive rebound by G. Harris,4,2
30,1,8:05.0,,P. Millsap makes 2-pt layup from 6 ft,4,4
31,1,7:52.0,A. Crabbe makes 3-pt jump shot from 25 ft (assist by D. Russell),,7,4
32,1,7:35.0,,N. Jokić makes 2-pt jump shot from 19 ft (assist by J. Murray),7,6
33,1,7:13.0,Turnover by D. Russell (turnover),,7,6
34,1,7:01.0,,Turnover by P. Millsap (traveling),7,6
35,1,6:49.0,Turnover by T. Mozgov (turnover),,7,6
36,1,6:49.0,,Denver full timeout,7,6
37,1,6:49.0,J. Harris enters the game for D. Carroll,,7,6
38,1,6:49.0,T. Zeller enters the game for T. Mozgov,,7,6
39,1,6:49.0,D. Carroll enters the game for S. Dinwiddie,,7,6
40,1,6:40.0,,N. Jokić misses 2-pt jump shot from 20 ft,7,6
41,1,6:37.0,Defensive rebound by D. Russell,,7,6
42,1,6:34.0,Turnover by D. Russell (lost ball; steal by J. Murray),,7,6
43,1,6:34.0,,Personal foul by D. Russell (drawn by J. Murray),7,6
44,1,6:34.0,,J. Murray makes clear path free throw 2 of 2,7,7
45,1,6:34.0,,J. Murray makes clear path free throw 1 of 2,7,8
46,1,6:23.0,,N. Jokić makes 3-pt jump shot from 25 ft,7,11
47,1,5:58.0,T. Zeller makes 2-pt jump shot from 16 ft (assist by A. Crabbe),,9,11
48,1,5:44.0,,N. Jokić misses 3-pt jump shot from 24 ft,9,11
49,1,5:41.0,Defensive rebound by D. Russell,,9,11
50,1,5:36.0,A. Crabbe misses 3-pt jump shot from 25 ft,,9,11
51,1,5:33.0,,Defensive rebound by G. Harris,9,11
52,1,5:30.0,,P. Millsap makes 2-pt layup from 3 ft (assist by J. Murray),9,13
53,1,5:19.0,T. Zeller makes 2-pt layup from 6 ft (assist by D. Russell),,11,13
54,1,5:11.0,,Shooting foul by D. Carroll (drawn by N. Jokić),11,13
55,1,5:11.0,,N. Jokić makes free throw 1 of 2,11,14
56,1,5:11.0,,W. Barton enters the game for P. Millsap,11,14
57,1,5:11.0,,N. Jokić misses free throw 2 of 2,11,14
58,1,5:09.0,Defensive rebound by D. Carroll,,11,14
59,1,4:48.0,D. Carroll makes 2-pt layup from 3 ft,,13,14
60,1,4:32.0,,G. Harris makes 3-pt jump shot from 24 ft (assist by N. Jokić),13,17
61,1,4:14.0,Turnover by D. Carroll (lost ball; steal by W. Barton),,13,17
62,1,4:10.0,,Turnover by J. Murray (bad pass),13,17
63,1,4:10.0,Brooklyn full timeout,,13,17
64,1,4:10.0,,E. Mudiay enters the game for N. Jokić,13,17
65,1,4:10.0,,M. Plumlee enters the game for J. Murray,13,17
66,1,4:10.0,C. LeVert enters the game for D. Russell,,13,17
67,1,4:10.0,S. Dinwiddie enters the game for D. Carroll,,13,17
68,1,4:10.0,Q. Acy enters the game for A. Crabbe,,13,17
69,1,3:47.0,Turnover by J. Harris (bad pass; steal by G. Harris),,13,17
70,1,3:42.0,,G. Harris misses 2-pt jump shot from 20 ft,13,17
71,1,3:38.0,Defensive rebound by T. Zeller,,13,17
72,1,3:26.0,Q. Acy misses 3-pt jump shot from 24 ft,,13,17
73,1,3:23.0,,Defensive rebound by M. Plumlee,13,17
74,1,3:08.0,,W. Barton makes 2-pt layup from 3 ft,13,19
75,1,2:57.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,13,19
76,1,2:57.0,Offensive rebound by Q. Acy,,13,19
77,1,2:48.0,S. Dinwiddie misses 2-pt layup from 4 ft (block by M. Plumlee),,13,19
78,1,2:48.0,Offensive rebound by Team,,13,19
79,1,2:48.0,,P. Millsap enters the game for W. Chandler,13,19
80,1,2:35.0,S. Dinwiddie misses 2-pt layup from 2 ft,,13,19
81,1,2:34.0,,Defensive rebound by M. Plumlee,13,19
82,1,2:29.0,,Shooting block foul by T. Zeller (drawn by M. Plumlee),13,19
83,1,2:29.0,,M. Plumlee makes free throw 1 of 2,13,20
84,1,2:29.0,,M. Plumlee makes free throw 2 of 2,13,21
85,1,2:10.0,T. Zeller makes 2-pt layup from 4 ft,,15,21
86,1,2:10.0,Shooting foul by M. Plumlee (drawn by T. Zeller),,15,21
87,1,2:10.0,T. Zeller misses free throw 1 of 1,,15,21
88,1,2:08.0,,Defensive rebound by W. Barton,15,21
89,1,1:52.0,,E. Mudiay misses 2-pt layup from 2 ft (block by T. Zeller),15,21
90,1,1:52.0,,Offensive rebound by E. Mudiay,15,21
91,1,1:46.0,,Shooting foul by Q. Acy (drawn by P. Millsap),15,21
92,1,1:46.0,,P. Millsap makes free throw 1 of 2,15,22
93,1,1:46.0,,P. Millsap makes free throw 2 of 2,15,23
94,1,1:30.0,Turnover by C. LeVert (bad pass; steal by G. Harris),,15,23
95,1,1:24.0,,W. Barton makes 2-pt layup from 2 ft (assist by G. Harris),15,25
96,1,1:15.0,C. LeVert misses 3-pt jump shot from 25 ft,,15,25
97,1,1:11.0,,Defensive rebound by Team,15,25
98,1,1:04.0,,P. Millsap misses 3-pt jump shot from 24 ft,15,25
99,1,0:59.0,Defensive rebound by J. Harris,,15,25
100,1,0:54.0,C. LeVert makes 2-pt layup from 3 ft,,17,25
101,1,0:41.0,,W. Barton makes 3-pt jump shot from 24 ft (assist by G. Harris),17,28
102,1,0:31.0,C. LeVert makes 2-pt layup from 2 ft,,19,28
103,1,0:13.0,,E. Mudiay misses 3-pt jump shot from 25 ft,19,28
104,1,0:08.0,Defensive rebound by Q. Acy,,19,28
105,1,0:08.0,Personal take foul by G. Harris (drawn by S. Dinwiddie),,19,28
106,1,0:08.0,,M. Beasley enters the game for G. Harris,19,28
107,1,0:08.0,A. Crabbe enters the game for C. LeVert,,19,28
108,1,0:02.0,S. Dinwiddie makes 2-pt hook shot from 5 ft,,21,28
109,2,11:42.0,,W. Barton misses 3-pt jump shot from 25 ft,21,28
110,2,11:39.0,Defensive rebound by S. Dinwiddie,,21,28
111,2,11:19.0,T. Zeller makes 2-pt jump shot from 17 ft (assist by J. Wiley),,23,28
112,2,11:07.0,,N. Jokić misses 2-pt jump shot from 18 ft,23,28
113,2,11:04.0,,Offensive rebound by E. Mudiay,23,28
114,2,11:02.0,,M. Beasley misses 3-pt jump shot from 24 ft,23,28
115,2,11:02.0,Defensive rebound by T. Zeller,,23,28
116,2,10:51.0,T. Zeller misses 2-pt jump shot from 20 ft,,23,28
117,2,10:48.0,,Defensive rebound by N. Jokić,23,28
118,2,10:37.0,,K. Faried misses 2-pt hook shot from 4 ft,23,28
119,2,10:34.0,Defensive rebound by J. Wiley,,23,28
120,2,10:16.0,C. LeVert makes 2-pt jump shot from 14 ft,,25,28
121,2,10:14.0,,Denver full timeout,25,28
122,2,10:05.0,,N. Jokić misses 2-pt jump shot from 21 ft,25,28
123,2,10:01.0,Defensive rebound by C. LeVert,,25,28
124,2,9:57.0,Shooting foul by N. Jokić (drawn by J. Wiley),,25,28
125,2,9:57.0,J. Wiley misses free throw 1 of 2,,25,28
126,2,9:57.0,Offensive rebound by Team,,25,28
127,2,9:57.0,J. Wiley makes free throw 2 of 2,,26,28
128,2,9:39.0,,N. Jokić misses 3-pt jump shot from 23 ft,26,28
129,2,9:35.0,,Offensive rebound by K. Faried,26,28
130,2,9:31.0,,M. Beasley makes 2-pt layup from 5 ft (assist by K. Faried),26,30
131,2,9:08.0,C. LeVert misses 2-pt jump shot from 18 ft,,26,30
132,2,9:05.0,,Defensive rebound by W. Barton,26,30
133,2,9:01.0,,W. Barton makes 3-pt jump shot from 24 ft,26,33
134,2,8:38.0,S. Dinwiddie makes 3-pt jump shot from 25 ft,,29,33
135,2,8:28.0,,E. Mudiay misses 2-pt jump shot from 15 ft,29,33
136,2,8:22.0,Defensive rebound by J. Harris,,29,33
137,2,8:16.0,J. Harris misses 3-pt jump shot from 25 ft,,29,33
138,2,8:13.0,,Defensive rebound by E. Mudiay,29,33
139,2,8:08.0,,N. Jokić makes 3-pt jump shot from 24 ft (assist by M. Beasley),29,36
140,2,7:35.0,T. Zeller makes 2-pt dunk from 1 ft (assist by S. Dinwiddie),,31,36
141,2,7:24.0,,W. Barton makes 2-pt layup from 2 ft (assist by N. Jokić),31,38
142,2,7:24.0,Brooklyn full timeout,,31,38
143,2,7:24.0,D. Russell enters the game for S. Dinwiddie,,31,38
144,2,7:24.0,Q. Acy enters the game for J. Harris,,31,38
145,2,7:24.0,A. Crabbe enters the game for T. Zeller,,31,38
146,2,7:08.0,Turnover by C. LeVert (bad pass; steal by K. Faried),,31,38
147,2,7:04.0,,Turnover by K. Faried (bad pass; steal by Q. Acy),31,38
148,2,7:01.0,Turnover by Q. Acy (bad pass),,31,38
149,2,6:48.0,,W. Barton misses 3-pt jump shot from 25 ft,31,38
150,2,6:44.0,Defensive rebound by Q. Acy,,31,38
151,2,6:36.0,Q. Acy misses 3-pt jump shot from 25 ft,,31,38
152,2,6:33.0,,Defensive rebound by W. Barton,31,38
153,2,6:27.0,,Shooting foul by A. Crabbe (drawn by W. Barton),31,38
154,2,6:27.0,,W. Barton makes free throw 1 of 2,31,39
