,QUARTER,TIME_REMAINING,ORLANDO_ACTION,OKLAHOMA CITY_ACTION,ORLANDO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:42.0,,S. Adams makes 2-pt layup from 2 ft (assist by R. Westbrook),0,2
1,1,11:20.0,A. Gordon misses 3-pt jump shot from 25 ft,,0,2
2,1,11:16.0,,Defensive rebound by R. Westbrook,0,2
3,1,11:08.0,,Turnover by P. George (bad pass; steal by E. Fournier),0,2
4,1,11:06.0,A. Gordon makes 2-pt dunk from 1 ft (assist by D. Augustin),,2,2
5,1,10:52.0,,C. Anthony misses 2-pt jump shot from 14 ft,2,2
6,1,10:52.0,Defensive rebound by E. Fournier,,2,2
7,1,10:41.0,Shooting foul by S. Adams (drawn by A. Gordon),,2,2
8,1,10:41.0,A. Gordon makes free throw 1 of 2,,3,2
9,1,10:41.0,A. Gordon makes free throw 2 of 2,,4,2
10,1,10:19.0,,P. George misses 2-pt layup from 5 ft (block by N. Vučević),4,2
11,1,10:19.0,,Offensive rebound by Team,4,2
12,1,10:18.0,,J. Huestis misses 2-pt layup at rim,4,2
13,1,10:17.0,,Offensive rebound by J. Huestis,4,2
14,1,10:17.0,,J. Huestis makes 2-pt layup at rim,4,4
15,1,10:02.0,E. Fournier misses 2-pt jump shot from 22 ft,,4,4
16,1,10:02.0,,Defensive rebound by S. Adams,4,4
17,1,9:51.0,,C. Anthony misses 3-pt jump shot from 25 ft,4,4
18,1,9:51.0,Defensive rebound by E. Fournier,,4,4
19,1,9:42.0,D. Augustin makes 2-pt layup from 1 ft,,6,4
20,1,9:21.0,,S. Adams makes 2-pt dunk at rim,6,6
21,1,8:54.0,A. Gordon makes 3-pt jump shot from 24 ft (assist by N. Vučević),,9,6
22,1,8:40.0,,P. George misses 3-pt jump shot from 24 ft,9,6
23,1,8:38.0,,Offensive rebound by S. Adams,9,6
24,1,8:29.0,,S. Adams makes 2-pt layup at rim (assist by R. Westbrook),9,8
25,1,8:17.0,N. Vučević makes 3-pt jump shot from 26 ft (assist by D. Augustin),,12,8
26,1,8:01.0,,R. Westbrook makes 2-pt layup from 1 ft (assist by S. Adams),12,10
27,1,7:50.0,Turnover by D. Augustin (bad pass; steal by S. Adams),,12,10
28,1,7:43.0,,P. George makes 2-pt layup at rim,12,12
29,1,7:23.0,Turnover by N. Vučević (out of bounds lost ball),,12,12
30,1,6:59.0,,S. Adams misses 2-pt jump shot from 15 ft,12,12
31,1,6:56.0,Defensive rebound by A. Gordon,,12,12
32,1,6:47.0,E. Fournier makes 2-pt layup from 1 ft,,14,12
33,1,6:45.0,,Personal foul by J. Simmons (drawn by R. Westbrook),14,12
34,1,6:45.0,,Oklahoma City full timeout,14,12
35,1,6:34.0,,R. Westbrook misses 2-pt jump shot from 18 ft,14,12
36,1,6:30.0,Defensive rebound by D. Augustin,,14,12
