,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,ATLANTA_ACTION,CLEVELAND_SCORE,ATLANTA_SCORE
0,1,11:44.0,Offensive charge foul by K. Bazemore (drawn by K. Love),,0,0
1,1,11:44.0,,Turnover by K. Bazemore (offensive foul),0,0
2,1,11:29.0,Turnover by K. Love (lost ball; steal by K. Bazemore),,0,0
3,1,11:24.0,,T. Prince makes 2-pt layup from 1 ft (assist by K. Bazemore),0,2
4,1,11:04.0,K. Love misses 2-pt jump shot from 14 ft,,0,2
5,1,11:01.0,,Defensive rebound by J. Collins,0,2
6,1,10:50.0,,K. Bazemore misses 2-pt jump shot from 16 ft,0,2
7,1,10:46.0,Defensive rebound by K. Love,,0,2
8,1,10:41.0,J. Crowder misses 3-pt jump shot from 25 ft,,0,2
9,1,10:39.0,Offensive rebound by K. Love,,0,2
10,1,10:39.0,K. Love makes 2-pt jump shot from 1 ft,,2,2
11,1,10:39.0,Shooting foul by L. Babbitt (drawn by K. Love),,2,2
12,1,10:39.0,K. Love makes free throw 1 of 1,,3,2
13,1,10:24.0,,Shooting block foul by K. Love (drawn by T. Prince),3,2
14,1,10:24.0,,T. Prince makes free throw 1 of 2,3,3
15,1,10:24.0,,T. Prince makes free throw 2 of 2,3,4
16,1,10:11.0,K. Love makes 3-pt jump shot from 25 ft (assist by L. James),,6,4
17,1,9:51.0,,T. Prince misses 2-pt layup from 5 ft,6,4
18,1,9:49.0,Defensive rebound by K. Love,,6,4
19,1,9:43.0,J. Smith makes 3-pt jump shot from 24 ft (assist by J. Calderón),,9,4
20,1,9:29.0,,Personal foul by J. Calderón (drawn by D. Schröder),9,4
21,1,9:22.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by D. Schröder),9,6
22,1,9:06.0,L. James makes 2-pt dunk from 2 ft,,11,6
23,1,9:04.0,,Atlanta full timeout,11,6
24,1,8:52.0,,D. Schröder makes 2-pt layup at rim,11,8
25,1,8:37.0,L. James makes 2-pt layup from 1 ft (assist by J. Calderón),,13,8
