,QUARTER,TIME_REMAINING,DALLAS_ACTION,MEMPHIS_ACTION,DALLAS_SCORE,MEMPHIS_SCORE
0,1,11:41.0,,M. Gasol misses 2-pt jump shot from 7 ft,0,0
1,1,11:38.0,Defensive rebound by D. Nowitzki,,0,0
2,1,11:21.0,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by W. Matthews),,3,0
3,1,10:54.0,,M. Gasol makes 2-pt jump shot from 20 ft (assist by C. Parsons),3,2
4,1,10:40.0,D. Smith misses 2-pt jump shot from 10 ft,,3,2
5,1,10:37.0,,Defensive rebound by M. Gasol,3,2
6,1,10:29.0,,D. Brooks makes 3-pt jump shot from 22 ft (assist by C. Parsons),3,5
7,1,10:07.0,H. Barnes misses 2-pt jump shot from 13 ft,,3,5
8,1,10:03.0,,Defensive rebound by J. Green,3,5
9,1,9:53.0,,D. Brooks makes 2-pt layup at rim (assist by M. Chalmers),3,7
10,1,9:38.0,D. Smith misses 3-pt jump shot from 26 ft,,3,7
11,1,9:35.0,,Defensive rebound by J. Green,3,7
12,1,9:20.0,,M. Chalmers misses 2-pt jump shot from 1 ft,3,7
13,1,9:18.0,Defensive rebound by M. Kleber,,3,7
14,1,9:11.0,W. Matthews misses 2-pt jump shot from 10 ft,,3,7
15,1,9:08.0,,Defensive rebound by M. Gasol,3,7
16,1,8:55.0,,M. Gasol misses 2-pt jump shot from 10 ft,3,7
17,1,8:52.0,Defensive rebound by D. Nowitzki,,3,7
18,1,8:48.0,M. Kleber makes 2-pt dunk at rim (assist by D. Smith),,5,7
19,1,8:24.0,,D. Brooks makes 2-pt jump shot from 22 ft (assist by M. Gasol),5,9
20,1,8:03.0,H. Barnes misses 2-pt jump shot from 9 ft,,5,9
21,1,8:00.0,,Defensive rebound by M. Gasol,5,9
22,1,7:58.0,,D. Brooks misses 2-pt jump shot from 1 ft,5,9
23,1,7:56.0,,Offensive rebound by J. Green,5,9
24,1,7:56.0,,J. Green makes 2-pt dunk at rim,5,11
25,1,7:41.0,H. Barnes misses 3-pt jump shot from 25 ft,,5,11
26,1,7:38.0,,Defensive rebound by J. Green,5,11
27,1,7:27.0,,M. Gasol misses 2-pt hook shot from 3 ft,5,11
28,1,7:24.0,Defensive rebound by H. Barnes,,5,11
29,1,7:17.0,D. Smith makes 2-pt layup from 1 ft (assist by H. Barnes),,7,11
30,1,7:01.0,,C. Parsons makes 2-pt jump shot from 14 ft (assist by M. Gasol),7,13
31,1,6:38.0,D. Smith misses 2-pt jump shot from 17 ft,,7,13
32,1,6:36.0,,Defensive rebound by M. Gasol,7,13
33,1,6:27.0,,C. Parsons misses 3-pt jump shot from 25 ft,7,13
34,1,6:24.0,Defensive rebound by H. Barnes,,7,13
35,1,6:21.0,Dallas full timeout,,7,13
36,1,6:21.0,,J. Martin enters the game for C. Parsons,7,13
37,1,6:21.0,,T. Evans enters the game for J. Green,7,13
38,1,6:21.0,J. Barea enters the game for M. Kleber,,7,13
39,1,6:21.0,S. Mejri enters the game for D. Nowitzki,,7,13
40,1,6:21.0,Y. Ferrell enters the game for D. Smith,,7,13
41,1,6:08.0,H. Barnes misses 2-pt layup from 2 ft,,7,13
42,1,6:08.0,Offensive rebound by Team,,7,13
43,1,6:06.0,W. Matthews makes 2-pt layup from 1 ft (assist by J. Barea),,9,13
44,1,5:47.0,,M. Chalmers misses 3-pt jump shot from 22 ft,9,13
45,1,5:41.0,,Offensive rebound by J. Martin,9,13
46,1,5:41.0,,J. Martin misses 2-pt layup at rim,9,13
47,1,5:41.0,Defensive rebound by S. Mejri,,9,13
48,1,5:31.0,H. Barnes misses 2-pt layup from 1 ft (block by M. Gasol),,9,13
49,1,5:31.0,,Defensive rebound by Team,9,13
50,1,5:31.0,,D. Davis enters the game for M. Gasol,9,13
51,1,5:14.0,,M. Chalmers misses 3-pt jump shot from 22 ft,9,13
52,1,5:10.0,Defensive rebound by S. Mejri,,9,13
53,1,4:57.0,Turnover by W. Matthews (bad pass; steal by J. Martin),,9,13
54,1,4:49.0,,D. Davis makes 2-pt dunk at rim (assist by D. Brooks),9,15
55,1,4:24.0,J. Barea misses 3-pt jump shot from 26 ft,,9,15
56,1,4:22.0,,Defensive rebound by Team,9,15
57,1,4:13.0,,D. Davis makes 2-pt dunk at rim (assist by M. Chalmers),9,17
58,1,3:54.0,Shooting foul by J. Martin (drawn by Y. Ferrell),,9,17
59,1,3:54.0,Y. Ferrell makes free throw 1 of 2,,10,17
60,1,3:54.0,D. Powell enters the game for H. Barnes,,10,17
61,1,3:54.0,Y. Ferrell misses free throw 2 of 2,,10,17
62,1,3:52.0,,Defensive rebound by D. Davis,10,17
63,1,3:47.0,,J. Martin misses 3-pt jump shot from 24 ft,10,17
64,1,3:43.0,Defensive rebound by S. Mejri,,10,17
65,1,3:37.0,W. Matthews misses 2-pt jump shot from 8 ft,,10,17
66,1,3:34.0,,Defensive rebound by T. Evans,10,17
67,1,3:30.0,,D. Davis makes 2-pt layup from 1 ft (assist by T. Evans),10,19
68,1,3:19.0,Personal foul by J. Martin (drawn by W. Matthews),,10,19
69,1,3:19.0,,B. McLemore enters the game for D. Brooks,10,19
70,1,3:06.0,D. Harris enters the game for W. Matthews,,10,19
71,1,3:06.0,D. Nowitzki enters the game for S. Mejri,,10,19
72,1,3:03.0,Y. Ferrell misses 3-pt jump shot from 27 ft,,10,19
73,1,3:00.0,,Defensive rebound by J. Martin,10,19
74,1,2:48.0,,T. Evans misses 2-pt layup at rim,10,19
75,1,2:44.0,Defensive rebound by D. Nowitzki,,10,19
76,1,2:33.0,Turnover by D. Nowitzki (out of bounds lost ball),,10,19
77,1,2:33.0,,Memphis full timeout,10,19
78,1,2:22.0,,J. Martin makes 2-pt jump shot from 9 ft (assist by T. Evans),10,21
79,1,2:09.0,D. Nowitzki makes 2-pt jump shot from 18 ft (assist by J. Barea),,12,21
80,1,1:49.0,,D. Davis misses 2-pt jump shot from 11 ft,12,21
81,1,1:45.0,Defensive rebound by Y. Ferrell,,12,21
82,1,1:43.0,Y. Ferrell misses 2-pt layup at rim,,12,21
83,1,1:40.0,,Defensive rebound by D. Davis,12,21
84,1,1:33.0,,M. Chalmers misses 2-pt jump shot from 15 ft,12,21
85,1,1:31.0,Defensive rebound by J. Barea,,12,21
86,1,1:18.0,D. Nowitzki misses 2-pt jump shot from 13 ft,,12,21
87,1,1:10.0,,Defensive rebound by B. McLemore,12,21
88,1,1:05.0,,B. McLemore makes 2-pt layup from 1 ft,12,23
89,1,0:53.0,J. Barea misses 2-pt jump shot from 9 ft,,12,23
90,1,0:48.0,,Defensive rebound by B. McLemore,12,23
91,1,0:46.0,,Personal foul by J. Barea (drawn by B. McLemore),12,23
92,1,0:46.0,,M. Gasol enters the game for J. Martin,12,23
93,1,0:46.0,,J. Ennis enters the game for M. Chalmers,12,23
94,1,0:39.0,,D. Davis makes 2-pt layup from 1 ft (assist by T. Evans),12,25
95,1,0:30.0,D. Harris misses 3-pt jump shot from 26 ft,,12,25
96,1,0:27.0,,Defensive rebound by D. Davis,12,25
97,1,0:17.0,,D. Davis makes 2-pt layup from 1 ft (assist by T. Evans),12,27
98,1,0:06.0,Personal foul by M. Gasol (drawn by D. Nowitzki),,12,27
99,1,0:06.0,,J. Green enters the game for D. Davis,12,27
100,1,0:06.0,,J. Martin enters the game for B. McLemore,12,27
101,1,0:02.0,D. Harris misses 2-pt jump shot from 13 ft,,12,27
102,1,0:02.0,,Defensive rebound by M. Gasol,12,27
103,2,11:47.0,Shooting foul by T. Evans (drawn by D. Powell),,12,27
104,2,11:47.0,D. Powell makes free throw 1 of 2,,13,27
105,2,11:47.0,D. Powell makes free throw 2 of 2,,14,27
106,2,11:34.0,,B. McLemore misses 3-pt jump shot from 22 ft,14,27
107,2,11:31.0,,Offensive rebound by T. Evans,14,27
108,2,11:29.0,,Turnover by T. Evans (lost ball; steal by D. Harris),14,27
109,2,11:23.0,Personal foul by B. McLemore (drawn by J. Barea),,14,27
110,2,11:10.0,D. Nowitzki misses 2-pt jump shot from 11 ft,,14,27
111,2,11:08.0,,Defensive rebound by T. Evans,14,27
112,2,11:01.0,,T. Evans misses 3-pt jump shot from 26 ft,14,27
113,2,10:59.0,Defensive rebound by D. Powell,,14,27
114,2,10:45.0,J. Barea makes 3-pt jump shot from 26 ft (assist by A. Cleveland),,17,27
115,2,10:27.0,,B. McLemore makes 2-pt layup from 3 ft (assist by M. Gasol),17,29
116,2,10:12.0,D. Powell makes 2-pt dunk at rim (assist by J. Barea),,19,29
117,2,9:56.0,Violation by D. Powell (kicked ball),,19,29
118,2,9:56.0,,D. Brooks enters the game for B. McLemore,19,29
119,2,9:48.0,,J. Green misses 2-pt jump shot from 13 ft,19,29
120,2,9:45.0,,Offensive rebound by D. Brooks,19,29
121,2,9:44.0,,D. Brooks misses 2-pt layup from 1 ft,19,29
122,2,9:44.0,Defensive rebound by D. Powell,,19,29
123,2,9:33.0,J. Barea misses 3-pt jump shot from 27 ft,,19,29
124,2,9:31.0,,Defensive rebound by T. Evans,19,29
125,2,9:12.0,,Turnover by M. Gasol (bad pass; steal by D. Harris),19,29
126,2,9:08.0,D. Harris makes 2-pt layup from 1 ft,,21,29
127,2,9:02.0,,Memphis full timeout,21,29
128,2,8:47.0,,Turnover by T. Evans (bad pass; steal by D. Nowitzki),21,29
129,2,8:36.0,D. Harris makes 2-pt layup at rim (assist by J. Barea),,23,29
130,2,8:19.0,,J. Green misses 3-pt jump shot from 23 ft,23,29
131,2,8:15.0,Defensive rebound by D. Harris,,23,29
132,2,8:01.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,23,29
133,2,7:57.0,,Defensive rebound by T. Evans,23,29
134,2,7:54.0,,Offensive foul by M. Gasol (drawn by D. Harris),23,29
135,2,7:54.0,,Turnover by M. Gasol (offensive foul),23,29
136,2,7:54.0,,M. Chalmers enters the game for T. Evans,23,29
137,2,7:54.0,H. Barnes enters the game for D. Nowitzki,,23,29
138,2,7:44.0,H. Barnes makes 2-pt jump shot from 17 ft (assist by J. Barea),,25,29
139,2,7:28.0,,M. Gasol makes 2-pt dunk at rim (assist by M. Chalmers),25,31
140,2,7:15.0,Personal foul by D. Brooks (drawn by D. Powell),,25,31
141,2,7:15.0,N. Noel enters the game for D. Powell,,25,31
142,2,7:12.0,Personal foul by J. Green (drawn by H. Barnes),,25,31
143,2,7:06.0,N. Noel makes 2-pt dunk at rim (assist by J. Barea),,27,31
144,2,6:51.0,,Shooting foul by J. Barea (drawn by M. Chalmers),27,31
145,2,6:51.0,,M. Chalmers makes free throw 1 of 2,27,32
146,2,6:51.0,,D. Davis enters the game for M. Gasol,27,32
147,2,6:51.0,D. Smith enters the game for J. Barea,,27,32
148,2,6:51.0,W. Matthews enters the game for D. Harris,,27,32
149,2,6:51.0,Y. Ferrell enters the game for A. Cleveland,,27,32
150,2,6:51.0,,M. Chalmers makes free throw 2 of 2,27,33
151,2,6:30.0,D. Smith misses 2-pt layup at rim (block by D. Davis),,27,33
152,2,6:26.0,,Defensive rebound by M. Chalmers,27,33
153,2,6:25.0,Violation by D. Smith (kicked ball),,27,33
154,2,6:14.0,,D. Davis makes 2-pt dunk from 2 ft (assist by J. Ennis),27,35
155,2,5:50.0,Turnover by Y. Ferrell (bad pass; steal by M. Chalmers),,27,35
156,2,5:44.0,Offensive charge foul by D. Brooks (drawn by D. Smith),,27,35
157,2,5:44.0,,Turnover by D. Brooks (offensive foul),27,35
158,2,5:23.0,Y. Ferrell misses 2-pt jump shot from 21 ft,,27,35
159,2,5:22.0,,Defensive rebound by J. Ennis,27,35
160,2,5:21.0,,Personal foul by N. Noel (drawn by J. Ennis),27,35
161,2,5:21.0,,C. Parsons enters the game for D. Brooks,27,35
162,2,5:08.0,,M. Chalmers misses 3-pt jump shot from 22 ft,27,35
163,2,5:03.0,Defensive rebound by D. Smith,,27,35
164,2,4:59.0,Turnover by D. Smith (lost ball; steal by J. Green),,27,35
165,2,4:56.0,,Shooting foul by Y. Ferrell (drawn by J. Green),27,35
166,2,4:56.0,,J. Green makes free throw 1 of 2,27,36
167,2,4:56.0,,J. Green makes free throw 2 of 2,27,37
168,2,4:49.0,Personal foul by J. Green (drawn by H. Barnes),,27,37
169,2,4:49.0,H. Barnes misses free throw 1 of 2,,27,37
170,2,4:49.0,Offensive rebound by Team,,27,37
171,2,4:49.0,,J. Martin enters the game for J. Green,27,37
172,2,4:49.0,,T. Evans enters the game for J. Ennis,27,37
173,2,4:49.0,H. Barnes makes free throw 2 of 2,,28,37
174,2,4:24.0,,C. Parsons makes 3-pt jump shot from 24 ft (assist by M. Chalmers),28,40
175,2,4:21.0,Dallas full timeout,,28,40
176,2,3:58.0,D. Smith misses 2-pt jump shot at rim (block by J. Martin),,28,40
177,2,3:54.0,,Defensive rebound by D. Davis,28,40
178,2,3:48.0,,Turnover by M. Chalmers (bad pass),28,40
179,2,3:33.0,H. Barnes misses 2-pt jump shot from 6 ft,,28,40
180,2,3:29.0,,Defensive rebound by M. Chalmers,28,40
181,2,3:24.0,,T. Evans makes 2-pt layup at rim (assist by M. Chalmers),28,42
182,2,3:23.0,Dallas full timeout,,28,42
183,2,3:23.0,D. Harris enters the game for D. Smith,,28,42
184,2,3:23.0,J. Barea enters the game for N. Noel,,28,42
185,2,3:23.0,S. Mejri enters the game for Y. Ferrell,,28,42
186,2,3:07.0,D. Harris misses 3-pt jump shot from 25 ft,,28,42
187,2,3:02.0,Offensive rebound by H. Barnes,,28,42
188,2,3:02.0,H. Barnes makes 2-pt dunk at rim,,30,42
189,2,2:49.0,,Shooting foul by S. Mejri (drawn by D. Davis),30,42
190,2,2:49.0,,D. Davis makes free throw 1 of 2,30,43
191,2,2:49.0,,D. Davis makes free throw 2 of 2,30,44
192,2,2:41.0,W. Matthews misses 3-pt jump shot from 26 ft,,30,44
193,2,2:39.0,,Defensive rebound by Team,30,44
194,2,2:39.0,Loose ball foul by S. Mejri (drawn by J. Martin),,30,44
195,2,2:39.0,,J. Martin makes free throw 1 of 2,30,45
196,2,2:39.0,D. Nowitzki enters the game for S. Mejri,,30,45
197,2,2:39.0,,J. Martin makes free throw 2 of 2,30,46
198,2,2:25.0,D. Nowitzki makes 2-pt jump shot from 6 ft,,32,46
199,2,2:08.0,,T. Evans makes 2-pt jump shot from 19 ft,32,48
200,2,1:57.0,J. Barea misses 2-pt jump shot at rim,,32,48
201,2,1:55.0,,Defensive rebound by M. Chalmers,32,48
202,2,1:48.0,,M. Chalmers makes 2-pt jump shot from 10 ft,32,50
203,2,1:39.0,D. Harris makes 2-pt layup at rim (assist by J. Barea),,34,50
204,2,1:27.0,,Turnover by T. Evans (bad pass; steal by D. Nowitzki),34,50
205,2,1:07.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,34,50
206,2,1:04.0,,Defensive rebound by D. Davis,34,50
207,2,1:01.0,,C. Parsons misses 3-pt jump shot from 26 ft,34,50
208,2,0:58.0,Defensive rebound by H. Barnes,,34,50
209,2,0:51.0,H. Barnes makes 2-pt layup at rim (assist by J. Barea),,36,50
210,2,0:51.0,Shooting foul by J. Martin (drawn by H. Barnes),,36,50
211,2,0:51.0,H. Barnes misses free throw 1 of 1,,36,50
212,2,0:48.0,,Defensive rebound by T. Evans,36,50
213,2,0:35.0,,T. Evans makes 3-pt jump shot from 25 ft,36,53
214,2,0:32.0,D. Nowitzki makes 3-pt jump shot from 26 ft (assist by J. Barea),,39,53
215,2,0:22.0,,Memphis full timeout,39,53
216,2,0:22.0,,M. Gasol enters the game for D. Davis,39,53
217,2,0:10.0,,T. Evans makes 3-pt jump shot from 26 ft,39,56
218,2,0:04.0,D. Nowitzki misses 3-pt jump shot from 26 ft,,39,56
219,2,0:00.0,,Defensive rebound by T. Evans,39,56
220,3,11:45.0,Personal foul by D. Brooks (drawn by D. Nowitzki),,39,56
221,3,11:30.0,M. Kleber misses 2-pt jump shot from 21 ft,,39,56
222,3,11:27.0,,Defensive rebound by J. Green,39,56
223,3,11:13.0,,M. Gasol misses 2-pt jump shot from 15 ft,39,56
224,3,11:10.0,Defensive rebound by D. Nowitzki,,39,56
225,3,11:00.0,D. Smith makes 2-pt layup from 1 ft,,41,56
226,3,10:46.0,,M. Chalmers misses 2-pt jump shot from 7 ft,41,56
227,3,10:42.0,Defensive rebound by M. Kleber,,41,56
228,3,10:34.0,M. Kleber makes 2-pt jump shot from 13 ft (assist by D. Nowitzki),,43,56
229,3,10:34.0,,Memphis full timeout,43,56
230,3,10:19.0,,J. Green makes 2-pt layup at rim (assist by C. Parsons),43,58
231,3,9:59.0,H. Barnes makes 2-pt dunk at rim (assist by W. Matthews),,45,58
232,3,9:40.0,,M. Gasol misses 3-pt jump shot from 24 ft,45,58
233,3,9:38.0,Defensive rebound by H. Barnes,,45,58
234,3,9:27.0,D. Nowitzki misses 2-pt jump shot from 14 ft,,45,58
235,3,9:24.0,,Defensive rebound by M. Gasol,45,58
236,3,9:14.0,,J. Green misses 3-pt jump shot from 23 ft,45,58
237,3,9:11.0,Defensive rebound by M. Kleber,,45,58
238,3,9:03.0,M. Kleber makes 2-pt layup at rim (assist by D. Smith),,47,58
239,3,8:37.0,,M. Gasol misses 2-pt jump shot from 11 ft,47,58
240,3,8:34.0,Defensive rebound by D. Nowitzki,,47,58
241,3,8:26.0,D. Smith misses 3-pt jump shot from 25 ft,,47,58
242,3,8:24.0,,Defensive rebound by M. Chalmers,47,58
243,3,8:17.0,,J. Green misses 3-pt jump shot from 25 ft,47,58
244,3,8:14.0,Defensive rebound by D. Smith,,47,58
245,3,8:02.0,D. Smith makes 3-pt jump shot from 26 ft (assist by W. Matthews),,50,58
246,3,7:38.0,,D. Brooks misses 3-pt jump shot from 26 ft,50,58
247,3,7:37.0,Defensive rebound by Team,,50,58
248,3,7:24.0,H. Barnes makes 2-pt layup at rim,,52,58
249,3,7:11.0,,T. Evans enters the game for C. Parsons,52,58
250,3,7:04.0,,M. Chalmers makes 2-pt layup from 1 ft,52,60
251,3,6:54.0,D. Smith makes 3-pt jump shot from 25 ft,,55,60
252,3,6:43.0,,Personal foul by W. Matthews (drawn by T. Evans),55,60
253,3,6:31.0,,T. Evans makes 2-pt layup from 1 ft (assist by M. Gasol),55,62
254,3,6:17.0,D. Smith makes 3-pt jump shot from 25 ft,,58,62
255,3,5:59.0,,D. Brooks makes 3-pt jump shot from 25 ft (assist by T. Evans),58,65
256,3,5:46.0,D. Smith misses 2-pt jump shot from 8 ft,,58,65
257,3,5:43.0,,Defensive rebound by M. Gasol,58,65
258,3,5:37.0,,M. Chalmers misses 3-pt jump shot from 26 ft,58,65
259,3,5:34.0,Defensive rebound by H. Barnes,,58,65
260,3,5:25.0,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by W. Matthews),,61,65
261,3,4:57.0,,T. Evans makes 2-pt layup from 1 ft,61,67
262,3,4:56.0,Dallas full timeout,,61,67
263,3,4:56.0,,D. Davis enters the game for J. Green,61,67
264,3,4:56.0,,J. Martin enters the game for M. Gasol,61,67
265,3,4:56.0,D. Harris enters the game for D. Smith,,61,67
266,3,4:56.0,J. Barea enters the game for D. Nowitzki,,61,67
267,3,4:56.0,D. Powell enters the game for M. Kleber,,61,67
268,3,4:49.0,Turnover by H. Barnes (bad pass; steal by M. Chalmers),,61,67
269,3,4:47.0,,Turnover by M. Chalmers (bad pass; steal by D. Harris),61,67
270,3,4:44.0,D. Harris makes 2-pt layup from 1 ft,,63,67
271,3,4:30.0,,J. Martin misses 3-pt jump shot from 26 ft,63,67
272,3,4:28.0,Defensive rebound by D. Powell,,63,67
273,3,4:17.0,D. Powell misses 2-pt layup at rim,,63,67
274,3,4:14.0,,Defensive rebound by D. Davis,63,67
275,3,4:09.0,,M. Chalmers misses 3-pt jump shot from 25 ft,63,67
276,3,4:04.0,Defensive rebound by D. Harris,,63,67
277,3,3:57.0,W. Matthews misses 3-pt jump shot from 24 ft,,63,67
278,3,3:53.0,,Defensive rebound by D. Davis,63,67
279,3,3:43.0,,D. Brooks makes 3-pt jump shot from 23 ft (assist by T. Evans),63,70
280,3,3:30.0,Personal foul by M. Chalmers (drawn by J. Barea),,63,70
