,QUARTER,TIME_REMAINING,HOUSTON_ACTION,PHILADELPHIA_ACTION,HOUSTON_SCORE,PHILADELPHIA_SCORE
0,1,11:46.0,,J. Embiid makes 2-pt jump shot from 10 ft,0,2
1,1,11:46.0,,Shooting foul by C. Capela (drawn by J. Embiid),0,2
2,1,11:46.0,,J. Embiid makes free throw 1 of 1,0,3
3,1,11:32.0,R. Anderson makes 2-pt jump shot from 18 ft,,2,3
4,1,11:12.0,,B. Simmons misses 2-pt jump shot from 6 ft,2,3
5,1,11:09.0,,Offensive rebound by B. Simmons,2,3
6,1,11:08.0,,B. Simmons makes 2-pt layup from 1 ft,2,5
7,1,10:57.0,C. Capela misses 2-pt jump shot from 3 ft,,2,5
8,1,10:57.0,Offensive rebound by C. Capela,,2,5
9,1,10:56.0,Shooting foul by R. Covington (drawn by C. Capela),,2,5
10,1,10:56.0,C. Capela makes free throw 1 of 2,,3,5
11,1,10:56.0,C. Capela makes free throw 2 of 2,,4,5
12,1,10:35.0,,J. Embiid misses 3-pt jump shot from 22 ft,4,5
13,1,10:35.0,Defensive rebound by C. Capela,,4,5
14,1,10:20.0,Turnover by J. Harden (bad pass; steal by J. Embiid),,4,5
15,1,10:14.0,,J. Bayless makes 3-pt jump shot from 26 ft (assist by R. Covington),4,8
16,1,10:00.0,E. Gordon misses 3-pt jump shot from 26 ft,,4,8
17,1,10:00.0,,Defensive rebound by J. Embiid,4,8
18,1,9:48.0,,B. Simmons makes 2-pt jump shot from 9 ft (assist by J. Bayless),4,10
19,1,9:36.0,J. Harden misses 2-pt jump shot from 6 ft (block by J. Embiid),,4,10
20,1,9:36.0,,Defensive rebound by B. Simmons,4,10
21,1,9:30.0,,J. Bayless misses 3-pt jump shot from 26 ft,4,10
22,1,9:30.0,Defensive rebound by C. Capela,,4,10
23,1,9:18.0,J. Harden misses 3-pt jump shot from 26 ft,,4,10
24,1,9:18.0,,Defensive rebound by J. Embiid,4,10
25,1,9:02.0,,J. Embiid misses 2-pt jump shot from 12 ft,4,10
26,1,8:56.0,Defensive rebound by E. Gordon,,4,10
27,1,8:51.0,Shooting foul by J. Embiid (drawn by E. Gordon),,4,10
28,1,8:51.0,E. Gordon makes free throw 1 of 2,,5,10
29,1,8:51.0,E. Gordon makes free throw 2 of 2,,6,10
30,1,8:28.0,,R. Covington misses 3-pt jump shot from 28 ft,6,10
31,1,8:24.0,Defensive rebound by E. Gordon,,6,10
32,1,8:20.0,Personal foul by J. Bayless (drawn by J. Harden),,6,10
33,1,8:20.0,,T. McConnell enters the game for J. Embiid,6,10
34,1,8:20.0,,A. Johnson enters the game for J. Bayless,6,10
35,1,8:09.0,J. Harden makes 2-pt jump shot from 14 ft,,8,10
36,1,7:51.0,,B. Simmons makes 2-pt layup from 2 ft,8,12
37,1,7:44.0,E. Gordon misses 3-pt jump shot from 26 ft,,8,12
38,1,7:38.0,,Defensive rebound by R. Covington,8,12
39,1,7:30.0,,B. Simmons misses 2-pt jump shot from 11 ft (block by L. Mbah a Moute),8,12
40,1,7:30.0,,Offensive rebound by A. Johnson,8,12
41,1,7:24.0,,R. Covington misses 3-pt jump shot from 26 ft,8,12
42,1,7:24.0,Defensive rebound by C. Capela,,8,12
43,1,7:15.0,Turnover by J. Harden (lost ball; steal by T. McConnell),,8,12
44,1,7:07.0,,J. Redick makes 3-pt jump shot from 27 ft (assist by T. McConnell),8,15
45,1,7:07.0,Houston full timeout,,8,15
46,1,7:07.0,P. Tucker enters the game for R. Anderson,,8,15
47,1,6:54.0,P. Tucker misses 3-pt jump shot from 26 ft,,8,15
48,1,6:49.0,Offensive rebound by C. Capela,,8,15
49,1,6:48.0,E. Gordon makes 3-pt jump shot from 25 ft (assist by C. Capela),,11,15
50,1,6:29.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by J. Redick),11,18
51,1,6:22.0,Turnover by P. Tucker (bad pass; steal by T. McConnell),,11,18
52,1,6:21.0,,Shooting foul by P. Tucker (drawn by B. Simmons),11,18
53,1,6:21.0,,B. Simmons misses free throw 1 of 2,11,18
54,1,6:21.0,,Offensive rebound by Team,11,18
55,1,6:21.0,,B. Simmons misses free throw 2 of 2,11,18
56,1,6:18.0,Defensive rebound by P. Tucker,,11,18
57,1,6:09.0,J. Harden makes 2-pt layup from 2 ft,,13,18
58,1,5:58.0,,R. Covington misses 3-pt jump shot from 26 ft,13,18
59,1,5:54.0,Defensive rebound by C. Capela,,13,18
60,1,5:46.0,J. Harden makes 2-pt layup from 1 ft,,15,18
61,1,5:30.0,,J. Redick misses 3-pt jump shot from 26 ft,15,18
62,1,5:26.0,,Offensive rebound by T. McConnell,15,18
63,1,5:24.0,,R. Covington makes 3-pt jump shot from 26 ft (assist by T. McConnell),15,21
64,1,5:12.0,E. Gordon makes 2-pt layup from 2 ft (assist by J. Harden),,17,21
65,1,4:59.0,,R. Covington misses 2-pt jump shot from 17 ft,17,21
66,1,4:55.0,Defensive rebound by C. Capela,,17,21
67,1,4:50.0,C. Capela misses 2-pt jump shot from 6 ft (block by B. Simmons),,17,21
68,1,4:50.0,Offensive rebound by Team,,17,21
69,1,4:50.0,I. Canaan enters the game for E. Gordon,,17,21
70,1,4:50.0,T. Black enters the game for C. Capela,,17,21
71,1,4:39.0,J. Harden misses 2-pt jump shot from 6 ft,,17,21
72,1,4:37.0,,Defensive rebound by T. McConnell,17,21
