,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MIAMI_ACTION,WASHINGTON_SCORE,MIAMI_SCORE
0,1,11:42.0,J. Wall makes 3-pt jump shot from 24 ft (assist by B. Beal),,3,0
1,1,11:24.0,,D. Waiters misses 2-pt jump shot from 11 ft,3,0
2,1,11:21.0,Defensive rebound by M. Morris,,3,0
3,1,11:05.0,M. Morris makes 2-pt jump shot from 10 ft,,5,0
4,1,10:45.0,,H. Whiteside misses 2-pt hook shot from 4 ft,5,0
5,1,10:41.0,,Offensive rebound by D. Waiters,5,0
6,1,10:36.0,,Offensive foul by H. Whiteside (drawn by O. Porter),5,0
7,1,10:36.0,,Turnover by H. Whiteside (offensive foul),5,0
8,1,10:23.0,M. Gortat misses 2-pt jump shot from 8 ft,,5,0
9,1,10:22.0,,Defensive rebound by H. Whiteside,5,0
10,1,10:13.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by J. Winslow),5,2
11,1,9:56.0,Shooting foul by D. Waiters (drawn by B. Beal),,5,2
12,1,9:56.0,B. Beal makes free throw 1 of 2,,6,2
13,1,9:56.0,B. Beal makes free throw 2 of 2,,7,2
14,1,9:38.0,,D. Waiters makes 2-pt jump shot from 15 ft,7,4
15,1,9:22.0,M. Morris misses 2-pt hook shot from 4 ft,,7,4
16,1,9:21.0,,Defensive rebound by H. Whiteside,7,4
17,1,9:13.0,,J. Winslow misses 2-pt jump shot from 7 ft,7,4
18,1,9:10.0,Defensive rebound by O. Porter,,7,4
19,1,8:51.0,O. Porter makes 2-pt jump shot from 6 ft,,9,4
20,1,8:37.0,,Shooting foul by M. Morris (drawn by J. Winslow),9,4
21,1,8:37.0,,J. Winslow makes free throw 1 of 2,9,5
22,1,8:37.0,,J. Winslow makes free throw 2 of 2,9,6
23,1,8:24.0,B. Beal misses 3-pt jump shot from 25 ft,,9,6
24,1,8:20.0,,Defensive rebound by J. Winslow,9,6
25,1,8:08.0,,J. Richardson makes 2-pt jump shot from 10 ft,9,8
26,1,7:59.0,J. Wall misses 2-pt jump shot from 20 ft,,9,8
27,1,7:56.0,,Defensive rebound by J. Richardson,9,8
28,1,7:42.0,,H. Whiteside misses 2-pt jump shot from 12 ft,9,8
29,1,7:38.0,Defensive rebound by J. Wall,,9,8
30,1,7:31.0,M. Morris makes 3-pt jump shot from 25 ft (assist by J. Wall),,12,8
31,1,7:16.0,,G. Dragić misses 3-pt jump shot from 25 ft,12,8
32,1,7:13.0,Defensive rebound by M. Gortat,,12,8
33,1,7:05.0,J. Wall misses 2-pt jump shot from 11 ft,,12,8
34,1,7:01.0,,Defensive rebound by H. Whiteside,12,8
35,1,6:46.0,,Miami full timeout,12,8
36,1,6:40.0,,J. Winslow misses 2-pt jump shot from 21 ft,12,8
37,1,6:38.0,Defensive rebound by M. Gortat,,12,8
38,1,6:27.0,M. Morris makes 3-pt jump shot from 23 ft (assist by J. Wall),,15,8
39,1,6:14.0,,G. Dragić misses 2-pt jump shot from 1 ft (block by J. Wall),15,8
40,1,6:05.0,,Offensive rebound by H. Whiteside,15,8
41,1,6:05.0,,H. Whiteside makes 2-pt dunk at rim,15,10
42,1,5:53.0,B. Beal misses 3-pt jump shot from 25 ft,,15,10
43,1,5:51.0,,Defensive rebound by H. Whiteside,15,10
44,1,5:40.0,,H. Whiteside misses 2-pt hook shot from 4 ft,15,10
45,1,5:38.0,Defensive rebound by O. Porter,,15,10
46,1,5:32.0,M. Gortat misses 2-pt layup from 1 ft,,15,10
47,1,5:31.0,Offensive rebound by M. Gortat,,15,10
48,1,5:30.0,Shooting foul by J. Winslow (drawn by M. Gortat),,15,10
49,1,5:30.0,M. Gortat makes free throw 1 of 2,,16,10
50,1,5:30.0,,T. Johnson enters the game for J. Richardson,16,10
51,1,5:30.0,,J. Johnson enters the game for J. Winslow,16,10
52,1,5:30.0,M. Gortat makes free throw 2 of 2,,17,10
53,1,5:12.0,,D. Waiters makes 3-pt jump shot from 23 ft (assist by J. Johnson),17,13
54,1,4:57.0,M. Gortat misses 2-pt jump shot from 7 ft,,17,13
55,1,4:57.0,,Defensive rebound by H. Whiteside,17,13
56,1,4:44.0,,D. Waiters makes 2-pt layup from 1 ft,17,15
57,1,4:30.0,M. Morris makes 2-pt jump shot from 7 ft,,19,15
58,1,4:14.0,,Turnover by D. Waiters (bad pass; steal by J. Wall),19,15
59,1,4:07.0,J. Wall misses 2-pt layup from 1 ft,,19,15
60,1,4:07.0,Offensive rebound by O. Porter,,19,15
61,1,4:05.0,O. Porter makes 2-pt dunk at rim,,21,15
62,1,3:46.0,,Shooting foul by M. Morris (drawn by H. Whiteside),21,15
63,1,3:46.0,,H. Whiteside makes free throw 1 of 2,21,16
64,1,3:46.0,,J. Richardson enters the game for D. Waiters,21,16
65,1,3:46.0,I. Mahinmi enters the game for M. Morris,,21,16
66,1,3:46.0,K. Oubre enters the game for M. Gortat,,21,16
67,1,3:46.0,,H. Whiteside makes free throw 2 of 2,21,17
68,1,3:22.0,J. Wall misses 2-pt jump shot from 11 ft,,21,17
69,1,3:18.0,,Defensive rebound by H. Whiteside,21,17
70,1,3:12.0,,H. Whiteside makes 2-pt dunk at rim (assist by G. Dragić),21,19
71,1,2:49.0,B. Beal makes 2-pt jump shot from 18 ft,,23,19
72,1,2:31.0,,J. Richardson misses 3-pt jump shot from 25 ft,23,19
73,1,2:30.0,,Offensive rebound by H. Whiteside,23,19
74,1,2:28.0,,Turnover by H. Whiteside (bad pass; steal by B. Beal),23,19
75,1,2:17.0,J. Wall makes 3-pt jump shot from 25 ft (assist by K. Oubre),,26,19
76,1,1:55.0,,Turnover by G. Dragić (lost ball; steal by B. Beal),26,19
77,1,1:45.0,J. Wall makes 2-pt layup from 1 ft,,28,19
