,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,CHICAGO_ACTION,LA CLIPPERS_SCORE,CHICAGO_SCORE
0,1,11:46.0,S. Thornwell misses 2-pt jump shot from 14 ft,,0,0
1,1,11:43.0,Offensive rebound by S. Thornwell,,0,0
2,1,11:37.0,T. Harris makes 3-pt jump shot from 25 ft (assist by A. Rivers),,3,0
3,1,11:15.0,,R. Lopez makes 2-pt hook shot from 5 ft,3,2
4,1,11:03.0,T. Harris misses 3-pt jump shot from 24 ft,,3,2
5,1,10:59.0,Offensive rebound by D. Jordan,,3,2
6,1,10:57.0,D. Jordan misses 2-pt layup from 1 ft,,3,2
7,1,10:57.0,Offensive rebound by D. Jordan,,3,2
8,1,10:52.0,D. Jordan makes 2-pt dunk at rim,,5,2
9,1,10:30.0,,K. Dunn misses 2-pt jump shot from 7 ft,5,2
10,1,10:30.0,,Offensive rebound by R. Lopez,5,2
11,1,10:23.0,,D. Nwaba makes 3-pt jump shot from 26 ft (assist by K. Dunn),5,5
12,1,10:05.0,L. Williams makes 2-pt layup at rim (assist by D. Jordan),,7,5
13,1,9:47.0,,N. Vonleh misses 2-pt hook shot from 5 ft,7,5
14,1,9:47.0,Defensive rebound by D. Jordan,,7,5
15,1,9:36.0,A. Rivers misses 3-pt jump shot from 25 ft,,7,5
16,1,9:34.0,,Defensive rebound by Team,7,5
17,1,9:21.0,,N. Vonleh misses 3-pt jump shot from 24 ft,7,5
18,1,9:17.0,Defensive rebound by T. Harris,,7,5
19,1,9:11.0,Personal foul by N. Vonleh (drawn by D. Jordan),,7,5
20,1,9:05.0,Turnover by T. Harris (lost ball; steal by D. Nwaba),,7,5
21,1,8:59.0,,D. Nwaba makes 2-pt dunk from 1 ft,7,7
22,1,8:56.0,L. Williams misses 3-pt jump shot from 26 ft,,7,7
23,1,8:53.0,,Defensive rebound by Z. LaVine,7,7
24,1,8:35.0,,Z. LaVine misses 2-pt jump shot from 19 ft,7,7
25,1,8:32.0,Defensive rebound by A. Rivers,,7,7
26,1,8:13.0,D. Jordan makes 2-pt dunk at rim (assist by A. Rivers),,9,7
27,1,8:02.0,,D. Nwaba misses 2-pt jump shot from 12 ft,9,7
28,1,8:00.0,Defensive rebound by D. Jordan,,9,7
