,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MIAMI_ACTION,PHILADELPHIA_SCORE,MIAMI_SCORE
0,1,11:41.0,J. Embiid makes 2-pt jump shot from 10 ft,,2,0
1,1,11:23.0,,H. Whiteside misses 2-pt jump shot from 13 ft,2,0
2,1,11:21.0,Defensive rebound by B. Simmons,,2,0
3,1,11:14.0,Turnover by D. Šarić (bad pass; steal by T. Johnson),,2,0
4,1,11:08.0,,J. Richardson misses 2-pt jump shot from 12 ft,2,0
5,1,11:06.0,Defensive rebound by B. Simmons,,2,0
6,1,11:05.0,,Offensive charge foul by B. Simmons (drawn by J. Richardson),2,0
7,1,11:05.0,Turnover by B. Simmons (offensive foul),,2,0
8,1,10:44.0,,J. Richardson misses 3-pt jump shot from 23 ft,2,0
9,1,10:42.0,Defensive rebound by J. Embiid,,2,0
10,1,10:32.0,R. Covington misses 3-pt jump shot from 23 ft,,2,0
11,1,10:30.0,,Defensive rebound by G. Dragić,2,0
12,1,10:19.0,,G. Dragić makes 2-pt layup from 1 ft,2,2
13,1,10:02.0,J. Embiid misses 2-pt jump shot from 11 ft,,2,2
14,1,10:02.0,Offensive rebound by Team,,2,2
15,1,10:02.0,,Loose ball foul by J. Winslow (drawn by D. Šarić),2,2
16,1,9:58.0,D. Šarić makes 2-pt layup at rim (assist by R. Covington),,4,2
17,1,9:48.0,,Personal foul by R. Covington (drawn by G. Dragić),4,2
18,1,9:39.0,,T. Johnson misses 2-pt jump shot from 8 ft,4,2
19,1,9:36.0,Defensive rebound by R. Covington,,4,2
20,1,9:32.0,D. Šarić misses 2-pt layup from 1 ft (block by J. Winslow),,4,2
21,1,9:28.0,,Defensive rebound by G. Dragić,4,2
22,1,9:22.0,,T. Johnson makes 2-pt hook shot from 7 ft (assist by G. Dragić),4,4
23,1,9:06.0,J. Embiid makes 2-pt jump shot from 18 ft (assist by B. Simmons),,6,4
24,1,8:52.0,,H. Whiteside misses 2-pt jump shot from 19 ft,6,4
25,1,8:49.0,Defensive rebound by J. Redick,,6,4
26,1,8:44.0,B. Simmons misses 2-pt layup from 1 ft,,6,4
27,1,8:44.0,Offensive rebound by Team,,6,4
28,1,8:41.0,J. Redick misses 3-pt jump shot from 22 ft,,6,4
29,1,8:38.0,,Defensive rebound by H. Whiteside,6,4
30,1,8:30.0,,H. Whiteside makes 2-pt dunk at rim (assist by G. Dragić),6,6
31,1,8:20.0,J. Embiid makes 3-pt jump shot from 25 ft (assist by B. Simmons),,9,6
32,1,8:01.0,,Turnover by T. Johnson (bad pass; steal by R. Covington),9,6
33,1,8:00.0,Personal foul by G. Dragić (drawn by R. Covington),,9,6
34,1,8:00.0,M. Belinelli enters the game for J. Redick,,9,6
35,1,7:48.0,M. Belinelli makes 2-pt layup from 1 ft (assist by J. Embiid),,11,6
36,1,7:37.0,,G. Dragić makes 2-pt jump shot from 16 ft,11,8
37,1,7:26.0,D. Šarić misses 3-pt jump shot from 25 ft,,11,8
38,1,7:23.0,,Defensive rebound by J. Winslow,11,8
39,1,7:20.0,,T. Johnson makes 2-pt jump shot from 20 ft (assist by J. Winslow),11,10
40,1,7:07.0,J. Embiid misses 3-pt jump shot from 25 ft,,11,10
41,1,7:05.0,,Defensive rebound by T. Johnson,11,10
42,1,6:58.0,,G. Dragić makes 2-pt jump shot from 12 ft,11,12
43,1,6:58.0,Philadelphia full timeout,,11,12
44,1,6:58.0,A. Johnson enters the game for J. Embiid,,11,12
45,1,6:41.0,B. Simmons makes 2-pt jump shot from 11 ft,,13,12
46,1,6:23.0,,G. Dragić misses 3-pt jump shot from 22 ft,13,12
47,1,6:21.0,,Offensive rebound by H. Whiteside,13,12
48,1,6:17.0,,Turnover by H. Whiteside (lost ball; steal by B. Simmons),13,12
49,1,6:05.0,B. Simmons misses 2-pt jump shot from 6 ft,,13,12
50,1,6:02.0,,Defensive rebound by G. Dragić,13,12
51,1,5:48.0,,Turnover by J. Winslow (traveling),13,12
52,1,5:48.0,,W. Ellington enters the game for J. Richardson,13,12
53,1,5:48.0,T. McConnell enters the game for R. Covington,,13,12
54,1,5:33.0,D. Šarić misses 2-pt hook shot from 7 ft,,13,12
55,1,5:32.0,,Defensive rebound by Team,13,12
56,1,5:23.0,,Shooting foul by B. Simmons (drawn by W. Ellington),13,12
57,1,5:23.0,,W. Ellington makes free throw 1 of 2,13,13
58,1,5:23.0,,W. Ellington makes free throw 2 of 2,13,14
59,1,5:03.0,B. Simmons misses 2-pt jump shot from 14 ft,,13,14
60,1,4:58.0,,Defensive rebound by W. Ellington,13,14
