,QUARTER,TIME_REMAINING,TORONTO_ACTION,PHILADELPHIA_ACTION,TORONTO_SCORE,PHILADELPHIA_SCORE
0,1,11:41.0,,J. Bayless misses 3-pt jump shot from 22 ft,0,0
1,1,11:39.0,,Offensive rebound by Team,0,0
2,1,11:37.0,,J. Bayless makes 2-pt layup from 1 ft (assist by R. Covington),0,2
3,1,11:23.0,Personal foul by A. Johnson (drawn by J. Valančiūnas),,0,2
4,1,11:21.0,D. DeRozan makes 3-pt jump shot from 22 ft (assist by K. Lowry),,3,2
5,1,11:08.0,,J. Bayless makes 2-pt layup at rim (assist by A. Johnson),3,4
6,1,10:47.0,S. Ibaka makes 2-pt jump shot from 7 ft,,5,4
7,1,10:33.0,,A. Johnson misses 2-pt layup at rim,5,4
8,1,10:33.0,Defensive rebound by J. Valančiūnas,,5,4
9,1,10:23.0,K. Lowry misses 3-pt jump shot from 25 ft,,5,4
10,1,10:19.0,,Defensive rebound by D. Šarić,5,4
11,1,10:14.0,,Turnover by B. Simmons (bad pass; steal by O. Anunoby),5,4
12,1,10:09.0,Turnover by O. Anunoby (lost ball; steal by R. Covington),,5,4
13,1,10:02.0,,B. Simmons makes 2-pt layup from 1 ft,5,6
14,1,9:41.0,D. DeRozan makes 3-pt jump shot from 24 ft (assist by J. Valančiūnas),,8,6
15,1,9:41.0,Shooting foul by R. Covington (drawn by D. DeRozan),,8,6
16,1,9:41.0,D. DeRozan makes free throw 1 of 1,,9,6
17,1,9:22.0,,B. Simmons makes 2-pt jump shot from 12 ft (assist by D. Šarić),9,8
18,1,9:11.0,S. Ibaka misses 3-pt jump shot from 25 ft,,9,8
19,1,9:09.0,Offensive rebound by J. Valančiūnas,,9,8
20,1,9:07.0,J. Valančiūnas misses 2-pt jump shot from 2 ft (block by A. Johnson),,9,8
21,1,9:07.0,Offensive rebound by Team,,9,8
22,1,9:02.0,K. Lowry misses 3-pt jump shot from 26 ft,,9,8
23,1,8:58.0,,Defensive rebound by A. Johnson,9,8
24,1,8:54.0,,J. Bayless makes 3-pt jump shot from 25 ft (assist by B. Simmons),9,11
25,1,8:41.0,K. Lowry makes 3-pt jump shot from 27 ft (assist by D. DeRozan),,12,11
26,1,8:25.0,,D. Šarić makes 2-pt layup from 1 ft (assist by A. Johnson),12,13
27,1,8:14.0,D. DeRozan makes 3-pt jump shot from 23 ft,,15,13
28,1,7:56.0,,Personal foul by D. DeRozan (drawn by R. Covington),15,13
29,1,7:56.0,,T. Booker enters the game for R. Covington,15,13
30,1,7:50.0,,Turnover by B. Simmons (bad pass; steal by O. Anunoby),15,13
31,1,7:46.0,O. Anunoby makes 2-pt dunk from 1 ft,,17,13
32,1,7:46.0,,Philadelphia full timeout,17,13
33,1,7:28.0,,D. Šarić misses 3-pt jump shot from 27 ft,17,13
34,1,7:24.0,Defensive rebound by J. Valančiūnas,,17,13
35,1,7:15.0,S. Ibaka misses 2-pt hook shot from 6 ft,,17,13
36,1,7:13.0,,Defensive rebound by D. Šarić,17,13
37,1,7:05.0,,B. Simmons misses 2-pt jump shot from 13 ft,17,13
38,1,7:03.0,,Offensive rebound by D. Šarić,17,13
39,1,7:01.0,,J. Bayless misses 3-pt jump shot from 24 ft,17,13
40,1,6:58.0,Defensive rebound by J. Valančiūnas,,17,13
41,1,6:50.0,O. Anunoby misses 3-pt jump shot from 22 ft,,17,13
42,1,6:46.0,,Defensive rebound by B. Simmons,17,13
43,1,6:39.0,,B. Simmons makes 2-pt jump shot from 4 ft,17,15
44,1,6:12.0,J. Valančiūnas makes 2-pt jump shot from 9 ft,,19,15
45,1,5:55.0,,A. Johnson makes 2-pt layup at rim (assist by D. Šarić),19,17
46,1,5:43.0,S. Ibaka misses 2-pt layup from 2 ft,,19,17
47,1,5:40.0,Offensive rebound by D. DeRozan,,19,17
48,1,5:32.0,Turnover by O. Anunoby (lost ball; steal by A. Johnson),,19,17
49,1,5:22.0,,B. Simmons misses 2-pt layup from 7 ft,19,17
50,1,5:20.0,Defensive rebound by D. DeRozan,,19,17
51,1,5:12.0,Shooting foul by B. Simmons (drawn by D. DeRozan),,19,17
52,1,5:12.0,D. DeRozan makes free throw 1 of 2,,20,17
53,1,5:12.0,,R. Holmes enters the game for J. Bayless,20,17
54,1,5:12.0,,T. McConnell enters the game for A. Johnson,20,17
55,1,5:12.0,,R. Covington enters the game for D. Šarić,20,17
56,1,5:12.0,N. Powell enters the game for O. Anunoby,,20,17
57,1,5:12.0,J. Poeltl enters the game for J. Valančiūnas,,20,17
58,1,5:12.0,D. DeRozan makes free throw 2 of 2,,21,17
59,1,5:01.0,,R. Covington misses 3-pt jump shot from 24 ft,21,17
60,1,4:57.0,Defensive rebound by N. Powell,,21,17
61,1,4:42.0,S. Ibaka misses 2-pt layup from 1 ft,,21,17
62,1,4:40.0,,Defensive rebound by R. Covington,21,17
63,1,4:32.0,,Turnover by T. Booker (turnover),21,17
64,1,4:25.0,J. Poeltl makes 2-pt layup from 2 ft (assist by K. Lowry),,23,17
