,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,BOSTON_ACTION,WASHINGTON_SCORE,BOSTON_SCORE
0,1,11:44.0,,Turnover by M. Morris (bad pass),0,0
1,1,11:33.0,Turnover by B. Beal (bad pass; steal by M. Morris),,0,0
2,1,11:27.0,,Personal foul by T. Satoranský (drawn by M. Morris),0,0
3,1,11:15.0,,T. Rozier misses 2-pt jump shot from 19 ft,0,0
4,1,11:14.0,,Offensive rebound by A. Baynes,0,0
5,1,11:14.0,,A. Baynes misses 2-pt layup at rim,0,0
6,1,11:12.0,Defensive rebound by M. Gortat,,0,0
7,1,10:57.0,T. Satoranský makes 2-pt layup from 2 ft (assist by M. Gortat),,2,0
8,1,10:43.0,,J. Tatum makes 2-pt jump shot from 10 ft (assist by G. Yabusele),2,2
9,1,10:31.0,M. Gortat misses 2-pt jump shot from 9 ft,,2,2
10,1,10:27.0,,Defensive rebound by T. Rozier,2,2
11,1,10:18.0,,A. Baynes makes 2-pt hook shot from 8 ft (assist by T. Rozier),2,4
12,1,9:58.0,Turnover by M. Morris (traveling),,2,4
13,1,9:41.0,,A. Baynes misses 2-pt jump shot from 13 ft,2,4
14,1,9:38.0,,Offensive rebound by G. Yabusele,2,4
15,1,9:31.0,,M. Morris makes 3-pt jump shot from 22 ft (assist by J. Tatum),2,7
16,1,9:06.0,B. Beal misses 3-pt jump shot from 26 ft,,2,7
17,1,9:04.0,,Defensive rebound by J. Tatum,2,7
18,1,8:57.0,,J. Tatum makes 2-pt dunk from 1 ft,2,9
19,1,8:57.0,Washington full timeout,,2,9
20,1,8:41.0,O. Porter makes 2-pt jump shot from 16 ft (assist by B. Beal),,4,9
21,1,8:22.0,,J. Tatum makes 2-pt layup at rim (assist by G. Yabusele),4,11
22,1,8:10.0,M. Morris misses 2-pt layup from 2 ft (block by A. Baynes),,4,11
23,1,8:09.0,Offensive rebound by Team,,4,11
24,1,8:03.0,M. Gortat misses 2-pt jump shot from 14 ft,,4,11
25,1,7:59.0,,Defensive rebound by G. Yabusele,4,11
26,1,7:41.0,,M. Morris makes 2-pt jump shot from 3 ft,4,13
27,1,7:23.0,T. Satoranský makes 2-pt jump shot from 16 ft (assist by B. Beal),,6,13
28,1,7:08.0,,T. Rozier makes 3-pt jump shot from 25 ft (assist by A. Baynes),6,16
29,1,6:53.0,B. Beal misses 3-pt jump shot from 27 ft,,6,16
30,1,6:52.0,Offensive rebound by M. Gortat,,6,16
31,1,6:52.0,M. Gortat misses 2-pt layup at rim,,6,16
32,1,6:51.0,,Defensive rebound by M. Morris,6,16
33,1,6:42.0,,M. Morris makes 3-pt jump shot from 25 ft,6,19
34,1,6:39.0,Washington full timeout,,6,19
35,1,6:39.0,K. Oubre enters the game for M. Gortat,,6,19
36,1,6:22.0,M. Morris misses 2-pt jump shot from 18 ft,,6,19
37,1,6:20.0,,Defensive rebound by G. Yabusele,6,19
