,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,BROOKLYN_ACTION,MEMPHIS_SCORE,BROOKLYN_SCORE
0,1,11:44.0,,D. Russell misses 3-pt jump shot from 25 ft,0,0
1,1,11:42.0,Defensive rebound by D. Davis,,0,0
2,1,11:28.0,J. Martin misses 2-pt jump shot from 14 ft,,0,0
3,1,11:24.0,,Defensive rebound by J. Allen,0,0
4,1,11:17.0,,R. Hollis-Jefferson misses 2-pt jump shot from 16 ft,0,0
5,1,11:12.0,Defensive rebound by D. Davis,,0,0
6,1,11:06.0,D. Brooks misses 2-pt jump shot from 13 ft,,0,0
7,1,11:02.0,Offensive rebound by J. Green,,0,0
8,1,11:02.0,J. Green makes 2-pt layup at rim,,2,0
9,1,10:49.0,,R. Hollis-Jefferson makes 2-pt layup from 1 ft,2,2
10,1,10:49.0,,Shooting foul by J. Green (drawn by R. Hollis-Jefferson),2,2
11,1,10:49.0,,R. Hollis-Jefferson makes free throw 1 of 1,2,3
12,1,10:36.0,J. Martin makes 2-pt jump shot from 14 ft,,4,3
13,1,10:11.0,Offensive charge foul by D. Carroll (drawn by A. Harrison),,4,3
14,1,10:11.0,,Turnover by D. Carroll (offensive foul),4,3
15,1,10:01.0,Turnover by J. Green (bad pass; steal by D. Carroll),,4,3
16,1,9:57.0,,Personal block foul by J. Green (drawn by D. Carroll),4,3
17,1,9:57.0,C. Parsons enters the game for J. Green,,4,3
18,1,9:49.0,,A. Crabbe makes 3-pt jump shot from 23 ft (assist by D. Carroll),4,6
19,1,9:31.0,D. Davis makes 2-pt jump shot from 18 ft (assist by A. Harrison),,6,6
20,1,9:11.0,,Shooting foul by J. Martin (drawn by R. Hollis-Jefferson),6,6
21,1,9:11.0,,R. Hollis-Jefferson makes free throw 1 of 2,6,7
22,1,9:11.0,,R. Hollis-Jefferson makes free throw 2 of 2,6,8
23,1,8:56.0,C. Parsons makes 3-pt jump shot from 22 ft,,9,8
24,1,8:39.0,,Turnover by J. Allen (lost ball; steal by J. Martin),9,8
25,1,8:34.0,J. Martin misses 2-pt layup from 1 ft,,9,8
26,1,8:32.0,Offensive rebound by C. Parsons,,9,8
27,1,8:32.0,C. Parsons makes 2-pt dunk at rim,,11,8
28,1,8:18.0,,Turnover by D. Russell (bad pass),11,8
29,1,8:18.0,,Q. Acy enters the game for J. Allen,11,8
30,1,8:08.0,D. Brooks misses 2-pt jump shot from 7 ft,,11,8
31,1,8:08.0,,Defensive rebound by Q. Acy,11,8
32,1,8:06.0,Technical foul by J. Green,,11,8
33,1,8:06.0,,A. Crabbe makes technical free throw,11,9
34,1,7:56.0,,Turnover by D. Russell (bad pass),11,9
35,1,7:42.0,C. Parsons makes 3-pt jump shot from 25 ft (assist by D. Davis),,14,9
36,1,7:23.0,B. Weber enters the game for A. Harrison,,14,9
37,1,7:17.0,,D. Russell makes 2-pt jump shot from 8 ft,14,11
38,1,7:05.0,Shooting block foul by Q. Acy (drawn by D. Brooks),,14,11
39,1,7:05.0,D. Brooks makes free throw 1 of 2,,15,11
40,1,7:05.0,,J. Allen enters the game for Q. Acy,15,11
41,1,7:05.0,D. Brooks makes free throw 2 of 2,,16,11
42,1,6:56.0,,Shooting foul by J. Martin (drawn by R. Hollis-Jefferson),16,11
43,1,6:56.0,,Brooklyn full timeout,16,11
44,1,6:56.0,W. Selden enters the game for J. Martin,,16,11
45,1,6:56.0,,R. Hollis-Jefferson makes free throw 1 of 2,16,12
46,1,6:56.0,,R. Hollis-Jefferson misses free throw 2 of 2,16,12
47,1,6:54.0,Defensive rebound by C. Parsons,,16,12
48,1,6:37.0,D. Davis misses 2-pt jump shot from 14 ft,,16,12
49,1,6:34.0,,Defensive rebound by R. Hollis-Jefferson,16,12
50,1,6:30.0,,D. Carroll makes 3-pt jump shot from 24 ft (assist by R. Hollis-Jefferson),16,15
51,1,6:18.0,Shooting foul by R. Hollis-Jefferson (drawn by C. Parsons),,16,15
52,1,6:18.0,C. Parsons makes free throw 1 of 2,,17,15
53,1,6:18.0,C. Parsons makes free throw 2 of 2,,18,15
54,1,6:14.0,,Personal foul by C. Parsons (drawn by D. Carroll),18,15
55,1,6:14.0,,D. Carroll misses free throw 1 of 2,18,15
56,1,6:14.0,,Offensive rebound by Team,18,15
57,1,6:14.0,,D. Carroll makes free throw 2 of 2,18,16
58,1,5:56.0,C. Parsons misses 2-pt jump shot from 16 ft,,18,16
59,1,5:53.0,,Defensive rebound by D. Carroll,18,16
60,1,5:48.0,,Turnover by D. Russell (bad pass; steal by C. Parsons),18,16
61,1,5:40.0,D. Brooks misses 3-pt jump shot from 24 ft,,18,16
62,1,5:37.0,,Defensive rebound by R. Hollis-Jefferson,18,16
63,1,5:24.0,,Personal foul by B. Weber (drawn by D. Russell),18,16
64,1,5:24.0,,D. Russell makes free throw 1 of 2,18,17
65,1,5:24.0,,S. Dinwiddie enters the game for D. Carroll,18,17
66,1,5:24.0,B. McLemore enters the game for D. Brooks,,18,17
67,1,5:24.0,,D. Russell makes free throw 2 of 2,18,18
68,1,5:13.0,W. Selden makes 2-pt jump shot from 7 ft,,20,18
69,1,5:00.0,,D. Russell misses 2-pt jump shot from 13 ft,20,18
70,1,4:57.0,,Offensive rebound by D. Russell,20,18
71,1,4:57.0,,J. Allen makes 2-pt dunk from 1 ft (assist by D. Russell),20,20
72,1,4:57.0,,Shooting foul by D. Davis (drawn by J. Allen),20,20
73,1,4:57.0,,C. LeVert enters the game for D. Russell,20,20
74,1,4:57.0,,J. Harris enters the game for A. Crabbe,20,20
75,1,4:57.0,,J. Allen misses free throw 1 of 1,20,20
76,1,4:57.0,Defensive rebound by D. Davis,,20,20
77,1,4:46.0,W. Selden misses 3-pt jump shot from 24 ft,,20,20
78,1,4:44.0,,Defensive rebound by J. Allen,20,20
79,1,4:36.0,,Turnover by C. LeVert (bad pass; steal by C. Parsons),20,20
80,1,4:21.0,W. Selden makes 2-pt jump shot from 8 ft,,22,20
81,1,4:21.0,Shooting foul by J. Allen (drawn by W. Selden),,22,20
82,1,4:21.0,,Brooklyn full timeout,22,20
83,1,4:21.0,,Q. Acy enters the game for J. Allen,22,20
84,1,4:21.0,I. Rabb enters the game for D. Davis,,22,20
85,1,4:21.0,W. Selden misses free throw 1 of 1,,22,20
86,1,4:21.0,,Defensive rebound by S. Dinwiddie,22,20
87,1,4:10.0,,Offensive foul by J. Harris (drawn by B. McLemore),22,20
88,1,4:10.0,,Turnover by J. Harris (offensive foul),22,20
89,1,3:58.0,,Offensive charge foul by W. Selden (drawn by Q. Acy),22,20
90,1,3:58.0,Turnover by W. Selden (offensive foul),,22,20
91,1,3:40.0,,S. Dinwiddie misses 3-pt jump shot from 25 ft,22,20
92,1,3:37.0,Defensive rebound by B. McLemore,,22,20
93,1,3:25.0,Personal foul by R. Hollis-Jefferson (drawn by W. Selden),,22,20
94,1,3:20.0,Turnover by B. McLemore (traveling),,22,20
95,1,3:20.0,,D. Carroll enters the game for R. Hollis-Jefferson,22,20
96,1,3:01.0,,Q. Acy makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),22,23
97,1,2:48.0,I. Rabb misses 2-pt jump shot from 19 ft,,22,23
98,1,2:45.0,,Defensive rebound by S. Dinwiddie,22,23
99,1,2:33.0,,J. Harris makes 2-pt jump shot from 7 ft,22,25
