,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,CHICAGO_ACTION,PHILADELPHIA_SCORE,CHICAGO_SCORE
0,1,11:34.0,,Turnover by R. Lopez (turnover),0,0
1,1,11:34.0,Personal foul by R. Lopez (drawn by R. Covington),,0,0
2,1,11:20.0,D. Šarić makes 3-pt jump shot from 25 ft (assist by A. Johnson),,3,0
3,1,10:51.0,,J. Holiday misses 2-pt layup from 3 ft,3,0
4,1,10:51.0,Defensive rebound by R. Covington,,3,0
5,1,10:46.0,J. Redick makes 3-pt jump shot from 26 ft,,6,0
6,1,10:33.0,,K. Dunn makes 2-pt jump shot from 15 ft,6,2
7,1,10:22.0,Personal foul by K. Dunn (drawn by B. Simmons),,6,2
8,1,10:14.0,J. Redick misses 2-pt jump shot from 20 ft,,6,2
9,1,10:14.0,,Defensive rebound by L. Markkanen,6,2
10,1,10:05.0,,D. Valentine makes 2-pt jump shot from 12 ft,6,4
11,1,9:45.0,B. Simmons misses 2-pt layup from 1 ft (block by R. Lopez),,6,4
12,1,9:42.0,,Defensive rebound by L. Markkanen,6,4
13,1,9:30.0,,L. Markkanen misses 2-pt jump shot from 7 ft,6,4
14,1,9:30.0,Defensive rebound by A. Johnson,,6,4
15,1,9:22.0,J. Redick makes 3-pt jump shot from 23 ft (assist by R. Covington),,9,4
16,1,9:11.0,,Personal foul by A. Johnson (drawn by K. Dunn),9,4
17,1,8:57.0,,L. Markkanen misses 3-pt jump shot from 26 ft,9,4
18,1,8:57.0,Defensive rebound by A. Johnson,,9,4
19,1,8:43.0,D. Šarić misses 2-pt hook shot from 6 ft,,9,4
20,1,8:43.0,,Defensive rebound by L. Markkanen,9,4
21,1,8:38.0,,J. Holiday misses 2-pt jump shot from 19 ft,9,4
22,1,8:38.0,Defensive rebound by D. Šarić,,9,4
23,1,8:24.0,B. Simmons misses 2-pt layup from 3 ft,,9,4
24,1,8:24.0,,Defensive rebound by Team,9,4
25,1,8:10.0,,K. Dunn makes 2-pt layup from 3 ft,9,6
26,1,7:58.0,D. Šarić misses 3-pt jump shot from 25 ft,,9,6
27,1,7:54.0,,Defensive rebound by R. Lopez,9,6
28,1,7:47.0,,K. Dunn misses 2-pt jump shot from 14 ft,9,6
29,1,7:47.0,Defensive rebound by B. Simmons,,9,6
30,1,7:36.0,B. Simmons makes 2-pt layup from 1 ft,,11,6
31,1,7:26.0,,R. Lopez makes 2-pt jump shot from 19 ft (assist by J. Holiday),11,8
32,1,7:09.0,A. Johnson misses 2-pt jump shot from 12 ft,,11,8
33,1,7:05.0,,Defensive rebound by K. Dunn,11,8
34,1,6:47.0,,Turnover by J. Holiday (bad pass; steal by R. Covington),11,8
35,1,6:46.0,Turnover by D. Šarić (bad pass),,11,8
36,1,6:46.0,,Chicago full timeout,11,8
37,1,6:46.0,T. McConnell enters the game for D. Šarić,,11,8
38,1,6:46.0,J. Bayless enters the game for A. Johnson,,11,8
39,1,6:46.0,R. Holmes enters the game for J. Redick,,11,8
40,1,6:24.0,,K. Dunn makes 2-pt jump shot from 20 ft,11,10
41,1,6:13.0,B. Simmons makes 2-pt layup from 2 ft,,13,10
42,1,6:01.0,,L. Markkanen misses 2-pt layup from 2 ft,13,10
43,1,5:58.0,Defensive rebound by R. Covington,,13,10
44,1,5:50.0,R. Holmes makes 2-pt jump shot from 19 ft (assist by B. Simmons),,15,10
45,1,5:34.0,,Turnover by R. Lopez (lost ball; steal by R. Covington),15,10
46,1,5:20.0,Turnover by J. Bayless (bad pass; steal by J. Holiday),,15,10
47,1,5:11.0,,L. Markkanen misses 3-pt jump shot from 24 ft,15,10
48,1,5:08.0,Defensive rebound by R. Covington,,15,10
49,1,5:02.0,R. Covington makes 3-pt jump shot from 26 ft (assist by B. Simmons),,18,10
50,1,5:01.0,,Chicago full timeout,18,10
51,1,5:01.0,,D. Nwaba enters the game for L. Markkanen,18,10
52,1,5:01.0,,N. Mirotić enters the game for D. Valentine,18,10
53,1,4:47.0,,J. Holiday misses 2-pt layup from 1 ft,18,10
54,1,4:44.0,Defensive rebound by J. Bayless,,18,10
55,1,4:40.0,Offensive foul by R. Holmes (drawn by J. Holiday),,18,10
56,1,4:40.0,Turnover by R. Holmes (offensive foul),,18,10
57,1,4:32.0,,R. Lopez misses 2-pt jump shot from 14 ft,18,10
58,1,4:28.0,Defensive rebound by R. Covington,,18,10
59,1,4:13.0,J. Bayless misses 3-pt jump shot from 22 ft,,18,10
60,1,4:10.0,,Defensive rebound by Team,18,10
61,1,3:56.0,,J. Holiday makes 2-pt jump shot from 11 ft,18,12
62,1,3:34.0,Turnover by R. Covington (bad pass; steal by R. Lopez),,18,12
63,1,3:25.0,,N. Mirotić makes 2-pt layup from 1 ft (assist by D. Nwaba),18,14
64,1,3:24.0,Philadelphia full timeout,,18,14
65,1,3:24.0,J. Redick enters the game for B. Simmons,,18,14
66,1,3:24.0,D. Šarić enters the game for R. Covington,,18,14
67,1,3:08.0,D. Šarić misses 2-pt jump shot from 8 ft,,18,14
68,1,3:05.0,,Defensive rebound by N. Mirotić,18,14
69,1,2:56.0,,K. Dunn makes 2-pt jump shot from 6 ft,18,16
70,1,2:45.0,Turnover by R. Holmes (bad pass),,18,16
71,1,2:44.0,,B. Portis enters the game for R. Lopez,18,16
72,1,2:44.0,A. Johnson enters the game for R. Holmes,,18,16
73,1,2:35.0,,Shooting foul by T. McConnell (drawn by K. Dunn),18,16
74,1,2:35.0,,K. Dunn makes free throw 1 of 2,18,17
75,1,2:35.0,T. Luwawu-Cabarrot enters the game for J. Bayless,,18,17
76,1,2:35.0,,K. Dunn makes free throw 2 of 2,18,18
77,1,2:27.0,T. McConnell misses 2-pt jump shot from 17 ft,,18,18
78,1,2:23.0,,Defensive rebound by N. Mirotić,18,18
79,1,2:19.0,,B. Portis makes 2-pt jump shot from 15 ft (assist by N. Mirotić),18,20
80,1,2:06.0,D. Šarić makes 2-pt layup from 1 ft (assist by J. Redick),,20,20
81,1,1:58.0,,D. Nwaba makes 2-pt layup from 1 ft (assist by K. Dunn),20,22
82,1,1:40.0,Turnover by A. Johnson (bad pass; steal by B. Portis),,20,22
83,1,1:38.0,,Shooting foul by T. McConnell (drawn by B. Portis),20,22
84,1,1:38.0,,B. Portis makes free throw 1 of 2,20,23
85,1,1:38.0,,J. Grant enters the game for K. Dunn,20,23
86,1,1:38.0,,B. Portis makes free throw 2 of 2,20,24
87,1,1:19.0,T. Luwawu-Cabarrot makes 3-pt jump shot from 23 ft (assist by T. McConnell),,23,24
88,1,1:04.0,,N. Mirotić makes 3-pt jump shot from 24 ft (assist by B. Portis),23,27
89,1,0:51.0,Turnover by J. Redick (lost ball; steal by J. Grant),,23,27
90,1,0:40.0,,J. Holiday makes 3-pt jump shot from 24 ft (assist by B. Portis),23,30
91,1,0:33.0,T. McConnell makes 2-pt layup from 1 ft,,25,30
92,1,0:27.0,,J. Grant misses 3-pt jump shot from 26 ft,25,30
93,1,0:27.0,Defensive rebound by J. Redick,,25,30
94,1,0:14.0,D. Šarić misses 2-pt jump shot from 21 ft,,25,30
95,1,0:11.0,,Defensive rebound by B. Portis,25,30
96,1,0:02.0,,J. Grant misses 2-pt layup from 2 ft,25,30
97,1,0:00.0,Defensive rebound by T. McConnell,,25,30
98,2,11:39.0,A. Johnson misses 2-pt hook shot from 7 ft,,25,30
99,2,11:36.0,,Defensive rebound by N. Mirotić,25,30
100,2,11:28.0,,B. Portis makes 3-pt jump shot from 25 ft (assist by J. Grant),25,33
101,2,11:11.0,J. Redick misses 2-pt layup from 9 ft (block by B. Portis),,25,33
102,2,11:08.0,Offensive rebound by D. Šarić,,25,33
103,2,11:07.0,D. Šarić makes 2-pt layup from 2 ft,,27,33
104,2,11:00.0,,B. Portis misses 2-pt jump shot from 5 ft,27,33
105,2,11:00.0,Defensive rebound by T. McConnell,,27,33
106,2,10:52.0,Shooting foul by D. Nwaba (drawn by A. Johnson),,27,33
107,2,10:52.0,A. Johnson misses free throw 1 of 2,,27,33
108,2,10:52.0,Offensive rebound by Team,,27,33
109,2,10:52.0,A. Johnson makes free throw 2 of 2,,28,33
110,2,10:40.0,,J. Grant misses 2-pt layup from 3 ft (block by T. McConnell),28,33
111,2,10:36.0,Defensive rebound by T. McConnell,,28,33
112,2,10:34.0,J. Redick misses 3-pt jump shot from 22 ft,,28,33
113,2,10:34.0,,Defensive rebound by B. Portis,28,33
114,2,10:23.0,,Turnover by B. Portis (lost ball; steal by D. Šarić),28,33
115,2,10:18.0,T. Luwawu-Cabarrot makes 3-pt jump shot from 24 ft (assist by J. Redick),,31,33
116,2,9:58.0,,P. Zipser misses 2-pt jump shot from 9 ft,31,33
117,2,9:56.0,Defensive rebound by D. Šarić,,31,33
118,2,9:52.0,J. Redick makes 2-pt jump shot from 21 ft (assist by T. McConnell),,33,33
119,2,9:52.0,Shooting foul by P. Zipser (drawn by J. Redick),,33,33
120,2,9:52.0,R. Holmes enters the game for A. Johnson,,33,33
121,2,9:52.0,J. Redick makes free throw 1 of 1,,34,33
122,2,9:43.0,,Personal foul by D. Šarić (drawn by N. Mirotić),34,33
123,2,9:35.0,,J. Grant misses 2-pt jump shot from 11 ft,34,33
124,2,9:32.0,Defensive rebound by R. Holmes,,34,33
125,2,9:16.0,Turnover by T. Luwawu-Cabarrot (lost ball; steal by J. Grant),,34,33
126,2,9:04.0,,N. Mirotić misses 2-pt jump shot from 16 ft,34,33
127,2,9:02.0,,Offensive rebound by Team,34,33
128,2,8:59.0,,D. Nwaba makes 2-pt layup from 1 ft (assist by J. Grant),34,35
129,2,8:59.0,Philadelphia full timeout,,34,35
130,2,8:39.0,R. Holmes makes 2-pt layup from 1 ft (assist by T. Luwawu-Cabarrot),,36,35
131,2,8:25.0,,D. Nwaba misses 2-pt jump shot from 4 ft (block by T. Luwawu-Cabarrot),36,35
132,2,8:25.0,Defensive rebound by T. Luwawu-Cabarrot,,36,35
133,2,8:19.0,Shooting foul by N. Mirotić (drawn by T. Luwawu-Cabarrot),,36,35
134,2,8:19.0,T. Luwawu-Cabarrot makes free throw 1 of 2,,37,35
135,2,8:19.0,R. Covington enters the game for D. Šarić,,37,35
136,2,8:19.0,T. Luwawu-Cabarrot makes free throw 2 of 2,,38,35
137,2,8:19.0,B. Simmons enters the game for J. Redick,,38,35
138,2,8:01.0,,B. Portis misses 2-pt jump shot from 17 ft,38,35
139,2,7:57.0,Defensive rebound by R. Holmes,,38,35
140,2,7:47.0,T. McConnell misses 2-pt jump shot from 2 ft,,38,35
141,2,7:39.0,Offensive rebound by R. Holmes,,38,35
142,2,7:39.0,R. Holmes makes 2-pt dunk at rim,,40,35
143,2,7:31.0,,J. Grant makes 2-pt jump shot from 20 ft,40,37
144,2,7:15.0,T. McConnell misses 3-pt jump shot from 22 ft,,40,37
145,2,7:15.0,,Defensive rebound by N. Mirotić,40,37
146,2,7:04.0,,B. Portis makes 2-pt jump shot from 19 ft (assist by J. Grant),40,39
147,2,6:48.0,R. Holmes misses 2-pt jump shot from 10 ft,,40,39
148,2,6:48.0,,Defensive rebound by N. Mirotić,40,39
149,2,6:35.0,,N. Mirotić misses 2-pt layup from 1 ft (block by R. Covington),40,39
150,2,6:35.0,,Offensive rebound by N. Mirotić,40,39
151,2,6:30.0,,N. Mirotić makes 2-pt layup at rim,40,41
152,2,6:22.0,T. McConnell makes 2-pt jump shot from 7 ft (assist by T. Luwawu-Cabarrot),,42,41
153,2,6:06.0,,N. Mirotić misses 2-pt layup from 2 ft,42,41
154,2,6:06.0,Defensive rebound by Team,,42,41
155,2,6:06.0,Personal foul by D. Nwaba (drawn by B. Simmons),,42,41
156,2,6:06.0,,D. Valentine enters the game for J. Grant,42,41
157,2,6:06.0,,L. Markkanen enters the game for P. Zipser,42,41
158,2,6:06.0,,K. Dunn enters the game for N. Mirotić,42,41
159,2,6:06.0,J. Bayless enters the game for T. Luwawu-Cabarrot,,42,41
160,2,5:58.0,Personal foul by D. Valentine (drawn by B. Simmons),,42,41
161,2,5:58.0,B. Simmons misses free throw 1 of 2,,42,41
162,2,5:58.0,Offensive rebound by Team,,42,41
163,2,5:58.0,,J. Holiday enters the game for D. Nwaba,42,41
164,2,5:58.0,B. Simmons misses free throw 2 of 2,,42,41
165,2,5:55.0,,Defensive rebound by B. Portis,42,41
166,2,5:51.0,,J. Holiday misses 3-pt jump shot from 24 ft,42,41
167,2,5:47.0,Defensive rebound by R. Holmes,,42,41
168,2,5:37.0,B. Simmons misses 2-pt layup from 1 ft,,42,41
169,2,5:31.0,Offensive rebound by B. Simmons,,42,41
170,2,5:31.0,B. Simmons makes 2-pt dunk at rim,,44,41
171,2,5:23.0,,K. Dunn makes 2-pt layup from 1 ft (assist by L. Markkanen),44,43
172,2,5:15.0,B. Simmons misses 2-pt jump shot from 3 ft (block by J. Holiday),,44,43
173,2,5:15.0,Offensive rebound by B. Simmons,,44,43
174,2,5:15.0,B. Simmons makes 2-pt layup from 3 ft,,46,43
175,2,5:15.0,Shooting foul by D. Valentine (drawn by B. Simmons),,46,43
176,2,5:15.0,,R. Lopez enters the game for B. Portis,46,43
177,2,5:15.0,J. Redick enters the game for T. McConnell,,46,43
178,2,5:15.0,B. Simmons makes free throw 1 of 1,,47,43
179,2,5:02.0,,D. Valentine makes 2-pt jump shot from 9 ft,47,45
180,2,4:53.0,R. Holmes misses 3-pt jump shot from 25 ft,,47,45
181,2,4:53.0,,Defensive rebound by L. Markkanen,47,45
182,2,4:38.0,,J. Holiday makes 3-pt jump shot from 25 ft (assist by L. Markkanen),47,48
183,2,4:21.0,R. Holmes makes 2-pt dunk from 1 ft (assist by B. Simmons),,49,48
184,2,4:15.0,,J. Holiday makes 3-pt jump shot from 24 ft (assist by K. Dunn),49,51
185,2,4:00.0,R. Holmes misses 2-pt jump shot from 16 ft,,49,51
186,2,3:59.0,,Defensive rebound by Team,49,51
187,2,3:59.0,,Personal foul by J. Bayless (drawn by L. Markkanen),49,51
188,2,3:59.0,A. Johnson enters the game for R. Holmes,,49,51
189,2,3:47.0,,L. Markkanen misses 3-pt jump shot from 26 ft,49,51
190,2,3:44.0,Defensive rebound by B. Simmons,,49,51
191,2,3:40.0,J. Bayless makes 3-pt jump shot from 25 ft (assist by J. Redick),,52,51
192,2,3:24.0,,J. Holiday makes 3-pt jump shot from 24 ft (assist by L. Markkanen),52,54
193,2,3:24.0,,Shooting foul by B. Simmons (drawn by J. Holiday),52,54
194,2,3:24.0,,J. Holiday makes free throw 1 of 1,52,55
195,2,3:12.0,B. Simmons makes 2-pt jump shot from 2 ft (assist by A. Johnson),,54,55
196,2,3:04.0,,L. Markkanen makes 3-pt jump shot from 26 ft (assist by D. Valentine),54,58
197,2,2:50.0,Turnover by B. Simmons (bad pass),,54,58
198,2,2:50.0,,Chicago full timeout,54,58
199,2,2:37.0,,J. Holiday misses 3-pt jump shot from 25 ft,54,58
200,2,2:34.0,Defensive rebound by B. Simmons,,54,58
201,2,2:30.0,Turnover by J. Redick (step out of bounds),,54,58
202,2,2:17.0,,R. Lopez makes 2-pt jump shot from 17 ft (assist by J. Holiday),54,60
203,2,2:00.0,J. Bayless misses 3-pt jump shot from 25 ft,,54,60
204,2,1:56.0,,Defensive rebound by K. Dunn,54,60
205,2,1:53.0,,D. Valentine makes 2-pt layup from 1 ft (assist by K. Dunn),54,62
206,2,1:33.0,Turnover by B. Simmons (lost ball; steal by K. Dunn),,54,62
