,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CLEVELAND_ACTION,WASHINGTON_SCORE,CLEVELAND_SCORE
0,1,11:47.0,M. Gortat makes 2-pt dunk at rim (assist by O. Porter),,2,0
1,1,11:29.0,,J. Smith makes 2-pt jump shot from 15 ft,2,2
2,1,11:15.0,B. Beal misses 2-pt jump shot from 16 ft,,2,2
3,1,11:12.0,,Defensive rebound by L. James,2,2
4,1,11:11.0,,L. James makes 2-pt jump shot from 1 ft,2,4
5,1,11:11.0,,Shooting foul by O. Porter (drawn by L. James),2,4
6,1,11:11.0,,L. James makes free throw 1 of 1,2,5
7,1,10:49.0,M. Morris misses 3-pt jump shot from 25 ft,,2,5
8,1,10:44.0,,Defensive rebound by T. Thompson,2,5
9,1,10:33.0,,G. Hill misses 2-pt jump shot from 5 ft,2,5
10,1,10:31.0,,Offensive rebound by G. Hill,2,5
11,1,10:17.0,,L. James makes 2-pt jump shot from 16 ft,2,7
12,1,9:55.0,O. Porter makes 2-pt jump shot from 12 ft (assist by T. Satoranský),,4,7
13,1,9:40.0,,J. Smith makes 2-pt jump shot from 21 ft (assist by T. Thompson),4,9
14,1,9:15.0,O. Porter makes 2-pt dunk from 1 ft (assist by B. Beal),,6,9
15,1,8:54.0,,C. Osman misses 3-pt jump shot from 23 ft,6,9
16,1,8:51.0,Defensive rebound by O. Porter,,6,9
17,1,8:36.0,O. Porter misses 3-pt jump shot from 25 ft,,6,9
18,1,8:32.0,Offensive rebound by T. Satoranský,,6,9
19,1,8:30.0,B. Beal misses 3-pt jump shot from 25 ft,,6,9
20,1,8:30.0,,Defensive rebound by L. James,6,9
21,1,8:24.0,,T. Thompson makes 2-pt layup at rim (assist by L. James),6,11
22,1,8:11.0,Turnover by M. Morris (lost ball; steal by L. James),,6,11
23,1,8:06.0,,C. Osman makes 2-pt jump shot from 7 ft (assist by L. James),6,13
24,1,8:05.0,Washington full timeout,,6,13
25,1,7:50.0,O. Porter misses 2-pt jump shot from 6 ft,,6,13
26,1,7:48.0,,Defensive rebound by G. Hill,6,13
27,1,7:43.0,,T. Thompson makes 2-pt hook shot from 9 ft (assist by L. James),6,15
28,1,7:30.0,T. Satoranský makes 2-pt jump shot from 10 ft,,8,15
29,1,7:30.0,Shooting foul by G. Hill (drawn by T. Satoranský),,8,15
30,1,7:30.0,T. Satoranský makes free throw 1 of 1,,9,15
31,1,7:17.0,,J. Smith misses 3-pt jump shot from 24 ft,9,15
32,1,7:14.0,Defensive rebound by T. Satoranský,,9,15
33,1,7:06.0,B. Beal makes 2-pt jump shot from 19 ft,,11,15
34,1,6:49.0,,G. Hill misses 2-pt layup from 2 ft,11,15
35,1,6:46.0,,Offensive rebound by T. Thompson,11,15
36,1,6:44.0,,T. Thompson misses 2-pt jump shot from 14 ft,11,15
37,1,6:44.0,Defensive rebound by M. Morris,,11,15
38,1,6:31.0,M. Morris makes 2-pt dunk from 2 ft (assist by T. Satoranský),,13,15
39,1,6:21.0,,C. Osman makes 2-pt hook shot from 6 ft,13,17
40,1,6:03.0,B. Beal misses 2-pt jump shot from 17 ft,,13,17
41,1,6:00.0,,Defensive rebound by L. James,13,17
42,1,5:57.0,,L. James makes 2-pt layup from 1 ft,13,19
43,1,5:57.0,,Shooting foul by T. Satoranský (drawn by L. James),13,19
44,1,5:57.0,,L. James misses free throw 1 of 1,13,19
45,1,5:55.0,Defensive rebound by M. Morris,,13,19
46,1,5:40.0,M. Morris misses 2-pt jump shot from 12 ft,,13,19
47,1,5:38.0,,Defensive rebound by Team,13,19
48,1,5:26.0,,J. Smith misses 3-pt jump shot from 24 ft,13,19
49,1,5:26.0,,Offensive rebound by Team,13,19
50,1,5:19.0,,Personal foul by O. Porter (drawn by G. Hill),13,19
51,1,5:19.0,K. Oubre enters the game for O. Porter,,13,19
52,1,5:11.0,,C. Osman misses 2-pt jump shot from 21 ft,13,19
53,1,5:08.0,Defensive rebound by B. Beal,,13,19
54,1,5:02.0,M. Gortat misses 2-pt jump shot from 12 ft,,13,19
55,1,4:59.0,,Defensive rebound by C. Osman,13,19
56,1,4:50.0,,J. Smith misses 2-pt layup at rim,13,19
57,1,4:44.0,,Offensive rebound by T. Thompson,13,19
58,1,4:44.0,,T. Thompson makes 2-pt layup at rim,13,21
59,1,4:27.0,T. Satoranský misses 2-pt jump shot from 22 ft,,13,21
60,1,4:23.0,,Defensive rebound by T. Thompson,13,21
61,1,4:15.0,,Turnover by J. Smith (bad pass; steal by M. Morris),13,21
62,1,4:09.0,K. Oubre misses 3-pt jump shot from 22 ft,,13,21
63,1,4:06.0,,Defensive rebound by L. James,13,21
64,1,4:02.0,,Turnover by L. James (lost ball; steal by T. Satoranský),13,21
65,1,4:02.0,Personal foul by T. Thompson (drawn by T. Satoranský),,13,21
66,1,4:02.0,,R. Hood enters the game for C. Osman,13,21
67,1,3:43.0,M. Gortat misses 2-pt hook shot from 7 ft,,13,21
68,1,3:41.0,,Defensive rebound by L. James,13,21
69,1,3:37.0,,J. Smith makes 3-pt jump shot from 29 ft (assist by L. James),13,24
70,1,3:36.0,Washington full timeout,,13,24
71,1,3:36.0,,J. Green enters the game for R. Hood,13,24
72,1,3:36.0,I. Mahinmi enters the game for M. Morris,,13,24
73,1,3:36.0,M. Scott enters the game for M. Gortat,,13,24
74,1,3:23.0,K. Oubre misses 3-pt jump shot from 22 ft,,13,24
75,1,3:20.0,Offensive rebound by M. Scott,,13,24
76,1,3:12.0,K. Oubre makes 2-pt dunk from 1 ft (assist by B. Beal),,15,24
77,1,2:57.0,,J. Smith makes 2-pt jump shot from 18 ft (assist by L. James),15,26
78,1,2:50.0,B. Beal makes 3-pt jump shot from 27 ft,,18,26
79,1,2:30.0,,Turnover by L. James (bad pass; steal by K. Oubre),18,26
80,1,2:25.0,B. Beal misses 3-pt jump shot from 26 ft,,18,26
81,1,2:22.0,,Defensive rebound by T. Thompson,18,26
82,1,2:16.0,,G. Hill makes 2-pt jump shot from 10 ft (assist by L. James),18,28
83,1,1:54.0,M. Scott misses 2-pt jump shot from 6 ft,,18,28
84,1,1:52.0,Offensive rebound by I. Mahinmi,,18,28
85,1,1:52.0,I. Mahinmi misses 2-pt layup at rim,,18,28
86,1,1:52.0,Offensive rebound by Team,,18,28
87,1,1:52.0,,L. Nance enters the game for T. Thompson,18,28
88,1,1:52.0,T. Frazier enters the game for T. Satoranský,,18,28
89,1,1:52.0,,J. Clarkson enters the game for G. Hill,18,28
90,1,1:32.0,M. Scott misses 3-pt jump shot from 23 ft,,18,28
91,1,1:30.0,Offensive rebound by I. Mahinmi,,18,28
92,1,1:30.0,I. Mahinmi makes 2-pt hook shot from 11 ft,,20,28
93,1,1:30.0,,Violation by L. Nance (def goaltending),20,28
94,1,1:22.0,,Personal foul by I. Mahinmi (drawn by L. Nance),20,28
95,1,1:22.0,,R. Hood enters the game for J. Smith,20,28
96,1,1:22.0,J. Meeks enters the game for B. Beal,,20,28
97,1,1:18.0,,Turnover by J. Green (lost ball; steal by K. Oubre),20,28
98,1,1:14.0,M. Scott misses 2-pt layup from 2 ft,,20,28
99,1,1:14.0,Offensive rebound by I. Mahinmi,,20,28
100,1,1:12.0,I. Mahinmi misses 2-pt layup from 1 ft,,20,28
101,1,1:12.0,Offensive rebound by I. Mahinmi,,20,28
102,1,1:11.0,I. Mahinmi misses 2-pt layup from 1 ft,,20,28
103,1,1:11.0,Offensive rebound by T. Frazier,,20,28
104,1,0:55.0,M. Scott misses 2-pt jump shot from 16 ft,,20,28
