,QUARTER,TIME_REMAINING,CHICAGO_ACTION,PHOENIX_ACTION,CHICAGO_SCORE,PHOENIX_SCORE
0,1,11:45.0,J. Holiday misses 2-pt layup from 1 ft (block by G. Monroe),,0,0
1,1,11:42.0,,Defensive rebound by T. Ulis,0,0
2,1,11:40.0,,M. Chriss makes 2-pt dunk from 1 ft (assist by T. Warren),0,2
3,1,11:28.0,D. Valentine misses 2-pt jump shot from 8 ft (block by T. Warren),,0,2
4,1,11:27.0,,Defensive rebound by G. Monroe,0,2
5,1,11:26.0,Loose ball foul by D. Valentine (drawn by G. Monroe),,0,2
6,1,11:11.0,,D. Booker makes 2-pt jump shot from 19 ft (assist by M. Chriss),0,4
7,1,10:52.0,R. Lopez misses 2-pt jump shot from 20 ft,,0,4
8,1,10:51.0,Offensive rebound by Team,,0,4
9,1,10:51.0,Personal foul by T. Ulis (drawn by L. Markkanen),,0,4
10,1,10:46.0,J. Holiday misses 2-pt jump shot from 16 ft,,0,4
11,1,10:41.0,,Defensive rebound by M. Chriss,0,4
12,1,10:38.0,,D. Booker misses 3-pt jump shot from 25 ft,0,4
13,1,10:35.0,Defensive rebound by D. Valentine,,0,4
14,1,10:29.0,L. Markkanen makes 3-pt jump shot from 24 ft (assist by J. Grant),,3,4
15,1,10:09.0,,T. Warren misses 3-pt jump shot from 22 ft,3,4
16,1,10:06.0,Defensive rebound by L. Markkanen,,3,4
17,1,9:56.0,L. Markkanen makes 2-pt layup at rim,,5,4
18,1,9:38.0,,M. Chriss makes 2-pt layup at rim (assist by G. Monroe),5,6
19,1,9:25.0,R. Lopez makes 2-pt layup from 7 ft (assist by J. Grant),,7,6
20,1,9:17.0,,T. Warren misses 2-pt layup from 1 ft,7,6
21,1,9:15.0,Defensive rebound by R. Lopez,,7,6
22,1,9:01.0,Turnover by J. Grant (bad pass),,7,6
23,1,8:39.0,,G. Monroe makes 2-pt jump shot from 12 ft (assist by D. Booker),7,8
24,1,8:21.0,J. Holiday misses 2-pt jump shot from 12 ft,,7,8
25,1,8:18.0,,Defensive rebound by T. Ulis,7,8
26,1,8:12.0,,G. Monroe makes 2-pt layup at rim (assist by T. Ulis),7,10
27,1,7:54.0,J. Holiday makes 2-pt jump shot from 18 ft,,9,10
28,1,7:37.0,,T. Warren makes 2-pt layup at rim,9,12
29,1,7:24.0,D. Valentine makes 3-pt jump shot from 24 ft (assist by L. Markkanen),,12,12
30,1,7:06.0,,Personal foul by J. Holiday (drawn by D. Booker),12,12
31,1,6:57.0,,T. Warren makes 2-pt dunk at rim (assist by G. Monroe),12,14
32,1,6:39.0,J. Holiday misses 2-pt layup from 7 ft,,12,14
33,1,6:39.0,,Defensive rebound by Team,12,14
34,1,6:39.0,,Phoenix full timeout,12,14
35,1,6:27.0,,Turnover by M. Chriss (bad pass),12,14
36,1,6:11.0,L. Markkanen misses 3-pt jump shot from 25 ft,,12,14
37,1,6:10.0,R. Lopez misses 2-pt layup at rim,,12,14
38,1,6:10.0,Offensive rebound by R. Lopez,,12,14
39,1,6:09.0,Offensive rebound by R. Lopez,,12,14
40,1,6:05.0,R. Lopez makes 2-pt layup at rim,,14,14
41,1,5:47.0,,D. Booker makes 3-pt jump shot from 23 ft (assist by T. Ulis),14,17
42,1,5:32.0,L. Markkanen makes 2-pt jump shot from 14 ft,,16,17
43,1,5:13.0,,T. Ulis misses 2-pt jump shot from 10 ft,16,17
44,1,5:11.0,Defensive rebound by D. Valentine,,16,17
45,1,5:04.0,L. Markkanen misses 3-pt jump shot from 25 ft,,16,17
46,1,5:01.0,,Defensive rebound by G. Monroe,16,17
47,1,4:54.0,,Turnover by D. Booker (bad pass),16,17
48,1,4:54.0,,A. Len enters the game for G. Monroe,16,17
49,1,4:54.0,K. Dunn enters the game for J. Grant,,16,17
50,1,4:42.0,Shooting foul by M. Chriss (drawn by R. Lopez),,16,17
51,1,4:42.0,R. Lopez makes free throw 1 of 2,,17,17
52,1,4:42.0,A. Blakeney enters the game for D. Valentine,,17,17
53,1,4:42.0,,J. Jackson enters the game for M. Chriss,17,17
54,1,4:42.0,,D. Bender enters the game for T. Warren,17,17
55,1,4:42.0,R. Lopez makes free throw 2 of 2,,18,17
56,1,4:30.0,,A. Len makes 2-pt dunk at rim (assist by D. Booker),18,19
57,1,4:14.0,J. Holiday misses 3-pt jump shot from 26 ft,,18,19
