,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,BOSTON_ACTION,LA LAKERS_SCORE,BOSTON_SCORE
0,1,11:41.0,B. Lopez makes 2-pt layup from 2 ft (assist by K. Caldwell-Pope),,2,0
1,1,11:24.0,,J. Brown makes 2-pt layup from 1 ft,2,2
2,1,11:14.0,Personal foul by J. Tatum (drawn by B. Ingram),,2,2
3,1,11:02.0,K. Kuzma misses 3-pt jump shot from 27 ft,,2,2
4,1,10:59.0,,Defensive rebound by J. Brown,2,2
5,1,10:46.0,,K. Irving makes 2-pt jump shot from 6 ft (assist by A. Baynes),2,4
6,1,10:34.0,B. Lopez misses 3-pt jump shot from 27 ft,,2,4
7,1,10:30.0,,Defensive rebound by J. Brown,2,4
8,1,10:24.0,,Personal foul by L. Ball (drawn by K. Irving),2,4
9,1,10:13.0,,M. Morris misses 2-pt jump shot from 9 ft,2,4
10,1,10:11.0,,Offensive rebound by A. Baynes,2,4
11,1,10:08.0,,M. Morris makes 3-pt jump shot from 22 ft (assist by A. Baynes),2,7
12,1,9:45.0,Shooting foul by M. Morris (drawn by B. Ingram),,2,7
13,1,9:45.0,B. Ingram makes free throw 1 of 2,,3,7
14,1,9:45.0,B. Ingram makes free throw 2 of 2,,4,7
15,1,9:30.0,,M. Morris misses 3-pt jump shot from 24 ft,4,7
16,1,9:29.0,,Offensive rebound by Team,4,7
17,1,9:29.0,Loose ball foul by B. Lopez (drawn by A. Baynes),,4,7
18,1,9:23.0,,K. Irving misses 2-pt jump shot from 14 ft,4,7
19,1,9:20.0,Defensive rebound by B. Lopez,,4,7
20,1,9:16.0,K. Caldwell-Pope misses 3-pt jump shot from 22 ft,,4,7
21,1,9:12.0,Offensive rebound by Team,,4,7
22,1,8:58.0,L. Ball misses 3-pt jump shot from 27 ft,,4,7
23,1,8:54.0,,Defensive rebound by A. Baynes,4,7
24,1,8:46.0,,A. Baynes makes 2-pt jump shot from 15 ft (assist by J. Tatum),4,9
25,1,8:33.0,B. Lopez misses 3-pt jump shot from 28 ft,,4,9
26,1,8:30.0,,Defensive rebound by J. Tatum,4,9
27,1,8:17.0,,A. Baynes misses 2-pt jump shot from 10 ft,4,9
28,1,8:14.0,Defensive rebound by L. Ball,,4,9
29,1,8:08.0,Shooting foul by A. Baynes (drawn by K. Caldwell-Pope),,4,9
30,1,8:08.0,K. Caldwell-Pope misses free throw 1 of 2,,4,9
31,1,8:08.0,Offensive rebound by Team,,4,9
32,1,8:08.0,K. Caldwell-Pope makes free throw 2 of 2,,5,9
33,1,7:51.0,,K. Irving makes 2-pt jump shot from 18 ft (assist by J. Brown),5,11
34,1,7:33.0,B. Ingram makes 2-pt layup from 2 ft,,7,11
35,1,7:22.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by K. Irving),7,14
36,1,7:10.0,B. Ingram makes 2-pt jump shot from 17 ft (assist by B. Lopez),,9,14
37,1,7:03.0,,Boston full timeout,9,14
38,1,6:59.0,,M. Morris misses 2-pt jump shot from 14 ft,9,14
39,1,6:57.0,Defensive rebound by B. Lopez,,9,14
40,1,6:43.0,B. Lopez misses 2-pt jump shot from 4 ft (block by J. Tatum),,9,14
41,1,6:38.0,Offensive rebound by B. Lopez,,9,14
42,1,6:37.0,B. Lopez makes 2-pt jump shot from 6 ft,,11,14
43,1,6:28.0,,K. Irving misses 3-pt jump shot from 26 ft,11,14
