,QUARTER,TIME_REMAINING,BOSTON_ACTION,MEMPHIS_ACTION,BOSTON_SCORE,MEMPHIS_SCORE
0,1,11:37.0,A. Horford makes 2-pt jump shot from 10 ft,,2,0
1,1,11:18.0,,T. Evans misses 2-pt jump shot from 2 ft,2,0
2,1,11:18.0,Defensive rebound by A. Horford,,2,0
3,1,11:01.0,A. Baynes makes 2-pt jump shot from 13 ft (assist by K. Irving),,4,0
4,1,10:45.0,,M. Gasol makes 2-pt jump shot from 18 ft (assist by A. Harrison),4,2
5,1,10:29.0,A. Horford misses 2-pt hook shot from 8 ft,,4,2
6,1,10:26.0,,Defensive rebound by J. Green,4,2
7,1,10:17.0,,D. Brooks makes 3-pt jump shot from 26 ft (assist by A. Harrison),4,5
8,1,9:58.0,K. Irving misses 3-pt jump shot from 25 ft,,4,5
9,1,9:54.0,,Defensive rebound by M. Gasol,4,5
10,1,9:47.0,,Personal foul by J. Brown (drawn by T. Evans),4,5
11,1,9:36.0,,T. Evans misses 3-pt jump shot from 25 ft,4,5
12,1,9:33.0,Defensive rebound by J. Tatum,,4,5
13,1,9:24.0,A. Baynes misses 2-pt jump shot from 18 ft,,4,5
14,1,9:22.0,,Defensive rebound by T. Evans,4,5
15,1,9:16.0,,T. Evans misses 2-pt layup at rim (block by J. Brown),4,5
16,1,9:13.0,Defensive rebound by A. Horford,,4,5
17,1,9:05.0,A. Baynes makes 2-pt jump shot from 14 ft (assist by K. Irving),,6,5
18,1,8:50.0,,Turnover by A. Harrison (bad pass; steal by J. Tatum),6,5
19,1,8:49.0,Turnover by K. Irving (bad pass),,6,5
20,1,8:29.0,,D. Brooks misses 2-pt jump shot from 2 ft (block by J. Tatum),6,5
21,1,8:29.0,Defensive rebound by Team,,6,5
22,1,8:21.0,K. Irving misses 2-pt jump shot from 19 ft,,6,5
23,1,8:21.0,,Defensive rebound by D. Brooks,6,5
24,1,8:13.0,,Turnover by J. Green (bad pass),6,5
25,1,8:03.0,K. Irving makes 3-pt jump shot from 23 ft (assist by A. Horford),,9,5
26,1,7:38.0,,A. Harrison misses 2-pt jump shot from 14 ft,9,5
27,1,7:38.0,Defensive rebound by A. Horford,,9,5
28,1,7:19.0,Turnover by K. Irving (bad pass; steal by M. Gasol),,9,5
29,1,7:08.0,,M. Gasol misses 3-pt jump shot from 26 ft,9,5
30,1,7:06.0,Defensive rebound by J. Tatum,,9,5
31,1,6:58.0,J. Tatum makes 3-pt jump shot from 25 ft,,12,5
32,1,6:56.0,,Memphis full timeout,12,5
33,1,6:56.0,,M. Chalmers enters the game for T. Evans,12,5
34,1,6:33.0,,Turnover by M. Gasol (turnover),12,5
35,1,6:15.0,A. Baynes makes 2-pt dunk at rim (assist by J. Tatum),,14,5
36,1,5:48.0,,M. Gasol misses 2-pt hook shot from 11 ft,14,5
37,1,5:44.0,,Offensive rebound by J. Green,14,5
38,1,5:43.0,,J. Green makes 2-pt layup from 1 ft,14,7
39,1,5:29.0,Personal foul by A. Harrison (drawn by K. Irving),,14,7
40,1,5:29.0,,J. Ennis enters the game for D. Brooks,14,7
41,1,5:29.0,M. Smart enters the game for A. Horford,,14,7
42,1,5:19.0,Personal foul by A. Harrison (drawn by K. Irving),,14,7
43,1,5:19.0,,B. McLemore enters the game for A. Harrison,14,7
44,1,5:12.0,J. Brown makes 2-pt jump shot from 22 ft,,16,7
45,1,5:01.0,,Personal foul by J. Brown (drawn by M. Chalmers),16,7
46,1,4:57.0,,Turnover by J. Green (bad pass),16,7
47,1,4:46.0,J. Brown makes 3-pt jump shot from 22 ft (assist by M. Smart),,19,7
48,1,4:46.0,Shooting foul by J. Green (drawn by J. Brown),,19,7
49,1,4:46.0,,J. Martin enters the game for J. Green,19,7
50,1,4:46.0,J. Brown makes free throw 1 of 1,,20,7
51,1,4:34.0,,Shooting foul by M. Smart (drawn by M. Gasol),20,7
52,1,4:34.0,,M. Gasol makes free throw 1 of 2,20,8
53,1,4:34.0,,M. Gasol misses free throw 2 of 2,20,8
54,1,4:31.0,Defensive rebound by A. Baynes,,20,8
55,1,4:17.0,K. Irving misses 2-pt layup from 3 ft,,20,8
56,1,4:14.0,,Defensive rebound by M. Gasol,20,8
57,1,4:02.0,,M. Gasol misses 2-pt jump shot from 10 ft,20,8
58,1,3:58.0,Defensive rebound by K. Irving,,20,8
59,1,3:56.0,Shooting foul by B. McLemore (drawn by K. Irving),,20,8
60,1,3:56.0,K. Irving makes free throw 1 of 2,,21,8
61,1,3:56.0,T. Rozier enters the game for J. Brown,,21,8
62,1,3:56.0,K. Irving makes free throw 2 of 2,,22,8
63,1,3:39.0,,M. Chalmers misses 2-pt jump shot from 10 ft,22,8
64,1,3:37.0,Defensive rebound by Team,,22,8
65,1,3:25.0,K. Irving makes 2-pt jump shot from 13 ft,,24,8
66,1,3:00.0,,J. Ennis misses 2-pt jump shot from 21 ft,24,8
67,1,2:55.0,Defensive rebound by A. Baynes,,24,8
68,1,2:38.0,J. Tatum makes 3-pt jump shot from 25 ft (assist by K. Irving),,27,8
69,1,2:30.0,,Memphis full timeout,27,8
70,1,2:30.0,,T. Evans enters the game for M. Gasol,27,8
71,1,2:30.0,D. Theis enters the game for K. Irving,,27,8
72,1,2:30.0,A. Horford enters the game for A. Baynes,,27,8
73,1,2:16.0,,Turnover by T. Evans (bad pass; steal by J. Tatum),27,8
74,1,2:16.0,Personal foul by B. McLemore (drawn by J. Tatum),,27,8
75,1,2:16.0,J. Tatum makes free throw 1 of 2,,28,8
76,1,2:16.0,J. Tatum makes free throw 2 of 2,,29,8
77,1,2:04.0,,B. McLemore misses 3-pt jump shot from 26 ft,29,8
78,1,2:01.0,,Offensive rebound by J. Martin,29,8
