,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,ATLANTA_ACTION,WASHINGTON_SCORE,ATLANTA_SCORE
0,1,11:46.0,O. Porter makes 2-pt jump shot from 17 ft,,2,0
1,1,11:30.0,,D. Schröder misses 3-pt jump shot from 23 ft,2,0
2,1,11:29.0,,Offensive rebound by Team,2,0
3,1,11:29.0,Loose ball foul by M. Gortat (drawn by E. İlyasova),,2,0
4,1,11:27.0,,T. Prince misses 2-pt layup from 2 ft,2,0
5,1,11:22.0,,Offensive rebound by T. Prince,2,0
6,1,11:21.0,,K. Bazemore misses 2-pt jump shot from 11 ft,2,0
7,1,11:15.0,Defensive rebound by B. Beal,,2,0
8,1,11:11.0,O. Porter misses 3-pt jump shot from 24 ft,,2,0
9,1,11:08.0,,Defensive rebound by D. Schröder,2,0
10,1,10:55.0,,Turnover by K. Bazemore (bad pass; steal by O. Porter),2,0
11,1,10:51.0,O. Porter makes 2-pt layup from 1 ft (assist by J. Wall),,4,0
12,1,10:37.0,,T. Prince makes 3-pt jump shot from 25 ft (assist by D. Schröder),4,3
13,1,10:17.0,M. Morris makes 2-pt jump shot from 13 ft,,6,3
14,1,9:50.0,,E. İlyasova misses 2-pt jump shot from 21 ft,6,3
15,1,9:46.0,Defensive rebound by O. Porter,,6,3
16,1,9:41.0,J. Wall misses 3-pt jump shot from 25 ft,,6,3
17,1,9:39.0,,Defensive rebound by E. İlyasova,6,3
18,1,9:26.0,,D. Schröder makes 2-pt jump shot from 17 ft,6,5
19,1,9:00.0,Shooting foul by E. İlyasova (drawn by M. Morris),,6,5
20,1,9:00.0,M. Morris misses free throw 1 of 2,,6,5
21,1,9:00.0,Offensive rebound by Team,,6,5
22,1,9:00.0,M. Morris makes free throw 2 of 2,,7,5
23,1,8:51.0,,D. Schröder misses 2-pt layup from 1 ft,7,5
24,1,8:48.0,Defensive rebound by Team,,7,5
25,1,8:37.0,M. Gortat misses 2-pt layup from 2 ft,,7,5
26,1,8:33.0,,Defensive rebound by D. Schröder,7,5
27,1,8:31.0,,D. Schröder misses 3-pt jump shot from 25 ft,7,5
28,1,8:27.0,Defensive rebound by B. Beal,,7,5
29,1,8:20.0,B. Beal makes 2-pt jump shot from 19 ft,,9,5
30,1,8:04.0,,Personal foul by J. Wall (drawn by T. Prince),9,5
31,1,7:57.0,,M. Plumlee makes 2-pt layup from 1 ft (assist by K. Bazemore),9,7
32,1,7:34.0,O. Porter misses 2-pt jump shot from 21 ft,,9,7
33,1,7:29.0,Offensive rebound by M. Morris,,9,7
34,1,7:29.0,M. Morris makes 2-pt layup at rim,,11,7
35,1,7:20.0,,Turnover by D. Schröder (bad pass; steal by B. Beal),11,7
36,1,7:19.0,Personal take foul by D. Schröder (drawn by J. Wall),,11,7
37,1,7:07.0,M. Gortat makes 2-pt layup from 1 ft (assist by J. Wall),,13,7
38,1,6:52.0,,T. Prince misses 2-pt layup from 3 ft,13,7
39,1,6:49.0,Defensive rebound by M. Gortat,,13,7
40,1,6:47.0,O. Porter makes 2-pt layup from 2 ft (assist by J. Wall),,15,7
41,1,6:47.0,,Atlanta full timeout,15,7
42,1,6:35.0,,T. Prince misses 3-pt jump shot from 25 ft,15,7
43,1,6:32.0,,Offensive rebound by E. İlyasova,15,7
44,1,6:32.0,,E. İlyasova misses 2-pt layup from 2 ft,15,7
45,1,6:32.0,Defensive rebound by M. Morris,,15,7
46,1,6:20.0,M. Morris makes 2-pt dunk from 2 ft (assist by J. Wall),,17,7
47,1,6:03.0,,K. Bazemore makes 3-pt jump shot from 24 ft (assist by M. Plumlee),17,10
48,1,5:45.0,M. Gortat misses 2-pt jump shot from 17 ft,,17,10
49,1,5:42.0,,Defensive rebound by E. İlyasova,17,10
50,1,5:35.0,,M. Plumlee makes 2-pt layup at rim (assist by K. Bazemore),17,12
51,1,5:17.0,M. Morris makes 3-pt jump shot from 24 ft (assist by J. Wall),,20,12
52,1,4:59.0,,Turnover by D. Schröder (bad pass; steal by O. Porter),20,12
53,1,4:57.0,Shooting foul by T. Prince (drawn by O. Porter),,20,12
54,1,4:57.0,O. Porter makes free throw 1 of 2,,21,12
55,1,4:57.0,,M. Belinelli enters the game for M. Plumlee,21,12
56,1,4:57.0,,J. Collins enters the game for K. Bazemore,21,12
57,1,4:57.0,O. Porter makes free throw 2 of 2,,22,12
58,1,4:38.0,,M. Belinelli makes 2-pt layup from 1 ft (assist by J. Collins),22,14
59,1,4:20.0,M. Gortat misses 2-pt hook shot from 9 ft,,22,14
60,1,4:16.0,,Defensive rebound by J. Collins,22,14
61,1,4:01.0,,E. İlyasova makes 2-pt layup from 1 ft,22,16
62,1,3:48.0,O. Porter misses 2-pt jump shot from 18 ft,,22,16
63,1,3:45.0,Offensive rebound by O. Porter,,22,16
64,1,3:43.0,O. Porter misses 2-pt layup from 1 ft (block by T. Prince),,22,16
65,1,3:43.0,,Defensive rebound by J. Collins,22,16
66,1,3:35.0,,E. İlyasova misses 3-pt jump shot from 23 ft,22,16
67,1,3:32.0,Defensive rebound by M. Morris,,22,16
68,1,3:22.0,J. Wall makes 2-pt layup at rim,,24,16
69,1,3:09.0,,Shooting foul by O. Porter (drawn by T. Prince),24,16
70,1,3:09.0,,T. Prince makes free throw 1 of 2,24,17
71,1,3:09.0,,T. Cavanaugh enters the game for E. İlyasova,24,17
72,1,3:09.0,K. Oubre enters the game for M. Morris,,24,17
73,1,3:09.0,I. Mahinmi enters the game for M. Gortat,,24,17
74,1,3:09.0,M. Scott enters the game for O. Porter,,24,17
75,1,3:09.0,,T. Prince makes free throw 2 of 2,24,18
76,1,3:09.0,,I. Taylor enters the game for D. Schröder,24,18
77,1,2:55.0,B. Beal misses 2-pt jump shot from 20 ft,,24,18
78,1,2:51.0,Offensive rebound by B. Beal,,24,18
79,1,2:45.0,Shooting foul by T. Cavanaugh (drawn by J. Wall),,24,18
80,1,2:45.0,Washington full timeout,,24,18
81,1,2:45.0,,M. Delaney enters the game for T. Prince,24,18
82,1,2:45.0,J. Meeks enters the game for B. Beal,,24,18
83,1,2:45.0,J. Wall makes free throw 1 of 2,,25,18
84,1,2:45.0,J. Wall misses free throw 2 of 2,,25,18
85,1,2:42.0,,Defensive rebound by J. Collins,25,18
86,1,2:25.0,,M. Belinelli makes 3-pt jump shot from 24 ft (assist by I. Taylor),25,21
87,1,2:08.0,M. Scott misses 3-pt jump shot from 24 ft,,25,21
88,1,2:05.0,,Defensive rebound by J. Collins,25,21
89,1,1:57.0,,M. Belinelli makes 2-pt layup at rim (assist by M. Delaney),25,23
