,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,NEW YORK_ACTION,MEMPHIS_SCORE,NEW YORK_SCORE
0,1,11:43.0,J. Green misses 3-pt jump shot from 24 ft,,0,0
1,1,11:40.0,,Defensive rebound by L. Thomas,0,0
2,1,11:29.0,,K. Porziņģis makes 2-pt jump shot from 17 ft (assist by J. Jack),0,2
3,1,11:10.0,Shooting foul by C. Lee (drawn by T. Evans),,0,2
4,1,11:10.0,T. Evans makes free throw 1 of 2,,1,2
5,1,11:10.0,T. Evans makes free throw 2 of 2,,2,2
6,1,10:57.0,,K. Porziņģis misses 2-pt jump shot from 20 ft,2,2
7,1,10:56.0,,Offensive rebound by E. Freedom,2,2
8,1,10:56.0,,Shooting foul by B. McLemore (drawn by E. Freedom),2,2
9,1,10:56.0,,E. Freedom makes free throw 1 of 2,2,3
10,1,10:56.0,,E. Freedom makes free throw 2 of 2,2,4
11,1,10:42.0,T. Evans misses 2-pt layup at rim,,2,4
12,1,10:40.0,,Defensive rebound by L. Thomas,2,4
13,1,10:30.0,,K. Porziņģis misses 2-pt jump shot from 13 ft,2,4
14,1,10:27.0,Defensive rebound by D. Brooks,,2,4
15,1,10:20.0,M. Gasol misses 2-pt jump shot from 11 ft,,2,4
16,1,10:17.0,,Defensive rebound by J. Jack,2,4
17,1,10:06.0,,Turnover by J. Jack (bad pass),2,4
18,1,10:06.0,,Violation by L. Thomas (kicked ball),2,4
19,1,9:42.0,B. McLemore misses 2-pt jump shot from 3 ft,,2,4
20,1,9:41.0,Offensive rebound by J. Green,,2,4
21,1,9:38.0,J. Green misses 2-pt layup from 2 ft,,2,4
22,1,9:38.0,,Defensive rebound by E. Freedom,2,4
23,1,9:31.0,Violation by M. Gasol (kicked ball),,2,4
24,1,9:23.0,,K. Porziņģis makes 2-pt dunk at rim (assist by J. Jack),2,6
25,1,9:15.0,T. Evans makes 3-pt jump shot from 24 ft,,5,6
26,1,9:01.0,,J. Jack misses 2-pt jump shot from 11 ft,5,6
27,1,8:58.0,Defensive rebound by M. Gasol,,5,6
28,1,8:49.0,J. Green makes 3-pt jump shot from 22 ft (assist by M. Gasol),,8,6
29,1,8:31.0,,L. Thomas makes 3-pt jump shot from 23 ft (assist by J. Jack),8,9
30,1,8:31.0,,Shooting foul by B. McLemore (drawn by L. Thomas),8,9
31,1,8:31.0,,L. Thomas makes free throw 1 of 1,8,10
32,1,8:17.0,M. Gasol makes 2-pt hook shot from 11 ft,,10,10
33,1,7:59.0,,E. Freedom makes 2-pt layup at rim (assist by J. Jack),10,12
34,1,7:42.0,,Offensive charge foul by J. Green (drawn by K. Porziņģis),10,12
35,1,7:42.0,Turnover by J. Green (offensive foul),,10,12
36,1,7:42.0,A. Harrison enters the game for B. McLemore,,10,12
37,1,7:22.0,,J. Jack makes 2-pt layup at rim,10,14
38,1,7:14.0,Memphis full timeout,,10,14
39,1,7:04.0,,Violation by E. Freedom (kicked ball),10,14
40,1,6:59.0,M. Gasol makes 2-pt jump shot from 22 ft (assist by D. Brooks),,12,14
41,1,6:42.0,,Personal foul by J. Green (drawn by K. Porziņģis),12,14
42,1,6:42.0,J. Martin enters the game for J. Green,,12,14
43,1,6:37.0,,K. Porziņģis makes 2-pt jump shot from 17 ft (assist by J. Jack),12,16
44,1,6:08.0,M. Gasol makes 2-pt jump shot from 11 ft,,14,16
45,1,5:49.0,,E. Freedom misses 2-pt layup from 3 ft (block by T. Evans),14,16
46,1,5:47.0,Defensive rebound by A. Harrison,,14,16
47,1,5:43.0,T. Evans makes 3-pt jump shot from 25 ft (assist by A. Harrison),,17,16
48,1,5:29.0,,C. Lee misses 2-pt jump shot from 10 ft,17,16
49,1,5:27.0,,Offensive rebound by E. Freedom,17,16
50,1,5:27.0,,Shooting foul by J. Martin (drawn by E. Freedom),17,16
51,1,5:27.0,,E. Freedom makes free throw 1 of 2,17,17
52,1,5:27.0,,D. McDermott enters the game for C. Lee,17,17
53,1,5:27.0,J. Ennis enters the game for D. Brooks,,17,17
54,1,5:27.0,C. Parsons enters the game for T. Evans,,17,17
55,1,5:27.0,,E. Freedom makes free throw 2 of 2,17,18
56,1,5:18.0,Personal foul by J. Jack (drawn by A. Harrison),,17,18
57,1,5:18.0,,D. Dotson enters the game for L. Thomas,17,18
58,1,5:12.0,M. Gasol misses 2-pt jump shot from 22 ft,,17,18
59,1,5:10.0,,Defensive rebound by D. Dotson,17,18
60,1,4:59.0,,Turnover by E. Freedom (out of bounds lost ball),17,18
61,1,4:59.0,,F. Ntilikina enters the game for J. Jack,17,18
62,1,4:46.0,J. Martin misses 2-pt layup from 2 ft (block by K. Porziņģis),,17,18
63,1,4:43.0,,Defensive rebound by E. Freedom,17,18
64,1,4:28.0,,K. Porziņģis misses 2-pt jump shot from 10 ft,17,18
65,1,4:23.0,Defensive rebound by J. Ennis,,17,18
66,1,4:14.0,A. Harrison misses 2-pt layup from 1 ft (block by D. McDermott),,17,18
67,1,4:14.0,Offensive rebound by Team,,17,18
68,1,4:01.0,C. Parsons makes 2-pt jump shot from 17 ft,,19,18
69,1,3:47.0,,Turnover by F. Ntilikina (traveling),19,18
70,1,3:47.0,,K. O'Quinn enters the game for E. Freedom,19,18
71,1,3:47.0,M. Chalmers enters the game for J. Martin,,19,18
72,1,3:29.0,C. Parsons makes 3-pt jump shot from 24 ft (assist by M. Chalmers),,22,18
73,1,3:17.0,,Turnover by K. O'Quinn (bad pass; steal by M. Chalmers),22,18
74,1,3:16.0,M. Chalmers makes 2-pt layup from 1 ft,,24,18
75,1,3:16.0,,New York full timeout,24,18
76,1,2:52.0,,K. Porziņģis misses 2-pt layup from 3 ft (block by M. Gasol),24,18
77,1,2:49.0,Defensive rebound by M. Gasol,,24,18
78,1,2:45.0,Shooting foul by D. McDermott (drawn by A. Harrison),,24,18
79,1,2:45.0,A. Harrison makes free throw 1 of 2,,25,18
