,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,OKLAHOMA CITY_ACTION,NEW ORLEANS_SCORE,OKLAHOMA CITY_SCORE
0,1,11:45.0,E. Moore misses 2-pt jump shot from 7 ft (block by S. Adams),,0,0
1,1,11:45.0,Offensive rebound by Team,,0,0
2,1,11:42.0,A. Davis misses 2-pt jump shot from 8 ft,,0,0
3,1,11:38.0,,Defensive rebound by R. Westbrook,0,0
4,1,11:24.0,,C. Anthony misses 2-pt jump shot from 14 ft,0,0
5,1,11:21.0,Defensive rebound by R. Rondo,,0,0
6,1,11:12.0,A. Davis misses 2-pt jump shot from 14 ft,,0,0
7,1,11:10.0,,Defensive rebound by R. Westbrook,0,0
8,1,11:08.0,,Personal foul by E. Moore (drawn by T. Ferguson),0,0
9,1,11:01.0,,Turnover by R. Westbrook (lost ball; steal by R. Rondo),0,0
10,1,10:56.0,J. Holiday makes 3-pt jump shot from 25 ft,,3,0
11,1,10:36.0,,Turnover by P. George (bad pass; steal by J. Holiday),3,0
12,1,10:20.0,J. Holiday misses 2-pt jump shot from 9 ft,,3,0
13,1,10:16.0,,Defensive rebound by R. Westbrook,3,0
14,1,10:10.0,,S. Adams makes 2-pt layup from 2 ft (assist by R. Westbrook),3,2
15,1,9:51.0,E. Moore makes 3-pt jump shot from 22 ft (assist by J. Holiday),,6,2
16,1,9:42.0,,P. George misses 2-pt jump shot from 18 ft,6,2
17,1,9:38.0,Defensive rebound by R. Rondo,,6,2
18,1,9:33.0,Turnover by R. Rondo (out of bounds lost ball),,6,2
19,1,9:21.0,,R. Westbrook makes 2-pt jump shot from 15 ft,6,4
20,1,9:13.0,J. Holiday misses 2-pt jump shot from 6 ft,,6,4
21,1,9:10.0,,Defensive rebound by S. Adams,6,4
22,1,9:08.0,,P. George misses 3-pt jump shot from 25 ft,6,4
23,1,9:04.0,Defensive rebound by A. Davis,,6,4
24,1,8:59.0,A. Davis makes 2-pt dunk at rim (assist by J. Holiday),,8,4
25,1,8:59.0,Shooting foul by S. Adams (drawn by A. Davis),,8,4
26,1,8:59.0,A. Davis misses free throw 1 of 1,,8,4
27,1,8:55.0,,Defensive rebound by C. Anthony,8,4
28,1,8:49.0,,C. Anthony misses 2-pt jump shot from 19 ft,8,4
29,1,8:46.0,Defensive rebound by A. Davis,,8,4
30,1,8:42.0,E. Moore makes 2-pt layup from 6 ft (assist by R. Rondo),,10,4
31,1,8:30.0,,T. Ferguson misses 3-pt jump shot from 24 ft,10,4
32,1,8:29.0,Defensive rebound by Team,,10,4
33,1,8:18.0,R. Rondo misses 2-pt jump shot from 17 ft,,10,4
34,1,8:14.0,,Defensive rebound by P. George,10,4
35,1,8:08.0,,P. George misses 2-pt jump shot from 15 ft,10,4
36,1,8:07.0,,Offensive rebound by Team,10,4
37,1,8:07.0,Loose ball foul by A. Davis (drawn by S. Adams),,10,4
38,1,8:07.0,,Oklahoma City full timeout,10,4
39,1,7:58.0,,Shooting foul by E. Moore (drawn by T. Ferguson),10,4
40,1,7:58.0,,T. Ferguson makes free throw 1 of 2,10,5
41,1,7:58.0,I. Clark enters the game for E. Moore,,10,5
42,1,7:58.0,,T. Ferguson makes free throw 2 of 2,10,6
43,1,7:48.0,A. Davis makes 2-pt jump shot from 14 ft (assist by J. Holiday),,12,6
44,1,7:34.0,,Turnover by R. Westbrook (bad pass; steal by R. Rondo),12,6
45,1,7:25.0,Turnover by I. Clark (traveling),,12,6
46,1,7:10.0,,C. Anthony makes 2-pt layup from 3 ft (assist by R. Westbrook),12,8
47,1,6:57.0,A. Davis misses 2-pt jump shot from 12 ft,,12,8
48,1,6:54.0,,Defensive rebound by R. Westbrook,12,8
49,1,6:46.0,,S. Adams makes 2-pt layup at rim (assist by R. Westbrook),12,10
50,1,6:29.0,A. Davis makes 2-pt layup from 1 ft (assist by J. Holiday),,14,10
51,1,6:18.0,,R. Westbrook misses 2-pt jump shot from 13 ft,14,10
52,1,6:15.0,,Offensive rebound by S. Adams,14,10
53,1,6:12.0,,R. Westbrook misses 3-pt jump shot from 24 ft,14,10
54,1,6:10.0,Defensive rebound by D. Cunningham,,14,10
55,1,5:54.0,R. Rondo misses 3-pt jump shot from 26 ft,,14,10
56,1,5:51.0,,Defensive rebound by C. Anthony,14,10
57,1,5:48.0,,Turnover by P. George (out of bounds lost ball),14,10
58,1,5:31.0,A. Davis misses 2-pt jump shot from 10 ft,,14,10
59,1,5:27.0,,Defensive rebound by S. Adams,14,10
60,1,5:25.0,,R. Westbrook makes 2-pt jump shot from 11 ft,14,12
61,1,5:25.0,,Shooting foul by R. Rondo (drawn by R. Westbrook),14,12
62,1,5:25.0,D. Miller enters the game for J. Holiday,,14,12
63,1,5:25.0,,R. Westbrook makes free throw 1 of 1,14,13
64,1,5:05.0,R. Rondo misses 2-pt layup from 3 ft (block by C. Anthony),,14,13
65,1,5:05.0,,Defensive rebound by S. Adams,14,13
66,1,5:00.0,,R. Westbrook makes 2-pt dunk from 2 ft,14,15
67,1,4:50.0,Turnover by A. Davis (lost ball; steal by P. George),,14,15
68,1,4:44.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),14,17
69,1,4:38.0,,Á. Abrines enters the game for T. Ferguson,14,17
70,1,4:28.0,D. Miller makes 2-pt jump shot from 20 ft (assist by R. Rondo),,16,17
71,1,4:10.0,,Personal foul by D. Cunningham (drawn by P. George),16,17
72,1,4:10.0,,P. George makes free throw 1 of 2,16,18
73,1,4:10.0,,P. George makes free throw 2 of 2,16,19
74,1,3:56.0,A. Davis misses 2-pt jump shot from 14 ft,,16,19
75,1,3:53.0,,Defensive rebound by C. Anthony,16,19
76,1,3:48.0,,Á. Abrines misses 3-pt jump shot from 22 ft,16,19
77,1,3:43.0,Defensive rebound by R. Rondo,,16,19
78,1,3:43.0,Turnover by R. Rondo (bad pass),,16,19
79,1,3:33.0,,Á. Abrines makes 3-pt jump shot from 25 ft (assist by R. Westbrook),16,22
80,1,3:16.0,A. Davis misses 2-pt layup from 6 ft (block by S. Adams),,16,22
81,1,3:13.0,,Defensive rebound by P. George,16,22
82,1,3:09.0,,P. George misses 3-pt jump shot from 26 ft,16,22
83,1,3:04.0,Defensive rebound by A. Davis,,16,22
84,1,3:04.0,Turnover by A. Davis (bad pass),,16,22
85,1,3:04.0,J. Holiday enters the game for R. Rondo,,16,22
86,1,3:04.0,C. Diallo enters the game for A. Davis,,16,22
87,1,2:52.0,,C. Anthony misses 2-pt jump shot from 7 ft,16,22
88,1,2:50.0,,Offensive rebound by C. Anthony,16,22
89,1,2:50.0,,C. Anthony makes 2-pt layup at rim,16,24
90,1,2:38.0,J. Holiday misses 2-pt jump shot from 22 ft,,16,24
91,1,2:36.0,,Defensive rebound by R. Westbrook,16,24
92,1,2:34.0,,C. Anthony makes 3-pt jump shot from 26 ft (assist by R. Westbrook),16,27
93,1,2:28.0,New Orleans full timeout,,16,27
94,1,2:28.0,,J. Grant enters the game for R. Westbrook,16,27
95,1,2:28.0,,R. Felton enters the game for S. Adams,16,27
96,1,2:12.0,I. Clark makes 2-pt layup from 7 ft,,18,27
97,1,1:57.0,,R. Felton misses 2-pt jump shot from 20 ft,18,27
98,1,1:55.0,Defensive rebound by J. Holiday,,18,27
99,1,1:50.0,C. Diallo makes 2-pt layup at rim (assist by I. Clark),,20,27
100,1,1:28.0,,C. Anthony misses 2-pt layup at rim (block by C. Diallo),20,27
101,1,1:24.0,Defensive rebound by D. Miller,,20,27
102,1,1:20.0,D. Cunningham misses 2-pt layup from 3 ft (block by R. Felton),,20,27
103,1,1:17.0,,Defensive rebound by R. Felton,20,27
104,1,1:15.0,,C. Anthony makes 2-pt layup at rim (assist by R. Felton),20,29
105,1,0:53.0,C. Diallo misses 2-pt jump shot from 14 ft,,20,29
106,1,0:50.0,,Defensive rebound by P. George,20,29
107,1,0:45.0,,J. Grant misses 2-pt layup from 1 ft,20,29
108,1,0:45.0,,Offensive rebound by J. Grant,20,29
109,1,0:31.0,,Á. Abrines makes 3-pt jump shot from 24 ft (assist by P. George),20,32
110,1,0:17.0,J. Holiday makes 2-pt hook shot from 7 ft,,22,32
111,2,11:43.0,,Á. Abrines misses 3-pt jump shot from 25 ft,22,32
112,2,11:40.0,Defensive rebound by C. Diallo,,22,32
113,2,11:40.0,Turnover by C. Diallo (traveling),,22,32
114,2,11:32.0,,J. Grant makes 2-pt dunk from 1 ft (assist by R. Felton),22,34
115,2,11:16.0,J. Holiday misses 2-pt jump shot from 7 ft,,22,34
116,2,11:13.0,,Defensive rebound by J. Grant,22,34
117,2,10:54.0,,R. Felton makes 2-pt jump shot from 14 ft,22,36
118,2,10:43.0,Turnover by I. Clark (bad pass; steal by P. Patterson),,22,36
119,2,10:37.0,,J. Grant makes 2-pt dunk at rim (assist by R. Felton),22,38
120,2,10:20.0,E. Moore makes 2-pt jump shot from 5 ft,,24,38
121,2,10:09.0,,Shooting foul by J. Holiday (drawn by Á. Abrines),24,38
122,2,10:09.0,,Á. Abrines makes free throw 1 of 2,24,39
123,2,10:09.0,,Á. Abrines makes free throw 2 of 2,24,40
124,2,10:00.0,D. Miller makes 3-pt jump shot from 25 ft (assist by I. Clark),,27,40
125,2,9:35.0,,Personal foul by I. Clark (drawn by R. Felton),27,40
126,2,9:22.0,,R. Felton misses 2-pt jump shot from 6 ft,27,40
127,2,9:20.0,Defensive rebound by C. Diallo,,27,40
128,2,9:17.0,E. Moore makes 2-pt jump shot from 17 ft,,29,40
129,2,8:59.0,,Á. Abrines misses 3-pt jump shot from 25 ft,29,40
130,2,8:59.0,Defensive rebound by C. Diallo,,29,40
131,2,8:48.0,,R. Westbrook enters the game for Á. Abrines,29,40
