,QUARTER,TIME_REMAINING,BOSTON_ACTION,MILWAUKEE_ACTION,BOSTON_SCORE,MILWAUKEE_SCORE
0,1,11:41.0,J. Brown makes 2-pt jump shot from 8 ft,,2,0
1,1,11:23.0,,Turnover by K. Middleton (bad pass),2,0
2,1,11:09.0,J. Brown misses 3-pt jump shot from 28 ft,,2,0
3,1,11:06.0,,Defensive rebound by G. Antetokounmpo,2,0
4,1,11:02.0,,G. Antetokounmpo misses 2-pt layup from 3 ft,2,0
5,1,10:58.0,Defensive rebound by A. Horford,,2,0
6,1,10:34.0,A. Horford misses 2-pt jump shot from 18 ft,,2,0
7,1,10:32.0,,Defensive rebound by G. Antetokounmpo,2,0
8,1,10:28.0,,E. Bledsoe misses 2-pt layup from 2 ft,2,0
9,1,10:25.0,Defensive rebound by A. Horford,,2,0
10,1,10:11.0,Turnover by A. Horford (lost ball; steal by K. Middleton),,2,0
11,1,10:06.0,,M. Brogdon makes 2-pt jump shot from 6 ft (assist by G. Antetokounmpo),2,2
12,1,9:40.0,J. Brown misses 2-pt jump shot from 8 ft,,2,2
13,1,9:38.0,,Defensive rebound by G. Antetokounmpo,2,2
14,1,9:35.0,,T. Maker makes 2-pt dunk from 2 ft (assist by M. Brogdon),2,4
15,1,9:34.0,Boston full timeout,,2,4
16,1,9:22.0,Personal foul by K. Middleton (drawn by J. Tatum),,2,4
17,1,9:09.0,T. Rozier makes 3-pt jump shot from 27 ft (assist by J. Tatum),,5,4
18,1,8:54.0,,Turnover by E. Bledsoe (lost ball; steal by T. Rozier),5,4
19,1,8:49.0,T. Rozier misses 2-pt layup from 2 ft,,5,4
20,1,8:46.0,Offensive rebound by T. Rozier,,5,4
21,1,8:35.0,S. Ojeleye misses 3-pt jump shot from 26 ft,,5,4
22,1,8:34.0,,Defensive rebound by K. Middleton,5,4
23,1,8:32.0,,Personal foul by J. Tatum (drawn by G. Antetokounmpo),5,4
24,1,8:14.0,,M. Brogdon misses 2-pt layup from 3 ft (block by A. Horford),5,4
25,1,8:11.0,Defensive rebound by S. Ojeleye,,5,4
26,1,7:52.0,J. Tatum makes 2-pt layup from 1 ft (assist by A. Horford),,7,4
27,1,7:52.0,Shooting foul by G. Antetokounmpo (drawn by J. Tatum),,7,4
28,1,7:52.0,J. Tatum makes free throw 1 of 1,,8,4
29,1,7:31.0,,K. Middleton misses 2-pt jump shot from 17 ft,8,4
30,1,7:29.0,Defensive rebound by J. Tatum,,8,4
31,1,7:12.0,A. Horford makes 2-pt dunk from 1 ft,,10,4
32,1,7:11.0,,Milwaukee full timeout,10,4
33,1,6:53.0,,G. Antetokounmpo misses 2-pt jump shot from 8 ft,10,4
34,1,6:50.0,Defensive rebound by T. Rozier,,10,4
35,1,6:37.0,Turnover by T. Rozier (bad pass; steal by G. Antetokounmpo),,10,4
36,1,6:30.0,,K. Middleton makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),10,6
37,1,6:04.0,A. Horford misses 3-pt jump shot from 26 ft,,10,6
38,1,6:02.0,,Defensive rebound by M. Brogdon,10,6
39,1,5:49.0,,T. Maker misses 3-pt jump shot from 22 ft,10,6
40,1,5:49.0,,Offensive rebound by Team,10,6
41,1,5:49.0,M. Smart enters the game for J. Tatum,,10,6
42,1,5:49.0,M. Morris enters the game for S. Ojeleye,,10,6
43,1,5:45.0,,G. Antetokounmpo misses 3-pt jump shot from 25 ft,10,6
44,1,5:42.0,Defensive rebound by A. Horford,,10,6
45,1,5:32.0,T. Rozier makes 2-pt jump shot from 4 ft (assist by M. Morris),,12,6
46,1,5:15.0,,T. Maker makes 2-pt hook shot from 2 ft,12,8
47,1,4:53.0,M. Smart misses 2-pt jump shot from 21 ft,,12,8
48,1,4:51.0,,Defensive rebound by G. Antetokounmpo,12,8
49,1,4:36.0,,T. Maker misses 3-pt jump shot from 26 ft,12,8
50,1,4:33.0,Defensive rebound by A. Horford,,12,8
51,1,4:17.0,Shooting foul by T. Maker (drawn by M. Smart),,12,8
52,1,4:17.0,M. Smart makes free throw 1 of 2,,13,8
53,1,4:17.0,,M. Dellavedova enters the game for E. Bledsoe,13,8
54,1,4:17.0,,J. Parker enters the game for K. Middleton,13,8
55,1,4:17.0,A. Baynes enters the game for A. Horford,,13,8
56,1,4:17.0,M. Smart makes free throw 2 of 2,,14,8
57,1,4:02.0,,G. Antetokounmpo makes 2-pt jump shot from 13 ft,14,10
58,1,3:44.0,T. Rozier makes 3-pt jump shot from 23 ft,,17,10
59,1,3:42.0,,Turnover by T. Maker (bad pass),17,10
60,1,3:42.0,,T. Zeller enters the game for T. Maker,17,10
61,1,3:21.0,M. Morris makes 2-pt jump shot from 9 ft (assist by M. Smart),,19,10
62,1,3:02.0,,Personal foul by J. Brown (drawn by G. Antetokounmpo),19,10
63,1,3:02.0,,T. Snell enters the game for M. Brogdon,19,10
64,1,2:53.0,,M. Dellavedova makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),19,13
65,1,2:40.0,T. Rozier makes 3-pt jump shot from 25 ft (assist by M. Morris),,22,13
66,1,2:23.0,,T. Zeller makes 2-pt jump shot from 15 ft (assist by J. Parker),22,15
67,1,2:06.0,A. Baynes makes 2-pt jump shot from 12 ft (assist by T. Rozier),,24,15
68,1,1:43.0,,J. Parker misses 2-pt layup from 3 ft,24,15
69,1,1:41.0,Defensive rebound by T. Rozier,,24,15
70,1,1:34.0,M. Morris misses 3-pt jump shot from 26 ft,,24,15
71,1,1:31.0,,Defensive rebound by T. Zeller,24,15
72,1,1:28.0,,J. Parker makes 2-pt dunk from 1 ft (assist by M. Dellavedova),24,17
73,1,1:04.0,M. Morris misses 2-pt jump shot from 10 ft,,24,17
74,1,1:02.0,,Defensive rebound by J. Parker,24,17
75,1,0:54.0,,J. Parker makes 3-pt jump shot from 25 ft (assist by M. Dellavedova),24,20
76,1,0:35.0,T. Rozier misses 3-pt jump shot from 28 ft,,24,20
77,1,0:33.0,,Defensive rebound by Team,24,20
78,1,0:33.0,,K. Middleton enters the game for G. Antetokounmpo,24,20
79,1,0:33.0,J. Tatum enters the game for J. Brown,,24,20
80,1,0:33.0,S. Larkin enters the game for T. Rozier,,24,20
81,1,0:13.0,,K. Middleton makes 2-pt jump shot from 13 ft,24,22
82,1,0:00.0,J. Tatum misses 3-pt jump shot from 26 ft,,24,22
83,1,0:00.0,Offensive rebound by Team,,24,22
84,2,11:43.0,,M. Dellavedova misses 3-pt jump shot from 27 ft,24,22
85,2,11:40.0,Defensive rebound by M. Morris,,24,22
86,2,11:30.0,A. Horford makes 3-pt jump shot from 26 ft (assist by S. Larkin),,27,22
87,2,11:18.0,,T. Snell misses 3-pt jump shot from 26 ft,27,22
88,2,11:18.0,Defensive rebound by A. Horford,,27,22
89,2,11:03.0,S. Larkin makes 2-pt layup from 1 ft,,29,22
90,2,10:44.0,Offensive charge foul by K. Middleton (drawn by M. Smart),,29,22
91,2,10:44.0,,Turnover by K. Middleton (offensive foul),29,22
92,2,10:32.0,J. Tatum misses 2-pt jump shot from 19 ft,,29,22
93,2,10:29.0,,Defensive rebound by J. Parker,29,22
94,2,10:23.0,,K. Middleton makes 2-pt dunk from 1 ft (assist by M. Dellavedova),29,24
95,2,10:04.0,M. Morris misses 2-pt jump shot from 17 ft,,29,24
96,2,10:02.0,,Defensive rebound by T. Zeller,29,24
97,2,9:51.0,,Turnover by K. Middleton (out of bounds lost ball),29,24
98,2,9:51.0,,T. Maker enters the game for T. Zeller,29,24
99,2,9:24.0,M. Smart misses 3-pt jump shot from 27 ft,,29,24
100,2,9:22.0,,Defensive rebound by J. Parker,29,24
101,2,9:14.0,,Turnover by K. Middleton (bad pass),29,24
102,2,8:55.0,M. Morris makes 2-pt jump shot from 15 ft,,31,24
103,2,8:55.0,,Milwaukee full timeout,31,24
104,2,8:55.0,,G. Antetokounmpo enters the game for K. Middleton,31,24
105,2,8:34.0,,M. Dellavedova misses 3-pt jump shot from 26 ft,31,24
106,2,8:31.0,,Offensive rebound by T. Maker,31,24
107,2,8:19.0,,J. Parker misses 2-pt jump shot from 15 ft,31,24
108,2,8:17.0,Defensive rebound by S. Larkin,,31,24
109,2,8:07.0,Turnover by A. Horford (traveling),,31,24
110,2,8:07.0,,E. Bledsoe enters the game for M. Dellavedova,31,24
