,QUARTER,TIME_REMAINING,MIAMI_ACTION,CLEVELAND_ACTION,MIAMI_SCORE,CLEVELAND_SCORE
0,1,11:38.0,J. Winslow misses 2-pt jump shot from 14 ft,,0,0
1,1,11:36.0,,Defensive rebound by L. James,0,0
2,1,11:33.0,,L. James makes 2-pt layup at rim,0,2
3,1,11:33.0,,Shooting foul by J. Winslow (drawn by L. James),0,2
4,1,11:33.0,,L. James misses free throw 1 of 1,0,2
5,1,11:31.0,Defensive rebound by H. Whiteside,,0,2
6,1,11:19.0,J. Richardson misses 3-pt jump shot from 30 ft,,0,2
7,1,11:09.0,Offensive rebound by H. Whiteside,,0,2
8,1,11:09.0,H. Whiteside makes 2-pt dunk at rim,,2,2
9,1,10:54.0,,K. Love makes 3-pt jump shot from 24 ft,2,5
10,1,10:34.0,H. Whiteside misses 2-pt jump shot from 11 ft,,2,5
11,1,10:32.0,,Defensive rebound by L. James,2,5
12,1,10:29.0,,J. Smith misses 3-pt jump shot from 30 ft,2,5
13,1,10:25.0,Defensive rebound by H. Whiteside,,2,5
14,1,10:15.0,G. Dragić misses 2-pt jump shot from 13 ft,,2,5
15,1,10:14.0,Offensive rebound by H. Whiteside,,2,5
16,1,10:14.0,H. Whiteside makes 2-pt layup at rim,,4,5
17,1,10:14.0,Shooting foul by J. Crowder (drawn by H. Whiteside),,4,5
18,1,10:14.0,H. Whiteside misses free throw 1 of 1,,4,5
19,1,10:11.0,,Defensive rebound by L. James,4,5
20,1,10:02.0,,L. James makes 2-pt dunk from 1 ft (assist by J. Calderón),4,7
21,1,9:35.0,J. Winslow misses 2-pt layup from 2 ft,,4,7
22,1,9:33.0,,Defensive rebound by L. James,4,7
23,1,9:27.0,,L. James misses 3-pt jump shot from 24 ft,4,7
24,1,9:24.0,Defensive rebound by H. Whiteside,,4,7
25,1,9:10.0,H. Whiteside misses 2-pt hook shot from 10 ft,,4,7
26,1,9:08.0,,Defensive rebound by L. James,4,7
27,1,9:02.0,,K. Love makes 3-pt jump shot from 24 ft (assist by J. Smith),4,10
28,1,8:44.0,Turnover by J. Richardson (bad pass; steal by K. Love),,4,10
29,1,8:35.0,,K. Love makes 2-pt jump shot from 13 ft (assist by J. Calderón),4,12
30,1,8:27.0,Shooting foul by L. James (drawn by G. Dragić),,4,12
31,1,8:27.0,G. Dragić misses free throw 1 of 2,,4,12
32,1,8:27.0,Offensive rebound by Team,,4,12
33,1,8:27.0,G. Dragić misses free throw 2 of 2,,4,12
34,1,8:24.0,,Defensive rebound by K. Love,4,12
35,1,8:12.0,,K. Love misses 3-pt jump shot from 28 ft,4,12
36,1,8:10.0,,Offensive rebound by J. Calderón,4,12
37,1,8:06.0,,Personal foul by G. Dragić (drawn by J. Calderón),4,12
38,1,7:58.0,,Personal foul by G. Dragić (drawn by J. Calderón),4,12
39,1,7:58.0,T. Johnson enters the game for G. Dragić,,4,12
40,1,7:47.0,,J. Crowder misses 3-pt jump shot from 24 ft,4,12
41,1,7:40.0,,Offensive rebound by K. Love,4,12
42,1,7:40.0,,K. Love makes 2-pt layup at rim,4,14
43,1,7:39.0,Miami full timeout,,4,14
44,1,7:39.0,K. Olynyk enters the game for J. Winslow,,4,14
45,1,7:39.0,J. Johnson enters the game for H. Whiteside,,4,14
46,1,7:22.0,J. Johnson makes 3-pt jump shot from 26 ft (assist by D. Waiters),,7,14
47,1,6:56.0,,K. Love makes 2-pt jump shot from 19 ft (assist by L. James),7,16
48,1,6:45.0,D. Waiters makes 3-pt jump shot from 25 ft,,10,16
49,1,6:28.0,,Shooting foul by J. Johnson (drawn by J. Calderón),10,16
50,1,6:28.0,,J. Calderón misses free throw 1 of 2,10,16
51,1,6:28.0,,Offensive rebound by Team,10,16
52,1,6:28.0,,J. Calderón makes free throw 2 of 2,10,17
53,1,6:12.0,D. Waiters makes 2-pt layup at rim (assist by J. Richardson),,12,17
54,1,6:04.0,,Personal foul by K. Olynyk (drawn by K. Love),12,17
55,1,6:04.0,,K. Love makes free throw 1 of 2,12,18
56,1,6:04.0,,K. Love makes free throw 2 of 2,12,19
57,1,5:54.0,J. Richardson misses 3-pt jump shot from 26 ft,,12,19
58,1,5:51.0,,Defensive rebound by J. Smith,12,19
59,1,5:34.0,,Personal foul by K. Olynyk (drawn by K. Love),12,19
60,1,5:34.0,,K. Love makes free throw 1 of 2,12,20
61,1,5:34.0,,K. Love makes free throw 2 of 2,12,21
62,1,5:23.0,Turnover by D. Waiters (bad pass; steal by L. James),,12,21
63,1,5:18.0,,K. Love makes 3-pt jump shot from 25 ft (assist by L. James),12,24
64,1,5:11.0,Miami full timeout,,12,24
65,1,4:55.0,J. Johnson makes 2-pt layup from 1 ft (assist by D. Waiters),,14,24
66,1,4:39.0,,K. Love misses 2-pt hook shot from 11 ft,14,24
67,1,4:39.0,Defensive rebound by T. Johnson,,14,24
68,1,4:33.0,Turnover by T. Johnson (bad pass; steal by L. James),,14,24
69,1,4:30.0,,L. James makes 2-pt layup from 1 ft,14,26
70,1,4:16.0,D. Waiters misses 3-pt jump shot from 25 ft,,14,26
71,1,4:12.0,,Defensive rebound by K. Love,14,26
72,1,4:03.0,,K. Love misses 3-pt jump shot from 25 ft,14,26
73,1,4:00.0,Defensive rebound by J. Johnson,,14,26
74,1,3:53.0,Turnover by J. Johnson (lost ball; steal by L. James),,14,26
75,1,3:45.0,,Shooting foul by J. Richardson (drawn by K. Love),14,26
76,1,3:45.0,,K. Love makes free throw 1 of 2,14,27
77,1,3:45.0,,D. Wade enters the game for J. Calderón,14,27
78,1,3:45.0,W. Ellington enters the game for J. Richardson,,14,27
79,1,3:45.0,,K. Love makes free throw 2 of 2,14,28
