,QUARTER,TIME_REMAINING,NEW YORK_ACTION,DENVER_ACTION,NEW YORK_SCORE,DENVER_SCORE
0,1,11:45.0,,W. Barton makes 3-pt jump shot from 22 ft (assist by J. Murray),0,3
1,1,11:27.0,K. Porziņģis makes 2-pt jump shot from 11 ft (assist by J. Jack),,2,3
2,1,11:08.0,,M. Plumlee makes 2-pt dunk from 2 ft (assist by N. Jokić),2,5
3,1,10:57.0,C. Lee misses 2-pt jump shot from 21 ft,,2,5
4,1,10:54.0,,Defensive rebound by N. Jokić,2,5
5,1,10:47.0,,N. Jokić misses 2-pt hook shot from 2 ft,2,5
6,1,10:45.0,Defensive rebound by K. Porziņģis,,2,5
7,1,10:36.0,C. Lee makes 2-pt jump shot from 15 ft (assist by J. Jack),,4,5
8,1,10:23.0,,G. Harris misses 2-pt jump shot from 14 ft,4,5
9,1,10:21.0,Defensive rebound by C. Lee,,4,5
10,1,10:13.0,E. Freedom makes 2-pt layup from 2 ft (assist by J. Jack),,6,5
11,1,10:01.0,,J. Murray misses 3-pt jump shot from 24 ft,6,5
12,1,10:00.0,Defensive rebound by E. Freedom,,6,5
13,1,9:53.0,J. Jack misses 2-pt jump shot from 7 ft,,6,5
14,1,9:51.0,,Defensive rebound by M. Plumlee,6,5
15,1,9:41.0,,G. Harris makes 3-pt jump shot from 25 ft (assist by M. Plumlee),6,8
16,1,9:15.0,E. Freedom makes 2-pt dunk from 1 ft (assist by C. Lee),,8,8
17,1,9:00.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by N. Jokić),8,10
18,1,8:44.0,K. Porziņģis misses 2-pt layup from 2 ft,,8,10
19,1,8:44.0,,Defensive rebound by Team,8,10
20,1,8:35.0,,J. Murray makes 2-pt dunk from 1 ft (assist by N. Jokić),8,12
21,1,8:17.0,Turnover by C. Lee (lost ball; steal by M. Plumlee),,8,12
22,1,8:15.0,,J. Murray makes 2-pt layup from 1 ft,8,14
23,1,8:15.0,,Shooting foul by E. Freedom (drawn by J. Murray),8,14
24,1,8:15.0,,J. Murray makes free throw 1 of 1,8,15
25,1,8:11.0,New York full timeout,,8,15
26,1,8:03.0,K. Porziņģis misses 3-pt jump shot from 25 ft,,8,15
27,1,8:00.0,,Defensive rebound by M. Plumlee,8,15
28,1,7:54.0,,Turnover by G. Harris (bad pass; steal by J. Jack),8,15
29,1,7:46.0,K. Porziņģis makes 2-pt layup from 4 ft (assist by C. Lee),,10,15
30,1,7:26.0,,N. Jokić makes 2-pt layup from 2 ft,10,17
31,1,7:09.0,Turnover by C. Lee (bad pass; steal by G. Harris),,10,17
32,1,7:01.0,,N. Jokić makes 2-pt layup from 1 ft (assist by M. Plumlee),10,19
33,1,6:46.0,J. Jack makes 2-pt jump shot from 12 ft,,12,19
34,1,6:21.0,,G. Harris makes 3-pt jump shot from 25 ft (assist by M. Plumlee),12,22
35,1,6:09.0,Turnover by J. Jack (bad pass),,12,22
36,1,6:09.0,L. Thomas enters the game for R. Baker,,12,22
37,1,5:49.0,,N. Jokić misses 2-pt jump shot from 5 ft,12,22
38,1,5:47.0,Defensive rebound by C. Lee,,12,22
39,1,5:42.0,Personal foul by M. Plumlee (drawn by K. Porziņģis),,12,22
40,1,5:36.0,J. Jack makes 2-pt jump shot from 20 ft (assist by C. Lee),,14,22
41,1,5:19.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by N. Jokić),14,24
42,1,4:56.0,J. Jack misses 3-pt jump shot from 24 ft,,14,24
43,1,4:52.0,,Defensive rebound by M. Plumlee,14,24
44,1,4:45.0,,M. Plumlee makes 2-pt layup from 1 ft (assist by W. Barton),14,26
45,1,4:29.0,J. Jack misses 2-pt jump shot from 6 ft,,14,26
46,1,4:27.0,,Defensive rebound by J. Murray,14,26
47,1,4:22.0,,J. Murray misses 2-pt layup from 3 ft (block by J. Jack),14,26
48,1,4:20.0,Defensive rebound by J. Jack,,14,26
49,1,4:16.0,L. Thomas makes 3-pt jump shot from 22 ft (assist by J. Jack),,17,26
50,1,4:00.0,,Turnover by W. Barton (bad pass; steal by L. Thomas),17,26
51,1,4:00.0,Personal take foul by N. Jokić (drawn by J. Jack),,17,26
52,1,4:00.0,,W. Chandler enters the game for W. Barton,17,26
53,1,4:00.0,M. Beasley enters the game for E. Freedom,,17,26
54,1,4:00.0,T. Burke enters the game for K. Porziņģis,,17,26
55,1,4:00.0,W. Hernangómez enters the game for J. Jack,,17,26
56,1,4:00.0,,T. Lyles enters the game for M. Plumlee,17,26
57,1,3:42.0,,Violation by N. Jokić (kicked ball),17,26
58,1,3:38.0,C. Lee makes 3-pt jump shot from 23 ft (assist by T. Burke),,20,26
59,1,3:19.0,,T. Lyles misses 2-pt layup from 1 ft,20,26
60,1,3:17.0,Defensive rebound by W. Hernangómez,,20,26
61,1,3:12.0,L. Thomas misses 3-pt jump shot from 22 ft,,20,26
62,1,3:10.0,,Defensive rebound by T. Lyles,20,26
63,1,3:05.0,,J. Murray makes 3-pt jump shot from 24 ft (assist by G. Harris),20,29
64,1,2:46.0,M. Beasley misses 2-pt jump shot from 10 ft,,20,29
65,1,2:44.0,,Defensive rebound by J. Murray,20,29
66,1,2:43.0,,Turnover by J. Murray (bad pass; steal by C. Lee),20,29
67,1,2:37.0,T. Burke makes 2-pt layup from 2 ft (assist by C. Lee),,22,29
68,1,2:37.0,,Denver full timeout,22,29
69,1,2:37.0,,W. Barton enters the game for G. Harris,22,29
70,1,2:37.0,,T. Craig enters the game for N. Jokić,22,29
71,1,2:37.0,F. Ntilikina enters the game for C. Lee,,22,29
72,1,2:20.0,,T. Lyles makes 3-pt jump shot from 25 ft (assist by J. Murray),22,32
73,1,1:55.0,F. Ntilikina misses 3-pt jump shot from 24 ft,,22,32
74,1,1:51.0,,Defensive rebound by T. Lyles,22,32
75,1,1:45.0,,T. Lyles misses 3-pt jump shot from 25 ft,22,32
76,1,1:42.0,Defensive rebound by L. Thomas,,22,32
77,1,1:27.0,W. Hernangómez makes 2-pt jump shot from 14 ft,,24,32
78,1,1:10.0,,W. Chandler makes 3-pt jump shot from 24 ft (assist by W. Barton),24,35
79,1,0:52.0,W. Hernangómez makes 2-pt layup from 2 ft (assist by F. Ntilikina),,26,35
80,1,0:40.0,,T. Craig makes 2-pt dunk from 2 ft (assist by T. Lyles),26,37
81,1,0:33.0,T. Burke makes 2-pt jump shot from 18 ft,,28,37
82,1,0:27.0,,T. Craig misses 2-pt layup from 3 ft (block by F. Ntilikina),28,37
83,1,0:24.0,Defensive rebound by M. Beasley,,28,37
84,1,0:13.0,Personal take foul by J. Murray (drawn by T. Burke),,28,37
85,1,0:13.0,,E. Mudiay enters the game for J. Murray,28,37
86,1,0:04.0,T. Burke misses 3-pt jump shot from 24 ft,,28,37
87,1,0:01.0,,Defensive rebound by W. Barton,28,37
88,1,0:00.0,,T. Lyles makes 2-pt dunk from 1 ft (assist by W. Barton),28,39
89,2,11:51.0,Shooting block foul by W. Chandler (drawn by M. Beasley),,28,39
90,2,11:51.0,M. Beasley makes free throw 1 of 2,,29,39
91,2,11:51.0,M. Beasley makes free throw 2 of 2,,30,39
92,2,11:28.0,,W. Barton misses 2-pt layup from 3 ft,30,39
93,2,11:26.0,Defensive rebound by M. Beasley,,30,39
94,2,11:24.0,Shooting foul by E. Mudiay (drawn by M. Beasley),,30,39
95,2,11:24.0,M. Beasley makes free throw 1 of 2,,31,39
96,2,11:24.0,M. Beasley makes free throw 2 of 2,,32,39
97,2,11:07.0,,W. Chandler makes 3-pt jump shot from 25 ft (assist by E. Mudiay),32,42
98,2,10:52.0,L. Thomas misses 2-pt hook shot from 5 ft (block by T. Craig),,32,42
99,2,10:48.0,,Defensive rebound by W. Barton,32,42
100,2,10:47.0,,W. Barton misses 2-pt layup from 1 ft,32,42
101,2,10:46.0,Defensive rebound by Team,,32,42
102,2,10:33.0,L. Thomas makes 3-pt jump shot from 22 ft (assist by T. Burke),,35,42
103,2,10:16.0,,W. Chandler makes 2-pt jump shot from 4 ft,35,44
104,2,10:03.0,W. Hernangómez makes 2-pt layup from 2 ft (assist by T. Burke),,37,44
105,2,9:51.0,,E. Mudiay makes 2-pt jump shot from 9 ft,37,46
106,2,9:39.0,F. Ntilikina makes 3-pt jump shot from 24 ft (assist by T. Burke),,40,46
107,2,9:38.0,,Denver full timeout,40,46
108,2,9:18.0,,Turnover by E. Mudiay (bad pass),40,46
109,2,8:55.0,L. Thomas misses 3-pt jump shot from 23 ft,,40,46
110,2,8:52.0,Offensive rebound by W. Hernangómez,,40,46
111,2,8:52.0,Shooting foul by T. Lyles (drawn by W. Hernangómez),,40,46
112,2,8:52.0,W. Hernangómez makes free throw 1 of 2,,41,46
113,2,8:52.0,W. Hernangómez misses free throw 2 of 2,,41,46
114,2,8:50.0,,Defensive rebound by T. Lyles,41,46
115,2,8:44.0,,E. Mudiay makes 2-pt layup from 2 ft,41,48
116,2,8:44.0,,Shooting block foul by W. Hernangómez (drawn by E. Mudiay),41,48
117,2,8:44.0,,E. Mudiay makes free throw 1 of 1,41,49
118,2,8:34.0,T. Burke makes 2-pt jump shot from 18 ft (assist by L. Thomas),,43,49
119,2,8:18.0,,Turnover by W. Chandler (lost ball; steal by F. Ntilikina),43,49
120,2,8:12.0,L. Thomas makes 3-pt jump shot from 24 ft (assist by T. Burke),,46,49
121,2,7:54.0,,T. Lyles makes 2-pt jump shot from 18 ft (assist by E. Mudiay),46,51
122,2,7:30.0,T. Burke misses 2-pt jump shot from 20 ft,,46,51
123,2,7:27.0,,Defensive rebound by W. Barton,46,51
124,2,7:26.0,,T. Lyles makes 2-pt dunk from 1 ft (assist by W. Barton),46,53
125,2,7:26.0,,Shooting foul by L. Thomas (drawn by T. Lyles),46,53
126,2,7:26.0,C. Lee enters the game for M. Beasley,,46,53
127,2,7:26.0,K. Porziņģis enters the game for L. Thomas,,46,53
128,2,7:26.0,,T. Lyles makes free throw 1 of 1,46,54
129,2,7:12.0,Turnover by W. Hernangómez (traveling),,46,54
130,2,7:02.0,,T. Lyles makes 2-pt dunk from 2 ft (assist by E. Mudiay),46,56
131,2,6:50.0,K. Porziņģis misses 2-pt jump shot from 17 ft,,46,56
132,2,6:47.0,,Defensive rebound by T. Craig,46,56
133,2,6:40.0,,W. Barton makes 2-pt jump shot from 3 ft,46,58
134,2,6:33.0,New York full timeout,,46,58
135,2,6:33.0,,M. Plumlee enters the game for E. Mudiay,46,58
136,2,6:33.0,,J. Murray enters the game for T. Craig,46,58
137,2,6:33.0,,G. Harris enters the game for W. Barton,46,58
138,2,6:33.0,,N. Jokić enters the game for T. Lyles,46,58
139,2,6:33.0,J. Jack enters the game for W. Hernangómez,,46,58
140,2,6:33.0,E. Freedom enters the game for T. Burke,,46,58
141,2,6:28.0,Personal foul by N. Jokić (drawn by K. Porziņģis),,46,58
142,2,6:20.0,K. Porziņģis misses 2-pt jump shot from 7 ft,,46,58
143,2,6:19.0,Offensive rebound by Team,,46,58
144,2,6:19.0,Personal take foul by J. Murray (drawn by E. Freedom),,46,58
145,2,6:19.0,E. Freedom makes free throw 1 of 2,,47,58
146,2,6:19.0,E. Freedom makes free throw 2 of 2,,48,58
147,2,6:02.0,,W. Chandler misses 2-pt jump shot from 9 ft,48,58
148,2,5:58.0,Defensive rebound by F. Ntilikina,,48,58
149,2,5:48.0,E. Freedom makes 2-pt jump shot from 5 ft,,50,58
150,2,5:38.0,,G. Harris makes 3-pt jump shot from 24 ft (assist by J. Murray),50,61
151,2,5:22.0,F. Ntilikina misses 2-pt layup from 3 ft,,50,61
