,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MILWAUKEE_ACTION,GOLDEN STATE_SCORE,MILWAUKEE_SCORE
0,1,11:50.0,,E. Bledsoe makes 2-pt dunk from 1 ft (assist by G. Antetokounmpo),0,2
1,1,11:32.0,P. McCaw makes 2-pt layup from 1 ft (assist by Z. Pachulia),,2,2
2,1,11:32.0,,Violation by G. Antetokounmpo (def goaltending),2,2
3,1,11:17.0,,K. Middleton misses 3-pt jump shot from 27 ft,2,2
4,1,11:13.0,Defensive rebound by K. Thompson,,2,2
5,1,11:07.0,K. Durant misses 3-pt jump shot from 23 ft,,2,2
6,1,11:04.0,,Defensive rebound by J. Henson,2,2
7,1,11:04.0,,Shooting foul by K. Thompson (drawn by K. Middleton),2,2
8,1,11:04.0,,K. Middleton makes free throw 1 of 2,2,3
9,1,11:04.0,,K. Middleton makes free throw 2 of 2,2,4
10,1,10:48.0,D. Green misses 3-pt jump shot from 28 ft,,2,4
11,1,10:45.0,,Defensive rebound by J. Henson,2,4
12,1,10:37.0,,E. Bledsoe makes 3-pt jump shot from 28 ft (assist by G. Antetokounmpo),2,7
13,1,10:14.0,P. McCaw misses 2-pt jump shot from 18 ft,,2,7
14,1,10:12.0,,Defensive rebound by K. Middleton,2,7
15,1,10:05.0,,E. Bledsoe misses 2-pt jump shot from 18 ft,2,7
16,1,10:03.0,Defensive rebound by Z. Pachulia,,2,7
17,1,9:57.0,K. Durant makes 2-pt jump shot from 5 ft (assist by K. Thompson),,4,7
18,1,9:32.0,,Turnover by M. Brogdon (bad pass; steal by D. Green),4,7
19,1,9:27.0,K. Durant makes 2-pt layup at rim (assist by D. Green),,6,7
20,1,9:08.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,6,9
21,1,9:04.0,K. Durant makes 3-pt jump shot from 27 ft (assist by D. Green),,9,9
22,1,8:54.0,,Shooting foul by Z. Pachulia (drawn by J. Henson),9,9
23,1,8:54.0,,J. Henson makes free throw 1 of 2,9,10
24,1,8:54.0,,J. Henson makes free throw 2 of 2,9,11
25,1,8:39.0,Z. Pachulia makes 2-pt jump shot from 15 ft (assist by K. Durant),,11,11
26,1,8:29.0,,Shooting foul by K. Durant (drawn by G. Antetokounmpo),11,11
27,1,8:29.0,,G. Antetokounmpo makes free throw 1 of 2,11,12
28,1,8:29.0,,G. Antetokounmpo makes free throw 2 of 2,11,13
29,1,8:16.0,D. Green misses 2-pt jump shot from 15 ft,,11,13
30,1,8:14.0,,Defensive rebound by G. Antetokounmpo,11,13
31,1,8:09.0,,Turnover by G. Antetokounmpo (bad pass; steal by P. McCaw),11,13
32,1,8:02.0,K. Thompson misses 3-pt jump shot from 22 ft,,11,13
33,1,7:58.0,,Defensive rebound by G. Antetokounmpo,11,13
34,1,7:55.0,,E. Bledsoe misses 2-pt jump shot from 20 ft,11,13
35,1,7:52.0,Defensive rebound by Z. Pachulia,,11,13
36,1,7:44.0,K. Thompson makes 2-pt jump shot from 17 ft (assist by P. McCaw),,13,13
37,1,7:17.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by E. Bledsoe),13,15
38,1,7:08.0,Personal foul by G. Antetokounmpo (drawn by K. Durant),,13,15
39,1,6:58.0,P. McCaw misses 2-pt jump shot from 16 ft,,13,15
40,1,6:55.0,,Defensive rebound by J. Henson,13,15
41,1,6:44.0,,K. Middleton misses 2-pt jump shot from 10 ft,13,15
42,1,6:38.0,,Offensive rebound by J. Henson,13,15
43,1,6:38.0,,J. Henson misses 2-pt layup at rim,13,15
44,1,6:37.0,,Offensive rebound by G. Antetokounmpo,13,15
45,1,6:28.0,,M. Brogdon misses 3-pt jump shot from 26 ft,13,15
46,1,6:28.0,Defensive rebound by D. Green,,13,15
47,1,6:18.0,,Milwaukee full timeout,13,15
48,1,6:18.0,,T. Snell enters the game for G. Antetokounmpo,13,15
49,1,6:16.0,K. Durant makes 2-pt dunk at rim (assist by D. Green),,15,15
50,1,6:03.0,,E. Bledsoe makes 2-pt layup at rim,15,17
51,1,5:37.0,Z. Pachulia makes 2-pt layup from 1 ft (assist by P. McCaw),,17,17
52,1,5:21.0,,E. Bledsoe misses 2-pt layup from 1 ft,17,17
53,1,5:19.0,Defensive rebound by P. McCaw,,17,17
54,1,5:13.0,Turnover by K. Durant (bad pass; steal by E. Bledsoe),,17,17
55,1,5:06.0,,K. Middleton makes 2-pt layup from 2 ft (assist by M. Brogdon),17,19
56,1,4:58.0,Personal foul by K. Middleton (drawn by D. Green),,17,19
57,1,4:58.0,K. Looney enters the game for D. Green,,17,19
58,1,4:58.0,A. Iguodala enters the game for Z. Pachulia,,17,19
59,1,4:58.0,,T. Maker enters the game for J. Henson,17,19
60,1,4:54.0,K. Looney makes 2-pt layup from 1 ft (assist by K. Durant),,19,19
61,1,4:38.0,,M. Brogdon misses 2-pt layup from 5 ft,19,19
62,1,4:38.0,Defensive rebound by A. Iguodala,,19,19
63,1,4:31.0,Turnover by K. Durant (bad pass; steal by M. Brogdon),,19,19
64,1,4:26.0,,Shooting foul by K. Looney (drawn by K. Middleton),19,19
65,1,4:26.0,,K. Middleton makes free throw 1 of 2,19,20
66,1,4:26.0,,K. Middleton misses free throw 2 of 2,19,20
67,1,4:22.0,Defensive rebound by K. Durant,,19,20
68,1,3:59.0,K. Thompson makes 2-pt jump shot from 12 ft,,21,20
69,1,3:47.0,,Turnover by E. Bledsoe (bad pass; steal by K. Durant),21,20
70,1,3:44.0,K. Durant makes 2-pt layup from 1 ft,,23,20
71,1,3:29.0,,K. Middleton misses 2-pt jump shot from 20 ft,23,20
72,1,3:26.0,Defensive rebound by K. Looney,,23,20
73,1,3:13.0,Personal foul by E. Bledsoe (drawn by K. Thompson),,23,20
74,1,3:13.0,N. Young enters the game for K. Thompson,,23,20
75,1,3:13.0,Golden State full timeout,,23,20
76,1,3:13.0,,G. Antetokounmpo enters the game for E. Bledsoe,23,20
77,1,3:13.0,,M. Dellavedova enters the game for K. Middleton,23,20
78,1,3:13.0,D. Green enters the game for P. McCaw,,23,20
79,1,3:03.0,Personal foul by T. Snell (drawn by K. Durant),,23,20
80,1,2:52.0,D. Green misses 2-pt layup from 3 ft,,23,20
81,1,2:50.0,Offensive rebound by N. Young,,23,20
82,1,2:48.0,N. Young makes 2-pt layup from 1 ft,,25,20
83,1,2:34.0,,Turnover by M. Dellavedova (bad pass; steal by A. Iguodala),25,20
