,QUARTER,TIME_REMAINING,NEW YORK_ACTION,DALLAS_ACTION,NEW YORK_SCORE,DALLAS_SCORE
0,1,11:42.0,Shooting foul by D. Smith (drawn by E. Freedom),,0,0
1,1,11:42.0,E. Freedom misses free throw 1 of 2,,0,0
2,1,11:42.0,Offensive rebound by Team,,0,0
3,1,11:42.0,E. Freedom makes free throw 2 of 2,,1,0
4,1,11:31.0,,Personal foul by K. Porziņģis (drawn by D. Smith),1,0
5,1,11:17.0,,D. Smith misses 2-pt layup from 2 ft,1,0
6,1,11:14.0,,Offensive rebound by M. Kleber,1,0
7,1,11:10.0,,W. Matthews misses 3-pt jump shot from 27 ft,1,0
8,1,11:06.0,Defensive rebound by K. Porziņģis,,1,0
9,1,10:58.0,J. Jack makes 2-pt jump shot from 11 ft,,3,0
10,1,10:58.0,Shooting foul by M. Kleber (drawn by J. Jack),,3,0
11,1,10:58.0,J. Jack makes free throw 1 of 1,,4,0
12,1,10:36.0,,D. Nowitzki misses 2-pt jump shot from 19 ft,4,0
13,1,10:33.0,,Offensive rebound by M. Kleber,4,0
14,1,10:21.0,,H. Barnes misses 2-pt jump shot from 17 ft,4,0
15,1,10:20.0,Defensive rebound by Team,,4,0
16,1,10:05.0,K. Porziņģis misses 2-pt layup from 2 ft,,4,0
17,1,10:03.0,Offensive rebound by E. Freedom,,4,0
18,1,10:02.0,E. Freedom makes 2-pt layup at rim,,6,0
19,1,9:45.0,,H. Barnes misses 3-pt jump shot from 22 ft,6,0
20,1,9:45.0,Defensive rebound by E. Freedom,,6,0
21,1,9:30.0,Turnover by C. Lee (turnover),,6,0
22,1,9:07.0,,D. Nowitzki misses 2-pt jump shot from 22 ft,6,0
23,1,9:04.0,Defensive rebound by K. Porziņģis,,6,0
24,1,8:56.0,Personal foul by D. Smith (drawn by E. Freedom),,6,0
25,1,8:46.0,E. Freedom makes 2-pt jump shot from 5 ft,,8,0
26,1,8:25.0,,H. Barnes makes 3-pt jump shot from 23 ft (assist by D. Smith),8,3
27,1,8:09.0,Turnover by E. Freedom (bad pass; steal by M. Kleber),,8,3
28,1,8:03.0,,D. Smith misses 2-pt layup from 1 ft,8,3
29,1,8:00.0,Defensive rebound by L. Thomas,,8,3
30,1,7:56.0,J. Jack makes 2-pt jump shot from 16 ft,,10,3
31,1,7:55.0,,Dallas full timeout,10,3
32,1,7:55.0,,S. Mejri enters the game for D. Nowitzki,10,3
33,1,7:44.0,,W. Matthews makes 2-pt jump shot from 18 ft,10,5
34,1,7:44.0,,Shooting foul by E. Freedom (drawn by W. Matthews),10,5
35,1,7:44.0,,W. Matthews makes free throw 1 of 1,10,6
36,1,7:25.0,K. Porziņģis makes 2-pt jump shot from 7 ft (assist by J. Jack),,12,6
37,1,7:07.0,,M. Kleber misses 3-pt jump shot from 26 ft,12,6
38,1,7:07.0,Defensive rebound by E. Freedom,,12,6
39,1,6:56.0,Turnover by K. Porziņģis (lost ball; steal by W. Matthews),,12,6
40,1,6:42.0,,W. Matthews misses 2-pt jump shot from 3 ft,12,6
41,1,6:42.0,,Offensive rebound by S. Mejri,12,6
42,1,6:42.0,,S. Mejri makes 2-pt layup from 2 ft,12,8
43,1,6:42.0,,Shooting foul by J. Jack (drawn by S. Mejri),12,8
44,1,6:42.0,,Y. Ferrell enters the game for D. Smith,12,8
45,1,6:42.0,,S. Mejri makes free throw 1 of 1,12,9
46,1,6:26.0,K. Porziņģis makes 2-pt jump shot from 13 ft (assist by J. Jack),,14,9
47,1,6:12.0,,H. Barnes makes 2-pt jump shot from 21 ft (assist by W. Matthews),14,11
48,1,5:54.0,E. Freedom makes 2-pt hook shot from 6 ft,,16,11
49,1,5:34.0,,H. Barnes misses 2-pt jump shot from 10 ft,16,11
50,1,5:31.0,Defensive rebound by K. Porziņģis,,16,11
51,1,5:25.0,J. Jack misses 2-pt jump shot from 6 ft,,16,11
52,1,5:22.0,,Defensive rebound by S. Mejri,16,11
53,1,5:07.0,,Y. Ferrell misses 2-pt layup from 3 ft,16,11
54,1,5:05.0,Defensive rebound by L. Thomas,,16,11
55,1,4:55.0,J. Jack makes 2-pt jump shot from 8 ft,,18,11
56,1,4:55.0,Shooting foul by Y. Ferrell (drawn by J. Jack),,18,11
57,1,4:55.0,,J. Barea enters the game for M. Kleber,18,11
58,1,4:55.0,,D. Harris enters the game for Y. Ferrell,18,11
59,1,4:55.0,D. McDermott enters the game for L. Thomas,,18,11
60,1,4:55.0,J. Jack makes free throw 1 of 1,,19,11
61,1,4:44.0,,S. Mejri misses 2-pt layup from 2 ft,19,11
62,1,4:44.0,Defensive rebound by J. Jack,,19,11
63,1,4:37.0,D. McDermott makes 3-pt jump shot from 23 ft (assist by J. Jack),,22,11
64,1,4:25.0,,J. Barea misses 2-pt jump shot from 8 ft,22,11
65,1,4:23.0,,Offensive rebound by S. Mejri,22,11
66,1,4:15.0,,H. Barnes makes 2-pt jump shot from 3 ft (assist by J. Barea),22,13
67,1,3:52.0,K. Porziņģis misses 2-pt jump shot from 15 ft,,22,13
68,1,3:50.0,Offensive rebound by E. Freedom,,22,13
69,1,3:48.0,E. Freedom misses 2-pt layup at rim,,22,13
70,1,3:48.0,,Defensive rebound by H. Barnes,22,13
71,1,3:45.0,,W. Matthews makes 2-pt jump shot from 14 ft (assist by J. Barea),22,15
72,1,3:45.0,,Shooting block foul by D. McDermott (drawn by W. Matthews),22,15
73,1,3:45.0,F. Ntilikina enters the game for J. Jack,,22,15
74,1,3:45.0,,W. Matthews misses free throw 1 of 1,22,15
75,1,3:43.0,Defensive rebound by D. McDermott,,22,15
76,1,3:24.0,E. Freedom makes 2-pt layup from 1 ft,,24,15
77,1,3:07.0,,S. Mejri makes 2-pt layup from 1 ft (assist by H. Barnes),24,17
78,1,3:00.0,New York full timeout,,24,17
79,1,3:00.0,,D. Powell enters the game for H. Barnes,24,17
80,1,3:00.0,,D. Nowitzki enters the game for S. Mejri,24,17
81,1,3:00.0,L. Thomas enters the game for K. Porziņģis,,24,17
82,1,2:46.0,L. Thomas makes 2-pt jump shot from 11 ft (assist by D. McDermott),,26,17
83,1,2:31.0,,W. Matthews makes 2-pt jump shot from 5 ft (assist by D. Nowitzki),26,19
84,1,2:16.0,Turnover by E. Freedom (bad pass),,26,19
85,1,2:16.0,K. Porziņģis enters the game for E. Freedom,,26,19
86,1,2:16.0,K. O'Quinn enters the game for L. Thomas,,26,19
87,1,2:04.0,,Shooting foul by F. Ntilikina (drawn by J. Barea),26,19
88,1,2:04.0,,J. Barea makes free throw 1 of 2,26,20
89,1,2:04.0,,Y. Ferrell enters the game for W. Matthews,26,20
90,1,2:04.0,,J. Barea makes free throw 2 of 2,26,21
91,1,1:55.0,K. Porziņģis makes 3-pt jump shot from 25 ft (assist by C. Lee),,29,21
92,1,1:45.0,,Personal foul by F. Ntilikina (drawn by D. Nowitzki),29,21
93,1,1:45.0,,D. Nowitzki makes free throw 1 of 2,29,22
94,1,1:45.0,R. Baker enters the game for C. Lee,,29,22
95,1,1:45.0,,D. Nowitzki makes free throw 2 of 2,29,23
96,1,1:31.0,,Violation by D. Nowitzki (kicked ball),29,23
97,1,1:26.0,Turnover by D. McDermott (lost ball; steal by J. Barea),,29,23
98,1,1:22.0,,J. Barea makes 2-pt layup from 2 ft (assist by D. Harris),29,25
99,1,1:08.0,K. Porziņģis makes 2-pt jump shot from 17 ft (assist by R. Baker),,31,25
100,1,0:56.0,,J. Barea misses 2-pt jump shot from 9 ft,31,25
101,1,0:54.0,Defensive rebound by K. O'Quinn,,31,25
102,1,0:46.0,K. Porziņģis makes 2-pt jump shot from 16 ft (assist by F. Ntilikina),,33,25
103,1,0:31.0,,Turnover by D. Harris (bad pass; steal by F. Ntilikina),33,25
104,1,0:11.0,K. O'Quinn misses 2-pt jump shot from 11 ft,,33,25
105,1,0:09.0,,Defensive rebound by D. Powell,33,25
106,1,0:01.0,,Y. Ferrell misses 3-pt jump shot from 22 ft,33,25
107,1,0:01.0,Defensive rebound by K. O'Quinn,,33,25
108,2,11:48.0,,Personal foul by D. McDermott (drawn by D. Harris),33,25
109,2,11:48.0,,Offensive foul by D. Nowitzki (drawn by K. Porziņģis),33,25
110,2,11:48.0,,Turnover by D. Nowitzki (offensive foul),33,25
111,2,11:31.0,F. Ntilikina misses 2-pt jump shot from 15 ft,,33,25
112,2,11:28.0,,Defensive rebound by D. Nowitzki,33,25
113,2,11:20.0,,D. Harris misses 3-pt jump shot from 27 ft,33,25
114,2,11:17.0,Defensive rebound by F. Ntilikina,,33,25
115,2,11:12.0,K. Porziņģis misses 3-pt jump shot from 27 ft,,33,25
116,2,11:09.0,,Defensive rebound by D. Nowitzki,33,25
117,2,11:01.0,,Y. Ferrell misses 2-pt layup from 2 ft,33,25
118,2,10:59.0,Defensive rebound by D. McDermott,,33,25
119,2,10:48.0,K. Porziņģis misses 2-pt jump shot from 14 ft,,33,25
120,2,10:44.0,,Defensive rebound by D. Harris,33,25
121,2,10:31.0,,D. Harris makes 2-pt layup at rim (assist by J. Barea),33,27
122,2,10:15.0,Shooting foul by D. Nowitzki (drawn by K. O'Quinn),,33,27
123,2,10:15.0,K. O'Quinn makes free throw 1 of 2,,34,27
124,2,10:15.0,K. O'Quinn makes free throw 2 of 2,,35,27
125,2,10:00.0,,J. Barea misses 3-pt jump shot from 25 ft,35,27
126,2,9:58.0,,Offensive rebound by D. Nowitzki,35,27
127,2,9:56.0,,D. Nowitzki makes 2-pt layup from 3 ft,35,29
128,2,9:48.0,Personal foul by J. Barea (drawn by F. Ntilikina),,35,29
129,2,9:42.0,K. O'Quinn makes 2-pt jump shot from 21 ft,,37,29
130,2,9:15.0,,D. Harris misses 3-pt jump shot from 23 ft,37,29
131,2,9:13.0,Defensive rebound by F. Ntilikina,,37,29
132,2,9:07.0,Personal block foul by D. Harris (drawn by K. Porziņģis),,37,29
133,2,9:07.0,,D. Smith enters the game for Y. Ferrell,37,29
134,2,9:07.0,W. Hernangómez enters the game for K. Porziņģis,,37,29
135,2,9:02.0,D. McDermott misses 3-pt jump shot from 28 ft,,37,29
136,2,8:59.0,,Defensive rebound by D. Nowitzki,37,29
137,2,8:48.0,,D. Harris misses 2-pt layup from 2 ft,37,29
138,2,8:46.0,Defensive rebound by K. O'Quinn,,37,29
139,2,8:43.0,Offensive foul by W. Hernangómez (drawn by D. Nowitzki),,37,29
140,2,8:43.0,Turnover by W. Hernangómez (offensive foul),,37,29
141,2,8:28.0,,J. Barea makes 2-pt jump shot from 8 ft,37,31
142,2,8:28.0,,Shooting foul by K. O'Quinn (drawn by J. Barea),37,31
143,2,8:28.0,,J. Barea makes free throw 1 of 1,37,32
144,2,8:15.0,D. McDermott makes 2-pt layup from 2 ft (assist by K. O'Quinn),,39,32
145,2,8:04.0,,Shooting foul by K. O'Quinn (drawn by D. Powell),39,32
146,2,8:04.0,,D. Powell misses free throw 1 of 2,39,32
147,2,8:04.0,,Offensive rebound by Team,39,32
148,2,8:04.0,,W. Matthews enters the game for D. Harris,39,32
149,2,8:04.0,,D. Powell misses free throw 2 of 2,39,32
150,2,8:01.0,Defensive rebound by W. Hernangómez,,39,32
151,2,7:46.0,Turnover by K. O'Quinn (bad pass; steal by W. Matthews),,39,32
152,2,7:41.0,,W. Matthews misses 2-pt layup at rim,39,32
153,2,7:40.0,,Offensive rebound by D. Smith,39,32
154,2,7:37.0,,D. Smith makes 2-pt layup at rim,39,34
155,2,7:19.0,K. O'Quinn makes 2-pt dunk at rim (assist by F. Ntilikina),,41,34
156,2,7:03.0,,D. Powell makes 2-pt jump shot from 4 ft (assist by D. Smith),41,36
157,2,6:43.0,K. O'Quinn makes 2-pt hook shot from 3 ft (assist by F. Ntilikina),,43,36
158,2,6:42.0,,Dallas full timeout,43,36
159,2,6:42.0,,H. Barnes enters the game for D. Powell,43,36
160,2,6:42.0,,S. Mejri enters the game for D. Nowitzki,43,36
161,2,6:42.0,C. Lee enters the game for K. O'Quinn,,43,36
162,2,6:42.0,E. Freedom enters the game for R. Baker,,43,36
163,2,6:26.0,,D. Smith misses 2-pt jump shot from 19 ft,43,36
164,2,6:23.0,Defensive rebound by E. Freedom,,43,36
165,2,6:09.0,W. Hernangómez makes 2-pt hook shot from 7 ft (assist by C. Lee),,45,36
166,2,5:52.0,,H. Barnes makes 2-pt layup at rim,45,38
167,2,5:31.0,F. Ntilikina makes 3-pt jump shot from 24 ft (assist by E. Freedom),,48,38
168,2,5:18.0,,Shooting block foul by D. McDermott (drawn by W. Matthews),48,38
169,2,5:18.0,,W. Matthews makes free throw 1 of 3,48,39
170,2,5:18.0,,W. Matthews makes free throw 2 of 3,48,40
171,2,5:18.0,J. Jack enters the game for D. McDermott,,48,40
172,2,5:18.0,,W. Matthews makes free throw 3 of 3,48,41
173,2,5:05.0,Turnover by F. Ntilikina (bad pass; steal by D. Smith),,48,41
174,2,4:52.0,,H. Barnes misses 2-pt layup from 4 ft (block by J. Jack),48,41
175,2,4:48.0,Defensive rebound by J. Jack,,48,41
176,2,4:46.0,C. Lee misses 3-pt jump shot from 24 ft,,48,41
