,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,WASHINGTON_ACTION,BROOKLYN_SCORE,WASHINGTON_SCORE
0,1,11:41.0,,J. Wall misses 2-pt jump shot from 16 ft,0,0
1,1,11:39.0,Defensive rebound by D. Carroll,,0,0
2,1,11:24.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,0,0
3,1,11:20.0,,Defensive rebound by O. Porter,0,0
4,1,11:12.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by J. Wall),0,3
5,1,10:58.0,D. Carroll misses 2-pt jump shot from 15 ft,,0,3
6,1,10:55.0,,Defensive rebound by M. Gortat,0,3
7,1,10:42.0,,M. Gortat makes 2-pt hook shot from 12 ft,0,5
8,1,10:23.0,R. Hollis-Jefferson misses 2-pt jump shot from 20 ft,,0,5
9,1,10:18.0,,Defensive rebound by M. Gortat,0,5
10,1,10:15.0,,B. Beal misses 3-pt jump shot from 27 ft,0,5
11,1,10:12.0,Defensive rebound by Q. Acy,,0,5
12,1,9:59.0,Personal foul by B. Beal (drawn by R. Hollis-Jefferson),,0,5
13,1,9:55.0,Q. Acy misses 3-pt jump shot from 25 ft,,0,5
14,1,9:51.0,,Defensive rebound by M. Gortat,0,5
15,1,9:44.0,,J. Wall misses 2-pt jump shot from 19 ft,0,5
16,1,9:40.0,Defensive rebound by Q. Acy,,0,5
17,1,9:36.0,R. Hollis-Jefferson misses 2-pt layup from 2 ft (block by M. Gortat),,0,5
18,1,9:36.0,,Defensive rebound by Team,0,5
19,1,9:17.0,,B. Beal misses 2-pt layup from 1 ft,0,5
20,1,9:12.0,Defensive rebound by Q. Acy,,0,5
21,1,9:08.0,D. Carroll makes 2-pt layup from 2 ft,,2,5
22,1,8:53.0,,O. Porter misses 2-pt jump shot from 15 ft,2,5
23,1,8:50.0,Defensive rebound by A. Crabbe,,2,5
24,1,8:45.0,D. Carroll misses 3-pt jump shot from 23 ft,,2,5
25,1,8:43.0,,Defensive rebound by M. Gortat,2,5
26,1,8:39.0,,O. Porter makes 2-pt layup from 3 ft (assist by J. Wall),2,7
27,1,8:17.0,A. Crabbe makes 2-pt jump shot from 19 ft (assist by R. Hollis-Jefferson),,4,7
28,1,7:57.0,,B. Beal makes 2-pt jump shot from 20 ft (assist by M. Gortat),4,9
29,1,7:42.0,A. Crabbe misses 2-pt jump shot from 20 ft,,4,9
30,1,7:40.0,,Defensive rebound by O. Porter,4,9
31,1,7:35.0,,Personal foul by A. Crabbe (drawn by M. Morris),4,9
32,1,7:28.0,,B. Beal makes 3-pt jump shot from 26 ft (assist by M. Gortat),4,12
33,1,7:27.0,Brooklyn full timeout,,4,12
34,1,7:02.0,D. Carroll misses 2-pt hook shot from 8 ft,,4,12
35,1,6:58.0,,Defensive rebound by O. Porter,4,12
36,1,6:56.0,,J. Wall makes 2-pt layup from 1 ft,4,14
37,1,6:43.0,D. Carroll misses 3-pt jump shot from 22 ft,,4,14
38,1,6:41.0,,Defensive rebound by M. Gortat,4,14
39,1,6:33.0,,M. Morris makes 2-pt layup from 2 ft (assist by B. Beal),4,16
40,1,6:33.0,,Shooting foul by A. Crabbe (drawn by M. Morris),4,16
