,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,DALLAS_ACTION,MILWAUKEE_SCORE,DALLAS_SCORE
0,1,11:44.0,J. Henson makes 2-pt dunk at rim (assist by E. Bledsoe),,2,0
1,1,11:20.0,,W. Matthews makes 2-pt jump shot from 8 ft,2,2
2,1,10:59.0,Turnover by J. Henson (lost ball; steal by W. Matthews),,2,2
3,1,10:45.0,,Turnover by D. Smith (bad pass; steal by K. Middleton),2,2
4,1,10:40.0,T. Snell makes 3-pt jump shot from 24 ft (assist by K. Middleton),,5,2
5,1,10:26.0,,Personal foul by G. Antetokounmpo (drawn by D. Nowitzki),5,2
6,1,10:20.0,,M. Kleber makes 2-pt layup from 3 ft (assist by D. Nowitzki),5,4
7,1,10:20.0,,Shooting foul by J. Henson (drawn by M. Kleber),5,4
8,1,10:20.0,,M. Kleber makes free throw 1 of 1,5,5
9,1,10:11.0,T. Snell misses 3-pt jump shot from 24 ft,,5,5
10,1,10:06.0,,Defensive rebound by W. Matthews,5,5
11,1,9:51.0,,H. Barnes misses 2-pt layup from 5 ft (block by T. Snell),5,5
12,1,9:47.0,Defensive rebound by E. Bledsoe,,5,5
13,1,9:44.0,E. Bledsoe misses 2-pt jump shot from 16 ft,,5,5
14,1,9:44.0,,Defensive rebound by D. Nowitzki,5,5
15,1,9:37.0,,D. Smith misses 3-pt jump shot from 25 ft,5,5
16,1,9:37.0,Defensive rebound by E. Bledsoe,,5,5
17,1,9:31.0,Loose ball foul by E. Bledsoe (drawn by D. Smith),,5,5
18,1,9:22.0,,Turnover by D. Smith (lost ball; steal by E. Bledsoe),5,5
19,1,9:16.0,E. Bledsoe makes 2-pt layup from 2 ft,,7,5
20,1,8:55.0,,D. Smith misses 3-pt jump shot from 25 ft,7,5
21,1,8:55.0,Defensive rebound by T. Snell,,7,5
22,1,8:46.0,K. Middleton misses 3-pt jump shot from 24 ft,,7,5
23,1,8:46.0,,Defensive rebound by Team,7,5
24,1,8:24.0,,W. Matthews makes 3-pt jump shot from 25 ft (assist by M. Kleber),7,8
25,1,8:10.0,J. Henson misses 2-pt hook shot from 4 ft,,7,8
26,1,8:07.0,,Defensive rebound by D. Nowitzki,7,8
27,1,7:53.0,,W. Matthews misses 2-pt jump shot from 21 ft,7,8
28,1,7:48.0,Defensive rebound by E. Bledsoe,,7,8
29,1,7:42.0,G. Antetokounmpo makes 2-pt jump shot from 11 ft,,9,8
30,1,7:25.0,,H. Barnes makes 2-pt layup from 1 ft (assist by W. Matthews),9,10
31,1,7:15.0,Shooting foul by M. Kleber (drawn by G. Antetokounmpo),,9,10
32,1,7:15.0,G. Antetokounmpo makes free throw 1 of 2,,10,10
33,1,7:15.0,,Y. Ferrell enters the game for D. Nowitzki,10,10
34,1,7:15.0,G. Antetokounmpo makes free throw 2 of 2,,11,10
35,1,7:04.0,,Offensive foul by M. Kleber (drawn by E. Bledsoe),11,10
36,1,7:04.0,,Turnover by M. Kleber (offensive foul),11,10
37,1,7:04.0,,D. Powell enters the game for M. Kleber,11,10
38,1,7:04.0,M. Brogdon enters the game for E. Bledsoe,,11,10
39,1,6:49.0,K. Middleton makes 2-pt jump shot from 9 ft,,13,10
40,1,6:43.0,,Dallas full timeout,13,10
41,1,6:32.0,,Turnover by D. Powell (traveling),13,10
42,1,6:12.0,G. Antetokounmpo misses 2-pt jump shot from 15 ft,,13,10
43,1,6:11.0,,Defensive rebound by Team,13,10
44,1,6:11.0,Loose ball foul by J. Henson (drawn by D. Powell),,13,10
45,1,6:11.0,T. Maker enters the game for J. Henson,,13,10
46,1,5:55.0,,Y. Ferrell makes 3-pt jump shot from 26 ft (assist by D. Smith),13,13
47,1,5:45.0,Turnover by K. Middleton (bad pass),,13,13
48,1,5:32.0,D. Liggins enters the game for T. Snell,,13,13
49,1,5:12.0,,D. Powell makes 2-pt layup from 1 ft (assist by W. Matthews),13,15
50,1,4:57.0,K. Middleton makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo),,16,15
51,1,4:36.0,,H. Barnes makes 2-pt layup from 1 ft (assist by W. Matthews),16,17
52,1,4:21.0,D. Liggins misses 3-pt jump shot from 24 ft,,16,17
53,1,4:17.0,,Defensive rebound by D. Powell,16,17
54,1,4:13.0,,Personal foul by K. Middleton (drawn by H. Barnes),16,17
55,1,4:13.0,,H. Barnes makes free throw 1 of 2,16,18
56,1,4:13.0,,H. Barnes makes free throw 2 of 2,16,19
57,1,3:57.0,Shooting foul by D. Powell (drawn by G. Antetokounmpo),,16,19
58,1,3:57.0,G. Antetokounmpo makes free throw 1 of 2,,17,19
59,1,3:57.0,,J. Barea enters the game for D. Smith,17,19
60,1,3:57.0,,D. Harris enters the game for Y. Ferrell,17,19
61,1,3:57.0,G. Antetokounmpo makes free throw 2 of 2,,18,19
62,1,3:41.0,,H. Barnes misses 2-pt jump shot from 10 ft,18,19
63,1,3:34.0,,Offensive rebound by D. Powell,18,19
