,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MEMPHIS_ACTION,SACRAMENTO_SCORE,MEMPHIS_SCORE
0,1,11:45.0,J. Jackson makes 2-pt jump shot from 14 ft (assist by B. Bogdanović),,2,0
1,1,11:17.0,,D. Brooks misses 2-pt jump shot from 13 ft,2,0
2,1,11:17.0,,Offensive rebound by Team,2,0
3,1,11:14.0,,M. Brooks misses 2-pt jump shot from 16 ft,2,0
4,1,11:12.0,,Offensive rebound by I. Rabb,2,0
5,1,11:07.0,,D. Brooks makes 3-pt jump shot from 23 ft (assist by K. Simmons),2,3
6,1,10:43.0,J. Sampson makes 2-pt dunk from 1 ft (assist by B. Bogdanović),,4,3
7,1,10:16.0,,B. McLemore misses 2-pt jump shot from 18 ft,4,3
8,1,10:14.0,Defensive rebound by D. Fox,,4,3
9,1,10:07.0,D. Fox misses 2-pt layup from 6 ft,,4,3
10,1,10:06.0,,Defensive rebound by I. Rabb,4,3
11,1,10:01.0,,Turnover by M. Brooks (lost ball; steal by W. Cauley-Stein),4,3
12,1,9:57.0,D. Fox makes 2-pt dunk at rim (assist by W. Cauley-Stein),,6,3
13,1,9:31.0,,K. Simmons misses 2-pt layup from 1 ft (block by W. Cauley-Stein),6,3
14,1,9:28.0,Defensive rebound by J. Sampson,,6,3
15,1,9:19.0,Turnover by B. Bogdanović (bad pass),,6,3
16,1,9:00.0,,M. Brooks makes 2-pt jump shot from 20 ft,6,5
17,1,8:42.0,W. Cauley-Stein makes 2-pt dunk at rim,,8,5
18,1,8:24.0,,Personal foul by J. Jackson (drawn by M. Brooks),8,5
19,1,8:18.0,,B. McLemore misses 3-pt jump shot from 25 ft,8,5
20,1,8:16.0,Defensive rebound by W. Cauley-Stein,,8,5
21,1,8:04.0,J. Sampson makes 2-pt layup at rim (assist by W. Cauley-Stein),,10,5
22,1,7:52.0,,D. Brooks makes 3-pt jump shot from 25 ft (assist by K. Simmons),10,8
23,1,7:41.0,J. Sampson misses 2-pt jump shot from 20 ft,,10,8
24,1,7:39.0,,Defensive rebound by I. Rabb,10,8
25,1,7:27.0,,M. Brooks makes 2-pt layup from 7 ft (assist by D. Brooks),10,10
26,1,7:08.0,W. Cauley-Stein makes 2-pt dunk at rim (assist by B. Bogdanović),,12,10
27,1,6:47.0,,Turnover by K. Simmons (offensive goaltending),12,10
28,1,6:47.0,,Memphis full timeout,12,10
29,1,6:47.0,,D. Davis enters the game for I. Rabb,12,10
30,1,6:29.0,J. Sampson misses 2-pt jump shot from 7 ft,,12,10
31,1,6:26.0,,Defensive rebound by D. Davis,12,10
32,1,6:17.0,,M. Brooks misses 3-pt jump shot from 26 ft,12,10
33,1,6:13.0,Defensive rebound by D. Fox,,12,10
34,1,6:11.0,D. Fox misses 2-pt layup from 1 ft (block by M. Brooks),,12,10
35,1,6:11.0,Offensive rebound by Team,,12,10
36,1,6:00.0,B. Bogdanović makes 2-pt jump shot from 12 ft (assist by D. Fox),,14,10
37,1,5:45.0,,Shooting foul by B. Bogdanović (drawn by D. Brooks),14,10
38,1,5:45.0,,D. Brooks misses free throw 1 of 2,14,10
39,1,5:45.0,,Offensive rebound by Team,14,10
40,1,5:45.0,,M. Henry enters the game for B. McLemore,14,10
41,1,5:45.0,,D. Brooks misses free throw 2 of 2,14,10
42,1,5:43.0,Defensive rebound by J. Jackson,,14,10
43,1,5:32.0,B. Bogdanović misses 2-pt layup from 1 ft,,14,10
44,1,5:30.0,,Defensive rebound by M. Brooks,14,10
45,1,5:22.0,,M. Brooks misses 2-pt jump shot from 22 ft,14,10
46,1,5:20.0,Defensive rebound by J. Sampson,,14,10
47,1,5:08.0,J. Jackson misses 3-pt jump shot from 22 ft,,14,10
48,1,5:05.0,,Defensive rebound by D. Brooks,14,10
49,1,4:55.0,Violation by W. Cauley-Stein (kicked ball),,14,10
50,1,4:55.0,B. Hield enters the game for B. Bogdanović,,14,10
51,1,4:55.0,N. Hayes enters the game for J. Sampson,,14,10
52,1,4:48.0,,M. Brooks makes 2-pt layup at rim (assist by D. Brooks),14,12
53,1,4:38.0,Personal foul by K. Simmons (drawn by D. Fox),,14,12
54,1,4:25.0,D. Fox misses 2-pt jump shot from 9 ft,,14,12
55,1,4:23.0,,Defensive rebound by D. Davis,14,12
56,1,4:15.0,,D. Brooks misses 3-pt jump shot from 27 ft,14,12
57,1,4:11.0,Defensive rebound by D. Fox,,14,12
58,1,3:58.0,W. Cauley-Stein makes 2-pt layup from 1 ft,,16,12
59,1,3:47.0,,K. Simmons misses 2-pt jump shot from 1 ft,16,12
60,1,3:45.0,Defensive rebound by W. Cauley-Stein,,16,12
61,1,3:41.0,W. Cauley-Stein makes 2-pt layup from 1 ft,,18,12
62,1,3:39.0,,Memphis full timeout,18,12
63,1,3:39.0,,M. Chalmers enters the game for K. Simmons,18,12
64,1,3:39.0,,I. Rabb enters the game for M. Brooks,18,12
65,1,3:39.0,,B. McLemore enters the game for D. Brooks,18,12
66,1,3:39.0,F. Mason enters the game for W. Cauley-Stein,,18,12
67,1,3:39.0,J. Cooley enters the game for D. Fox,,18,12
68,1,3:21.0,,M. Henry misses 2-pt layup at rim,18,12
69,1,3:21.0,,Offensive rebound by Team,18,12
70,1,3:21.0,Loose ball foul by J. Cooley (drawn by I. Rabb),,18,12
71,1,3:10.0,,M. Henry makes 3-pt jump shot from 26 ft (assist by M. Chalmers),18,15
72,1,2:54.0,Personal foul by D. Davis (drawn by J. Jackson),,18,15
73,1,2:43.0,Shooting foul by I. Rabb (drawn by F. Mason),,18,15
74,1,2:43.0,F. Mason misses free throw 1 of 2,,18,15
75,1,2:43.0,Offensive rebound by Team,,18,15
76,1,2:43.0,F. Mason makes free throw 2 of 2,,19,15
77,1,2:31.0,,Turnover by B. McLemore (lost ball; steal by B. Hield),19,15
78,1,2:26.0,B. Hield makes 2-pt layup at rim,,21,15
79,1,2:04.0,,Shooting foul by F. Mason (drawn by M. Chalmers),21,15
80,1,2:04.0,,M. Chalmers makes free throw 1 of 3,21,16
81,1,2:04.0,,M. Chalmers makes free throw 2 of 3,21,17
82,1,2:04.0,V. Carter enters the game for J. Jackson,,21,17
83,1,2:04.0,,M. Chalmers misses free throw 3 of 3,21,17
84,1,2:02.0,Defensive rebound by N. Hayes,,21,17
85,1,1:39.0,B. Hield misses 3-pt jump shot from 26 ft,,21,17
86,1,1:35.0,,Defensive rebound by I. Rabb,21,17
87,1,1:31.0,Technical foul by B. Hield,,21,17
88,1,1:31.0,,B. McLemore makes free throw 1 of 1,21,18
89,1,1:28.0,,Turnover by M. Henry (bad pass; steal by B. Hield),21,18
90,1,1:24.0,B. Hield makes 2-pt layup at rim,,23,18
91,1,1:09.0,,M. Henry misses 2-pt layup at rim (block by N. Hayes),23,18
92,1,1:07.0,Defensive rebound by N. Hayes,,23,18
93,1,1:01.0,V. Carter misses 3-pt jump shot from 25 ft,,23,18
94,1,1:01.0,Offensive rebound by Team,,23,18
95,1,1:01.0,Sacramento full timeout,,23,18
96,1,0:59.0,B. Hield makes 2-pt jump shot from 18 ft (assist by V. Carter),,25,18
97,1,0:44.0,,I. Rabb makes 2-pt jump shot from 13 ft (assist by M. Henry),25,20
98,1,0:34.0,J. Cooley misses 2-pt jump shot from 11 ft,,25,20
99,1,0:32.0,Offensive rebound by Team,,25,20
100,1,0:27.0,F. Mason misses 2-pt layup from 1 ft,,25,20
101,1,0:25.0,,Defensive rebound by M. Henry,25,20
102,1,0:07.0,,M. Chalmers makes 2-pt jump shot from 18 ft,25,22
103,1,0:01.0,F. Mason misses 2-pt layup from 1 ft (block by B. McLemore),,25,22
104,1,0:00.0,Offensive rebound by Team,,25,22
105,1,0:00.0,Offensive foul by B. Hield (drawn by B. McLemore),,25,22
106,1,0:00.0,Turnover by B. Hield (offensive foul),,25,22
107,2,11:46.0,,I. Rabb makes 2-pt layup from 1 ft (assist by M. Brooks),25,24
108,2,11:28.0,Turnover by F. Mason (bad pass; steal by O. Johnson),,25,24
109,2,11:24.0,,D. Brooks makes 2-pt dunk from 1 ft (assist by K. Simmons),25,26
110,2,11:13.0,F. Mason misses 3-pt jump shot from 25 ft,,25,26
111,2,11:10.0,,Defensive rebound by I. Rabb,25,26
112,2,11:05.0,,K. Simmons makes 2-pt layup at rim,25,28
113,2,10:59.0,Sacramento full timeout,,25,28
114,2,10:59.0,J. Sampson enters the game for N. Hayes,,25,28
115,2,10:59.0,W. Cauley-Stein enters the game for J. Cooley,,25,28
116,2,10:51.0,W. Cauley-Stein makes 2-pt dunk at rim (assist by B. Hield),,27,28
117,2,10:36.0,,M. Brooks misses 2-pt jump shot from 1 ft,27,28
118,2,10:34.0,,Offensive rebound by I. Rabb,27,28
119,2,10:33.0,,O. Johnson misses 3-pt jump shot from 26 ft,27,28
120,2,10:30.0,Defensive rebound by F. Mason,,27,28
121,2,10:13.0,Personal foul by O. Johnson (drawn by J. Sampson),,27,28
122,2,10:01.0,Turnover by F. Mason (step out of bounds),,27,28
123,2,9:47.0,,I. Rabb misses 2-pt layup from 1 ft (block by J. Sampson),27,28
124,2,9:44.0,,Offensive rebound by M. Brooks,27,28
125,2,9:41.0,,M. Brooks makes 2-pt jump shot from 4 ft,27,30
126,2,9:28.0,F. Mason makes 2-pt layup at rim,,29,30
127,2,9:14.0,,Turnover by K. Simmons (out of bounds lost ball),29,30
128,2,9:14.0,,D. Davis enters the game for I. Rabb,29,30
129,2,9:14.0,D. Fox enters the game for F. Mason,,29,30
130,2,9:14.0,B. Bogdanović enters the game for B. Hield,,29,30
131,2,8:55.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,29,30
132,2,8:51.0,,Defensive rebound by K. Simmons,29,30
133,2,8:40.0,,D. Brooks misses 3-pt jump shot from 24 ft,29,30
134,2,8:34.0,,Offensive rebound by M. Brooks,29,30
135,2,8:29.0,,M. Brooks misses 2-pt layup from 1 ft,29,30
136,2,8:27.0,Defensive rebound by W. Cauley-Stein,,29,30
137,2,8:13.0,V. Carter misses 2-pt layup at rim,,29,30
138,2,8:12.0,Offensive rebound by V. Carter,,29,30
139,2,8:08.0,Personal foul by D. Davis (drawn by D. Fox),,29,30
140,2,8:01.0,,Violation by D. Davis (kicked ball),29,30
141,2,7:54.0,Personal foul by D. Brooks (drawn by V. Carter),,29,30
142,2,7:43.0,J. Sampson makes 2-pt jump shot from 11 ft,,31,30
143,2,7:22.0,,D. Davis makes 2-pt dunk at rim (assist by D. Brooks),31,32
144,2,7:15.0,Shooting foul by K. Simmons (drawn by D. Fox),,31,32
145,2,7:15.0,D. Fox misses free throw 1 of 2,,31,32
146,2,7:15.0,Offensive rebound by Team,,31,32
147,2,7:15.0,B. Hield enters the game for V. Carter,,31,32
148,2,7:15.0,D. Fox misses free throw 2 of 2,,31,32
149,2,7:12.0,,Defensive rebound by M. Brooks,31,32
150,2,7:00.0,,D. Brooks misses 3-pt jump shot from 24 ft,31,32
151,2,6:58.0,Defensive rebound by D. Fox,,31,32
152,2,6:54.0,D. Fox makes 2-pt jump shot from 12 ft,,33,32
153,2,6:34.0,,M. Chalmers enters the game for K. Simmons,33,32
154,2,6:34.0,,B. McLemore enters the game for D. Brooks,33,32
155,2,6:31.0,,M. Chalmers misses 2-pt jump shot from 10 ft,33,32
156,2,6:28.0,Defensive rebound by J. Sampson,,33,32
157,2,6:15.0,Turnover by B. Bogdanović (lost ball; steal by M. Brooks),,33,32
158,2,6:10.0,,M. Brooks makes 2-pt layup from 2 ft,33,34
159,2,6:00.0,Turnover by B. Hield (bad pass; steal by D. Davis),,33,34
160,2,5:56.0,,Turnover by M. Chalmers (bad pass),33,34
161,2,5:34.0,W. Cauley-Stein misses 2-pt jump shot from 19 ft,,33,34
162,2,5:31.0,,Defensive rebound by O. Johnson,33,34
163,2,5:14.0,,Turnover by O. Johnson (bad pass; steal by D. Fox),33,34
164,2,5:11.0,D. Fox makes 2-pt dunk at rim,,35,34
165,2,4:55.0,,D. Davis misses 2-pt jump shot from 20 ft,35,34
166,2,4:53.0,,Offensive rebound by O. Johnson,35,34
167,2,4:52.0,,O. Johnson misses 2-pt layup at rim (block by J. Sampson),35,34
168,2,4:52.0,,Offensive rebound by Team,35,34
169,2,4:52.0,,Memphis full timeout,35,34
170,2,4:45.0,,M. Brooks misses 2-pt layup from 1 ft,35,34
171,2,4:42.0,,Offensive rebound by M. Brooks,35,34
172,2,4:42.0,,M. Brooks makes 2-pt layup at rim,35,36
173,2,4:36.0,Personal foul by O. Johnson (drawn by J. Sampson),,35,36
174,2,4:36.0,J. Sampson misses free throw 1 of 2,,35,36
175,2,4:36.0,Offensive rebound by Team,,35,36
176,2,4:36.0,,I. Rabb enters the game for O. Johnson,35,36
177,2,4:36.0,J. Sampson makes free throw 2 of 2,,36,36
