,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,LA CLIPPERS_ACTION,PHILADELPHIA_SCORE,LA CLIPPERS_SCORE
0,1,11:44.0,J. Redick misses 3-pt jump shot from 25 ft,,0,0
1,1,11:41.0,,Defensive rebound by D. Jordan,0,0
2,1,11:33.0,,A. Rivers makes 3-pt jump shot from 27 ft (assist by B. Griffin),0,3
3,1,11:14.0,J. Embiid misses 2-pt jump shot from 14 ft,,0,3
4,1,11:12.0,,Defensive rebound by B. Griffin,0,3
5,1,11:03.0,,A. Rivers misses 3-pt jump shot from 24 ft,0,3
6,1,11:00.0,Defensive rebound by J. Embiid,,0,3
7,1,10:57.0,Personal foul by S. Thornwell (drawn by B. Simmons),,0,3
8,1,10:54.0,R. Covington makes 2-pt layup from 1 ft (assist by J. Redick),,2,3
9,1,10:40.0,,D. Jordan makes 2-pt hook shot from 4 ft (assist by B. Griffin),2,5
10,1,10:20.0,Shooting foul by D. Jordan (drawn by J. Embiid),,2,5
11,1,10:20.0,J. Embiid misses free throw 1 of 2,,2,5
12,1,10:20.0,Offensive rebound by Team,,2,5
13,1,10:20.0,J. Embiid misses free throw 2 of 2,,2,5
14,1,10:17.0,Offensive rebound by B. Simmons,,2,5
15,1,10:13.0,R. Covington makes 3-pt jump shot from 25 ft (assist by B. Simmons),,5,5
16,1,9:55.0,,B. Griffin misses 3-pt jump shot from 26 ft,5,5
17,1,9:52.0,Defensive rebound by R. Covington,,5,5
18,1,9:38.0,J. Embiid makes 2-pt layup at rim (assist by B. Simmons),,7,5
19,1,9:11.0,,B. Griffin misses 2-pt hook shot from 2 ft,7,5
20,1,9:10.0,,Offensive rebound by B. Griffin,7,5
21,1,9:07.0,,Turnover by B. Griffin (lost ball; steal by R. Covington),7,5
22,1,9:00.0,J. Embiid misses 3-pt jump shot from 26 ft,,7,5
23,1,8:56.0,Offensive rebound by D. Šarić,,7,5
24,1,8:55.0,D. Šarić makes 2-pt jump shot from 15 ft,,9,5
25,1,8:33.0,,A. Rivers misses 3-pt jump shot from 25 ft,9,5
26,1,8:31.0,Defensive rebound by B. Simmons,,9,5
27,1,8:25.0,B. Simmons makes 2-pt dunk from 2 ft (assist by J. Redick),,11,5
28,1,8:25.0,,LA Clippers full timeout,11,5
29,1,8:11.0,,Turnover by A. Rivers (bad pass; steal by R. Covington),11,5
30,1,8:06.0,B. Simmons makes 2-pt dunk at rim (assist by R. Covington),,13,5
31,1,7:51.0,,W. Johnson makes 2-pt jump shot from 17 ft,13,7
32,1,7:34.0,Personal foul by W. Johnson (drawn by B. Simmons),,13,7
33,1,7:34.0,,L. Williams enters the game for S. Thornwell,13,7
34,1,7:34.0,T. McConnell enters the game for D. Šarić,,13,7
35,1,7:34.0,A. Johnson enters the game for J. Embiid,,13,7
36,1,7:30.0,R. Covington makes 2-pt layup from 2 ft (assist by J. Redick),,15,7
37,1,7:06.0,Loose ball foul by R. Covington (drawn by B. Griffin),,15,7
38,1,7:05.0,,W. Johnson misses 3-pt jump shot from 23 ft,15,7
39,1,7:05.0,,Offensive rebound by Team,15,7
40,1,7:01.0,,Personal foul by B. Simmons (drawn by B. Griffin),15,7
41,1,7:01.0,T. Luwawu-Cabarrot enters the game for J. Redick,,15,7
42,1,7:01.0,,J. Evans enters the game for W. Johnson,15,7
43,1,6:53.0,,B. Griffin makes 2-pt hook shot from 1 ft,15,9
44,1,6:28.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 27 ft,,15,9
45,1,6:28.0,Offensive rebound by A. Johnson,,15,9
46,1,6:28.0,A. Johnson makes 2-pt layup at rim,,17,9
47,1,6:18.0,,L. Williams makes 3-pt jump shot from 25 ft,17,12
48,1,6:09.0,B. Simmons misses 2-pt layup from 2 ft,,17,12
49,1,6:09.0,Offensive rebound by B. Simmons,,17,12
50,1,6:09.0,Shooting foul by L. Williams (drawn by B. Simmons),,17,12
51,1,6:09.0,B. Simmons makes free throw 1 of 2,,18,12
52,1,6:09.0,B. Simmons misses free throw 2 of 2,,18,12
53,1,6:07.0,,Defensive rebound by A. Rivers,18,12
54,1,5:45.0,,A. Rivers misses 2-pt layup from 1 ft,18,12
55,1,5:43.0,Defensive rebound by R. Covington,,18,12
56,1,5:29.0,B. Simmons makes 2-pt dunk from 2 ft,,20,12
57,1,5:17.0,,B. Griffin makes 2-pt hook shot from 2 ft,20,14
58,1,4:57.0,Turnover by B. Simmons (bad pass; steal by L. Williams),,20,14
59,1,4:51.0,,J. Evans makes 2-pt layup from 1 ft (assist by L. Williams),20,16
60,1,4:44.0,R. Covington makes 3-pt jump shot from 27 ft (assist by T. McConnell),,23,16
61,1,4:28.0,,B. Griffin misses 2-pt layup from 3 ft,23,16
62,1,4:28.0,Defensive rebound by T. McConnell,,23,16
63,1,4:21.0,T. McConnell makes 2-pt jump shot from 14 ft (assist by R. Covington),,25,16
64,1,4:20.0,,LA Clippers full timeout,25,16
65,1,4:20.0,,S. Thornwell enters the game for A. Rivers,25,16
66,1,4:20.0,J. Redick enters the game for B. Simmons,,25,16
67,1,4:20.0,D. Šarić enters the game for R. Covington,,25,16
68,1,4:01.0,,B. Griffin misses 2-pt layup from 1 ft,25,16
69,1,4:01.0,,Offensive rebound by B. Griffin,25,16
70,1,4:01.0,,Shooting foul by A. Johnson (drawn by B. Griffin),25,16
71,1,4:01.0,,B. Griffin makes free throw 1 of 2,25,17
72,1,4:01.0,,B. Griffin misses free throw 2 of 2,25,17
73,1,3:59.0,Defensive rebound by T. McConnell,,25,17
74,1,3:46.0,D. Šarić misses 2-pt layup from 2 ft (block by B. Griffin),,25,17
75,1,3:46.0,Offensive rebound by Team,,25,17
76,1,3:46.0,J. Embiid enters the game for A. Johnson,,25,17
77,1,3:44.0,J. Redick makes 2-pt layup from 2 ft (assist by T. McConnell),,27,17
78,1,3:31.0,,Shooting foul by J. Embiid (drawn by L. Williams),27,17
79,1,3:31.0,,L. Williams makes free throw 1 of 2,27,18
80,1,3:31.0,,W. Reed enters the game for D. Jordan,27,18
81,1,3:31.0,,L. Williams misses free throw 2 of 2,27,18
82,1,3:28.0,Defensive rebound by J. Embiid,,27,18
83,1,3:05.0,D. Šarić misses 3-pt jump shot from 25 ft,,27,18
84,1,3:03.0,Offensive rebound by J. Embiid,,27,18
85,1,3:02.0,J. Embiid makes 2-pt hook shot from 4 ft,,29,18
86,1,2:54.0,,L. Williams makes 2-pt jump shot from 15 ft,29,20
87,1,2:36.0,J. Embiid misses 2-pt jump shot from 7 ft (block by S. Thornwell),,29,20
88,1,2:36.0,Offensive rebound by Team,,29,20
89,1,2:36.0,Offensive foul by J. Redick (drawn by S. Thornwell),,29,20
90,1,2:36.0,Turnover by J. Redick (offensive foul),,29,20
91,1,2:36.0,J. Anderson enters the game for T. Luwawu-Cabarrot,,29,20
92,1,2:19.0,,S. Thornwell makes 3-pt jump shot from 25 ft (assist by J. Evans),29,23
93,1,2:01.0,J. Embiid makes 2-pt layup from 2 ft (assist by T. McConnell),,31,23
94,1,1:56.0,,Turnover by L. Williams (bad pass; steal by T. McConnell),31,23
95,1,1:53.0,J. Redick misses 3-pt jump shot from 26 ft,,31,23
96,1,1:53.0,Offensive rebound by Team,,31,23
97,1,1:53.0,,Loose ball foul by W. Reed (drawn by J. Embiid),31,23
98,1,1:53.0,J. Embiid makes free throw 1 of 2,,32,23
99,1,1:53.0,J. Embiid makes free throw 2 of 2,,33,23
100,1,1:41.0,,W. Reed misses 2-pt jump shot from 11 ft,33,23
101,1,1:37.0,Defensive rebound by J. Embiid,,33,23
102,1,1:19.0,Turnover by J. Redick (bad pass),,33,23
103,1,1:19.0,,S. Dekker enters the game for B. Griffin,33,23
104,1,1:09.0,,W. Reed makes 2-pt dunk from 1 ft (assist by L. Williams),33,25
105,1,0:51.0,J. Embiid makes 3-pt jump shot from 28 ft,,36,25
106,1,0:39.0,,L. Williams misses 3-pt jump shot from 23 ft,36,25
107,1,0:35.0,,Offensive rebound by L. Williams,36,25
108,1,0:34.0,,L. Williams makes 3-pt jump shot from 25 ft,36,28
109,1,0:17.0,J. Redick misses 2-pt jump shot from 20 ft,,36,28
110,1,0:14.0,,Defensive rebound by S. Dekker,36,28
111,1,0:03.0,,L. Williams misses 3-pt jump shot from 25 ft,36,28
112,1,0:01.0,Defensive rebound by T. McConnell,,36,28
113,1,0:00.0,T. McConnell misses 3-pt jump shot from 81 ft,,36,28
114,1,0:00.0,Offensive rebound by Team,,36,28
115,2,11:37.0,,W. Reed makes 2-pt hook shot from 5 ft,36,30
116,2,11:19.0,J. Anderson misses 3-pt jump shot from 22 ft,,36,30
117,2,11:15.0,,Defensive rebound by L. Williams,36,30
118,2,11:12.0,,L. Williams misses 2-pt jump shot from 10 ft,36,30
119,2,11:12.0,Defensive rebound by D. Šarić,,36,30
120,2,11:07.0,B. Simmons makes 2-pt dunk from 1 ft (assist by D. Šarić),,38,30
121,2,10:51.0,,Turnover by W. Reed (traveling),38,30
122,2,10:38.0,,Technical foul by W. Reed,38,30
123,2,10:38.0,,D. Jordan enters the game for J. Evans,38,30
124,2,10:38.0,J. Embiid makes flagrant free throw 1 of 2,,39,30
125,2,10:38.0,J. Embiid makes flagrant free throw 2 of 2,,40,30
126,2,10:38.0,,A. Rivers enters the game for W. Reed,40,30
127,2,10:32.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 24 ft,,40,30
128,2,10:27.0,,Defensive rebound by A. Rivers,40,30
129,2,10:14.0,,L. Williams misses 3-pt jump shot from 22 ft,40,30
130,2,10:11.0,Defensive rebound by T. Luwawu-Cabarrot,,40,30
131,2,10:07.0,J. Embiid misses 3-pt jump shot from 25 ft,,40,30
132,2,10:07.0,,Defensive rebound by L. Williams,40,30
133,2,9:55.0,,Turnover by S. Thornwell (step out of bounds),40,30
134,2,9:55.0,T. McConnell enters the game for D. Šarić,,40,30
135,2,9:41.0,T. Luwawu-Cabarrot makes 2-pt layup from 1 ft (assist by B. Simmons),,42,30
136,2,9:22.0,,A. Rivers misses 2-pt jump shot from 19 ft,42,30
137,2,9:19.0,Defensive rebound by T. McConnell,,42,30
138,2,9:01.0,J. Embiid makes 2-pt jump shot from 16 ft,,44,30
139,2,8:42.0,,Offensive foul by D. Jordan (drawn by T. McConnell),44,30
140,2,8:42.0,,Turnover by D. Jordan (offensive foul),44,30
141,2,8:42.0,,B. Griffin enters the game for S. Dekker,44,30
142,2,8:42.0,R. Covington enters the game for J. Anderson,,44,30
143,2,8:26.0,Philadelphia full timeout,,44,30
144,2,8:18.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 26 ft,,44,30
145,2,8:15.0,,Defensive rebound by D. Jordan,44,30
146,2,8:07.0,,L. Williams misses 2-pt jump shot from 4 ft,44,30
147,2,8:07.0,Defensive rebound by R. Covington,,44,30
148,2,8:06.0,Turnover by T. McConnell (bad pass),,44,30
149,2,8:06.0,A. Johnson enters the game for J. Embiid,,44,30
150,2,7:54.0,,B. Griffin misses 2-pt jump shot from 1 ft,44,30
151,2,7:52.0,Defensive rebound by T. McConnell,,44,30
152,2,7:40.0,T. Luwawu-Cabarrot misses 2-pt layup from 1 ft (block by D. Jordan),,44,30
153,2,7:40.0,,Defensive rebound by S. Thornwell,44,30
154,2,7:35.0,,Turnover by S. Thornwell (lost ball; steal by A. Johnson),44,30
155,2,7:29.0,Turnover by B. Simmons (bad pass),,44,30
156,2,7:29.0,,W. Johnson enters the game for S. Thornwell,44,30
157,2,7:29.0,J. Redick enters the game for T. Luwawu-Cabarrot,,44,30
158,2,7:14.0,,B. Griffin makes 3-pt jump shot from 25 ft (assist by A. Rivers),44,33
159,2,7:01.0,R. Covington makes 3-pt jump shot from 22 ft (assist by T. McConnell),,47,33
160,2,6:47.0,,B. Griffin misses 2-pt layup from 5 ft (block by B. Simmons),47,33
161,2,6:44.0,,Offensive rebound by W. Johnson,47,33
162,2,6:41.0,,W. Johnson makes 2-pt layup from 2 ft,47,35
163,2,6:25.0,B. Simmons misses 2-pt dunk from 1 ft,,47,35
164,2,6:25.0,,Defensive rebound by A. Rivers,47,35
165,2,6:25.0,,Personal foul by B. Simmons (drawn by A. Rivers),47,35
166,2,6:09.0,,Personal foul by A. Johnson (drawn by D. Jordan),47,35
167,2,6:01.0,,B. Griffin makes 2-pt jump shot from 7 ft,47,37
168,2,5:38.0,B. Simmons makes 2-pt dunk from 2 ft (assist by A. Johnson),,49,37
169,2,5:27.0,,B. Griffin makes 2-pt jump shot from 6 ft,49,39
