,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,ORLANDO_ACTION,WASHINGTON_SCORE,ORLANDO_SCORE
0,1,11:46.0,M. Morris makes 2-pt jump shot from 10 ft (assist by T. Satoranský),,2,0
1,1,11:26.0,,E. Fournier makes 2-pt jump shot from 20 ft (assist by B. Biyombo),2,2
2,1,11:05.0,O. Porter makes 2-pt jump shot from 18 ft,,4,2
3,1,10:47.0,,E. Fournier makes 2-pt layup at rim (assist by E. Payton),4,4
4,1,10:40.0,O. Porter misses 3-pt jump shot from 25 ft,,4,4
5,1,10:35.0,,Defensive rebound by B. Biyombo,4,4
6,1,10:30.0,,E. Payton misses 2-pt layup from 1 ft,4,4
7,1,10:26.0,Defensive rebound by B. Beal,,4,4
8,1,10:24.0,O. Porter makes 2-pt dunk from 1 ft (assist by T. Satoranský),,6,4
9,1,10:09.0,,M. Speights misses 3-pt jump shot from 26 ft,6,4
10,1,10:05.0,Defensive rebound by M. Gortat,,6,4
11,1,9:59.0,T. Satoranský makes 2-pt layup from 1 ft (assist by M. Morris),,8,4
12,1,9:51.0,,E. Fournier misses 2-pt layup at rim (block by M. Gortat),8,4
13,1,9:51.0,Defensive rebound by T. Satoranský,,8,4
14,1,9:41.0,O. Porter makes 3-pt jump shot from 25 ft (assist by M. Morris),,11,4
15,1,9:41.0,,Orlando full timeout,11,4
16,1,9:18.0,,J. Simmons makes 2-pt jump shot from 8 ft,11,6
17,1,9:14.0,Turnover by B. Beal (lost ball; steal by E. Payton),,11,6
18,1,9:08.0,,Turnover by J. Simmons (bad pass; steal by O. Porter),11,6
19,1,9:00.0,O. Porter misses 3-pt jump shot from 25 ft,,11,6
20,1,8:56.0,,Defensive rebound by E. Payton,11,6
21,1,8:45.0,,Turnover by E. Payton (lost ball; steal by M. Morris),11,6
22,1,8:42.0,,Offensive charge foul by O. Porter (drawn by M. Speights),11,6
23,1,8:42.0,Turnover by O. Porter (offensive foul),,11,6
24,1,8:33.0,,E. Fournier misses 2-pt layup from 1 ft,11,6
25,1,8:30.0,Defensive rebound by M. Morris,,11,6
26,1,8:08.0,T. Satoranský misses 2-pt jump shot from 9 ft,,11,6
27,1,8:01.0,Offensive rebound by M. Gortat,,11,6
28,1,7:59.0,B. Beal misses 2-pt jump shot from 15 ft,,11,6
29,1,7:59.0,,Defensive rebound by E. Payton,11,6
30,1,7:50.0,,E. Payton makes 2-pt layup from 1 ft,11,8
31,1,7:26.0,M. Morris misses 3-pt jump shot from 25 ft,,11,8
32,1,7:22.0,Offensive rebound by O. Porter,,11,8
33,1,7:14.0,T. Satoranský makes 2-pt layup from 2 ft (assist by B. Beal),,13,8
34,1,6:57.0,,E. Fournier misses 3-pt jump shot from 25 ft,13,8
35,1,6:54.0,Defensive rebound by M. Gortat,,13,8
36,1,6:42.0,Shooting foul by E. Fournier (drawn by O. Porter),,13,8
37,1,6:42.0,O. Porter makes free throw 1 of 2,,14,8
38,1,6:42.0,,M. Hezonja enters the game for M. Speights,14,8
39,1,6:42.0,O. Porter misses free throw 2 of 2,,14,8
40,1,6:39.0,,Defensive rebound by M. Hezonja,14,8
41,1,6:23.0,,E. Payton misses 2-pt layup from 3 ft,14,8
42,1,6:21.0,Defensive rebound by O. Porter,,14,8
43,1,6:05.0,M. Morris makes 2-pt jump shot from 9 ft,,16,8
44,1,5:38.0,,E. Payton misses 3-pt jump shot from 27 ft,16,8
45,1,5:35.0,Defensive rebound by M. Morris,,16,8
46,1,5:30.0,M. Morris makes 2-pt jump shot from 14 ft (assist by O. Porter),,18,8
47,1,5:19.0,,E. Payton makes 2-pt layup from 2 ft,18,10
48,1,5:04.0,Personal foul by B. Biyombo (drawn by B. Beal),,18,10
49,1,4:57.0,T. Satoranský makes 3-pt jump shot from 23 ft (assist by B. Beal),,21,10
50,1,4:44.0,,J. Simmons makes 3-pt jump shot from 26 ft (assist by E. Payton),21,13
51,1,4:21.0,M. Gortat misses 2-pt jump shot from 8 ft (block by B. Biyombo),,21,13
52,1,4:19.0,Offensive rebound by T. Satoranský,,21,13
53,1,4:19.0,Shooting foul by B. Biyombo (drawn by T. Satoranský),,21,13
54,1,4:19.0,T. Satoranský makes free throw 1 of 2,,22,13
55,1,4:19.0,,K. Birch enters the game for B. Biyombo,22,13
56,1,4:19.0,K. Oubre enters the game for O. Porter,,22,13
57,1,4:19.0,T. Satoranský makes free throw 2 of 2,,23,13
58,1,4:09.0,,Turnover by E. Payton (bad pass; steal by T. Satoranský),23,13
59,1,4:04.0,Turnover by T. Satoranský (lost ball; steal by E. Payton),,23,13
60,1,3:57.0,,Personal foul by M. Morris (drawn by E. Fournier),23,13
61,1,3:54.0,,Personal foul by K. Oubre (drawn by J. Simmons),23,13
62,1,3:43.0,,J. Simmons makes 2-pt layup from 2 ft,23,15
63,1,3:29.0,M. Gortat makes 2-pt layup from 2 ft (assist by B. Beal),,25,15
64,1,3:17.0,,E. Fournier misses 3-pt jump shot from 27 ft,25,15
65,1,3:13.0,,Offensive rebound by M. Hezonja,25,15
66,1,3:12.0,,M. Hezonja makes 2-pt layup at rim,25,17
67,1,3:00.0,K. Oubre misses 3-pt jump shot from 23 ft,,25,17
68,1,2:55.0,Offensive rebound by M. Gortat,,25,17
69,1,2:52.0,Turnover by M. Gortat (bad pass; steal by J. Simmons),,25,17
70,1,2:46.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by E. Payton),25,20
71,1,2:43.0,Washington full timeout,,25,20
72,1,2:43.0,,D. Augustin enters the game for E. Payton,25,20
73,1,2:43.0,,W. Iwundu enters the game for J. Simmons,25,20
74,1,2:43.0,I. Mahinmi enters the game for M. Gortat,,25,20
75,1,2:43.0,T. Frazier enters the game for T. Satoranský,,25,20
76,1,2:30.0,B. Beal makes 2-pt jump shot from 15 ft (assist by T. Frazier),,27,20
77,1,2:12.0,,Shooting foul by K. Oubre (drawn by E. Fournier),27,20
78,1,2:12.0,,E. Fournier makes free throw 1 of 2,27,21
79,1,2:12.0,,E. Fournier makes free throw 2 of 2,27,22
80,1,1:59.0,B. Beal makes 2-pt jump shot from 15 ft (assist by M. Morris),,29,22
81,1,1:37.0,,K. Birch misses 2-pt jump shot from 6 ft,29,22
82,1,1:34.0,,Offensive rebound by D. Augustin,29,22
83,1,1:32.0,,E. Fournier misses 3-pt jump shot from 26 ft,29,22
84,1,1:29.0,Defensive rebound by B. Beal,,29,22
