,QUARTER,TIME_REMAINING,CHICAGO_ACTION,DETROIT_ACTION,CHICAGO_SCORE,DETROIT_SCORE
0,1,11:38.0,,S. Johnson misses 2-pt jump shot from 7 ft (block by R. Lopez),0,0
1,1,11:34.0,Defensive rebound by R. Lopez,,0,0
2,1,11:17.0,C. Payne misses 3-pt jump shot from 28 ft,,0,0
3,1,11:13.0,,Defensive rebound by A. Drummond,0,0
4,1,11:05.0,,R. Jackson makes 3-pt jump shot from 26 ft (assist by B. Griffin),0,3
5,1,10:43.0,J. Holiday misses 3-pt jump shot from 23 ft,,0,3
6,1,10:40.0,,Defensive rebound by S. Johnson,0,3
7,1,10:37.0,,R. Bullock misses 3-pt jump shot from 25 ft,0,3
8,1,10:31.0,,Offensive rebound by A. Drummond,0,3
9,1,10:15.0,,R. Bullock misses 2-pt jump shot from 18 ft,0,3
10,1,10:11.0,Defensive rebound by N. Vonleh,,0,3
11,1,9:58.0,R. Lopez misses 2-pt hook shot from 5 ft (block by A. Drummond),,0,3
12,1,9:54.0,Offensive rebound by R. Lopez,,0,3
13,1,9:52.0,Turnover by R. Lopez (lost ball; steal by A. Drummond),,0,3
14,1,9:48.0,,B. Griffin makes 3-pt jump shot from 22 ft (assist by R. Jackson),0,6
15,1,9:37.0,C. Payne makes 2-pt jump shot from 15 ft,,2,6
16,1,9:24.0,,R. Jackson misses 3-pt jump shot from 25 ft,2,6
17,1,9:20.0,Defensive rebound by J. Holiday,,2,6
18,1,9:06.0,R. Lopez misses 2-pt hook shot from 7 ft,,2,6
19,1,9:01.0,,Defensive rebound by A. Drummond,2,6
20,1,8:52.0,,Turnover by B. Griffin (lost ball; steal by N. Vonleh),2,6
21,1,8:52.0,Personal foul by B. Griffin (drawn by N. Vonleh),,2,6
22,1,8:41.0,N. Vonleh misses 3-pt jump shot from 27 ft,,2,6
23,1,8:38.0,,Defensive rebound by R. Jackson,2,6
24,1,8:34.0,,Turnover by R. Jackson (bad pass; steal by N. Vonleh),2,6
25,1,8:26.0,J. Holiday misses 3-pt jump shot from 23 ft,,2,6
26,1,8:23.0,,Defensive rebound by A. Drummond,2,6
27,1,8:09.0,,R. Jackson makes 3-pt jump shot from 23 ft (assist by B. Griffin),2,9
28,1,7:58.0,C. Payne misses 2-pt layup from 7 ft (block by A. Drummond),,2,9
29,1,7:58.0,Offensive rebound by Team,,2,9
30,1,7:56.0,D. Valentine misses 2-pt layup from 6 ft,,2,9
31,1,7:50.0,,Defensive rebound by B. Griffin,2,9
32,1,7:37.0,,B. Griffin makes 2-pt jump shot at rim,2,11
33,1,7:37.0,Chicago full timeout,,2,11
34,1,7:37.0,,I. Smith enters the game for R. Jackson,2,11
35,1,7:12.0,Turnover by Team (shot clock),,2,11
36,1,6:54.0,,S. Johnson misses 3-pt jump shot from 24 ft,2,11
37,1,6:50.0,,Offensive rebound by A. Drummond,2,11
