,QUARTER,TIME_REMAINING,DENVER_ACTION,CHICAGO_ACTION,DENVER_SCORE,CHICAGO_SCORE
0,1,11:40.0,W. Chandler makes 3-pt jump shot from 24 ft (assist by N. Jokić),,3,0
1,1,11:24.0,,P. Zipser makes 3-pt jump shot from 26 ft (assist by C. Payne),3,3
2,1,10:56.0,J. Murray makes 3-pt jump shot from 26 ft,,6,3
3,1,10:49.0,,C. Payne makes 3-pt jump shot from 25 ft,6,6
4,1,10:35.0,N. Jokić makes 2-pt layup at rim (assist by P. Millsap),,8,6
5,1,10:19.0,,D. Valentine misses 2-pt jump shot from 2 ft,8,6
6,1,10:16.0,Defensive rebound by P. Millsap,,8,6
7,1,10:06.0,Personal foul by C. Payne (drawn by N. Jokić),,8,6
8,1,10:04.0,J. Murray misses 3-pt jump shot from 25 ft,,8,6
9,1,9:56.0,,Defensive rebound by C. Felício,8,6
10,1,9:52.0,,C. Payne makes 3-pt jump shot from 23 ft (assist by D. Valentine),8,9
11,1,9:41.0,Personal foul by P. Zipser (drawn by N. Jokić),,8,9
12,1,9:32.0,P. Millsap misses 2-pt jump shot from 20 ft,,8,9
13,1,9:28.0,Offensive rebound by N. Jokić,,8,9
14,1,9:26.0,W. Barton makes 3-pt jump shot from 25 ft (assist by N. Jokić),,11,9
15,1,9:05.0,,C. Payne misses 2-pt layup at rim (block by W. Barton),11,9
16,1,9:02.0,Defensive rebound by J. Murray,,11,9
17,1,8:58.0,Turnover by W. Chandler (lost ball; steal by D. Valentine),,11,9
18,1,8:50.0,,P. Zipser misses 2-pt jump shot from 22 ft,11,9
19,1,8:47.0,,Offensive rebound by D. Valentine,11,9
20,1,8:40.0,,Turnover by C. Payne (step out of bounds),11,9
21,1,8:26.0,J. Murray misses 3-pt jump shot from 25 ft,,11,9
22,1,8:19.0,Offensive rebound by N. Jokić,,11,9
23,1,8:19.0,N. Jokić makes 2-pt layup at rim,,13,9
24,1,8:03.0,,C. Felício makes 2-pt layup from 2 ft (assist by D. Valentine),13,11
25,1,7:42.0,W. Barton makes 2-pt layup from 1 ft (assist by P. Millsap),,15,11
26,1,7:33.0,,P. Zipser makes 3-pt jump shot from 24 ft (assist by D. Valentine),15,14
27,1,7:32.0,Denver full timeout,,15,14
28,1,7:09.0,W. Chandler makes 3-pt jump shot from 25 ft (assist by J. Murray),,18,14
29,1,6:54.0,,C. Felício makes 2-pt dunk at rim (assist by C. Payne),18,16
30,1,6:30.0,J. Murray misses 2-pt jump shot from 8 ft,,18,16
31,1,6:28.0,,Defensive rebound by J. Holiday,18,16
32,1,6:25.0,,D. Valentine misses 3-pt jump shot from 23 ft,18,16
33,1,6:21.0,,Offensive rebound by C. Felício,18,16
34,1,6:11.0,,J. Holiday misses 3-pt jump shot from 25 ft,18,16
35,1,6:09.0,,Offensive rebound by Team,18,16
36,1,6:04.0,,D. Valentine misses 3-pt jump shot from 25 ft,18,16
37,1,5:56.0,,Offensive rebound by C. Felício,18,16
38,1,5:56.0,,C. Felício misses 2-pt layup at rim (block by W. Chandler),18,16
39,1,5:56.0,Defensive rebound by W. Barton,,18,16
40,1,5:53.0,P. Millsap makes 2-pt layup from 1 ft (assist by W. Chandler),,20,16
41,1,5:53.0,Shooting foul by D. Valentine (drawn by P. Millsap),,20,16
42,1,5:53.0,M. Plumlee enters the game for N. Jokić,,20,16
43,1,5:53.0,P. Millsap makes free throw 1 of 1,,21,16
44,1,5:36.0,,Turnover by J. Holiday (bad pass; steal by P. Millsap),21,16
45,1,5:31.0,Turnover by W. Chandler (bad pass; steal by D. Valentine),,21,16
46,1,5:24.0,,D. Valentine makes 2-pt layup at rim (assist by J. Holiday),21,18
47,1,5:03.0,P. Millsap makes 2-pt jump shot from 5 ft,,23,18
48,1,4:50.0,,P. Zipser misses 3-pt jump shot from 24 ft,23,18
49,1,4:50.0,Defensive rebound by W. Barton,,23,18
50,1,4:45.0,Personal foul by P. Zipser (drawn by P. Millsap),,23,18
51,1,4:45.0,,B. Portis enters the game for P. Zipser,23,18
52,1,4:45.0,,D. Nwaba enters the game for D. Valentine,23,18
53,1,4:45.0,D. Harris enters the game for J. Murray,,23,18
54,1,4:26.0,P. Millsap makes 2-pt jump shot from 7 ft,,25,18
55,1,4:20.0,,C. Payne misses 2-pt jump shot from 17 ft,25,18
56,1,4:20.0,Defensive rebound by W. Chandler,,25,18
57,1,4:12.0,Shooting foul by B. Portis (drawn by P. Millsap),,25,18
