,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MINNESOTA_ACTION,LA LAKERS_SCORE,MINNESOTA_SCORE
0,1,11:39.0,K. Caldwell-Pope misses 3-pt jump shot from 22 ft,,0,0
1,1,11:36.0,,Defensive rebound by K. Towns,0,0
2,1,11:17.0,,K. Towns misses 2-pt jump shot from 7 ft,0,0
3,1,11:14.0,Defensive rebound by B. Lopez,,0,0
4,1,11:06.0,B. Ingram makes 2-pt jump shot from 16 ft,,2,0
5,1,10:43.0,,T. Gibson misses 2-pt jump shot from 17 ft,2,0
6,1,10:40.0,Defensive rebound by K. Caldwell-Pope,,2,0
7,1,10:28.0,J. Randle makes 2-pt dunk at rim (assist by K. Caldwell-Pope),,4,0
8,1,10:05.0,,J. Butler makes 2-pt jump shot from 12 ft,4,2
9,1,9:56.0,B. Ingram makes 2-pt jump shot from 5 ft,,6,2
10,1,9:35.0,,K. Towns misses 2-pt jump shot from 16 ft,6,2
11,1,9:31.0,Defensive rebound by J. Randle,,6,2
12,1,9:24.0,J. Randle makes 2-pt layup from 1 ft,,8,2
13,1,9:06.0,,A. Wiggins makes 2-pt jump shot from 11 ft,8,4
14,1,8:58.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by K. Caldwell-Pope),,11,4
15,1,8:41.0,,Personal foul by K. Caldwell-Pope (drawn by T. Gibson),11,4
16,1,8:27.0,,J. Butler misses 2-pt jump shot from 18 ft,11,4
17,1,8:24.0,Defensive rebound by J. Randle,,11,4
18,1,8:17.0,J. Randle makes 2-pt hook shot from 8 ft,,13,4
19,1,8:01.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by J. Teague),13,6
20,1,7:43.0,Turnover by J. Randle (bad pass; steal by T. Gibson),,13,6
21,1,7:43.0,,Personal foul by J. Randle (drawn by A. Wiggins),13,6
22,1,7:29.0,,J. Teague makes 3-pt jump shot from 24 ft (assist by T. Gibson),13,9
23,1,7:10.0,J. Hart makes 2-pt jump shot from 6 ft,,15,9
24,1,6:53.0,,J. Teague makes 2-pt layup from 2 ft,15,11
25,1,6:35.0,B. Lopez makes 3-pt jump shot from 25 ft (assist by K. Caldwell-Pope),,18,11
26,1,6:24.0,,T. Gibson makes 2-pt jump shot from 8 ft (assist by J. Teague),18,13
27,1,6:16.0,B. Ingram misses 2-pt layup from 1 ft (block by T. Gibson),,18,13
28,1,6:16.0,Offensive rebound by Team,,18,13
29,1,6:15.0,,Minnesota full timeout,18,13
30,1,6:00.0,B. Ingram misses 2-pt jump shot from 15 ft,,18,13
