,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,PHILADELPHIA_ACTION,MILWAUKEE_SCORE,PHILADELPHIA_SCORE
0,1,11:37.0,,D. Šarić misses 2-pt hook shot from 9 ft,0,0
1,1,11:32.0,,Offensive rebound by B. Simmons,0,0
2,1,11:32.0,,B. Simmons makes 2-pt layup at rim,0,2
3,1,11:19.0,K. Middleton misses 3-pt jump shot from 26 ft,,0,2
4,1,11:16.0,,Defensive rebound by R. Covington,0,2
5,1,11:09.0,,Personal foul by T. Snell (drawn by B. Simmons),0,2
6,1,11:01.0,,J. Embiid makes 2-pt layup from 1 ft (assist by B. Simmons),0,4
7,1,10:50.0,E. Bledsoe makes 2-pt layup from 1 ft,,2,4
8,1,10:38.0,,J. Embiid misses 2-pt layup from 2 ft,2,4
9,1,10:35.0,Defensive rebound by J. Henson,,2,4
10,1,10:30.0,T. Snell makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),,5,4
11,1,10:06.0,,R. Covington makes 2-pt jump shot from 15 ft (assist by B. Simmons),5,6
12,1,9:43.0,Shooting foul by T. Luwawu-Cabarrot (drawn by E. Bledsoe),,5,6
13,1,9:43.0,E. Bledsoe makes free throw 1 of 2,,6,6
14,1,9:43.0,E. Bledsoe misses free throw 2 of 2,,6,6
15,1,9:39.0,,Defensive rebound by D. Šarić,6,6
16,1,9:25.0,,R. Covington makes 3-pt jump shot from 25 ft (assist by D. Šarić),6,9
17,1,9:01.0,Turnover by E. Bledsoe (bad pass; steal by J. Embiid),,6,9
18,1,8:55.0,,D. Šarić misses 2-pt layup from 1 ft,6,9
19,1,8:51.0,Defensive rebound by K. Middleton,,6,9
20,1,8:45.0,T. Snell misses 3-pt jump shot from 25 ft,,6,9
21,1,8:42.0,,Defensive rebound by J. Embiid,6,9
22,1,8:37.0,,J. Embiid makes 3-pt jump shot from 25 ft (assist by B. Simmons),6,12
23,1,8:22.0,K. Middleton misses 2-pt jump shot from 15 ft,,6,12
24,1,8:21.0,,Defensive rebound by R. Covington,6,12
25,1,8:10.0,,T. Luwawu-Cabarrot makes 2-pt layup from 1 ft (assist by D. Šarić),6,14
26,1,8:10.0,Milwaukee full timeout,,6,14
27,1,7:53.0,J. Henson makes 2-pt dunk from 1 ft (assist by K. Middleton),,8,14
28,1,7:45.0,,R. Covington misses 3-pt jump shot from 28 ft,8,14
29,1,7:42.0,Defensive rebound by K. Middleton,,8,14
30,1,7:36.0,K. Middleton makes 2-pt jump shot from 7 ft,,10,14
31,1,7:22.0,,J. Embiid makes 2-pt dunk at rim (assist by D. Šarić),10,16
32,1,7:04.0,Offensive foul by J. Henson (drawn by R. Covington),,10,16
33,1,7:04.0,Turnover by J. Henson (offensive foul),,10,16
34,1,7:04.0,,J. Anderson enters the game for R. Covington,10,16
35,1,7:04.0,,T. McConnell enters the game for T. Luwawu-Cabarrot,10,16
36,1,6:41.0,,B. Simmons makes 2-pt jump shot from 10 ft,10,18
37,1,6:27.0,Def 3 sec tech foul by J. Anderson,,10,18
38,1,6:27.0,K. Middleton makes free throw 1 of 1,,11,18
39,1,6:27.0,M. Dellavedova enters the game for E. Bledsoe,,11,18
40,1,6:27.0,T. Maker enters the game for J. Henson,,11,18
41,1,6:27.0,,A. Johnson enters the game for J. Embiid,11,18
42,1,6:10.0,K. Middleton makes 2-pt jump shot from 2 ft,,13,18
43,1,5:59.0,,D. Šarić misses 3-pt jump shot from 27 ft,13,18
44,1,5:59.0,Defensive rebound by M. Dellavedova,,13,18
45,1,5:49.0,T. Maker misses 2-pt jump shot from 9 ft,,13,18
46,1,5:45.0,,Defensive rebound by A. Johnson,13,18
47,1,5:37.0,,T. McConnell makes 2-pt layup from 1 ft (assist by D. Šarić),13,20
48,1,5:13.0,S. Brown makes 3-pt jump shot from 25 ft (assist by K. Middleton),,16,20
49,1,5:03.0,,Shooting foul by K. Middleton (drawn by D. Šarić),16,20
50,1,5:03.0,,D. Šarić makes free throw 1 of 2,16,21
51,1,5:03.0,,D. Šarić makes free throw 2 of 2,16,22
52,1,5:00.0,Turnover by T. Maker (bad pass; steal by T. McConnell),,16,22
53,1,4:56.0,,B. Simmons makes 2-pt dunk from 2 ft (assist by T. McConnell),16,24
54,1,4:33.0,K. Middleton makes 2-pt jump shot from 14 ft,,18,24
55,1,4:33.0,Shooting foul by T. McConnell (drawn by K. Middleton),,18,24
56,1,4:33.0,K. Middleton makes free throw 1 of 1,,19,24
57,1,4:23.0,J. Terry enters the game for T. Snell,,19,24
58,1,4:10.0,,J. Anderson makes 2-pt dunk at rim (assist by D. Šarić),19,26
59,1,3:48.0,K. Middleton misses 3-pt jump shot from 23 ft,,19,26
60,1,3:46.0,Offensive rebound by S. Brown,,19,26
61,1,3:46.0,Shooting foul by A. Johnson (drawn by K. Middleton),,19,26
62,1,3:46.0,K. Middleton makes free throw 1 of 2,,20,26
63,1,3:46.0,,J. Embiid enters the game for A. Johnson,20,26
64,1,3:46.0,,T. Booker enters the game for D. Šarić,20,26
65,1,3:46.0,,J. Young enters the game for B. Simmons,20,26
66,1,3:46.0,K. Middleton makes free throw 2 of 2,,21,26
67,1,3:37.0,,J. Young makes 3-pt jump shot from 23 ft (assist by T. McConnell),21,29
68,1,3:17.0,S. Brown makes 3-pt jump shot from 25 ft (assist by K. Middleton),,24,29
69,1,2:53.0,,J. Young misses 2-pt layup from 4 ft,24,29
70,1,2:51.0,Defensive rebound by K. Middleton,,24,29
71,1,2:46.0,S. Brown makes 3-pt jump shot from 27 ft (assist by J. Terry),,27,29
72,1,2:44.0,,Philadelphia full timeout,27,29
73,1,2:44.0,,R. Covington enters the game for J. Anderson,27,29
74,1,2:20.0,,T. McConnell misses 2-pt jump shot from 17 ft,27,29
75,1,2:18.0,Defensive rebound by Team,,27,29
76,1,2:05.0,K. Middleton misses 2-pt jump shot from 10 ft,,27,29
77,1,2:03.0,,Defensive rebound by R. Covington,27,29
78,1,1:53.0,,J. Embiid misses 2-pt layup from 1 ft,27,29
79,1,1:50.0,Defensive rebound by M. Dellavedova,,27,29
80,1,1:43.0,Turnover by S. Brown (lost ball; steal by R. Covington),,27,29
81,1,1:40.0,,Shooting foul by M. Dellavedova (drawn by J. Young),27,29
82,1,1:40.0,,J. Young misses free throw 1 of 2,27,29
83,1,1:40.0,,Offensive rebound by Team,27,29
84,1,1:40.0,,J. Young makes free throw 2 of 2,27,30
85,1,1:26.0,S. Brown misses 2-pt layup from 3 ft,,27,30
86,1,1:24.0,,Defensive rebound by J. Embiid,27,30
87,1,1:19.0,,T. Booker makes 2-pt layup from 2 ft (assist by R. Covington),27,32
88,1,1:04.0,Turnover by J. Terry (lost ball; steal by R. Covington),,27,32
89,1,0:59.0,,R. Covington makes 3-pt jump shot from 23 ft (assist by T. McConnell),27,35
90,1,0:38.0,K. Middleton misses 2-pt jump shot from 17 ft,,27,35
91,1,0:34.0,,Defensive rebound by J. Embiid,27,35
92,1,0:27.0,,Turnover by Team (turnover),27,35
93,1,0:27.0,T. Snell enters the game for K. Middleton,,27,35
94,1,0:27.0,S. Kilpatrick enters the game for S. Brown,,27,35
95,1,0:08.0,Shooting foul by T. Booker (drawn by M. Dellavedova),,27,35
96,1,0:08.0,M. Dellavedova makes free throw 1 of 2,,28,35
97,1,0:08.0,M. Dellavedova makes free throw 2 of 2,,29,35
98,1,0:02.0,,T. McConnell makes 2-pt layup from 1 ft,29,37
99,1,0:00.0,M. Dellavedova misses 3-pt jump shot from 34 ft,,29,37
100,1,0:00.0,Offensive rebound by Team,,29,37
101,2,11:49.0,E. Bledsoe misses 2-pt jump shot from 17 ft,,29,37
102,2,11:49.0,Offensive rebound by Team,,29,37
103,2,11:49.0,,Loose ball foul by T. Booker (drawn by J. Henson),29,37
104,2,11:40.0,T. Snell misses 2-pt jump shot from 7 ft (block by R. Covington),,29,37
105,2,11:40.0,,Defensive rebound by Team,29,37
106,2,11:20.0,,J. Embiid makes 2-pt jump shot from 13 ft,29,39
107,2,11:08.0,T. Snell makes 2-pt layup at rim (assist by M. Dellavedova),,31,39
108,2,10:51.0,,J. Embiid misses 2-pt jump shot from 14 ft,31,39
109,2,10:47.0,Defensive rebound by M. Dellavedova,,31,39
110,2,10:33.0,E. Bledsoe misses 3-pt jump shot from 26 ft,,31,39
111,2,10:31.0,,Defensive rebound by T. Luwawu-Cabarrot,31,39
112,2,10:16.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 24 ft,31,39
113,2,10:12.0,Defensive rebound by J. Henson,,31,39
114,2,9:54.0,S. Kilpatrick misses 3-pt jump shot from 26 ft,,31,39
115,2,9:51.0,,Defensive rebound by T. McConnell,31,39
