,QUARTER,TIME_REMAINING,DENVER_ACTION,DALLAS_ACTION,DENVER_SCORE,DALLAS_SCORE
0,1,11:46.0,J. Murray makes 3-pt jump shot from 25 ft (assist by P. Millsap),,3,0
1,1,11:29.0,,Y. Ferrell makes 3-pt jump shot from 23 ft (assist by D. Smith),3,3
2,1,11:11.0,P. Millsap misses 3-pt jump shot from 26 ft,,3,3
3,1,11:09.0,,Defensive rebound by Y. Ferrell,3,3
4,1,10:54.0,,D. Nowitzki makes 3-pt jump shot from 25 ft (assist by D. Smith),3,6
5,1,10:39.0,W. Chandler makes 2-pt jump shot from 3 ft,,5,6
6,1,10:22.0,,Turnover by Y. Ferrell (bad pass; steal by N. Jokić),5,6
7,1,10:12.0,P. Millsap misses 2-pt jump shot from 13 ft,,5,6
8,1,10:09.0,,Defensive rebound by D. Smith,5,6
9,1,10:03.0,,D. Nowitzki makes 3-pt jump shot from 27 ft (assist by D. Smith),5,9
10,1,9:41.0,J. Murray misses 2-pt jump shot from 13 ft,,5,9
11,1,9:38.0,,Defensive rebound by D. Nowitzki,5,9
12,1,9:22.0,,D. Nowitzki misses 2-pt jump shot from 12 ft,5,9
13,1,9:22.0,Defensive rebound by N. Jokić,,5,9
14,1,9:12.0,Turnover by G. Harris (lost ball; steal by D. Powell),,5,9
15,1,9:12.0,,Turnover by D. Powell (step out of bounds),5,9
16,1,9:00.0,N. Jokić misses 2-pt jump shot from 7 ft,,5,9
17,1,8:57.0,,Defensive rebound by D. Nowitzki,5,9
18,1,8:50.0,,D. Powell makes 2-pt dunk at rim (assist by D. Smith),5,11
19,1,8:36.0,Turnover by G. Harris (lost ball; steal by Y. Ferrell),,5,11
20,1,8:22.0,,D. Powell misses 2-pt jump shot from 15 ft,5,11
21,1,8:18.0,Defensive rebound by N. Jokić,,5,11
22,1,8:12.0,P. Millsap makes 2-pt hook shot from 4 ft (assist by N. Jokić),,7,11
23,1,7:53.0,,Turnover by D. Smith (bad pass),7,11
24,1,7:38.0,G. Harris makes 2-pt jump shot from 4 ft,,9,11
25,1,7:20.0,,D. Smith makes 3-pt jump shot from 24 ft,9,14
26,1,7:06.0,P. Millsap makes 2-pt dunk at rim (assist by G. Harris),,11,14
27,1,7:05.0,,Dallas full timeout,11,14
28,1,7:05.0,,N. Noel enters the game for D. Nowitzki,11,14
29,1,7:05.0,,D. McDermott enters the game for D. Powell,11,14
30,1,6:51.0,,Turnover by H. Barnes (lost ball; steal by P. Millsap),11,14
31,1,6:47.0,Personal foul by D. McDermott (drawn by W. Chandler),,11,14
32,1,6:40.0,G. Harris misses 2-pt jump shot from 8 ft,,11,14
33,1,6:38.0,,Defensive rebound by Y. Ferrell,11,14
34,1,6:16.0,,D. Smith misses 2-pt jump shot from 14 ft,11,14
35,1,6:13.0,Defensive rebound by P. Millsap,,11,14
36,1,6:03.0,J. Murray misses 3-pt jump shot from 22 ft,,11,14
37,1,6:00.0,,Defensive rebound by N. Noel,11,14
38,1,5:54.0,,Shooting foul by G. Harris (drawn by D. McDermott),11,14
39,1,5:54.0,,D. McDermott makes free throw 1 of 3,11,15
40,1,5:54.0,,D. McDermott makes free throw 2 of 3,11,16
41,1,5:54.0,,D. McDermott makes free throw 3 of 3,11,17
42,1,5:41.0,P. Millsap misses 2-pt jump shot from 11 ft,,11,17
43,1,5:38.0,,Defensive rebound by N. Noel,11,17
44,1,5:34.0,,Shooting foul by P. Millsap (drawn by H. Barnes),11,17
45,1,5:34.0,,H. Barnes misses free throw 1 of 2,11,17
46,1,5:34.0,,Offensive rebound by Team,11,17
47,1,5:34.0,W. Barton enters the game for P. Millsap,,11,17
48,1,5:34.0,,H. Barnes makes free throw 2 of 2,11,18
49,1,5:20.0,W. Barton makes 3-pt jump shot from 25 ft (assist by G. Harris),,14,18
50,1,4:55.0,,D. Smith misses 3-pt jump shot from 25 ft,14,18
51,1,4:52.0,Defensive rebound by W. Barton,,14,18
52,1,4:48.0,W. Chandler makes 2-pt jump shot from 1 ft (assist by W. Barton),,16,18
53,1,4:48.0,,Violation by N. Noel (def goaltending),16,18
