,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,ORLANDO_ACTION,SAN ANTONIO_SCORE,ORLANDO_SCORE
0,1,11:39.0,D. Murray misses 2-pt jump shot from 10 ft,,0,0
1,1,11:35.0,Offensive rebound by D. Murray,,0,0
2,1,11:35.0,D. Murray misses 2-pt layup from 2 ft (block by N. Vučević),,0,0
3,1,11:35.0,,Defensive rebound by T. Ross,0,0
4,1,11:14.0,,E. Fournier makes 2-pt layup from 8 ft,0,2
5,1,11:00.0,L. Aldridge makes 2-pt layup from 2 ft (assist by K. Anderson),,2,2
6,1,10:46.0,,Turnover by E. Fournier (lost ball; steal by D. Green),2,2
7,1,10:30.0,Turnover by D. Green (out of bounds lost ball),,2,2
8,1,10:12.0,,N. Vučević makes 2-pt layup from 2 ft (assist by E. Fournier),2,4
9,1,10:11.0,San Antonio full timeout,,2,4
10,1,9:59.0,D. Green makes 2-pt layup from 2 ft (assist by D. Murray),,4,4
11,1,9:42.0,,Turnover by E. Fournier (lost ball; steal by D. Murray),4,4
12,1,9:38.0,D. Green misses 2-pt jump shot from 17 ft,,4,4
13,1,9:34.0,,Defensive rebound by T. Ross,4,4
14,1,9:29.0,,T. Ross misses 3-pt jump shot from 26 ft,4,4
15,1,9:26.0,Defensive rebound by P. Gasol,,4,4
16,1,9:18.0,L. Aldridge misses 2-pt layup from 1 ft,,4,4
17,1,9:16.0,,Defensive rebound by A. Gordon,4,4
18,1,9:07.0,,T. Ross misses 2-pt jump shot from 14 ft,4,4
19,1,9:01.0,Defensive rebound by P. Gasol,,4,4
20,1,8:55.0,P. Gasol makes 2-pt jump shot from 20 ft (assist by D. Murray),,6,4
21,1,8:41.0,,E. Fournier makes 2-pt dunk from 1 ft (assist by D. Augustin),6,6
22,1,8:28.0,Personal foul by T. Ross (drawn by D. Green),,6,6
23,1,8:16.0,D. Murray misses 2-pt jump shot from 21 ft,,6,6
24,1,8:14.0,,Defensive rebound by A. Gordon,6,6
25,1,8:07.0,,A. Gordon makes 2-pt jump shot from 10 ft,6,8
26,1,7:54.0,Def 3 sec tech foul by T. Ross,,6,8
27,1,7:54.0,L. Aldridge makes technical free throw,,7,8
28,1,7:41.0,K. Anderson misses 2-pt jump shot from 17 ft,,7,8
29,1,7:39.0,,Defensive rebound by T. Ross,7,8
30,1,7:29.0,,D. Augustin misses 3-pt jump shot from 26 ft,7,8
31,1,7:29.0,,Offensive rebound by N. Vučević,7,8
32,1,7:25.0,,N. Vučević misses 2-pt hook shot from 8 ft,7,8
33,1,7:25.0,Defensive rebound by K. Anderson,,7,8
34,1,7:06.0,Turnover by K. Anderson (out of bounds lost ball),,7,8
35,1,6:52.0,,D. Augustin makes 3-pt jump shot from 22 ft (assist by N. Vučević),7,11
36,1,6:28.0,L. Aldridge makes 2-pt jump shot from 14 ft,,9,11
37,1,6:17.0,,N. Vučević makes 2-pt layup from 2 ft (assist by A. Gordon),9,13
38,1,6:04.0,Turnover by D. Murray (turnover),,9,13
39,1,6:04.0,R. Gay enters the game for P. Gasol,,9,13
40,1,5:49.0,,T. Ross misses 3-pt jump shot from 27 ft,9,13
41,1,5:45.0,Defensive rebound by K. Anderson,,9,13
42,1,5:39.0,D. Murray misses 2-pt layup from 2 ft (block by A. Gordon),,9,13
43,1,5:35.0,,Defensive rebound by E. Fournier,9,13
