,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,ORLANDO_ACTION,LA CLIPPERS_SCORE,ORLANDO_SCORE
0,1,11:33.0,,E. Payton misses 2-pt layup from 2 ft,0,0
1,1,11:31.0,Defensive rebound by D. Jordan,,0,0
2,1,11:18.0,J. Wilson makes 2-pt layup from 1 ft (assist by W. Johnson),,2,0
3,1,11:04.0,,J. Simmons misses 2-pt jump shot from 12 ft,2,0
4,1,11:01.0,Defensive rebound by D. Jordan,,2,0
5,1,10:56.0,Turnover by M. Teodosić (bad pass; steal by J. Simmons),,2,0
6,1,10:51.0,,J. Simmons makes 2-pt layup at rim,2,2
7,1,10:36.0,Personal foul by J. Simmons (drawn by W. Johnson),,2,2
8,1,10:28.0,M. Teodosić misses 3-pt jump shot from 23 ft,,2,2
9,1,10:24.0,,Defensive rebound by N. Vučević,2,2
10,1,10:06.0,,N. Vučević misses 2-pt jump shot from 13 ft,2,2
11,1,10:04.0,Defensive rebound by J. Wilson,,2,2
12,1,9:43.0,Turnover by J. Wilson (bad pass; steal by N. Vučević),,2,2
13,1,9:36.0,,J. Simmons misses 2-pt layup from 1 ft,2,2
14,1,9:33.0,Defensive rebound by W. Johnson,,2,2
15,1,9:18.0,W. Johnson misses 2-pt jump shot from 19 ft,,2,2
16,1,9:16.0,,Defensive rebound by M. Hezonja,2,2
17,1,9:08.0,,Turnover by M. Hezonja (lost ball; steal by W. Johnson),2,2
18,1,9:02.0,W. Johnson makes 2-pt layup from 2 ft,,4,2
19,1,8:52.0,,N. Vučević misses 2-pt jump shot from 20 ft,4,2
20,1,8:50.0,,Offensive rebound by E. Payton,4,2
21,1,8:44.0,,E. Payton misses 2-pt jump shot from 9 ft,4,2
22,1,8:44.0,Defensive rebound by Team,,4,2
23,1,8:33.0,M. Teodosić misses 2-pt jump shot from 21 ft,,4,2
24,1,8:30.0,,Defensive rebound by M. Hezonja,4,2
25,1,8:23.0,,W. Iwundu misses 2-pt jump shot from 23 ft,4,2
26,1,8:21.0,,Offensive rebound by N. Vučević,4,2
