,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,INDIANA_ACTION,CHARLOTTE_SCORE,INDIANA_SCORE
0,1,11:46.0,N. Batum misses 2-pt jump shot from 19 ft,,0,0
1,1,11:45.0,,Defensive rebound by V. Oladipo,0,0
2,1,11:28.0,,D. Collison makes 2-pt jump shot from 17 ft,0,2
3,1,11:00.0,M. Williams makes 2-pt jump shot from 16 ft,,2,2
4,1,10:47.0,,V. Oladipo makes 2-pt jump shot from 19 ft (assist by D. Sabonis),2,4
5,1,10:34.0,N. Batum makes 3-pt jump shot from 26 ft (assist by K. Walker),,5,4
6,1,10:17.0,,B. Bogdanović misses 2-pt jump shot from 12 ft,5,4
7,1,10:15.0,Defensive rebound by N. Batum,,5,4
8,1,9:53.0,D. Howard makes 2-pt dunk at rim (assist by M. Williams),,7,4
9,1,9:33.0,,D. Collison makes 2-pt jump shot from 20 ft,7,6
10,1,9:18.0,K. Walker misses 2-pt jump shot from 14 ft,,7,6
11,1,9:16.0,,Defensive rebound by T. Young,7,6
12,1,9:12.0,,D. Collison makes 2-pt layup at rim,7,8
13,1,9:02.0,N. Batum misses 3-pt jump shot from 24 ft,,7,8
14,1,8:59.0,,Defensive rebound by D. Sabonis,7,8
15,1,8:49.0,,B. Bogdanović misses 2-pt jump shot from 12 ft (block by N. Batum),7,8
16,1,8:46.0,Defensive rebound by D. Howard,,7,8
17,1,8:32.0,Personal foul by D. Sabonis (drawn by D. Howard),,7,8
18,1,8:17.0,K. Walker misses 2-pt jump shot from 19 ft,,7,8
19,1,8:15.0,,Defensive rebound by T. Young,7,8
20,1,8:09.0,,Turnover by D. Collison (out of bounds lost ball),7,8
21,1,7:51.0,D. Howard makes 2-pt layup from 1 ft,,9,8
22,1,7:40.0,,D. Collison misses 3-pt jump shot from 25 ft,9,8
23,1,7:38.0,Defensive rebound by N. Batum,,9,8
24,1,7:26.0,M. Kidd-Gilchrist misses 2-pt layup from 9 ft,,9,8
25,1,7:23.0,,Defensive rebound by D. Sabonis,9,8
26,1,7:16.0,,D. Sabonis misses 2-pt layup at rim,9,8
27,1,7:14.0,Defensive rebound by M. Kidd-Gilchrist,,9,8
28,1,6:58.0,Turnover by D. Howard (traveling),,9,8
29,1,6:58.0,,Indiana full timeout,9,8
30,1,6:49.0,,T. Young makes 2-pt jump shot from 10 ft (assist by D. Collison),9,10
31,1,6:33.0,D. Howard makes 2-pt layup from 1 ft,,11,10
32,1,6:15.0,,V. Oladipo misses 2-pt jump shot from 20 ft,11,10
33,1,6:12.0,Defensive rebound by M. Williams,,11,10
34,1,6:02.0,Turnover by K. Walker (bad pass; steal by T. Young),,11,10
35,1,5:59.0,,T. Young makes 2-pt dunk at rim,11,12
36,1,5:31.0,M. Williams misses 2-pt jump shot from 19 ft,,11,12
37,1,5:29.0,,Defensive rebound by D. Sabonis,11,12
38,1,5:19.0,,T. Young misses 3-pt jump shot from 27 ft,11,12
39,1,5:17.0,Defensive rebound by N. Batum,,11,12
40,1,5:11.0,N. Batum misses 3-pt jump shot from 25 ft,,11,12
41,1,5:06.0,Offensive rebound by D. Howard,,11,12
42,1,5:06.0,D. Howard misses 2-pt layup at rim,,11,12
