,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MEMPHIS_ACTION,WASHINGTON_SCORE,MEMPHIS_SCORE
0,1,11:48.0,M. Gortat misses 2-pt jump shot from 11 ft,,0,0
1,1,11:44.0,,Defensive rebound by J. Green,0,0
2,1,11:26.0,,W. Selden misses 3-pt jump shot from 24 ft,0,0
3,1,11:23.0,Defensive rebound by O. Porter,,0,0
4,1,11:10.0,J. Wall makes 3-pt jump shot from 25 ft (assist by M. Gortat),,3,0
5,1,10:53.0,,D. Brooks makes 2-pt jump shot from 16 ft (assist by M. Gasol),3,2
6,1,10:46.0,M. Gortat misses 2-pt dunk at rim (block by M. Gasol),,3,2
7,1,10:41.0,Offensive rebound by O. Porter,,3,2
8,1,10:41.0,O. Porter misses 2-pt layup at rim,,3,2
9,1,10:40.0,,Defensive rebound by D. Brooks,3,2
10,1,10:32.0,,T. Evans misses 2-pt layup at rim (block by M. Gortat),3,2
11,1,10:27.0,Defensive rebound by M. Morris,,3,2
12,1,10:25.0,Turnover by J. Wall (bad pass),,3,2
13,1,10:04.0,,M. Gasol makes 2-pt jump shot from 12 ft,3,4
14,1,9:51.0,M. Morris makes 2-pt jump shot from 15 ft,,5,4
15,1,9:43.0,,T. Evans misses 2-pt layup from 2 ft (block by M. Morris),5,4
16,1,9:43.0,,Offensive rebound by Team,5,4
17,1,9:41.0,,T. Evans misses 2-pt jump shot from 20 ft,5,4
18,1,9:39.0,Defensive rebound by M. Morris,,5,4
19,1,9:23.0,M. Gortat misses 2-pt layup from 2 ft,,5,4
20,1,9:20.0,,Defensive rebound by M. Gasol,5,4
21,1,9:17.0,,Turnover by J. Green (bad pass; steal by B. Beal),5,4
22,1,9:11.0,O. Porter misses 3-pt jump shot from 24 ft,,5,4
23,1,9:06.0,,Defensive rebound by M. Gasol,5,4
24,1,8:57.0,,M. Gasol misses 2-pt jump shot from 15 ft,5,4
25,1,8:55.0,Defensive rebound by M. Morris,,5,4
26,1,8:49.0,B. Beal misses 3-pt jump shot from 23 ft,,5,4
27,1,8:47.0,,Defensive rebound by M. Gasol,5,4
28,1,8:31.0,,J. Green makes 2-pt dunk at rim (assist by M. Gasol),5,6
29,1,8:09.0,M. Morris misses 2-pt layup at rim,,5,6
30,1,8:04.0,,Defensive rebound by J. Green,5,6
31,1,7:54.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by T. Evans),5,9
32,1,7:38.0,M. Morris makes 2-pt jump shot from 10 ft (assist by J. Wall),,7,9
33,1,7:22.0,,T. Evans makes 3-pt jump shot from 25 ft (assist by M. Gasol),7,12
34,1,7:02.0,Def 3 sec tech foul by M. Gasol,,7,12
35,1,7:02.0,B. Beal makes technical free throw,,8,12
36,1,7:02.0,,J. Martin enters the game for J. Green,8,12
37,1,7:02.0,,J. Ennis enters the game for W. Selden,8,12
38,1,6:54.0,M. Gortat misses 2-pt jump shot from 19 ft,,8,12
39,1,6:51.0,,Defensive rebound by J. Ennis,8,12
40,1,6:43.0,,T. Evans makes 2-pt layup from 1 ft,8,14
41,1,6:32.0,J. Wall makes 2-pt jump shot from 9 ft,,10,14
42,1,6:13.0,,J. Ennis misses 2-pt jump shot from 22 ft,10,14
43,1,6:11.0,Defensive rebound by M. Morris,,10,14
44,1,6:04.0,M. Gortat misses 2-pt layup from 1 ft (block by M. Gasol),,10,14
45,1,6:00.0,,Defensive rebound by M. Gasol,10,14
46,1,5:52.0,,J. Martin misses 2-pt jump shot from 15 ft,10,14
47,1,5:48.0,Defensive rebound by M. Gortat,,10,14
48,1,5:38.0,M. Gortat makes 2-pt hook shot from 4 ft (assist by J. Wall),,12,14
49,1,5:38.0,,Memphis full timeout,12,14
50,1,5:38.0,,M. Chalmers enters the game for T. Evans,12,14
51,1,5:26.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by J. Martin),12,17
52,1,5:05.0,Def 3 sec tech foul by J. Martin,,12,17
53,1,5:05.0,B. Beal makes technical free throw,,13,17
54,1,4:58.0,O. Porter misses 2-pt jump shot from 19 ft,,13,17
55,1,4:54.0,Offensive rebound by M. Gortat,,13,17
56,1,4:52.0,J. Wall makes 3-pt jump shot from 26 ft,,16,17
57,1,4:31.0,,M. Gasol misses 2-pt jump shot from 21 ft,16,17
58,1,4:29.0,Defensive rebound by B. Beal,,16,17
59,1,4:25.0,J. Wall makes 2-pt layup from 2 ft,,18,17
60,1,4:04.0,,M. Gasol misses 2-pt jump shot from 9 ft,18,17
61,1,4:01.0,Defensive rebound by M. Morris,,18,17
62,1,3:55.0,M. Gortat misses 2-pt jump shot from 9 ft,,18,17
63,1,3:52.0,,Defensive rebound by D. Brooks,18,17
64,1,3:47.0,,Offensive foul by D. Brooks (drawn by M. Gortat),18,17
65,1,3:47.0,,Turnover by D. Brooks (offensive foul),18,17
66,1,3:47.0,,K. Simmons enters the game for D. Brooks,18,17
67,1,3:47.0,M. Scott enters the game for M. Morris,,18,17
68,1,3:47.0,K. Oubre enters the game for O. Porter,,18,17
69,1,3:30.0,B. Beal makes 2-pt jump shot from 20 ft,,20,17
70,1,3:16.0,,Turnover by K. Simmons (traveling),20,17
71,1,3:16.0,Washington full timeout,,20,17
72,1,3:16.0,,D. Davis enters the game for M. Gasol,20,17
73,1,3:16.0,I. Mahinmi enters the game for M. Gortat,,20,17
74,1,2:57.0,M. Scott makes 3-pt jump shot from 23 ft (assist by B. Beal),,23,17
75,1,2:42.0,,K. Simmons makes 2-pt layup at rim (assist by M. Chalmers),23,19
76,1,2:24.0,I. Mahinmi misses 2-pt hook shot from 5 ft,,23,19
